time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. Z. Pachulia (A. Goodwin gains possession),,,,Jump ball: T. Chandler vs. Z. Pachulia (A. Goodwin gains possession)
11:36.0,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Booker),3,3-0,,
11:12.0,,,3-2,2,D. Williams makes 2-pt shot from 17 ft
11:03.0,Turnover by A. Goodwin (bad pass; steal by Z. Pachulia),,3-2,,
10:58.0,,,3-4,2,Z. Pachulia makes 2-pt shot at rim
10:32.0,M. Teletovic misses 2-pt shot from 10 ft,,3-4,,
10:30.0,,,3-4,,Defensive rebound by Z. Pachulia
10:27.0,Shooting block foul by M. Teletovic (drawn by C. Parsons),,3-4,,
10:27.0,,,3-5,1,C. Parsons makes free throw 1 of 2
10:27.0,,,3-6,1,C. Parsons makes free throw 2 of 2
10:17.0,D. Booker misses 3-pt shot from 24 ft,,3-6,,
10:16.0,,,3-6,,Defensive rebound by D. Williams
10:08.0,,,3-6,,W. Matthews misses 2-pt shot from 4 ft
10:06.0,Defensive rebound by D. Booker,,3-6,,
10:00.0,P. Tucker misses 3-pt shot from 23 ft,,3-6,,
9:57.0,,,3-6,,Defensive rebound by R. Felton
9:46.0,,,3-6,,Turnover by Z. Pachulia (lost ball; steal by T. Chandler)
9:46.0,Jump ball: T. Chandler vs. Z. Pachulia (P. Tucker gains possession),,,,Jump ball: T. Chandler vs. Z. Pachulia (P. Tucker gains possession)
9:28.0,A. Goodwin misses 2-pt shot from 1 ft,,3-6,,
9:27.0,Offensive rebound by T. Chandler,,3-6,,
9:27.0,T. Chandler makes 2-pt shot at rim,2,5-6,,
9:11.0,,,5-6,,C. Parsons misses 3-pt shot from 24 ft
9:11.0,Defensive rebound by D. Booker,,5-6,,
9:02.0,M. Teletovic makes 3-pt shot from 23 ft (assist by D. Booker),3,8-6,,
8:45.0,,,8-8,2,C. Parsons makes 2-pt shot at rim
8:24.0,M. Teletovic misses 3-pt shot from 23 ft,,8-8,,
8:21.0,,,8-8,,Defensive rebound by R. Felton
8:16.0,,,8-11,3,C. Parsons makes 3-pt shot from 23 ft (assist by R. Felton)
8:02.0,D. Booker misses 3-pt shot from 25 ft,,8-11,,
8:00.0,Offensive rebound by A. Goodwin,,8-11,,
7:59.0,A. Goodwin misses 2-pt shot at rim,,8-11,,
7:57.0,,,8-11,,Defensive rebound by Z. Pachulia
7:50.0,,,8-11,,Turnover by C. Parsons (bad pass)
7:38.0,,,8-11,,Personal foul by R. Felton (drawn by D. Booker)
7:25.0,P. Tucker makes 2-pt shot from 2 ft (assist by T. Chandler),2,10-11,,
7:14.0,Personal foul by A. Goodwin (drawn by D. Williams),,10-11,,
7:00.0,,,10-13,2,D. Williams makes 2-pt shot from 20 ft
6:49.0,Turnover by D. Booker (step out of bounds),,10-13,,
6:40.0,,,10-13,,Shooting foul by T. Chandler (drawn by Z. Pachulia)
