time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. D. Green (T. Parker gains possession),,,,Jump ball: L. Aldridge vs. D. Green (T. Parker gains possession)
11:41.0,,,0-0,,T. Parker misses 2-pt shot at rim
11:41.0,Defensive rebound by D. Green,,0-0,,
11:33.0,B. Rush makes 2-pt shot from 1 ft (assist by S. Curry),2,2-0,,
11:20.0,,,2-0,,Turnover by K. Leonard (lost ball; steal by B. Rush)
11:15.0,K. Thompson misses 3-pt shot from 23 ft,,2-0,,
11:13.0,,,2-0,,Defensive rebound by L. Aldridge
11:08.0,,,2-0,,Turnover by T. Parker (lost ball)
10:55.0,H. Barnes misses 2-pt shot at rim (block by K. Leonard),,2-0,,
10:55.0,,,2-0,,Defensive rebound by Team
10:39.0,,,2-2,2,B. Diaw makes 2-pt shot from 9 ft
10:29.0,Turnover by S. Curry (lost ball; steal by D. Green),,2-2,,
10:27.0,,,2-2,,Turnover by D. Green (lost ball; steal by K. Thompson)
10:23.0,K. Thompson misses 2-pt shot from 14 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by L. Aldridge
10:03.0,,,2-4,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
9:54.0,S. Curry misses 3-pt shot from 27 ft,,2-4,,
9:54.0,,,2-4,,Defensive rebound by L. Aldridge
9:32.0,,,2-4,,T. Parker misses 3-pt shot from 25 ft
9:31.0,,,2-4,,Offensive rebound by K. Leonard
9:25.0,,,2-4,,L. Aldridge misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by B. Rush,,2-4,,
9:13.0,H. Barnes misses 3-pt shot from 24 ft,,2-4,,
9:12.0,,,2-4,,Defensive rebound by B. Diaw
9:03.0,,,2-4,,K. Leonard misses 2-pt shot from 1 ft
9:02.0,Defensive rebound by D. Green,,2-4,,
8:55.0,B. Rush makes 3-pt shot from 23 ft (assist by D. Green),3,5-4,,
8:37.0,,,5-4,,T. Parker misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by K. Thompson,,5-4,,
8:15.0,B. Rush misses 2-pt shot from 8 ft,,5-4,,
8:13.0,,,5-4,,Defensive rebound by B. Diaw
7:50.0,,,5-6,2,B. Diaw makes 2-pt shot from 17 ft
7:35.0,K. Thompson misses 2-pt shot at rim,,5-6,,
7:34.0,,,5-6,,Defensive rebound by L. Aldridge
7:19.0,,,5-8,2,B. Diaw makes 2-pt shot at rim
7:01.0,K. Thompson makes 2-pt shot at rim (assist by H. Barnes),2,7-8,,
7:01.0,,,7-8,,San Antonio full timeout
6:44.0,,,7-8,,K. Leonard misses 2-pt shot from 18 ft (block by K. Thompson)
6:42.0,Defensive rebound by K. Thompson,,7-8,,
6:40.0,Turnover by K. Thompson (lost ball; steal by L. Aldridge),,7-8,,
6:35.0,,,7-8,,L. Aldridge misses 2-pt shot from 10 ft
6:34.0,,,7-8,,Offensive rebound by K. Leonard
6:31.0,,,7-10,2,K. Leonard makes 2-pt shot from 1 ft
6:18.0,S. Curry misses 3-pt shot from 27 ft,,7-10,,
6:17.0,Offensive rebound by B. Rush,,7-10,,
6:14.0,B. Rush misses 3-pt shot from 22 ft,,7-10,,
6:13.0,,,7-10,,Defensive rebound by D. Green
5:56.0,Personal foul by H. Barnes,,7-10,,
5:45.0,,,7-12,2,L. Aldridge makes 2-pt shot at rim (assist by B. Diaw)
5:26.0,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green),2,9-12,,
5:12.0,,,9-12,,Turnover by B. Diaw (lost ball; steal by S. Curry)
5:02.0,S. Curry makes 2-pt shot at rim,2,11-12,,
4:41.0,,,11-14,2,L. Aldridge makes 2-pt shot from 7 ft
4:29.0,S. Curry misses 3-pt shot from 24 ft,,11-14,,
4:28.0,,,11-14,,Defensive rebound by D. Green
4:22.0,,,11-14,,Shooting foul by H. Barnes (drawn by K. Leonard)
4:22.0,,,11-15,1,K. Leonard makes free throw 1 of 2
4:22.0,Golden State full timeout,,11-15,,
4:22.0,,,11-15,,P. Mills enters the game for D. Green
4:22.0,,,11-15,,M. Ginobili enters the game for T. Parker
4:22.0,,,11-15,,T. Duncan enters the game for B. Diaw
4:22.0,M. Speights enters the game for H. Barnes,,11-15,,
4:22.0,L. Barbosa enters the game for B. Rush,,11-15,,
4:22.0,S. Livingston enters the game for S. Curry,,11-15,,
4:22.0,,,11-16,1,K. Leonard makes free throw 2 of 2
4:08.0,Offensive foul by M. Speights,,11-16,,
4:08.0,Turnover by M. Speights (offensive foul),,11-16,,
4:08.0,Technical foul by Team,,11-16,,
4:08.0,,,11-17,1,K. Leonard makes technical free throw
3:51.0,,,11-17,,K. Leonard misses 2-pt shot from 14 ft
3:50.0,Defensive rebound by M. Speights,,11-17,,
3:39.0,M. Speights misses 2-pt shot from 17 ft,,11-17,,
3:39.0,,,11-17,,Defensive rebound by K. Leonard
3:27.0,,,11-17,,L. Aldridge misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by S. Livingston,,11-17,,
3:22.0,Turnover by D. Green (lost ball),,11-17,,
3:03.0,,,11-17,,L. Aldridge misses 2-pt shot from 14 ft
3:01.0,Defensive rebound by L. Barbosa,,11-17,,
2:45.0,,,11-17,,Personal foul by P. Mills
2:42.0,,,11-17,,Personal foul by K. Leonard
2:42.0,,,11-17,,K. Anderson enters the game for L. Aldridge
2:35.0,Shooting foul by P. Mills (drawn by L. Barbosa),,11-17,,
2:35.0,L. Barbosa misses free throw 1 of 2,,11-17,,
2:35.0,Offensive rebound by Team,,11-17,,
2:35.0,,,11-17,,K. Martin enters the game for P. Mills
2:35.0,L. Barbosa makes free throw 2 of 2,1,12-17,,
2:23.0,,,12-17,,Turnover by K. Anderson (lost ball; steal by S. Livingston)
2:12.0,D. Green makes 2-pt shot from 6 ft (assist by L. Barbosa),2,14-17,,
1:56.0,,,14-17,,K. Anderson misses 2-pt shot from 16 ft
1:56.0,Defensive rebound by S. Livingston,,14-17,,
1:48.0,D. Green misses 3-pt shot from 26 ft,,14-17,,
1:47.0,,,14-17,,Defensive rebound by K. Anderson
1:36.0,,,14-17,,M. Ginobili misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by D. Green,,14-17,,
1:25.0,M. Speights misses 2-pt shot from 5 ft (block by K. Leonard),,14-17,,
1:25.0,Offensive rebound by Team,,14-17,,
1:25.0,,,14-17,,P. Mills enters the game for K. Martin
1:25.0,,,14-17,,Personal foul by M. Ginobili
1:21.0,K. Thompson misses 2-pt shot from 19 ft,,14-17,,
1:20.0,,,14-17,,Defensive rebound by K. Anderson
1:06.0,,,14-17,,Turnover by T. Duncan (lost ball; steal by S. Livingston)
1:00.0,S. Livingston misses 2-pt shot from 1 ft,,14-17,,
1:00.0,Offensive rebound by D. Green,,14-17,,
1:00.0,Shooting foul by T. Duncan (drawn by D. Green),,14-17,,
1:00.0,D. Green makes 2-pt shot from 2 ft,2,16-17,,
1:00.0,D. Green misses free throw 1 of 1,,16-17,,
0:59.0,,,16-17,,Defensive rebound by K. Leonard
0:44.0,,,16-17,,T. Duncan misses 2-pt shot from 9 ft
0:43.0,Defensive rebound by K. Thompson,,16-17,,
0:28.0,L. Barbosa misses 3-pt shot from 25 ft,,16-17,,
0:28.0,,,16-17,,Defensive rebound by K. Anderson
0:07.0,,,16-17,,Turnover by M. Ginobili (lost ball; steal by S. Livingston)
0:00.0,S. Livingston makes 2-pt shot from 14 ft,2,18-17,,
0:00.0,,,18-17,,Turnover by T. Duncan (lost ball; steal by M. Speights)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,M. Speights makes 2-pt shot from 16 ft (assist by S. Livingston),2,20-17,,
11:19.0,,,20-17,,P. Mills misses 2-pt shot from 20 ft
11:19.0,,,20-17,,Offensive rebound by T. Duncan
11:12.0,Personal foul by J. McAdoo,,20-17,,
11:08.0,,,20-20,3,M. Ginobili makes 3-pt shot from 24 ft (assist by D. Green)
10:50.0,S. Livingston misses 2-pt shot from 16 ft,,20-20,,
10:48.0,Offensive rebound by J. McAdoo,,20-20,,
10:43.0,J. McAdoo makes 2-pt shot at rim (assist by S. Livingston),2,22-20,,
10:23.0,Personal foul by J. McAdoo,,22-20,,
10:23.0,A. Varejao enters the game for M. Speights,,22-20,,
10:17.0,,,22-23,3,P. Mills makes 3-pt shot from 24 ft
10:02.0,S. Curry misses 3-pt shot from 24 ft (block by D. Green),,22-23,,
10:00.0,Offensive rebound by S. Curry,,22-23,,
9:54.0,Turnover by S. Curry (lost ball; steal by M. Ginobili),,22-23,,
9:51.0,Personal foul by L. Barbosa,,22-23,,
9:44.0,,,22-23,,D. Green misses 3-pt shot from 23 ft
9:43.0,,,22-23,,Offensive rebound by T. Duncan
9:31.0,,,22-23,,Shooting foul by A. Varejao (drawn by T. Duncan)
9:31.0,,,22-24,1,T. Duncan makes free throw 1 of 2
9:31.0,Golden State full timeout,,22-24,,
9:31.0,H. Barnes enters the game for J. McAdoo,,22-24,,
9:31.0,I. Clark enters the game for L. Barbosa,,22-24,,
9:31.0,,,22-24,,T. Duncan misses free throw 2 of 2
9:29.0,Defensive rebound by A. Varejao,,22-24,,
9:04.0,I. Clark misses 3-pt shot from 22 ft,,22-24,,
9:03.0,,,22-24,,Defensive rebound by M. Ginobili
8:45.0,,,22-24,,P. Mills misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by S. Livingston,,22-24,,
8:30.0,H. Barnes misses 2-pt shot from 18 ft,,22-24,,
8:30.0,,,22-24,,Defensive rebound by M. Ginobili
8:22.0,B. Rush enters the game for S. Livingston,,22-24,,
8:22.0,,,22-24,,L. Aldridge enters the game for T. Duncan
8:22.0,,,22-24,,K. Leonard enters the game for M. Ginobili
8:18.0,,,22-26,2,D. Green makes 2-pt shot from 15 ft (assist by B. Diaw)
8:05.0,I. Clark makes 2-pt shot at rim (assist by S. Curry),2,24-26,,
7:41.0,,,24-28,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
7:25.0,S. Curry misses 3-pt shot from 26 ft,,24-28,,
7:24.0,,,24-28,,Defensive rebound by K. Leonard
7:10.0,,,24-30,2,L. Aldridge makes 2-pt shot from 16 ft (assist by K. Leonard)
7:09.0,Golden State full timeout,,24-30,,
6:58.0,S. Curry misses 2-pt shot at rim,,24-30,,
6:57.0,,,24-30,,Defensive rebound by L. Aldridge
6:47.0,,,24-30,,Turnover by B. Diaw (bad pass)
6:47.0,K. Thompson enters the game for I. Clark,,24-30,,
6:47.0,D. Green enters the game for A. Varejao,,24-30,,
6:32.0,H. Barnes misses 2-pt shot from 8 ft (block by D. Green),,24-30,,
6:31.0,,,24-30,,Defensive rebound by B. Diaw
6:24.0,,,24-30,,Shooting foul by H. Barnes (drawn by D. Green)
6:24.0,,,24-31,1,D. Green makes free throw 1 of 2
6:24.0,J. McAdoo enters the game for H. Barnes,,24-31,,
6:24.0,,,24-31,,T. Parker enters the game for P. Mills
6:24.0,,,24-31,,D. Green misses free throw 2 of 2
6:23.0,Defensive rebound by D. Green,,24-31,,
6:01.0,S. Curry makes 2-pt shot from 4 ft,2,26-31,,
5:34.0,,,26-31,,K. Leonard misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by D. Green,,26-31,,
5:24.0,K. Thompson misses 3-pt shot from 25 ft,,26-31,,
5:23.0,,,26-31,,Defensive rebound by B. Diaw
5:14.0,,,26-33,2,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard)
5:05.0,,,26-33,,Personal foul by T. Parker
5:05.0,Official timeout,,26-33,,
5:05.0,,,26-33,,K. Anderson enters the game for B. Diaw
4:54.0,K. Thompson makes 2-pt shot from 8 ft (assist by D. Green),2,28-33,,
4:30.0,,,28-33,,L. Aldridge misses 2-pt shot from 19 ft
4:30.0,,,28-33,,Offensive rebound by Team
4:25.0,,,28-35,2,K. Leonard makes 2-pt shot from 9 ft
4:25.0,,,28-35,,Shooting foul by K. Thompson (drawn by K. Leonard)
4:25.0,,,28-36,1,K. Leonard makes free throw 1 of 1
4:15.0,Turnover by D. Green (traveling),,28-36,,
4:00.0,,,28-36,,Turnover by K. Leonard (lost ball; steal by D. Green)
3:53.0,S. Curry misses 2-pt shot at rim,,28-36,,
3:52.0,,,28-36,,Defensive rebound by K. Anderson
3:46.0,,,28-38,2,K. Leonard makes 2-pt shot at rim (assist by K. Anderson)
3:28.0,J. McAdoo makes 2-pt shot at rim (assist by D. Green),2,30-38,,
3:28.0,,,30-38,,San Antonio full timeout
3:28.0,,,30-38,,M. Ginobili enters the game for D. Green
3:28.0,S. Livingston enters the game for J. McAdoo,,30-38,,
3:16.0,,,30-40,2,K. Leonard makes 2-pt shot from 13 ft
3:01.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,32-40,,
2:40.0,,,32-40,,K. Leonard misses 2-pt shot from 19 ft
2:39.0,Defensive rebound by K. Thompson,,32-40,,
2:23.0,K. Thompson misses 2-pt shot from 14 ft,,32-40,,
2:22.0,,,32-40,,Defensive rebound by L. Aldridge
1:59.0,,,32-43,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
1:36.0,,,32-43,,Personal foul by L. Aldridge
1:33.0,,,32-43,,Personal foul by T. Parker
1:33.0,S. Curry makes free throw 1 of 3,1,33-43,,
