time,Brooklyn,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. B. Lopez (D. Sloan gains possession),,,,Jump ball: T. Chandler vs. B. Lopez (D. Sloan gains possession)
11:39.0,B. Lopez makes 2-pt shot from 12 ft,2,2-0,,
11:18.0,,,2-0,,T. Chandler misses 2-pt shot from 5 ft
11:17.0,,,2-0,,Offensive rebound by K. Humphries
11:17.0,,,2-0,,K. Humphries misses 2-pt shot from 1 ft
11:16.0,,,2-0,,Offensive rebound by K. Humphries
11:16.0,,,2-0,,K. Humphries misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by D. Sloan,,2-0,,
11:03.0,B. Lopez misses 2-pt shot from 20 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by D. Booker
10:57.0,,,2-0,,D. Booker misses 2-pt shot from 2 ft (block by B. Lopez)
10:56.0,Defensive rebound by B. Lopez,,2-0,,
10:51.0,W. Ellington misses 3-pt shot from 24 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by T. Chandler
10:34.0,,,2-0,,P. Tucker misses 3-pt shot from 23 ft
10:31.0,Defensive rebound by B. Lopez,,2-0,,
10:16.0,T. Young makes 2-pt shot at rim (assist by D. Sloan),2,4-0,,
10:03.0,,,4-0,,Turnover by K. Humphries (lost ball; steal by T. Young)
9:54.0,B. Bogdanovic misses 2-pt shot from 13 ft,,4-0,,
9:53.0,,,4-0,,Defensive rebound by K. Humphries
9:38.0,,,4-2,2,T. Chandler makes 2-pt shot from 3 ft
9:25.0,Turnover by B. Bogdanovic (lost ball; steal by R. Price),,4-2,,
9:20.0,,,4-4,2,R. Price makes 2-pt shot at rim
8:59.0,W. Ellington makes 2-pt shot from 9 ft (assist by D. Sloan),2,6-4,,
8:44.0,,,6-7,3,R. Price makes 3-pt shot from 27 ft
8:27.0,Turnover by D. Sloan (bad pass; steal by T. Chandler),,6-7,,
8:22.0,,,6-9,2,D. Booker makes 2-pt shot at rim (assist by K. Humphries)
8:02.0,T. Young misses 2-pt shot from 3 ft,,6-9,,
8:01.0,,,6-9,,Defensive rebound by T. Chandler
7:44.0,,,6-9,,K. Humphries misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by W. Ellington,,6-9,,
7:32.0,D. Sloan misses 2-pt shot from 19 ft,,6-9,,
7:30.0,,,6-9,,Defensive rebound by K. Humphries
7:23.0,,,6-11,2,R. Price makes 2-pt shot from 20 ft
7:07.0,W. Ellington misses 3-pt shot from 26 ft,,6-11,,
7:05.0,,,6-11,,Defensive rebound by T. Chandler
6:58.0,,,6-13,2,R. Price makes 2-pt shot from 21 ft
6:58.0,Brooklyn full timeout,,6-13,,
6:58.0,S. Larkin enters the game for D. Sloan,,6-13,,
6:47.0,B. Bogdanovic misses 3-pt shot from 23 ft (block by T. Chandler),,6-13,,
6:47.0,Offensive rebound by Team,,6-13,,
