time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. K. Koufos (D. Green gains possession),,,,Jump ball: A. Bogut vs. K. Koufos (D. Green gains possession)
11:47.0,,,0-0,,D. Green misses 2-pt shot from 18 ft
11:46.0,Defensive rebound by R. Rondo,,0-0,,
11:36.0,K. Koufos makes 2-pt shot from 6 ft (assist by R. Rondo),2,2-0,,
11:14.0,,,2-0,,S. Curry misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by R. Gay,,2-0,,
11:06.0,Turnover by B. McLemore (lost ball),,2-0,,
10:57.0,Personal foul by R. Rondo (drawn by D. Green),,2-0,,
10:52.0,,,2-0,,Turnover by K. Thompson (bad pass; steal by K. Koufos)
10:48.0,R. Gay misses 2-pt shot from 4 ft (block by D. Green),,2-0,,
10:47.0,Offensive rebound by Team,,2-0,,
10:44.0,B. McLemore makes 3-pt shot from 23 ft (assist by R. Rondo),3,5-0,,
10:18.0,,,5-0,,B. Rush misses 2-pt shot from 2 ft (block by K. Koufos)
10:18.0,Defensive rebound by R. Rondo,,5-0,,
10:18.0,,,5-0,,Personal foul by A. Bogut (drawn by O. Casspi)
10:05.0,Turnover by R. Rondo (bad pass; steal by S. Curry),,5-0,,
10:00.0,,,5-2,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
9:38.0,R. Rondo misses 2-pt shot from 18 ft,,5-2,,
9:37.0,,,5-2,,Defensive rebound by B. Rush
9:19.0,,,5-4,2,K. Thompson makes 2-pt shot from 2 ft
8:57.0,R. Gay misses 2-pt shot from 7 ft,,5-4,,
8:55.0,Offensive rebound by R. Gay,,5-4,,
8:54.0,R. Gay makes 2-pt shot at rim,2,7-4,,
8:40.0,,,7-4,,A. Bogut misses 2-pt shot from 10 ft
8:39.0,Defensive rebound by O. Casspi,,7-4,,
8:30.0,O. Casspi makes 3-pt shot from 28 ft (assist by R. Rondo),3,10-4,,
8:15.0,,,10-4,,S. Curry misses 3-pt shot from 26 ft
8:13.0,,,10-4,,Offensive rebound by B. Rush
8:13.0,,,10-4,,Shooting foul by K. Koufos (drawn by B. Rush)
8:13.0,,,10-5,1,B. Rush makes free throw 1 of 2
8:13.0,,,10-6,1,B. Rush makes free throw 2 of 2
7:59.0,R. Rondo misses 2-pt shot from 5 ft,,10-6,,
7:58.0,,,10-6,,Defensive rebound by A. Bogut
7:51.0,,,10-6,,K. Thompson misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by K. Koufos,,10-6,,
7:32.0,K. Koufos misses 2-pt shot from 10 ft,,10-6,,
7:31.0,,,10-6,,Defensive rebound by D. Green
7:29.0,,,10-6,,Turnover by D. Green (bad pass; steal by B. McLemore)
7:20.0,R. Gay makes 2-pt shot from 1 ft (assist by B. McLemore),2,12-6,,
6:56.0,,,12-6,,D. Green misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by R. Gay,,12-6,,
6:47.0,K. Koufos makes 2-pt shot from 6 ft (assist by B. McLemore),2,14-6,,
6:33.0,,,14-6,,Turnover by D. Green (bad pass; steal by K. Koufos)
6:21.0,R. Gay misses 2-pt shot from 7 ft,,14-6,,
6:19.0,,,14-6,,Defensive rebound by A. Bogut
6:12.0,,,14-8,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
5:57.0,Shooting foul by B. Rush (drawn by O. Casspi),,14-8,,
5:57.0,,,14-8,,Golden State full timeout
5:57.0,,,14-8,,A. Iguodala enters the game for B. Rush
5:57.0,O. Casspi makes free throw 1 of 2,1,15-8,,
5:57.0,O. Casspi makes free throw 2 of 2,1,16-8,,
5:42.0,,,16-8,,D. Green misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by O. Casspi,,16-8,,
5:28.0,R. Gay misses 2-pt shot from 18 ft,,16-8,,
5:28.0,,,16-8,,Defensive rebound by A. Iguodala
5:18.0,,,16-11,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Bogut)
5:07.0,K. Koufos misses 2-pt shot from 4 ft (block by D. Green),,16-11,,
5:06.0,Offensive rebound by K. Koufos,,16-11,,
5:02.0,O. Casspi misses 2-pt shot at rim,,16-11,,
5:01.0,Offensive rebound by K. Koufos,,16-11,,
5:01.0,K. Koufos makes 2-pt shot at rim,2,18-11,,
4:39.0,,,18-14,3,A. Iguodala makes 3-pt shot from 25 ft (assist by S. Curry)
4:19.0,R. Rondo makes 2-pt shot from 20 ft,2,20-14,,
4:06.0,Personal foul by R. Rondo (drawn by A. Bogut),,20-14,,
4:06.0,M. Belinelli enters the game for B. McLemore,,20-14,,
4:06.0,D. Collison enters the game for R. Rondo,,20-14,,
4:06.0,Q. Acy enters the game for R. Gay,,20-14,,
3:58.0,,,20-14,,Turnover by A. Iguodala (bad pass)
3:48.0,Turnover by Q. Acy (bad pass),,20-14,,
3:40.0,,,20-14,,Offensive foul by A. Iguodala
3:40.0,,,20-14,,Turnover by A. Iguodala (offensive foul)
3:31.0,,,20-14,,Personal foul by K. Thompson (drawn by M. Belinelli)
3:21.0,M. Belinelli misses 3-pt shot from 25 ft,,20-14,,
3:20.0,Offensive rebound by Q. Acy,,20-14,,
3:13.0,D. Collison misses 3-pt shot from 26 ft,,20-14,,
3:13.0,,,20-14,,Defensive rebound by A. Bogut
3:04.0,,,20-17,3,S. Curry makes 3-pt shot from 24 ft
2:40.0,Q. Acy makes 2-pt shot from 12 ft (assist by M. Belinelli),2,22-17,,
2:33.0,Shooting block foul by K. Koufos (drawn by S. Curry),,22-17,,
2:33.0,Sacramento full timeout,,22-17,,
2:33.0,W. Cauley-Stein enters the game for K. Koufos,,22-17,,
2:33.0,,,22-17,,S. Livingston enters the game for K. Thompson
