time,San Antonio,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gortat (K. Humphries gains possession),,,,Jump ball: T. Duncan vs. M. Gortat (K. Humphries gains possession)
11:43.0,,,0-2,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
11:21.0,T. Duncan misses 2-pt shot from 14 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by K. Humphries
11:09.0,,,0-4,2,K. Humphries makes 2-pt shot from 3 ft (assist by J. Wall)
10:51.0,L. Aldridge misses 2-pt shot from 18 ft,,0-4,,
10:50.0,Offensive rebound by T. Duncan,,0-4,,
10:40.0,Turnover by T. Parker (bad pass; steal by B. Beal),,0-4,,
10:34.0,,,0-7,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
10:34.0,San Antonio full timeout,,0-7,,
10:16.0,,,0-7,,Personal block foul by M. Gortat (drawn by K. Leonard)
10:13.0,T. Parker misses 2-pt shot from 6 ft (block by M. Gortat),,0-7,,
10:11.0,,,0-7,,Defensive rebound by K. Humphries
10:02.0,,,0-7,,J. Wall misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by T. Duncan,,0-7,,
9:55.0,Shooting foul by M. Gortat (drawn by T. Parker),,0-7,,
9:55.0,T. Parker makes free throw 1 of 2,1,1-7,,
9:55.0,,,1-7,,N. Hilario enters the game for M. Gortat
9:55.0,T. Parker makes free throw 2 of 2,1,2-7,,
9:46.0,Personal foul by K. Leonard (drawn by K. Humphries),,2-7,,
9:30.0,,,2-9,2,O. Porter makes 2-pt shot from 17 ft (assist by B. Beal)
9:05.0,D. Green misses 3-pt shot from 26 ft,,2-9,,
9:04.0,,,2-9,,Defensive rebound by N. Hilario
8:51.0,,,2-11,2,N. Hilario makes 2-pt shot from 18 ft
8:33.0,K. Leonard misses 3-pt shot from 25 ft,,2-11,,
8:33.0,,,2-11,,Defensive rebound by N. Hilario
8:29.0,,,2-11,,Shooting foul by T. Duncan (drawn by O. Porter)
8:29.0,,,2-12,1,O. Porter makes free throw 1 of 2
8:29.0,,,2-13,1,O. Porter makes free throw 2 of 2
8:08.0,T. Parker misses 2-pt shot from 18 ft,,2-13,,
8:07.0,,,2-13,,Defensive rebound by O. Porter
7:59.0,,,2-15,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
7:31.0,D. Green misses 3-pt shot from 23 ft,,2-15,,
7:29.0,,,2-15,,Defensive rebound by K. Humphries
7:23.0,,,2-17,2,B. Beal makes 2-pt shot from 9 ft (assist by J. Wall)
7:13.0,K. Leonard misses 2-pt shot from 14 ft,,2-17,,
7:12.0,,,2-17,,Defensive rebound by B. Beal
7:09.0,,,2-19,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
6:51.0,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan),2,4-19,,
6:32.0,,,4-19,,K. Humphries misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by T. Duncan,,4-19,,
6:12.0,T. Parker makes 2-pt shot from 20 ft (assist by T. Duncan),2,6-19,,
5:48.0,,,6-19,,K. Humphries misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by T. Duncan,,6-19,,
5:37.0,L. Aldridge makes 2-pt shot at rim,2,8-19,,
5:27.0,Personal take foul by T. Parker (drawn by J. Wall),,8-19,,
5:27.0,,,8-19,,D. Gooden enters the game for K. Humphries
5:27.0,B. Diaw enters the game for T. Duncan,,8-19,,
5:27.0,M. Ginobili enters the game for D. Green,,8-19,,
5:27.0,P. Mills enters the game for T. Parker,,8-19,,
5:17.0,,,8-19,,J. Wall misses 2-pt shot from 19 ft
5:16.0,Defensive rebound by K. Leonard,,8-19,,
4:58.0,L. Aldridge misses 2-pt shot from 18 ft,,8-19,,
4:57.0,,,8-19,,Defensive rebound by J. Wall
4:39.0,,,8-19,,D. Gooden misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by K. Leonard,,8-19,,
4:23.0,K. Leonard makes 2-pt shot from 16 ft,2,10-19,,
4:08.0,,,10-19,,B. Beal misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by L. Aldridge,,10-19,,
3:51.0,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge),3,13-19,,
3:50.0,,,13-19,,Washington full timeout
3:50.0,,,13-19,,R. Sessions enters the game for J. Wall
3:37.0,,,13-19,,O. Porter misses 2-pt shot from 20 ft
3:36.0,Defensive rebound by L. Aldridge,,13-19,,
3:21.0,L. Aldridge makes 2-pt shot from 1 ft,2,15-19,,
3:12.0,,,15-19,,Offensive foul by N. Hilario
3:12.0,,,15-19,,Turnover by N. Hilario (offensive foul)
2:56.0,L. Aldridge misses 2-pt shot from 9 ft,,15-19,,
2:55.0,,,15-19,,Defensive rebound by N. Hilario
2:54.0,,,15-19,,Turnover by N. Hilario (bad pass)
