time,Milwaukee,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. G. Monroe (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. G. Monroe (S. Ibaka gains possession)
11:38.0,,,0-0,,S. Ibaka misses 2-pt shot at rim
11:38.0,Defensive rebound by G. Monroe,,0-0,,
11:24.0,J. Parker misses 2-pt shot at rim (block by S. Adams),,0-0,,
11:23.0,Offensive rebound by J. Parker,,0-0,,
11:20.0,J. Parker misses 2-pt shot from 3 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by S. Ibaka
11:13.0,,,0-2,2,R. Westbrook makes 2-pt shot from 9 ft
11:03.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,2-2,,
10:45.0,,,2-2,,S. Ibaka misses 2-pt shot from 16 ft
10:44.0,Defensive rebound by G. Monroe,,2-2,,
10:29.0,J. Parker makes 2-pt shot from 15 ft (assist by K. Middleton),2,4-2,,
10:11.0,,,4-2,,K. Durant misses 2-pt shot from 17 ft
10:10.0,Defensive rebound by G. Monroe,,4-2,,
10:04.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-2,,
9:49.0,,,6-2,,Turnover by K. Durant (lost ball; steal by G. Monroe)
9:46.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,8-2,,
9:35.0,,,8-2,,R. Westbrook misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by G. Monroe,,8-2,,
9:28.0,K. Middleton misses 3-pt shot from 24 ft,,8-2,,
9:27.0,,,8-2,,Defensive rebound by K. Durant
9:22.0,,,8-4,2,R. Westbrook makes 2-pt shot from 11 ft (assist by K. Durant)
9:07.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,8-4,,
9:06.0,,,8-4,,Defensive rebound by R. Westbrook
9:01.0,,,8-4,,Turnover by R. Westbrook (lost ball)
8:45.0,Turnover by K. Middleton (bad pass; steal by R. Westbrook),,8-4,,
8:40.0,,,8-6,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:28.0,M. Carter-Williams misses 2-pt shot from 3 ft,,8-6,,
8:27.0,Offensive rebound by J. Parker,,8-6,,
8:24.0,J. Parker misses 2-pt shot from 1 ft (block by S. Adams),,8-6,,
8:23.0,,,8-6,,Defensive rebound by R. Westbrook
8:20.0,,,8-6,,R. Westbrook misses 2-pt shot from 1 ft
8:19.0,Defensive rebound by G. Antetokounmpo,,8-6,,
8:08.0,G. Monroe makes 2-pt shot from 1 ft,2,10-6,,
7:50.0,,,10-6,,A. Roberson misses 2-pt shot from 1 ft
7:49.0,,,10-6,,Offensive rebound by S. Adams
7:49.0,,,10-8,2,S. Adams makes 2-pt shot at rim
7:31.0,Turnover by G. Antetokounmpo (bad pass; steal by S. Adams),,10-8,,
7:22.0,,,10-8,,K. Durant misses 3-pt shot from 24 ft
