time,Charlotte,pts.away,score,pts.home,Oklahoma City
3:29.0,,,86-105,2,C. Payne makes 2-pt shot from 5 ft
3:29.0,,,86-105,,Shooting foul by B. Roberts (drawn by C. Payne)
3:29.0,A. Harrison enters the game for J. Lin,,86-105,,
3:29.0,,,86-105,,C. Payne misses free throw 1 of 1
3:29.0,Defensive rebound by A. Harrison,,86-105,,
3:18.0,Shooting foul by S. Ibaka (drawn by F. Kaminsky),,86-105,,
3:18.0,,,86-105,,Technical foul by S. Ibaka (drawn by F. Kaminsky)
3:18.0,B. Roberts makes technical free throw,1,87-105,,
3:18.0,F. Kaminsky misses free throw 1 of 2,,87-105,,
3:18.0,Offensive rebound by Team,,87-105,,
3:18.0,,,87-105,,M. McGary enters the game for S. Ibaka
3:18.0,F. Kaminsky makes free throw 2 of 2,1,88-105,,
3:09.0,,,88-105,,Turnover by D. Waiters (lost ball; steal by T. Hansbrough)
2:53.0,F. Kaminsky makes 2-pt shot from 5 ft,2,90-105,,
2:52.0,,,90-105,,Oklahoma City full timeout
2:39.0,,,90-107,2,M. McGary makes 2-pt shot from 1 ft
2:39.0,,,90-107,,D. Waiters misses 2-pt shot from 1 ft
2:39.0,,,90-107,,Offensive rebound by M. McGary
2:23.0,T. Hansbrough misses 2-pt shot from 4 ft (block by M. McGary),,90-107,,
2:22.0,,,90-107,,Defensive rebound by D. Waiters
2:14.0,,,90-109,2,M. McGary makes 2-pt shot at rim (assist by D. Waiters)
1:53.0,F. Kaminsky misses 2-pt shot from 1 ft,,90-109,,
1:52.0,,,90-109,,Defensive rebound by Team
1:35.0,,,90-109,,M. McGary misses 3-pt shot from 25 ft
1:35.0,,,90-109,,Offensive rebound by Team
1:35.0,Loose ball foul by T. Hansbrough (drawn by E. Kanter),,90-109,,
1:31.0,,,90-109,,Turnover by D. Waiters (traveling)
1:23.0,T. Daniels makes 2-pt shot from 20 ft (assist by B. Roberts),2,92-109,,
1:05.0,,,92-109,,Turnover by E. Kanter (lost ball)
0:59.0,,,92-109,,Violation by C. Payne (kicked ball)
0:46.0,Turnover by T. Daniels (bad pass; steal by D. Waiters),,92-109,,
0:25.0,,,92-109,,Turnover by D. Waiters (bad pass; steal by A. Harrison)
0:19.0,T. Daniels makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,95-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
