time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: A. Horford vs. A. Jefferson (K. Walker gains possession)
11:39.0,Violation by K. Korver (kicked ball),,0-0,,
11:31.0,,,0-0,,P. Hairston misses 3-pt shot from 26 ft
11:30.0,,,0-0,,Offensive rebound by N. Batum
11:25.0,,,0-3,3,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum)
11:01.0,K. Korver misses 2-pt shot from 15 ft,,0-3,,
10:59.0,,,0-3,,Defensive rebound by A. Jefferson
10:50.0,,,0-6,3,N. Batum makes 3-pt shot from 25 ft
10:30.0,K. Korver makes 2-pt shot from 21 ft (assist by P. Millsap),2,2-6,,
10:16.0,,,2-9,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
10:00.0,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap),3,5-9,,
9:38.0,,,5-11,2,A. Jefferson makes 2-pt shot from 12 ft (assist by N. Batum)
9:18.0,K. Bazemore makes 2-pt shot from 2 ft,2,7-11,,
8:58.0,,,7-11,,M. Williams misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by A. Horford,,7-11,,
8:42.0,Turnover by A. Horford (traveling),,7-11,,
8:29.0,,,7-11,,Turnover by K. Walker (bad pass; steal by K. Bazemore)
8:21.0,P. Millsap misses 3-pt shot from 25 ft,,7-11,,
8:19.0,,,7-11,,Defensive rebound by P. Hairston
8:13.0,,,7-11,,Turnover by K. Walker (lost ball; steal by J. Teague)
8:08.0,J. Teague makes 2-pt shot from 8 ft,2,9-11,,
7:49.0,,,9-11,,A. Jefferson misses 2-pt shot from 11 ft
7:48.0,Defensive rebound by J. Teague,,9-11,,
7:39.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,11-11,,
7:25.0,,,11-11,,M. Williams misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by Team,,11-11,,
7:24.0,Atlanta full timeout,,11-11,,
7:11.0,P. Millsap makes 2-pt shot from 12 ft (assist by A. Horford),2,13-11,,
6:47.0,,,13-11,,A. Jefferson misses 2-pt shot from 3 ft (block by A. Horford)
6:46.0,,,13-11,,Offensive rebound by K. Walker
6:40.0,,,13-14,3,M. Williams makes 3-pt shot from 25 ft (assist by A. Jefferson)
6:32.0,J. Teague misses 2-pt shot from 21 ft,,13-14,,
6:31.0,,,13-14,,Defensive rebound by A. Jefferson
6:22.0,,,13-14,,M. Williams misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by K. Bazemore,,13-14,,
6:14.0,J. Teague misses 2-pt shot from 2 ft (block by M. Williams),,13-14,,
6:12.0,,,13-14,,Defensive rebound by A. Jefferson
5:55.0,,,13-14,,P. Hairston misses 3-pt shot from 27 ft
5:52.0,Defensive rebound by J. Teague,,13-14,,
5:44.0,K. Bazemore makes 2-pt shot at rim,2,15-14,,
5:25.0,,,15-14,,Turnover by N. Batum (lost ball; steal by K. Bazemore)
5:13.0,K. Bazemore misses 3-pt shot from 24 ft,,15-14,,
5:12.0,,,15-14,,Defensive rebound by A. Jefferson
4:59.0,,,15-14,,Turnover by N. Batum (bad pass)
4:59.0,,,15-14,,C. Zeller enters the game for M. Williams
4:59.0,T. Splitter enters the game for K. Bazemore,,15-14,,
4:44.0,P. Millsap makes 2-pt shot from 7 ft,2,17-14,,
4:26.0,L. Patterson enters the game for A. Horford,,17-14,,
4:26.0,D. Schroder enters the game for J. Teague,,17-14,,
4:26.0,T. Sefolosha enters the game for K. Korver,,17-14,,
4:18.0,,,17-14,,N. Batum misses 2-pt shot from 13 ft
4:16.0,Defensive rebound by P. Millsap,,17-14,,
4:09.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,19-14,,
3:52.0,,,19-14,,A. Jefferson misses 2-pt shot from 16 ft
3:51.0,Defensive rebound by P. Millsap,,19-14,,
3:34.0,T. Splitter makes 2-pt shot from 1 ft (assist by P. Millsap),2,21-14,,
3:34.0,,,21-14,,Charlotte full timeout
