time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession)
11:49.0,K. Thompson misses 2-pt shot from 15 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by M. Plumlee
11:39.0,,,0-0,,D. Lillard misses 2-pt shot from 22 ft
11:38.0,Defensive rebound by B. Rush,,0-0,,
11:24.0,Turnover by D. Green (bad pass; steal by A. Aminu),,0-0,,
11:10.0,,,0-0,,N. Vonleh misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by Team,,0-0,,
11:00.0,S. Curry makes 3-pt shot from 22 ft (assist by D. Green),3,3-0,,
10:36.0,,,3-0,,Shooting foul by B. Rush (drawn by A. Aminu)
10:36.0,,,3-0,,A. Aminu misses free throw 1 of 2
10:36.0,,,3-0,,Offensive rebound by Team
10:36.0,,,3-1,1,A. Aminu makes free throw 2 of 2
10:20.0,K. Thompson misses 2-pt shot from 20 ft,,3-1,,
10:18.0,,,3-1,,Defensive rebound by A. Aminu
10:06.0,,,3-1,,C. McCollum misses 2-pt shot from 5 ft
10:05.0,Defensive rebound by A. Bogut,,3-1,,
9:49.0,S. Curry makes 2-pt shot from 13 ft,2,5-1,,
9:36.0,,,5-1,,C. McCollum misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by D. Green,,5-1,,
9:29.0,D. Green makes 2-pt shot from 2 ft,2,7-1,,
9:08.0,,,7-1,,N. Vonleh misses 2-pt shot from 18 ft
9:07.0,Defensive rebound by S. Curry,,7-1,,
8:56.0,S. Curry misses 2-pt shot from 20 ft,,7-1,,
8:55.0,,,7-1,,Defensive rebound by A. Aminu
8:48.0,,,7-1,,M. Plumlee misses 2-pt shot from 3 ft
8:47.0,Defensive rebound by A. Bogut,,7-1,,
8:32.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,9-1,,
8:18.0,,,9-1,,Shooting foul by A. Bogut (drawn by M. Plumlee)
8:18.0,,,9-1,,M. Plumlee misses free throw 1 of 2
8:18.0,,,9-1,,Offensive rebound by Team
8:18.0,,,9-2,1,M. Plumlee makes free throw 2 of 2
8:05.0,S. Curry misses 3-pt shot from 22 ft,,9-2,,
8:04.0,,,9-2,,Defensive rebound by N. Vonleh
7:56.0,,,9-2,,D. Lillard misses 2-pt shot from 16 ft
7:55.0,,,9-2,,Offensive rebound by D. Lillard
7:53.0,,,9-2,,D. Lillard misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by A. Bogut,,9-2,,
7:45.0,B. Rush makes 3-pt shot from 22 ft (assist by K. Thompson),3,12-2,,
7:44.0,,,12-2,,Portland full timeout
7:28.0,,,12-2,,A. Aminu misses 3-pt shot from 24 ft
7:25.0,,,12-2,,Offensive rebound by N. Vonleh
7:13.0,,,12-4,2,A. Aminu makes 2-pt shot from 9 ft (assist by D. Lillard)
6:56.0,S. Curry misses 3-pt shot from 24 ft,,12-4,,
6:55.0,,,12-4,,Defensive rebound by A. Aminu
6:43.0,,,12-4,,C. McCollum misses 2-pt shot from 20 ft
6:41.0,Defensive rebound by K. Thompson,,12-4,,
6:30.0,B. Rush makes 3-pt shot from 22 ft (assist by K. Thompson),3,15-4,,
6:19.0,,,15-6,2,D. Lillard makes 2-pt shot from 19 ft
6:01.0,B. Rush misses 2-pt shot from 19 ft,,15-6,,
6:00.0,,,15-6,,Defensive rebound by N. Vonleh
5:42.0,,,15-6,,C. McCollum misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by S. Curry,,15-6,,
5:34.0,S. Curry makes 2-pt shot from 1 ft,2,17-6,,
5:12.0,,,17-6,,C. McCollum misses 2-pt shot from 3 ft
5:11.0,Defensive rebound by A. Bogut,,17-6,,
5:05.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,19-6,,
4:43.0,,,19-6,,M. Plumlee misses 2-pt shot from 2 ft (block by A. Bogut)
4:43.0,,,19-6,,Offensive rebound by Team
4:43.0,A. Iguodala enters the game for B. Rush,,19-6,,
4:43.0,,,19-6,,M. Harkless enters the game for A. Aminu
4:43.0,,,19-6,,M. Leonard enters the game for N. Vonleh
4:43.0,,,19-6,,A. Crabbe enters the game for C. McCollum
