time,Milwaukee,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. K. Towns (R. Rubio gains possession),,,,Jump ball: G. Monroe vs. K. Towns (R. Rubio gains possession)
11:47.0,,,0-2,2,A. Wiggins makes 2-pt shot at rim (assist by K. Garnett)
11:33.0,,,0-2,,Def 3 sec tech foul by A. Wiggins
11:33.0,K. Middleton misses technical free throw,,0-2,,
11:33.0,Offensive rebound by Team,,0-2,,
11:24.0,M. Carter-Williams misses 2-pt shot from 11 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by K. Garnett
11:13.0,,,0-2,,K. Towns misses 2-pt shot from 17 ft
11:12.0,,,0-2,,Offensive rebound by A. Wiggins
11:11.0,,,0-2,,A. Wiggins misses 2-pt shot from 2 ft
11:09.0,,,0-2,,Offensive rebound by K. Towns
11:01.0,,,0-4,2,A. Wiggins makes 2-pt shot at rim (assist by K. Garnett)
10:42.0,K. Middleton misses 3-pt shot from 23 ft,,0-4,,
10:41.0,,,0-4,,Defensive rebound by R. Rubio
10:27.0,,,0-4,,A. Wiggins misses 3-pt shot from 23 ft
10:26.0,Defensive rebound by G. Monroe,,0-4,,
10:16.0,,,0-4,,Personal block foul by A. Wiggins (drawn by G. Antetokounmpo)
10:04.0,Turnover by J. Parker (lost ball; steal by T. Prince),,0-4,,
10:00.0,,,0-4,,A. Wiggins misses 2-pt shot from 1 ft (block by M. Carter-Williams)
9:59.0,,,0-4,,Offensive rebound by Team
9:51.0,,,0-4,,R. Rubio misses 2-pt shot from 19 ft
9:50.0,Defensive rebound by K. Middleton,,0-4,,
9:39.0,G. Antetokounmpo misses 2-pt shot at rim,,0-4,,
9:37.0,,,0-4,,Defensive rebound by K. Garnett
9:23.0,,,0-6,2,K. Garnett makes 2-pt shot from 5 ft (assist by K. Towns)
9:00.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,0-6,,
8:59.0,,,0-6,,Defensive rebound by K. Garnett
8:45.0,,,0-6,,K. Towns misses 2-pt shot from 1 ft
8:43.0,Defensive rebound by Team,,0-6,,
8:34.0,Shooting foul by A. Wiggins (drawn by J. Parker),,0-6,,
8:34.0,J. Parker makes free throw 1 of 2,1,1-6,,
8:34.0,,,1-6,,S. Muhammad enters the game for A. Wiggins
8:34.0,J. Parker makes free throw 2 of 2,1,2-6,,
8:22.0,,,2-8,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
8:11.0,Turnover by G. Antetokounmpo (bad pass; steal by R. Rubio),,2-8,,
7:57.0,,,2-10,2,K. Garnett makes 2-pt shot from 10 ft (assist by R. Rubio)
7:48.0,Milwaukee full timeout,,2-10,,
7:38.0,J. Parker misses 2-pt shot from 19 ft,,2-10,,
7:37.0,,,2-10,,Defensive rebound by K. Garnett
7:24.0,Def 3 sec tech foul by G. Antetokounmpo,,2-10,,
7:24.0,,,2-11,1,R. Rubio makes technical free throw
7:10.0,,,2-11,,K. Towns misses 2-pt shot from 10 ft
7:09.0,Defensive rebound by G. Antetokounmpo,,2-11,,
7:00.0,M. Carter-Williams misses 2-pt shot from 1 ft,,2-11,,
6:59.0,,,2-11,,Defensive rebound by K. Towns
6:55.0,Violation by G. Antetokounmpo (def goaltending),,2-11,,
6:55.0,,,2-13,2,S. Muhammad makes 2-pt shot from 2 ft (assist by R. Rubio)
6:55.0,O. Mayo enters the game for G. Antetokounmpo,,2-13,,
6:38.0,Shooting foul by R. Rubio (drawn by K. Middleton),,2-13,,
6:38.0,K. Middleton makes free throw 1 of 2,1,3-13,,
6:38.0,J. Henson enters the game for G. Monroe,,3-13,,
6:38.0,K. Middleton makes free throw 2 of 2,1,4-13,,
6:27.0,,,4-15,2,S. Muhammad makes 2-pt shot from 20 ft (assist by R. Rubio)
6:09.0,O. Mayo misses 2-pt shot from 2 ft,,4-15,,
6:08.0,,,4-15,,Defensive rebound by S. Muhammad
5:53.0,,,4-15,,K. Towns misses 2-pt shot from 7 ft
5:52.0,Defensive rebound by M. Carter-Williams,,4-15,,
5:41.0,M. Carter-Williams misses 2-pt shot from 17 ft,,4-15,,
5:39.0,,,4-15,,Defensive rebound by R. Rubio
5:38.0,Personal foul by O. Mayo (drawn by S. Muhammad),,4-15,,
5:38.0,,,4-15,,G. Dieng enters the game for K. Garnett
5:18.0,,,4-17,2,S. Muhammad makes 2-pt shot from 7 ft (assist by T. Prince)
5:18.0,,,4-17,,Shooting foul by O. Mayo (drawn by S. Muhammad)
5:18.0,,,4-18,1,S. Muhammad makes free throw 1 of 1
4:58.0,K. Middleton misses 2-pt shot from 12 ft,,4-18,,
4:57.0,Offensive rebound by J. Henson,,4-18,,
4:56.0,Shooting foul by S. Muhammad (drawn by J. Henson),,4-18,,
4:56.0,J. Henson misses free throw 1 of 2,,4-18,,
4:56.0,Offensive rebound by Team,,4-18,,
4:56.0,J. Henson makes free throw 2 of 2,1,5-18,,
4:36.0,,,5-18,,K. Towns misses 2-pt shot from 20 ft
4:35.0,Defensive rebound by M. Carter-Williams,,5-18,,
4:30.0,O. Mayo misses 2-pt shot from 1 ft (block by K. Towns),,5-18,,
4:28.0,,,5-18,,Defensive rebound by R. Rubio
