time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Kaman (D. Lillard gains possession),,,,Jump ball: M. Gasol vs. C. Kaman (D. Lillard gains possession)
11:41.0,Shooting foul by T. Allen (drawn by C. McCollum),,0-0,,
11:41.0,C. McCollum makes free throw 1 of 2,1,1-0,,
11:41.0,C. McCollum makes free throw 2 of 2,1,2-0,,
11:25.0,,,2-2,2,M. Conley makes 2-pt shot from 15 ft (assist by M. Gasol)
11:09.0,C. Kaman misses 2-pt shot from 18 ft,,2-2,,
11:08.0,,,2-2,,Defensive rebound by Z. Randolph
10:44.0,,,2-2,,Turnover by Team (shot clock)
10:32.0,A. Aminu misses 3-pt shot from 24 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by Z. Randolph
10:21.0,,,2-2,,Z. Randolph misses 2-pt shot from 13 ft
10:21.0,,,2-2,,Offensive rebound by Team
10:11.0,Personal foul by M. Plumlee (drawn by M. Conley),,2-2,,
10:04.0,,,2-2,,M. Conley misses 2-pt shot from 11 ft
10:01.0,Defensive rebound by M. Plumlee,,2-2,,
9:49.0,Turnover by C. McCollum (turnover),,2-2,,
9:27.0,,,2-2,,Z. Randolph misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by C. McCollum,,2-2,,
9:18.0,C. McCollum makes 2-pt shot from 18 ft,2,4-2,,
9:07.0,,,4-2,,T. Allen misses 2-pt shot from 3 ft (block by M. Plumlee)
9:07.0,,,4-2,,Offensive rebound by Team
9:02.0,,,4-2,,C. Lee misses 2-pt shot from 17 ft
9:00.0,Defensive rebound by C. Kaman,,4-2,,
8:52.0,D. Lillard makes 2-pt shot from 3 ft,2,6-2,,
8:41.0,,,6-4,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
8:16.0,C. McCollum makes 2-pt shot from 2 ft (assist by C. Kaman),2,8-4,,
8:05.0,Personal foul by M. Plumlee (drawn by M. Gasol),,8-4,,
8:05.0,E. Davis enters the game for M. Plumlee,,8-4,,
7:55.0,,,8-6,2,C. Lee makes 2-pt shot from 3 ft
7:40.0,C. Kaman makes 2-pt shot from 17 ft (assist by E. Davis),2,10-6,,
7:25.0,,,10-8,2,M. Gasol makes 2-pt shot from 17 ft (assist by Z. Randolph)
7:07.0,,,10-8,,Violation by Z. Randolph (kicked ball)
6:55.0,Turnover by C. Kaman (bad pass; steal by Z. Randolph),,10-8,,
6:44.0,,,10-8,,T. Allen misses 2-pt shot from 3 ft
6:44.0,Defensive rebound by C. Kaman,,10-8,,
6:32.0,C. Kaman makes 2-pt shot from 17 ft (assist by D. Lillard),2,12-8,,
6:10.0,,,12-8,,M. Gasol misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by A. Aminu,,12-8,,
6:03.0,A. Aminu makes 2-pt shot at rim,2,14-8,,
5:59.0,,,14-8,,Memphis full timeout
5:59.0,A. Crabbe enters the game for C. McCollum,,14-8,,
5:59.0,,,14-8,,J. Green enters the game for T. Allen
5:45.0,,,14-8,,M. Conley misses 2-pt shot from 18 ft
5:43.0,Defensive rebound by A. Crabbe,,14-8,,
5:36.0,Turnover by C. Kaman (back court),,14-8,,
5:21.0,,,14-8,,Z. Randolph misses 2-pt shot from 3 ft
5:19.0,Defensive rebound by A. Aminu,,14-8,,
5:15.0,Turnover by D. Lillard (bad pass; steal by J. Green),,14-8,,
5:05.0,,,14-8,,Shooting foul by A. Crabbe (drawn by C. Lee)
5:05.0,,,14-9,1,C. Lee makes free throw 1 of 2
5:05.0,,,14-10,1,C. Lee makes free throw 2 of 2
4:52.0,,,14-10,,Personal foul by J. Green (drawn by A. Aminu)
4:52.0,M. Harkless enters the game for A. Aminu,,14-10,,
4:49.0,D. Lillard misses 2-pt shot from 20 ft,,14-10,,
4:49.0,Offensive rebound by Team,,14-10,,
4:49.0,,,14-10,,Loose ball foul by M. Gasol (drawn by C. Kaman)
4:33.0,M. Harkless misses 2-pt shot from 5 ft,,14-10,,
4:32.0,,,14-10,,Defensive rebound by Team
4:32.0,,,14-10,,J. Green enters the game for Z. Randolph
4:13.0,,,14-12,2,J. Green makes 2-pt shot from 9 ft
3:51.0,D. Lillard makes 2-pt shot from 2 ft,2,16-12,,
3:29.0,,,16-12,,C. Lee misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by C. Kaman,,16-12,,
3:17.0,D. Lillard misses 2-pt shot from 3 ft,,16-12,,
3:16.0,,,16-12,,Defensive rebound by J. Green
3:10.0,,,16-14,2,J. Green makes 2-pt shot from 6 ft
3:10.0,Portland full timeout,,16-14,,
3:10.0,C. McCollum enters the game for C. Kaman,,16-14,,
3:10.0,N. Vonleh enters the game for D. Lillard,,16-14,,
3:10.0,,,16-14,,M. Barnes enters the game for C. Lee
3:10.0,,,16-14,,M. Chalmers enters the game for M. Conley
3:03.0,E. Davis makes 2-pt shot from 5 ft (assist by C. McCollum),2,18-14,,
3:03.0,Shooting foul by M. Gasol (drawn by E. Davis),,18-14,,
3:03.0,E. Davis makes free throw 1 of 1,1,19-14,,
2:51.0,,,19-14,,J. Green misses 2-pt shot from 12 ft
2:48.0,Defensive rebound by E. Davis,,19-14,,
2:25.0,M. Harkless misses 3-pt shot from 23 ft,,19-14,,
2:24.0,,,19-14,,Defensive rebound by M. Gasol
2:16.0,,,19-16,2,J. Green makes 2-pt shot from 16 ft (assist by M. Chalmers)
1:58.0,A. Crabbe makes 3-pt shot from 23 ft (assist by M. Harkless),3,22-16,,
1:36.0,,,22-16,,Shooting foul by N. Vonleh (drawn by M. Gasol)
1:36.0,,,22-17,1,M. Gasol makes free throw 1 of 2
1:36.0,,,22-18,1,M. Gasol makes free throw 2 of 2
1:22.0,Turnover by C. McCollum (lost ball; steal by M. Chalmers),,22-18,,
1:10.0,,,22-20,2,M. Gasol makes 2-pt shot from 2 ft
1:01.0,,,22-20,,Violation by M. Gasol (kicked ball)
0:53.0,C. McCollum misses 3-pt shot from 25 ft,,22-20,,
0:52.0,Offensive rebound by E. Davis,,22-20,,
0:50.0,E. Davis makes 2-pt shot from 1 ft,2,24-20,,
0:42.0,,,24-20,,M. Gasol misses 2-pt shot at rim (block by E. Davis)
0:39.0,Defensive rebound by C. McCollum,,24-20,,
0:37.0,Turnover by A. Crabbe (bad pass; steal by M. Chalmers),,24-20,,
0:29.0,,,24-23,3,M. Barnes makes 3-pt shot from 24 ft (assist by J. Green)
0:08.0,C. McCollum misses 2-pt shot from 11 ft,,24-23,,
0:08.0,Offensive rebound by E. Davis,,24-23,,
0:08.0,Jump ball: M. Chalmers vs. E. Davis (C. McCollum gains possession),,,,Jump ball: M. Chalmers vs. E. Davis (C. McCollum gains possession)
0:00.0,C. McCollum misses 2-pt shot from 20 ft,,24-23,,
0:00.0,Offensive rebound by M. Harkless,,24-23,,
0:00.0,M. Harkless misses 2-pt shot from 2 ft,,24-23,,
0:00.0,Offensive rebound by Team,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-26,3,M. Chalmers makes 3-pt shot from 23 ft (assist by C. Lee)
11:20.0,Turnover by C. McCollum (lost ball),,24-26,,
11:03.0,,,24-26,,C. Lee misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by Team,,24-26,,
10:37.0,G. Henderson makes 3-pt shot from 24 ft,3,27-26,,
10:18.0,,,27-26,,Shooting foul by C. McCollum (drawn by M. Chalmers)
10:18.0,,,27-27,1,M. Chalmers makes free throw 1 of 2
10:18.0,,,27-28,1,M. Chalmers makes free throw 2 of 2
10:08.0,Turnover by G. Henderson (traveling),,27-28,,
9:56.0,,,27-28,,Turnover by J. Green (traveling)
9:42.0,Turnover by C. McCollum (lost ball; steal by M. Chalmers),,27-28,,
9:36.0,,,27-28,,M. Chalmers misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by C. McCollum,,27-28,,
9:27.0,Shooting foul by J. Green (drawn by C. McCollum),,27-28,,
9:27.0,C. McCollum makes free throw 1 of 2,1,28-28,,
9:27.0,C. McCollum makes free throw 2 of 2,1,29-28,,
9:11.0,,,29-28,,Shooting foul by N. Vonleh (drawn by J. Green)
9:11.0,,,29-29,1,J. Green makes free throw 1 of 2
9:11.0,,,29-30,1,J. Green makes free throw 2 of 2
9:01.0,Shooting foul by J. Green (drawn by M. Harkless),,29-30,,
9:01.0,M. Harkless makes free throw 1 of 2,1,30-30,,
9:01.0,M. Harkless misses free throw 2 of 2,,30-30,,
9:00.0,,,30-30,,Defensive rebound by J. Green
8:50.0,,,30-32,2,M. Chalmers makes 2-pt shot from 2 ft
8:37.0,G. Henderson misses 3-pt shot from 23 ft,,30-32,,
8:35.0,,,30-32,,Defensive rebound by M. Barnes
8:21.0,,,30-32,,J. Green misses 2-pt shot from 2 ft (block by C. McCollum)
8:20.0,,,30-32,,Offensive rebound by J. Green
8:18.0,,,30-34,2,J. Green makes 2-pt shot from 2 ft
8:18.0,Portland full timeout,,30-34,,
8:18.0,D. Lillard enters the game for C. McCollum,,30-34,,
8:18.0,A. Aminu enters the game for N. Vonleh,,30-34,,
8:18.0,,,30-34,,Z. Randolph enters the game for J. Green
8:03.0,,,30-34,,Personal foul by Z. Randolph (drawn by D. Lillard)
8:00.0,Shooting foul by M. Barnes (drawn by M. Harkless),,30-34,,
8:00.0,M. Harkless makes free throw 1 of 2,1,31-34,,
8:00.0,M. Harkless makes free throw 2 of 2,1,32-34,,
7:44.0,,,32-34,,Turnover by Z. Randolph (bad pass; steal by A. Aminu)
7:29.0,A. Aminu misses 2-pt shot from 5 ft,,32-34,,
7:28.0,,,32-34,,Defensive rebound by Z. Randolph
7:13.0,,,32-34,,Z. Randolph misses 2-pt shot from 4 ft
7:11.0,Defensive rebound by M. Plumlee,,32-34,,
7:04.0,D. Lillard makes 2-pt shot from 3 ft,2,34-34,,
6:57.0,,,34-34,,Memphis full timeout
6:57.0,,,34-34,,T. Allen enters the game for J. Green
6:57.0,,,34-34,,M. Gasol enters the game for M. Barnes
6:57.0,,,34-34,,M. Conley enters the game for M. Chalmers
6:48.0,,,34-34,,M. Conley misses 2-pt shot from 12 ft
6:45.0,Defensive rebound by D. Lillard,,34-34,,
6:35.0,A. Aminu misses 2-pt shot from 2 ft,,34-34,,
6:35.0,Offensive rebound by A. Aminu,,34-34,,
6:33.0,A. Aminu makes 2-pt shot at rim,2,36-34,,
6:15.0,,,36-36,2,M. Gasol makes 2-pt shot from 3 ft (assist by M. Conley)
5:57.0,G. Henderson misses 2-pt shot from 15 ft,,36-36,,
5:55.0,,,36-36,,Defensive rebound by T. Allen
5:44.0,,,36-36,,M. Gasol misses 2-pt shot from 14 ft
5:42.0,,,36-36,,Offensive rebound by T. Allen
5:39.0,,,36-36,,T. Allen misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by A. Aminu,,36-36,,
5:30.0,Shooting foul by M. Conley (drawn by M. Plumlee),,36-36,,
5:30.0,M. Plumlee makes free throw 1 of 2,1,37-36,,
5:30.0,C. Kaman enters the game for M. Harkless,,37-36,,
5:30.0,M. Plumlee makes free throw 2 of 2,1,38-36,,
5:14.0,,,38-38,2,M. Conley makes 2-pt shot from 22 ft (assist by Z. Randolph)
5:04.0,D. Lillard makes 2-pt shot from 1 ft,2,40-38,,
4:42.0,,,40-38,,Turnover by Z. Randolph (lost ball; steal by D. Lillard)
4:39.0,Turnover by G. Henderson (traveling),,40-38,,
4:39.0,,,40-38,,J. Green enters the game for C. Lee
4:22.0,,,40-38,,Shooting foul by C. Kaman (drawn by M. Gasol)
4:22.0,,,40-39,1,M. Gasol makes free throw 1 of 2
4:22.0,C. McCollum enters the game for G. Henderson,,40-39,,
4:22.0,,,40-40,1,M. Gasol makes free throw 2 of 2
4:04.0,D. Lillard misses 3-pt shot from 26 ft,,40-40,,
4:03.0,Offensive rebound by M. Plumlee,,40-40,,
4:00.0,M. Plumlee makes 2-pt shot at rim,2,42-40,,
3:47.0,,,42-40,,T. Allen misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by M. Plumlee,,42-40,,
3:39.0,Turnover by M. Plumlee (lost ball; steal by Z. Randolph),,42-40,,
3:33.0,,,42-40,,T. Allen misses 2-pt shot from 1 ft
3:30.0,Defensive rebound by A. Aminu,,42-40,,
3:14.0,Shooting foul by Z. Randolph (drawn by A. Aminu),,42-40,,
3:14.0,A. Aminu makes free throw 1 of 2,1,43-40,,
3:14.0,,,43-40,,J. Green enters the game for Z. Randolph
3:14.0,,,43-40,,M. Chalmers enters the game for T. Allen
3:14.0,A. Aminu makes free throw 2 of 2,1,44-40,,
3:01.0,,,44-42,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
2:36.0,C. McCollum makes 3-pt shot from 23 ft (assist by C. Kaman),3,47-42,,
2:21.0,,,47-44,2,J. Green makes 2-pt shot from 17 ft (assist by M. Conley)
1:56.0,M. Plumlee misses 2-pt shot from 1 ft,,47-44,,
1:56.0,,,47-44,,Defensive rebound by M. Chalmers
1:48.0,,,47-46,2,M. Chalmers makes 2-pt shot from 7 ft
1:32.0,,,47-46,,Personal foul by J. Green (drawn by A. Aminu)
1:32.0,Portland full timeout,,47-46,,
1:32.0,A. Aminu makes free throw 1 of 2,1,48-46,,
1:32.0,A. Aminu makes free throw 2 of 2,1,49-46,,
1:19.0,,,49-49,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Chalmers)
1:07.0,Offensive foul by C. McCollum,,49-49,,
1:07.0,Turnover by C. McCollum (offensive foul),,49-49,,
0:51.0,,,49-51,2,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol)
0:44.0,Portland full timeout,,49-51,,
0:44.0,M. Harkless enters the game for C. Kaman,,49-51,,
0:34.0,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard),3,52-51,,
0:15.0,,,52-51,,J. Green misses 3-pt shot from 24 ft (block by A. Aminu)
0:13.0,,,52-51,,Offensive rebound by J. Green
0:13.0,,,52-51,,Shooting foul by M. Plumlee (drawn by J. Green)
0:13.0,,,52-52,1,J. Green makes free throw 1 of 2
0:13.0,E. Davis enters the game for M. Plumlee,,52-52,,
0:13.0,,,52-52,,M. Barnes enters the game for M. Gasol
0:13.0,,,52-53,1,J. Green makes free throw 2 of 2
0:00.0,C. McCollum misses 3-pt shot from 25 ft,,52-53,,
0:00.0,,,52-53,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,52-55,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley)
11:20.0,C. McCollum makes 3-pt shot from 24 ft (assist by C. Kaman),3,55-55,,
10:56.0,,,55-57,2,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley)
10:35.0,C. Kaman misses 2-pt shot from 19 ft,,55-57,,
10:34.0,,,55-57,,Defensive rebound by C. Lee
10:25.0,,,55-57,,M. Gasol misses 2-pt shot from 20 ft
10:24.0,Defensive rebound by M. Plumlee,,55-57,,
10:11.0,D. Lillard misses 3-pt shot from 24 ft,,55-57,,
10:11.0,,,55-57,,Defensive rebound by T. Allen
10:04.0,Personal foul by A. Aminu (drawn by M. Conley),,55-57,,
9:47.0,,,55-57,,M. Conley misses 2-pt shot from 22 ft
9:47.0,Defensive rebound by D. Lillard,,55-57,,
9:37.0,C. McCollum misses 3-pt shot from 25 ft,,55-57,,
9:37.0,,,55-57,,Defensive rebound by M. Gasol
9:29.0,,,55-57,,Shooting foul by A. Aminu (drawn by M. Conley)
9:29.0,,,55-58,1,M. Conley makes free throw 1 of 2
9:29.0,,,55-59,1,M. Conley makes free throw 2 of 2
9:10.0,D. Lillard misses 2-pt shot from 17 ft,,55-59,,
9:06.0,Offensive rebound by M. Plumlee,,55-59,,
9:06.0,M. Plumlee misses 2-pt shot at rim,,55-59,,
9:06.0,,,55-59,,Defensive rebound by T. Allen
9:02.0,,,55-62,3,C. Lee makes 3-pt shot from 25 ft (assist by M. Conley)
8:50.0,Turnover by M. Plumlee (turnover),,55-62,,
8:30.0,,,55-62,,Z. Randolph misses 2-pt shot from 17 ft
8:30.0,Defensive rebound by A. Aminu,,55-62,,
8:24.0,Offensive foul by C. Kaman,,55-62,,
8:24.0,Turnover by C. Kaman (offensive foul),,55-62,,
8:01.0,,,55-62,,C. Lee misses 3-pt shot from 25 ft
8:01.0,,,55-62,,Offensive rebound by M. Conley
8:01.0,,,55-62,,Turnover by Team (shot clock)
7:38.0,Offensive charge foul by A. Aminu,,55-62,,
7:38.0,Turnover by A. Aminu (offensive foul),,55-62,,
7:23.0,,,55-62,,M. Gasol misses 2-pt shot from 1 ft
7:22.0,,,55-62,,Offensive rebound by M. Gasol
7:22.0,,,55-64,2,M. Gasol makes 2-pt shot from 1 ft
7:22.0,Portland full timeout,,55-64,,
7:22.0,E. Davis enters the game for M. Plumlee,,55-64,,
7:15.0,Turnover by C. McCollum (bad pass; steal by T. Allen),,55-64,,
7:00.0,,,55-66,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol)
