time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Davis (Q. Acy gains possession),,,,Jump ball: D. Cousins vs. A. Davis (Q. Acy gains possession)
11:41.0,,,0-2,2,R. Rondo makes 2-pt shot from 3 ft
11:21.0,E. Gordon misses 3-pt shot from 24 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by D. Cousins
11:09.0,,,0-2,,Q. Acy misses 2-pt shot from 14 ft
11:09.0,Defensive rebound by T. Evans,,0-2,,
10:54.0,A. Davis misses 2-pt shot from 17 ft,,0-2,,
10:52.0,Offensive rebound by O. Asik,,0-2,,
10:52.0,O. Asik misses 2-pt shot from 1 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by R. Gay
10:46.0,,,0-4,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
10:31.0,T. Evans misses 3-pt shot from 25 ft,,0-4,,
10:30.0,,,0-4,,Defensive rebound by Team
10:21.0,,,0-4,,D. Cousins misses 2-pt shot from 22 ft
10:20.0,Defensive rebound by T. Evans,,0-4,,
9:57.0,T. Evans misses 2-pt shot from 6 ft,,0-4,,
9:56.0,,,0-4,,Defensive rebound by D. Cousins
9:46.0,,,0-4,,R. Rondo misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by E. Gordon,,0-4,,
9:31.0,O. Asik makes 2-pt shot from 2 ft (assist by E. Gordon),2,2-4,,
9:17.0,,,2-4,,R. Gay misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by E. Gordon,,2-4,,
9:02.0,D. Cunningham makes 3-pt shot from 23 ft (assist by T. Evans),3,5-4,,
8:52.0,Personal foul by O. Asik (drawn by D. Cousins),,5-4,,
8:42.0,,,5-4,,Turnover by R. Rondo (bad pass; steal by A. Davis)
8:37.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,7-4,,
8:18.0,,,7-6,2,R. Gay makes 2-pt shot from 12 ft (assist by Q. Acy)
7:57.0,D. Cunningham makes 3-pt shot from 23 ft (assist by E. Gordon),3,10-6,,
7:42.0,,,10-6,,D. Cousins misses 2-pt shot from 20 ft
7:41.0,Defensive rebound by E. Gordon,,10-6,,
7:33.0,E. Gordon misses 2-pt shot from 4 ft,,10-6,,
7:32.0,Offensive rebound by O. Asik,,10-6,,
7:32.0,O. Asik makes 2-pt shot from 2 ft,2,12-6,,
7:05.0,,,12-8,2,R. Rondo makes 2-pt shot from 6 ft
6:53.0,E. Gordon misses 2-pt shot from 19 ft,,12-8,,
6:52.0,,,12-8,,Defensive rebound by Q. Acy
6:42.0,,,12-8,,D. Cousins misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by A. Davis,,12-8,,
6:27.0,A. Davis misses 2-pt shot from 3 ft (block by Q. Acy),,12-8,,
6:25.0,,,12-8,,Defensive rebound by Q. Acy
6:15.0,,,12-10,2,B. McLemore makes 2-pt shot from 14 ft (assist by R. Rondo)
5:53.0,T. Evans misses 3-pt shot from 25 ft,,12-10,,
5:53.0,,,12-10,,Defensive rebound by R. Rondo
5:41.0,,,12-10,,Turnover by B. McLemore (lost ball; steal by E. Gordon)
5:18.0,A. Davis makes 3-pt shot from 23 ft (assist by T. Evans),3,15-10,,
5:18.0,,,15-10,,Sacramento full timeout
5:18.0,,,15-10,,M. Belinelli enters the game for Q. Acy
5:18.0,,,15-10,,K. Koufos enters the game for B. McLemore
5:18.0,J. Holiday enters the game for T. Evans,,15-10,,
5:01.0,,,15-10,,D. Cousins misses 2-pt shot from 5 ft
5:00.0,Defensive rebound by A. Davis,,15-10,,
4:53.0,E. Gordon makes 2-pt shot from 4 ft (assist by J. Holiday),2,17-10,,
4:38.0,,,17-10,,Turnover by K. Koufos (lost ball; steal by A. Davis)
4:27.0,A. Davis misses 2-pt shot from 3 ft,,17-10,,
4:26.0,Offensive rebound by O. Asik,,17-10,,
4:25.0,O. Asik misses 2-pt shot from 4 ft,,17-10,,
4:22.0,,,17-10,,Defensive rebound by R. Rondo
4:12.0,,,17-10,,R. Rondo misses 2-pt shot from 18 ft
4:11.0,Defensive rebound by O. Asik,,17-10,,
3:54.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Holiday),3,20-10,,
3:37.0,,,20-10,,M. Belinelli misses 2-pt shot from 20 ft
3:37.0,Defensive rebound by O. Asik,,20-10,,
