time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (D. Green gains possession),,,,Jump ball: S. Adams vs. A. Bogut (D. Green gains possession)
11:48.0,S. Curry misses 3-pt shot from 29 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by R. Westbrook
11:31.0,,,0-0,,S. Ibaka misses 3-pt shot from 24 ft
11:31.0,,,0-0,,Offensive rebound by S. Adams
11:25.0,,,0-0,,Shooting foul by D. Green (drawn by S. Adams)
11:25.0,,,0-1,1,S. Adams makes free throw 1 of 2
11:25.0,,,0-2,1,S. Adams makes free throw 2 of 2
11:07.0,K. Thompson makes 2-pt shot from 7 ft,2,2-2,,
10:55.0,,,2-2,,K. Durant misses 2-pt shot from 19 ft
10:54.0,Defensive rebound by S. Curry,,2-2,,
10:41.0,K. Thompson misses 3-pt shot from 23 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by K. Durant
10:23.0,,,2-4,2,S. Ibaka makes 2-pt shot from 1 ft
10:11.0,H. Barnes makes 2-pt shot at rim (assist by A. Bogut),2,4-4,,
9:54.0,Personal foul by A. Bogut,,4-4,,
9:46.0,,,4-4,,Turnover by R. Westbrook (lost ball; steal by K. Thompson)
9:40.0,H. Barnes makes 2-pt shot from 1 ft (assist by K. Thompson),2,6-4,,
9:22.0,,,6-4,,A. Roberson misses 2-pt shot from 1 ft
9:21.0,,,6-4,,Offensive rebound by S. Adams
9:20.0,,,6-4,,S. Adams misses 2-pt shot from 2 ft (block by A. Bogut)
9:20.0,,,6-4,,Offensive rebound by Team
9:16.0,,,6-4,,K. Durant misses 2-pt shot from 11 ft
9:15.0,Defensive rebound by H. Barnes,,6-4,,
9:09.0,Turnover by H. Barnes (lost ball; steal by A. Roberson),,6-4,,
8:57.0,,,6-4,,R. Westbrook misses 2-pt shot from 13 ft
8:57.0,Defensive rebound by A. Bogut,,6-4,,
8:43.0,S. Curry misses 2-pt shot from 1 ft,,6-4,,
8:43.0,,,6-4,,Defensive rebound by Team
8:26.0,,,6-6,2,S. Ibaka makes 2-pt shot from 10 ft (assist by R. Westbrook)
8:17.0,H. Barnes makes 2-pt shot from 14 ft,2,8-6,,
8:05.0,,,8-8,2,K. Durant makes 2-pt shot from 7 ft (assist by R. Westbrook)
7:53.0,Turnover by S. Curry (lost ball; steal by S. Adams),,8-8,,
7:49.0,,,8-8,,Shooting foul by K. Thompson (drawn by K. Durant)
7:49.0,,,8-9,1,K. Durant makes free throw 1 of 2
7:49.0,,,8-9,,D. Waiters enters the game for S. Adams
7:49.0,A. Iguodala enters the game for A. Bogut,,8-9,,
7:49.0,,,8-10,1,K. Durant makes free throw 2 of 2
7:29.0,D. Green misses 3-pt shot from 25 ft,,8-10,,
7:28.0,,,8-10,,Defensive rebound by A. Roberson
7:22.0,,,8-10,,R. Westbrook misses 3-pt shot from 24 ft
7:21.0,,,8-10,,Offensive rebound by S. Ibaka
7:17.0,,,8-12,2,K. Durant makes 2-pt shot from 7 ft (assist by R. Westbrook)
7:04.0,A. Iguodala misses 2-pt shot from 1 ft,,8-12,,
7:04.0,,,8-12,,Defensive rebound by R. Westbrook
6:58.0,,,8-15,3,D. Waiters makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:57.0,Golden State full timeout,,8-15,,
6:47.0,K. Thompson misses 3-pt shot from 25 ft,,8-15,,
6:46.0,,,8-15,,Defensive rebound by K. Durant
6:25.0,,,8-17,2,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant)
6:18.0,Turnover by S. Curry (lost ball; steal by K. Durant),,8-17,,
6:15.0,,,8-19,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
6:04.0,Turnover by D. Green (lost ball; steal by R. Westbrook),,8-19,,
5:55.0,,,8-19,,S. Ibaka misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by D. Green,,8-19,,
5:51.0,Turnover by D. Green (lost ball; steal by A. Roberson),,8-19,,
5:45.0,,,8-19,,D. Waiters misses 2-pt shot from 1 ft
5:44.0,,,8-19,,Offensive rebound by R. Westbrook
5:42.0,,,8-22,3,R. Westbrook makes 3-pt shot from 23 ft
5:41.0,Golden State full timeout,,8-22,,
