time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Noel (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. N. Noel (J. Crowder gains possession)
11:43.0,,,0-2,2,A. Bradley makes 2-pt shot from 10 ft (assist by J. Sullinger)
11:17.0,R. Covington misses 3-pt shot from 25 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by J. Sullinger
11:08.0,,,0-2,,A. Bradley misses 2-pt shot from 19 ft
11:07.0,,,0-2,,Offensive rebound by A. Johnson
11:07.0,,,0-4,2,A. Johnson makes 2-pt shot at rim
10:43.0,J. Okafor misses 2-pt shot from 1 ft,,0-4,,
10:42.0,,,0-4,,Defensive rebound by J. Sullinger
10:36.0,,,0-4,,I. Thomas misses 2-pt shot from 9 ft
10:35.0,Defensive rebound by R. Covington,,0-4,,
10:26.0,N. Noel misses 2-pt shot from 19 ft,,0-4,,
10:25.0,,,0-4,,Defensive rebound by J. Crowder
10:13.0,,,0-7,3,J. Sullinger makes 3-pt shot from 24 ft (assist by I. Thomas)
9:50.0,Shooting foul by J. Sullinger (drawn by J. Okafor),,0-7,,
9:50.0,J. Okafor makes free throw 1 of 2,1,1-7,,
9:50.0,J. Okafor makes free throw 2 of 2,1,2-7,,
9:34.0,,,2-9,2,J. Sullinger makes 2-pt shot from 1 ft (assist by I. Thomas)
9:08.0,I. Canaan misses 3-pt shot from 25 ft,,2-9,,
9:06.0,,,2-9,,Defensive rebound by I. Thomas
8:57.0,,,2-12,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
8:56.0,Philadelphia full timeout,,2-12,,
8:40.0,J. Okafor makes 2-pt shot from 9 ft,2,4-12,,
8:26.0,,,4-12,,J. Crowder misses 2-pt shot from 2 ft (block by R. Covington)
8:26.0,,,4-12,,Offensive rebound by Team
8:19.0,,,4-12,,J. Sullinger misses 2-pt shot from 2 ft (block by J. Okafor)
8:17.0,Defensive rebound by T. McConnell,,4-12,,
8:07.0,R. Covington makes 3-pt shot from 23 ft (assist by J. Okafor),3,7-12,,
7:51.0,,,7-14,2,A. Bradley makes 2-pt shot from 21 ft (assist by J. Sullinger)
7:42.0,T. McConnell makes 2-pt shot from 2 ft,2,9-14,,
7:32.0,,,9-14,,J. Sullinger misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by R. Covington,,9-14,,
7:23.0,J. Okafor misses 2-pt shot from 13 ft,,9-14,,
7:22.0,,,9-14,,Defensive rebound by A. Johnson
7:14.0,,,9-14,,I. Thomas misses 2-pt shot from 1 ft (block by T. McConnell)
7:13.0,Defensive rebound by R. Covington,,9-14,,
6:58.0,J. Okafor makes 2-pt shot from 5 ft,2,11-14,,
6:45.0,,,11-14,,A. Bradley misses 2-pt shot from 20 ft
6:43.0,,,11-14,,Offensive rebound by J. Sullinger
6:40.0,,,11-17,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Sullinger)
6:18.0,R. Covington misses 3-pt shot from 24 ft,,11-17,,
6:17.0,,,11-17,,Defensive rebound by J. Sullinger
6:09.0,,,11-17,,I. Thomas misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by J. Okafor,,11-17,,
5:57.0,J. Okafor misses 2-pt shot from 5 ft,,11-17,,
5:56.0,,,11-17,,Defensive rebound by J. Crowder
5:52.0,Personal foul by T. McConnell (drawn by I. Thomas),,11-17,,
5:52.0,H. Thompson enters the game for I. Canaan,,11-17,,
5:52.0,J. Grant enters the game for J. Okafor,,11-17,,
5:45.0,,,11-17,,A. Johnson misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by T. McConnell,,11-17,,
5:36.0,R. Covington misses 3-pt shot from 25 ft,,11-17,,
5:35.0,,,11-17,,Defensive rebound by A. Johnson
5:19.0,,,11-17,,Turnover by J. Crowder (lost ball; steal by R. Covington)
5:12.0,N. Noel misses 2-pt shot at rim,,11-17,,
5:11.0,Offensive rebound by R. Covington,,11-17,,
5:10.0,R. Covington makes 2-pt shot at rim,2,13-17,,
5:03.0,,,13-17,,J. Crowder misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by R. Covington,,13-17,,
4:57.0,Shooting foul by A. Johnson (drawn by N. Noel),,13-17,,
4:57.0,N. Noel makes free throw 1 of 2,1,14-17,,
4:57.0,,,14-17,,E. Turner enters the game for J. Sullinger
4:57.0,,,14-17,,K. Olynyk enters the game for J. Crowder
4:57.0,J. Sampson enters the game for R. Covington,,14-17,,
4:57.0,P. Pressey enters the game for T. McConnell,,14-17,,
4:57.0,N. Noel misses free throw 2 of 2,,14-17,,
4:57.0,,,14-17,,Defensive rebound by E. Turner
4:40.0,,,14-19,2,I. Thomas makes 2-pt shot from 15 ft
4:22.0,J. Sampson misses 2-pt shot from 3 ft (block by A. Johnson),,14-19,,
4:21.0,Offensive rebound by J. Grant,,14-19,,
4:20.0,J. Grant makes 2-pt shot from 4 ft,2,16-19,,
4:05.0,,,16-22,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
3:52.0,J. Grant makes 2-pt shot from 11 ft (assist by N. Noel),2,18-22,,
3:37.0,,,18-22,,A. Bradley misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by J. Grant,,18-22,,
3:16.0,H. Thompson misses 3-pt shot from 25 ft,,18-22,,
3:15.0,,,18-22,,Defensive rebound by A. Johnson
3:03.0,,,18-22,,E. Turner misses 2-pt shot from 17 ft
3:02.0,,,18-22,,Offensive rebound by Team
3:02.0,Loose ball foul by H. Thompson (drawn by K. Olynyk),,18-22,,
3:02.0,,,18-22,,R. Hunter enters the game for A. Bradley
3:02.0,,,18-22,,Boston full timeout
2:59.0,,,18-22,,E. Turner misses 2-pt shot from 6 ft (block by J. Grant)
2:58.0,,,18-22,,Offensive rebound by A. Johnson
2:54.0,Personal foul by J. Sampson (drawn by A. Johnson),,18-22,,
2:45.0,,,18-22,,Offensive charge foul by I. Thomas
2:45.0,,,18-22,,Turnover by I. Thomas (offensive foul)
2:45.0,J. Okafor enters the game for N. Noel,,18-22,,
2:45.0,,,18-22,,D. Lee enters the game for A. Johnson
2:29.0,J. Okafor makes 2-pt shot from 2 ft (assist by J. Grant),2,20-22,,
2:22.0,,,20-22,,T. Rozier enters the game for I. Thomas
2:18.0,,,20-22,,Turnover by T. Rozier (bad pass; steal by P. Pressey)
2:13.0,P. Pressey makes 2-pt shot at rim,2,22-22,,
2:09.0,,,22-22,,Turnover by T. Rozier (bad pass; steal by P. Pressey)
2:07.0,,,22-22,,Personal foul by R. Hunter (drawn by J. Okafor)
2:01.0,,,22-22,,Def 3 sec tech foul by K. Olynyk
2:01.0,H. Thompson misses technical free throw,,22-22,,
2:01.0,Offensive rebound by Team,,22-22,,
1:47.0,P. Pressey makes 2-pt shot from 1 ft,2,24-22,,
1:34.0,,,24-22,,T. Rozier misses 2-pt shot from 3 ft (block by J. Grant)
1:33.0,Defensive rebound by J. Sampson,,24-22,,
1:28.0,J. Sampson misses 2-pt shot from 3 ft,,24-22,,
1:27.0,,,24-22,,Defensive rebound by D. Lee
1:19.0,,,24-22,,Shooting foul by J. Okafor (drawn by E. Turner)
1:19.0,,,24-23,1,E. Turner makes free throw 1 of 2
1:19.0,,,24-24,1,E. Turner makes free throw 2 of 2
1:08.0,P. Pressey misses 2-pt shot from 17 ft,,24-24,,
1:07.0,,,24-24,,Defensive rebound by E. Turner
0:56.0,,,24-24,,K. Olynyk misses 2-pt shot from 1 ft (block by J. Okafor)
0:55.0,,,24-24,,Offensive rebound by Team
0:45.0,Personal foul by J. Grant (drawn by K. Olynyk),,24-24,,
0:45.0,,,24-25,1,K. Olynyk makes free throw 1 of 2
0:45.0,R. Covington enters the game for J. Sampson,,24-25,,
0:45.0,,,24-26,1,K. Olynyk makes free throw 2 of 2
0:30.0,Turnover by J. Grant (traveling),,24-26,,
0:30.0,J. Sampson enters the game for R. Covington,,24-26,,
0:17.0,,,24-26,,D. Lee misses 2-pt shot from 1 ft (block by J. Sampson)
0:16.0,,,24-26,,Offensive rebound by T. Rozier
0:11.0,,,24-26,,Turnover by E. Turner (bad pass)
0:11.0,R. Covington enters the game for J. Sampson,,24-26,,
