time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Jefferson vs. B. Lopez (T. Young gains possession)
11:40.0,R. Hollis-Jefferson makes 2-pt shot from 9 ft,2,2-0,,
11:27.0,,,2-0,,C. Zeller misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by J. Johnson,,2-0,,
11:19.0,J. Jack misses 2-pt shot from 19 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by M. Williams
11:01.0,,,2-0,,K. Walker misses 2-pt shot from 1 ft (block by J. Jack)
10:59.0,Defensive rebound by R. Hollis-Jefferson,,2-0,,
10:56.0,Shooting foul by K. Walker (drawn by T. Young),,2-0,,
10:56.0,T. Young makes free throw 1 of 2,1,3-0,,
10:56.0,T. Young makes free throw 2 of 2,1,4-0,,
10:42.0,,,4-2,2,A. Jefferson makes 2-pt shot from 12 ft (assist by N. Batum)
10:21.0,J. Johnson makes 3-pt shot from 25 ft,3,7-2,,
10:12.0,,,7-2,,M. Williams misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by J. Jack,,7-2,,
10:08.0,Turnover by J. Jack (bad pass; steal by K. Walker),,7-2,,
10:06.0,,,7-2,,Shooting foul by B. Lopez (drawn by K. Walker)
10:06.0,,,7-2,,K. Walker misses free throw 1 of 2
10:06.0,,,7-2,,Offensive rebound by Team
10:06.0,,,7-3,1,K. Walker makes free throw 2 of 2
9:55.0,J. Johnson makes 3-pt shot from 23 ft (assist by T. Young),3,10-3,,
9:38.0,,,10-3,,Turnover by A. Jefferson (bad pass)
9:29.0,J. Jack makes 2-pt shot from 16 ft,2,12-3,,
9:11.0,,,12-3,,Turnover by K. Walker (bad pass; steal by J. Johnson)
8:59.0,Shooting foul by A. Jefferson (drawn by R. Hollis-Jefferson),,12-3,,
8:59.0,R. Hollis-Jefferson makes free throw 1 of 2,1,13-3,,
8:59.0,R. Hollis-Jefferson misses free throw 2 of 2,,13-3,,
8:57.0,,,13-3,,Defensive rebound by A. Jefferson
8:46.0,,,13-3,,A. Jefferson misses 2-pt shot from 5 ft
8:45.0,,,13-3,,Offensive rebound by Team
8:43.0,,,13-5,2,N. Batum makes 2-pt shot from 16 ft (assist by M. Williams)
8:23.0,J. Jack misses 3-pt shot from 24 ft,,13-5,,
8:22.0,,,13-5,,Defensive rebound by C. Zeller
8:14.0,,,13-7,2,K. Walker makes 2-pt shot from 18 ft
8:00.0,Turnover by R. Hollis-Jefferson (bad pass; steal by N. Batum),,13-7,,
7:57.0,Personal foul by R. Hollis-Jefferson (drawn by N. Batum),,13-7,,
7:47.0,,,13-7,,N. Batum misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by B. Lopez,,13-7,,
7:36.0,Shooting foul by C. Zeller (drawn by B. Lopez),,13-7,,
7:36.0,B. Lopez makes free throw 1 of 2,1,14-7,,
7:36.0,B. Lopez makes free throw 2 of 2,1,15-7,,
7:20.0,,,15-10,3,K. Walker makes 3-pt shot from 22 ft (assist by M. Williams)
7:02.0,J. Johnson makes 2-pt shot from 10 ft (assist by J. Jack),2,17-10,,
6:46.0,,,17-10,,N. Batum misses 2-pt shot from 17 ft
6:45.0,,,17-10,,Offensive rebound by M. Williams
6:45.0,,,17-12,2,M. Williams makes 2-pt shot at rim
6:32.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack),3,20-12,,
6:12.0,,,20-14,2,A. Jefferson makes 2-pt shot from 8 ft
5:59.0,Shooting foul by C. Zeller (drawn by T. Young),,20-14,,
5:59.0,,,20-14,,Charlotte full timeout
5:59.0,,,20-14,,F. Kaminsky enters the game for C. Zeller
5:59.0,T. Young makes free throw 1 of 2,1,21-14,,
5:59.0,T. Young makes free throw 2 of 2,1,22-14,,
5:47.0,,,22-16,2,N. Batum makes 2-pt shot from 4 ft (assist by K. Walker)
5:33.0,,,22-16,,Personal foul by K. Walker (drawn by J. Jack)
5:33.0,J. Jack makes free throw 1 of 2,1,23-16,,
5:33.0,T. Robinson enters the game for B. Lopez,,23-16,,
5:33.0,J. Jack makes free throw 2 of 2,1,24-16,,
5:17.0,,,24-18,2,A. Jefferson makes 2-pt shot from 10 ft
4:59.0,J. Johnson misses 3-pt shot from 23 ft (block by M. Williams),,24-18,,
4:59.0,Offensive rebound by Team,,24-18,,
4:54.0,T. Young makes 2-pt shot from 2 ft,2,26-18,,
4:38.0,,,26-18,,A. Jefferson misses 2-pt shot from 11 ft
4:37.0,Defensive rebound by T. Robinson,,26-18,,
4:30.0,T. Young misses 2-pt shot from 2 ft,,26-18,,
4:30.0,Offensive rebound by Team,,26-18,,
4:27.0,Turnover by T. Robinson (offensive goaltending),,26-18,,
4:17.0,,,26-18,,F. Kaminsky misses 3-pt shot from 24 ft
4:16.0,,,26-18,,Offensive rebound by K. Walker
4:10.0,,,26-21,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker)
4:01.0,J. Jack misses 2-pt shot from 18 ft,,26-21,,
4:00.0,,,26-21,,Defensive rebound by F. Kaminsky
3:45.0,,,26-21,,K. Walker misses 2-pt shot from 17 ft (block by J. Jack)
3:44.0,,,26-21,,Offensive rebound by Team
3:44.0,,,26-21,,J. Lamb enters the game for M. Williams
3:44.0,S. Larkin enters the game for J. Jack,,26-21,,
3:43.0,,,26-21,,Turnover by F. Kaminsky (step out of bounds)
3:24.0,J. Johnson makes 2-pt shot from 8 ft,2,28-21,,
3:12.0,,,28-23,2,A. Jefferson makes 2-pt shot from 1 ft (assist by N. Batum)
3:12.0,,,28-23,,Shooting foul by S. Larkin (drawn by A. Jefferson)
3:12.0,,,28-24,1,A. Jefferson makes free throw 1 of 1
2:51.0,S. Larkin makes 2-pt shot from 18 ft,2,30-24,,
2:38.0,,,30-26,2,F. Kaminsky makes 2-pt shot at rim (assist by A. Jefferson)
2:38.0,,,30-26,,Shooting foul by S. Larkin (drawn by F. Kaminsky)
2:38.0,Brooklyn full timeout,,30-26,,
2:38.0,,,30-26,,S. Hawes enters the game for A. Jefferson
2:38.0,,,30-26,,J. Lin enters the game for K. Walker
2:38.0,,,30-27,1,F. Kaminsky makes free throw 1 of 1
2:26.0,Turnover by J. Johnson (bad pass; steal by F. Kaminsky),,30-27,,
2:09.0,B. Bogdanovic enters the game for T. Robinson,,30-27,,
2:09.0,B. Lopez enters the game for J. Johnson,,30-27,,
2:09.0,A. Bargnani enters the game for T. Young,,30-27,,
2:03.0,,,30-27,,J. Lin misses 2-pt shot from 1 ft (block by B. Lopez)
2:01.0,,,30-27,,Offensive rebound by J. Lin
1:57.0,,,30-27,,Turnover by Team (shot clock)
1:31.0,A. Bargnani makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,32-27,,
1:09.0,,,32-29,2,J. Lin makes 2-pt shot at rim (assist by N. Batum)
0:42.0,B. Lopez misses 2-pt shot from 3 ft,,32-29,,
0:41.0,,,32-29,,Defensive rebound by J. Lin
0:33.0,,,32-32,3,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lin)
0:12.0,A. Bargnani misses 3-pt shot from 25 ft,,32-32,,
0:11.0,,,32-32,,Defensive rebound by J. Lamb
0:00.0,,,32-32,,J. Lamb misses 3-pt shot from 25 ft
0:00.0,,,32-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,32-34,2,S. Hawes makes 2-pt shot from 1 ft (assist by J. Lamb)
11:30.0,Shooting foul by S. Hawes (drawn by B. Lopez),,32-34,,
11:30.0,B. Lopez makes free throw 1 of 2,1,33-34,,
11:30.0,B. Lopez makes free throw 2 of 2,1,34-34,,
