time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Sims (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. H. Sims (J. Dudley gains possession)
11:37.0,M. Gortat makes 2-pt shot from 9 ft,2,2-0,,
11:25.0,,,2-0,,Turnover by S. Larkin (lost ball; steal by M. Thornton)
11:20.0,R. Sessions makes 2-pt shot from 2 ft (assist by M. Thornton),2,4-0,,
11:04.0,,,4-0,,H. Sims misses 2-pt shot from 17 ft
11:03.0,,,4-0,,Offensive rebound by C. McCullough
10:57.0,,,4-0,,W. Ellington misses 3-pt shot from 24 ft
10:56.0,,,4-0,,Offensive rebound by H. Sims
10:55.0,Personal foul by M. Gortat,,4-0,,
10:44.0,,,4-0,,Turnover by S. Larkin (lost ball; steal by R. Sessions)
10:36.0,O. Porter makes 3-pt shot from 25 ft (assist by R. Sessions),3,7-0,,
10:17.0,,,7-0,,S. Larkin misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by J. Dudley,,7-0,,
10:10.0,M. Thornton makes 2-pt shot from 2 ft,2,9-0,,
10:10.0,Shooting foul by C. McCullough (drawn by M. Thornton),,9-0,,
10:10.0,,,9-0,,Brooklyn full timeout
10:10.0,M. Thornton makes free throw 1 of 1,1,10-0,,
9:47.0,,,10-0,,W. Ellington misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by J. Dudley,,10-0,,
9:39.0,R. Sessions makes 2-pt shot from 9 ft,2,12-0,,
9:27.0,Personal foul by O. Porter,,12-0,,
9:27.0,,,12-0,,D. Sloan enters the game for S. Larkin
9:27.0,,,12-0,,M. Brown enters the game for W. Ellington
9:27.0,,,12-0,,S. Kilpatrick enters the game for H. Sims
9:21.0,,,12-0,,S. Kilpatrick misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by Team,,12-0,,
9:04.0,M. Thornton makes 2-pt shot from 2 ft (assist by J. Dudley),2,14-0,,
8:48.0,,,14-0,,M. Brown misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by M. Gortat,,14-0,,
8:41.0,R. Sessions makes 2-pt shot from 10 ft,2,16-0,,
8:18.0,,,16-0,,D. Sloan misses 2-pt shot from 8 ft
8:17.0,Defensive rebound by M. Gortat,,16-0,,
8:12.0,O. Porter makes 2-pt shot from 2 ft (assist by R. Sessions),2,18-0,,
8:12.0,,,18-0,,Brooklyn full timeout
8:12.0,,,18-0,,R. Hollis-Jefferson enters the game for B. Bogdanovic
7:59.0,,,18-0,,M. Brown misses 2-pt shot from 13 ft
7:58.0,Defensive rebound by O. Porter,,18-0,,
7:51.0,M. Gortat makes 2-pt shot from 2 ft (assist by R. Sessions),2,20-0,,
7:31.0,,,20-3,3,C. McCullough makes 3-pt shot from 27 ft (assist by M. Brown)
7:10.0,M. Gortat misses 2-pt shot from 7 ft (block by C. McCullough),,20-3,,
7:08.0,,,20-3,,Defensive rebound by R. Hollis-Jefferson
7:00.0,,,20-3,,C. McCullough misses 2-pt shot from 19 ft
6:59.0,,,20-3,,Offensive rebound by C. McCullough
6:58.0,,,20-3,,Turnover by C. McCullough (lost ball; steal by J. Dudley)
6:52.0,M. Thornton misses 3-pt shot from 25 ft,,20-3,,
6:51.0,Offensive rebound by J. Dudley,,20-3,,
6:50.0,J. Dudley makes 2-pt shot from 2 ft,2,22-3,,
6:32.0,,,22-3,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
6:31.0,,,22-3,,Offensive rebound by R. Hollis-Jefferson
6:29.0,,,22-3,,S. Kilpatrick misses 3-pt shot from 23 ft
6:28.0,,,22-3,,Offensive rebound by C. McCullough
6:27.0,,,22-3,,Shooting foul by J. Dudley (drawn by R. Hollis-Jefferson)
6:27.0,,,22-4,1,R. Hollis-Jefferson makes free throw 1 of 2
6:27.0,,,22-5,1,R. Hollis-Jefferson makes free throw 2 of 2
6:09.0,Turnover by M. Gortat (lost ball; steal by R. Hollis-Jefferson),,22-5,,
6:05.0,,,22-7,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
5:48.0,Turnover by M. Gortat (lost ball; steal by S. Kilpatrick),,22-7,,
5:44.0,,,22-9,2,C. McCullough makes 2-pt shot at rim (assist by S. Kilpatrick)
5:42.0,,,22-9,,Technical foul by M. Brown
5:42.0,Technical foul by R. Sessions,,22-9,,
5:27.0,Turnover by R. Sessions (bad pass),,22-9,,
5:27.0,,,22-9,,H. Sims enters the game for C. McCullough
5:14.0,,,22-9,,H. Sims misses 2-pt shot from 8 ft
5:13.0,,,22-9,,Offensive rebound by R. Hollis-Jefferson
5:11.0,,,22-9,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
5:10.0,Defensive rebound by M. Gortat,,22-9,,
5:04.0,O. Porter misses 2-pt shot from 19 ft,,22-9,,
5:03.0,,,22-9,,Defensive rebound by H. Sims
4:41.0,,,22-11,2,D. Sloan makes 2-pt shot from 2 ft (assist by H. Sims)
4:17.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Dudley),3,25-11,,
4:00.0,,,25-11,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
3:59.0,,,25-11,,Offensive rebound by H. Sims
3:58.0,,,25-11,,Shooting foul by J. Dudley (drawn by H. Sims)
3:58.0,,,25-12,1,H. Sims makes free throw 1 of 2
3:58.0,A. Anderson enters the game for J. Dudley,,25-12,,
3:58.0,,,25-13,1,H. Sims makes free throw 2 of 2
3:36.0,A. Anderson misses 3-pt shot from 22 ft,,25-13,,
3:35.0,,,25-13,,Defensive rebound by H. Sims
3:30.0,,,25-15,2,D. Sloan makes 2-pt shot from 1 ft
3:24.0,,,25-15,,Violation by H. Sims (def goaltending)
3:24.0,R. Sessions makes 2-pt shot from 2 ft,2,27-15,,
3:16.0,Personal foul by R. Sessions,,27-15,,
3:16.0,,,27-16,1,H. Sims makes free throw 1 of 2
3:16.0,J. Hickson enters the game for M. Gortat,,27-16,,
3:16.0,,,27-17,1,H. Sims makes free throw 2 of 2
3:01.0,M. Thornton misses 2-pt shot from 18 ft,,27-17,,
3:00.0,,,27-17,,Defensive rebound by R. Hollis-Jefferson
2:55.0,,,27-17,,Shooting foul by O. Porter (drawn by R. Hollis-Jefferson)
2:55.0,,,27-18,1,R. Hollis-Jefferson makes free throw 1 of 2
2:55.0,G. Temple enters the game for M. Thornton,,27-18,,
2:55.0,K. Oubre enters the game for O. Porter,,27-18,,
2:55.0,,,27-19,1,R. Hollis-Jefferson makes free throw 2 of 2
2:51.0,Washington full timeout,,27-19,,
2:40.0,R. Sessions makes 2-pt shot from 13 ft,2,29-19,,
2:21.0,,,29-21,2,R. Hollis-Jefferson makes 2-pt shot from 14 ft
2:01.0,J. Hickson makes 2-pt shot at rim (assist by R. Sessions),2,31-21,,
1:37.0,,,31-21,,D. Sloan misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by K. Oubre,,31-21,,
1:26.0,G. Temple makes 3-pt shot from 23 ft (assist by R. Sessions),3,34-21,,
1:09.0,,,34-23,2,M. Brown makes 2-pt shot from 15 ft
0:48.0,A. Anderson misses 3-pt shot from 24 ft,,34-23,,
0:47.0,,,34-23,,Defensive rebound by S. Kilpatrick
0:41.0,,,34-26,3,S. Kilpatrick makes 3-pt shot from 24 ft
0:23.0,J. Hickson misses 2-pt shot from 2 ft (block by H. Sims),,34-26,,
0:22.0,,,34-26,,Defensive rebound by S. Kilpatrick
0:19.0,,,34-26,,Shooting foul by A. Anderson (drawn by S. Kilpatrick)
0:19.0,,,34-27,1,S. Kilpatrick makes free throw 1 of 2
0:19.0,J. Eddie enters the game for R. Sessions,,34-27,,
0:19.0,,,34-27,,C. McCullough enters the game for H. Sims
0:19.0,,,34-28,1,S. Kilpatrick makes free throw 2 of 2
0:03.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Hickson),,34-28,,
0:03.0,J. Hickson misses free throw 1 of 2,,34-28,,
0:03.0,Offensive rebound by Team,,34-28,,
0:03.0,J. Hickson misses free throw 2 of 2,,34-28,,
0:01.0,Offensive rebound by G. Temple,,34-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
