time,New Orleans,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (O. Asik gains possession),,,,Jump ball: A. Davis vs. R. Gobert (O. Asik gains possession)
11:42.0,E. Gordon misses 2-pt shot from 5 ft (block by R. Gobert),,0-0,,
11:41.0,,,0-0,,Defensive rebound by R. Neto
11:34.0,,,0-0,,G. Hayward misses 3-pt shot from 23 ft
11:33.0,,,0-0,,Offensive rebound by T. Booker
11:14.0,,,0-2,2,R. Hood makes 2-pt shot from 11 ft
10:55.0,O. Asik misses 2-pt shot from 3 ft (block by T. Booker),,0-2,,
10:54.0,,,0-2,,Defensive rebound by T. Booker
10:48.0,,,0-4,2,G. Hayward makes 2-pt shot from 2 ft
10:30.0,J. Holiday misses 3-pt shot from 23 ft,,0-4,,
10:28.0,,,0-4,,Defensive rebound by R. Gobert
10:14.0,,,0-4,,R. Neto misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by O. Asik,,0-4,,
10:03.0,A. Davis makes 2-pt shot from 9 ft,2,2-4,,
9:43.0,,,2-4,,R. Neto misses 2-pt shot from 5 ft
9:43.0,Defensive rebound by A. Davis,,2-4,,
9:27.0,O. Asik misses 2-pt shot from 2 ft,,2-4,,
9:27.0,,,2-4,,Defensive rebound by R. Gobert
9:13.0,,,2-4,,R. Hood misses 2-pt shot from 16 ft
9:12.0,Defensive rebound by O. Asik,,2-4,,
9:09.0,,,2-4,,Personal foul by R. Neto (drawn by A. Gee)
9:04.0,E. Gordon misses 2-pt shot at rim,,2-4,,
9:03.0,,,2-4,,Defensive rebound by R. Gobert
8:44.0,,,2-6,2,G. Hayward makes 2-pt shot from 10 ft
8:38.0,Shooting foul by T. Booker (drawn by A. Davis),,2-6,,
8:38.0,,,2-6,,Violation by R. Neto (lane)
8:38.0,A. Davis makes free throw 1 of 2,1,3-6,,
8:38.0,A. Davis makes free throw 2 of 2,1,4-6,,
8:21.0,Personal foul by A. Gee (drawn by G. Hayward),,4-6,,
8:10.0,,,4-6,,R. Neto misses 2-pt shot from 2 ft
8:10.0,,,4-6,,Offensive rebound by Team
8:07.0,,,4-6,,R. Gobert misses 2-pt shot from 17 ft
8:06.0,Defensive rebound by Team,,4-6,,
7:52.0,Turnover by O. Asik (bad pass; steal by R. Neto),,4-6,,
7:45.0,,,4-8,2,T. Booker makes 2-pt shot from 2 ft (assist by G. Hayward)
7:38.0,E. Gordon misses 2-pt shot from 2 ft,,4-8,,
7:37.0,,,4-8,,Defensive rebound by R. Gobert
7:29.0,,,4-8,,R. Hood misses 2-pt shot from 13 ft
7:27.0,,,4-8,,Offensive rebound by R. Hood
7:27.0,,,4-10,2,R. Hood makes 2-pt shot at rim
7:09.0,J. Holiday misses 2-pt shot from 11 ft,,4-10,,
7:07.0,,,4-10,,Defensive rebound by R. Gobert
6:59.0,,,4-13,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Neto)
6:50.0,New Orleans full timeout,,4-13,,
6:50.0,R. Anderson enters the game for O. Asik,,4-13,,
6:50.0,I. Smith enters the game for J. Holiday,,4-13,,
6:42.0,,,4-13,,Personal foul by R. Gobert (drawn by A. Davis)
6:36.0,A. Davis misses 2-pt shot at rim,,4-13,,
6:36.0,,,4-13,,Defensive rebound by Team
6:26.0,,,4-13,,Turnover by R. Gobert (lost ball; steal by A. Davis)
6:21.0,A. Davis makes 2-pt shot at rim (assist by I. Smith),2,6-13,,
6:04.0,,,6-13,,Turnover by G. Hayward (lost ball; steal by E. Gordon)
5:59.0,Turnover by I. Smith (bad pass; steal by G. Hayward),,6-13,,
5:55.0,,,6-13,,Shooting foul by A. Gee (drawn by T. Booker)
5:55.0,,,6-14,1,T. Booker makes free throw 1 of 2
5:55.0,D. Cunningham enters the game for A. Gee,,6-14,,
5:55.0,,,6-14,,A. Burks enters the game for G. Hayward
5:55.0,,,6-15,1,T. Booker makes free throw 2 of 2
5:40.0,E. Gordon misses 3-pt shot from 24 ft,,6-15,,
5:39.0,,,6-15,,Defensive rebound by T. Booker
5:22.0,,,6-17,2,R. Hood makes 2-pt shot from 1 ft
5:12.0,,,6-17,,Personal foul by A. Burks (drawn by E. Gordon)
5:12.0,,,6-17,,J. Ingles enters the game for R. Neto
5:12.0,,,6-17,,T. Burke enters the game for R. Hood
5:06.0,E. Gordon misses 2-pt shot from 3 ft (block by R. Gobert),,6-17,,
5:05.0,Offensive rebound by A. Davis,,6-17,,
5:00.0,A. Davis makes 2-pt shot at rim,2,8-17,,
4:44.0,,,8-17,,T. Booker misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by A. Davis,,8-17,,
4:35.0,Shooting foul by R. Gobert (drawn by R. Anderson),,8-17,,
4:35.0,R. Anderson makes free throw 1 of 2,1,9-17,,
4:35.0,,,9-17,,J. Withey enters the game for R. Gobert
4:35.0,R. Anderson makes free throw 2 of 2,1,10-17,,
4:23.0,,,10-17,,A. Burks misses 2-pt shot from 17 ft
4:21.0,Defensive rebound by D. Cunningham,,10-17,,
4:18.0,Turnover by D. Cunningham (lost ball; steal by J. Withey),,10-17,,
3:57.0,,,10-17,,J. Withey misses 2-pt shot from 13 ft (block by A. Davis)
3:56.0,,,10-17,,Offensive rebound by T. Burke
3:55.0,,,10-17,,Turnover by Team (shot clock)
3:43.0,A. Davis misses 2-pt shot from 14 ft,,10-17,,
3:42.0,,,10-17,,Defensive rebound by T. Burke
3:30.0,,,10-17,,T. Booker misses 2-pt shot from 3 ft
3:29.0,,,10-17,,Offensive rebound by T. Booker
3:24.0,,,10-20,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Burke)
3:19.0,Turnover by R. Anderson (lost ball),,10-20,,
3:19.0,,,10-20,,T. Lyles enters the game for T. Booker
2:59.0,,,10-20,,T. Burke misses 2-pt shot from 18 ft
2:58.0,Defensive rebound by D. Cunningham,,10-20,,
2:47.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,12-20,,
2:39.0,,,12-20,,T. Lyles misses 2-pt shot at rim
2:38.0,Defensive rebound by R. Anderson,,12-20,,
2:31.0,Shooting foul by J. Withey (drawn by A. Davis),,12-20,,
2:31.0,,,12-20,,Utah full timeout
2:31.0,A. Davis makes free throw 1 of 2,1,13-20,,
2:31.0,A. Davis makes free throw 2 of 2,1,14-20,,
2:08.0,,,14-20,,T. Lyles misses 2-pt shot from 5 ft
2:07.0,,,14-20,,Offensive rebound by T. Lyles
2:04.0,,,14-20,,T. Lyles misses 2-pt shot from 3 ft
2:01.0,,,14-20,,Offensive rebound by J. Withey
2:01.0,,,14-20,,J. Withey misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by D. Cunningham,,14-20,,
1:54.0,R. Anderson misses 3-pt shot from 25 ft,,14-20,,
1:53.0,,,14-20,,Defensive rebound by A. Burks
1:39.0,,,14-23,3,J. Ingles makes 3-pt shot from 24 ft (assist by J. Withey)
1:20.0,Turnover by I. Smith (bad pass; steal by J. Withey),,14-23,,
