time,Boston,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Johnson (T. Lawson gains possession),,,,Jump ball: D. Howard vs. A. Johnson (T. Lawson gains possession)
11:38.0,,,0-0,,T. Jones misses 2-pt shot from 7 ft
11:37.0,,,0-0,,Offensive rebound by T. Ariza
11:37.0,,,0-0,,T. Ariza misses 2-pt shot at rim
11:35.0,,,0-0,,Offensive rebound by D. Howard
11:34.0,,,0-0,,D. Howard misses 2-pt shot from 2 ft
11:34.0,Defensive rebound by Team,,0-0,,
11:17.0,A. Johnson misses 2-pt shot from 3 ft (block by D. Howard),,0-0,,
11:16.0,Offensive rebound by J. Sullinger,,0-0,,
11:14.0,J. Sullinger makes 2-pt shot from 5 ft,2,2-0,,
11:07.0,,,2-2,2,T. Lawson makes 2-pt shot from 1 ft
10:50.0,I. Thomas makes 2-pt shot from 16 ft,2,4-2,,
10:36.0,,,4-2,,T. Ariza misses 2-pt shot from 21 ft
10:35.0,Defensive rebound by A. Johnson,,4-2,,
10:27.0,Shooting foul by T. Jones (drawn by M. Smart),,4-2,,
10:27.0,M. Smart makes free throw 1 of 2,1,5-2,,
10:27.0,M. Smart misses free throw 2 of 2,,5-2,,
10:27.0,Offensive rebound by J. Sullinger,,5-2,,
10:22.0,I. Thomas misses 3-pt shot from 25 ft,,5-2,,
10:20.0,,,5-2,,Defensive rebound by T. Ariza
10:12.0,,,5-2,,T. Jones misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by A. Johnson,,5-2,,
10:04.0,J. Sullinger makes 3-pt shot from 27 ft (assist by I. Thomas),3,8-2,,
9:47.0,,,8-5,3,J. Harden makes 3-pt shot from 24 ft (assist by D. Howard)
9:33.0,M. Smart misses 3-pt shot from 24 ft,,8-5,,
9:32.0,,,8-5,,Defensive rebound by T. Ariza
9:26.0,,,8-5,,Shooting foul by A. Johnson (drawn by J. Harden)
9:26.0,,,8-6,1,J. Harden makes free throw 1 of 2
9:26.0,,,8-7,1,J. Harden makes free throw 2 of 2
9:12.0,Turnover by M. Smart (bad pass; steal by T. Ariza),,8-7,,
8:50.0,,,8-7,,T. Ariza misses 3-pt shot from 23 ft
8:49.0,,,8-7,,Offensive rebound by D. Howard
8:28.0,,,8-7,,T. Lawson misses 2-pt shot from 10 ft
8:27.0,,,8-7,,Offensive rebound by D. Howard
8:27.0,,,8-9,2,D. Howard makes 2-pt shot at rim
8:13.0,I. Thomas makes 2-pt shot from 2 ft,2,10-9,,
7:58.0,,,10-12,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Lawson)
7:49.0,I. Thomas makes 3-pt shot from 25 ft,3,13-12,,
7:25.0,,,13-15,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
7:06.0,A. Johnson makes 2-pt shot from 9 ft,2,15-15,,
6:55.0,,,15-15,,J. Harden misses 2-pt shot from 12 ft
6:54.0,Defensive rebound by J. Sullinger,,15-15,,
6:46.0,J. Sullinger misses 2-pt shot from 12 ft,,15-15,,
6:45.0,,,15-15,,Defensive rebound by D. Howard
6:31.0,,,15-15,,Turnover by T. Lawson (lost ball; steal by I. Thomas)
6:27.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,17-15,,
6:27.0,,,17-15,,Houston full timeout
6:03.0,,,17-15,,T. Ariza misses 3-pt shot from 22 ft
6:02.0,Defensive rebound by A. Johnson,,17-15,,
5:53.0,Turnover by M. Smart (bad pass; steal by T. Ariza),,17-15,,
5:45.0,,,17-18,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
5:21.0,J. Sullinger makes 2-pt shot from 6 ft (assist by I. Thomas),2,19-18,,
5:10.0,,,19-18,,T. Ariza misses 3-pt shot from 24 ft
5:09.0,,,19-18,,Offensive rebound by T. Lawson
5:01.0,,,19-21,3,T. Ariza makes 3-pt shot from 23 ft (assist by T. Jones)
4:46.0,,,19-21,,Personal foul by T. Jones (drawn by A. Johnson)
4:46.0,E. Turner enters the game for M. Smart,,19-21,,
4:46.0,A. Bradley enters the game for I. Thomas,,19-21,,
4:46.0,,,19-21,,J. Terry enters the game for T. Jones
4:46.0,,,19-21,,M. Harrell enters the game for T. Lawson
4:32.0,J. Sullinger misses 3-pt shot from 29 ft,,19-21,,
4:32.0,Offensive rebound by Team,,19-21,,
4:32.0,Turnover by Team (shot clock),,19-21,,
4:09.0,,,19-21,,M. Harrell misses 2-pt shot from 9 ft
4:09.0,Defensive rebound by Team,,19-21,,
3:58.0,Turnover by A. Bradley (bad pass; steal by T. Ariza),,19-21,,
3:54.0,,,19-21,,Turnover by T. Ariza (bad pass)
3:54.0,K. Olynyk enters the game for J. Sullinger,,19-21,,
3:37.0,K. Olynyk misses 3-pt shot from 24 ft,,19-21,,
3:36.0,,,19-21,,Defensive rebound by T. Ariza
3:26.0,,,19-21,,J. Harden misses 2-pt shot from 3 ft
3:25.0,Defensive rebound by K. Olynyk,,19-21,,
3:21.0,Turnover by A. Bradley (step out of bounds),,19-21,,
3:21.0,,,19-21,,C. Brewer enters the game for T. Ariza
3:09.0,Personal foul by K. Olynyk (drawn by J. Harden),,19-21,,
3:09.0,,,19-21,,C. Capela enters the game for D. Howard
3:09.0,D. Lee enters the game for A. Johnson,,19-21,,
2:57.0,,,19-21,,J. Terry misses 3-pt shot from 23 ft
2:56.0,Defensive rebound by E. Turner,,19-21,,
2:42.0,E. Turner misses 3-pt shot from 24 ft,,19-21,,
2:41.0,Offensive rebound by D. Lee,,19-21,,
2:35.0,K. Olynyk misses 2-pt shot from 2 ft,,19-21,,
2:34.0,Offensive rebound by D. Lee,,19-21,,
2:34.0,D. Lee misses 2-pt shot from 1 ft,,19-21,,
2:33.0,,,19-21,,Defensive rebound by C. Brewer
2:29.0,,,19-21,,Offensive charge foul by C. Brewer
2:29.0,,,19-21,,Turnover by C. Brewer (offensive foul)
2:29.0,Boston full timeout,,19-21,,
2:13.0,A. Bradley misses 2-pt shot from 19 ft,,19-21,,
2:12.0,,,19-21,,Defensive rebound by J. Harden
2:02.0,,,19-21,,C. Brewer misses 3-pt shot from 22 ft
2:01.0,,,19-21,,Offensive rebound by C. Capela
1:57.0,,,19-21,,Shooting foul by D. Lee (drawn by C. Brewer)
1:57.0,,,19-22,1,C. Brewer makes free throw 1 of 2
1:57.0,,,19-23,1,C. Brewer makes free throw 2 of 2
1:45.0,,,19-23,,Personal foul by M. Harrell (drawn by K. Olynyk)
1:40.0,E. Turner misses 3-pt shot from 25 ft,,19-23,,
1:40.0,,,19-23,,Defensive rebound by M. Harrell
1:34.0,,,19-23,,Offensive foul by J. Harden
1:34.0,,,19-23,,Turnover by J. Harden (offensive foul)
1:34.0,,,19-23,,T. Lawson enters the game for J. Harden
1:21.0,Shooting foul by J. Terry (drawn by E. Turner),,19-23,,
1:21.0,E. Turner makes free throw 1 of 2,1,20-23,,
1:21.0,E. Turner makes free throw 2 of 2,1,21-23,,
1:08.0,,,21-25,2,C. Capela makes 2-pt shot from 1 ft
0:56.0,Turnover by K. Olynyk (bad pass),,21-25,,
0:56.0,I. Thomas enters the game for J. Crowder,,21-25,,
