time,Phoenix,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. C. Zeller (K. Walker gains possession),,,,Jump ball: T. Chandler vs. C. Zeller (K. Walker gains possession)
11:38.0,,,0-0,,Turnover by N. Batum (bad pass)
11:24.0,A. Len makes 2-pt shot from 5 ft (assist by R. Price),2,2-0,,
11:01.0,,,2-0,,N. Batum misses 2-pt shot from 16 ft
11:00.0,Defensive rebound by R. Price,,2-0,,
10:51.0,A. Len misses 2-pt shot from 20 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by M. Williams
10:43.0,,,2-0,,Turnover by N. Batum (lost ball; steal by P. Tucker)
10:38.0,P. Tucker makes 2-pt shot from 1 ft,2,4-0,,
10:27.0,,,4-0,,K. Walker misses 2-pt shot from 2 ft (block by R. Price)
10:27.0,,,4-0,,Offensive rebound by Team
10:27.0,,,4-0,,Turnover by N. Batum (bad pass)
10:11.0,P. Tucker misses 2-pt shot from 22 ft,,4-0,,
10:10.0,,,4-0,,Defensive rebound by C. Lee
9:58.0,,,4-0,,K. Walker misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by A. Len,,4-0,,
9:48.0,D. Booker misses 3-pt shot from 25 ft,,4-0,,
9:47.0,Offensive rebound by A. Len,,4-0,,
9:43.0,R. Price misses 2-pt shot from 18 ft,,4-0,,
9:42.0,Offensive rebound by Team,,4-0,,
9:37.0,Turnover by A. Len (bad pass; steal by M. Williams),,4-0,,
9:30.0,,,4-2,2,N. Batum makes 2-pt shot from 7 ft (assist by C. Zeller)
9:30.0,,,4-2,,Shooting foul by D. Booker (drawn by N. Batum)
9:30.0,,,4-3,1,N. Batum makes free throw 1 of 1
9:19.0,Turnover by A. Len (bad pass),,4-3,,
9:07.0,,,4-3,,K. Walker misses 2-pt shot at rim
9:05.0,,,4-3,,Offensive rebound by C. Zeller
9:05.0,,,4-3,,C. Zeller misses 2-pt shot from 2 ft
9:03.0,,,4-3,,Offensive rebound by C. Zeller
8:59.0,,,4-5,2,M. Williams makes 2-pt shot from 1 ft (assist by C. Zeller)
8:44.0,Turnover by D. Booker (lost ball; steal by C. Lee),,4-5,,
8:25.0,,,4-5,,C. Lee misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by A. Len,,4-5,,
7:59.0,P. Tucker misses 2-pt shot from 5 ft,,4-5,,
7:59.0,Offensive rebound by P. Tucker,,4-5,,
7:59.0,Shooting foul by C. Zeller (drawn by P. Tucker),,4-5,,
7:59.0,P. Tucker makes free throw 1 of 2,1,5-5,,
7:59.0,P. Tucker misses free throw 2 of 2,,5-5,,
7:57.0,,,5-5,,Defensive rebound by C. Zeller
7:45.0,,,5-8,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
7:32.0,Offensive foul by T. Chandler,,5-8,,
7:32.0,Turnover by T. Chandler (offensive foul),,5-8,,
7:17.0,,,5-8,,N. Batum misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by A. Len,,5-8,,
6:59.0,A. Len misses 2-pt shot from 11 ft,,5-8,,
6:57.0,,,5-8,,Defensive rebound by M. Williams
6:47.0,,,5-10,2,K. Walker makes 2-pt shot from 16 ft
6:42.0,Shooting foul by C. Lee (drawn by D. Booker),,5-10,,
6:42.0,D. Booker misses free throw 1 of 2,,5-10,,
6:42.0,Offensive rebound by Team,,5-10,,
6:42.0,D. Booker makes free throw 2 of 2,1,6-10,,
6:25.0,Personal foul by R. Price (drawn by C. Zeller),,6-10,,
6:25.0,P. Pressey enters the game for R. Price,,6-10,,
6:15.0,,,6-12,2,K. Walker makes 2-pt shot from 19 ft (assist by C. Zeller)
5:58.0,Turnover by A. Len (bad pass; steal by M. Williams),,6-12,,
5:47.0,,,6-14,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
5:47.0,Phoenix full timeout,,6-14,,
5:47.0,R. Price enters the game for T. Chandler,,6-14,,
5:47.0,,,6-14,,A. Jefferson enters the game for C. Zeller
5:27.0,R. Price misses 3-pt shot from 25 ft,,6-14,,
