time,San Antonio,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Lopez (T. Parker gains possession),,,,Jump ball: T. Duncan vs. R. Lopez (T. Parker gains possession)
11:42.0,T. Duncan makes 2-pt shot from 19 ft,2,2-0,,
11:21.0,,,2-2,2,R. Lopez makes 2-pt shot from 14 ft (assist by S. Vujacic)
11:02.0,K. Leonard makes 2-pt shot from 11 ft (assist by T. Duncan),2,4-2,,
11:02.0,Shooting foul by R. Lopez (drawn by K. Leonard),,4-2,,
11:02.0,K. Leonard makes free throw 1 of 1,1,5-2,,
10:47.0,,,5-2,,S. Vujacic misses 2-pt shot from 19 ft
10:46.0,,,5-2,,Offensive rebound by K. Porzingis
10:40.0,,,5-5,3,C. Anthony makes 3-pt shot from 23 ft (assist by K. Porzingis)
10:16.0,,,5-5,,Personal foul by K. Porzingis (drawn by L. Aldridge)
10:10.0,D. Green misses 2-pt shot from 11 ft,,5-5,,
10:09.0,,,5-5,,Defensive rebound by K. Porzingis
10:00.0,,,5-5,,K. Porzingis misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by K. Leonard,,5-5,,
9:46.0,L. Aldridge misses 2-pt shot from 2 ft,,5-5,,
9:45.0,Offensive rebound by L. Aldridge,,5-5,,
9:36.0,T. Duncan misses 2-pt shot from 19 ft,,5-5,,
9:35.0,,,5-5,,Defensive rebound by K. Porzingis
9:25.0,,,5-7,2,K. Porzingis makes 2-pt shot at rim (assist by J. Calderon)
9:04.0,L. Aldridge misses 2-pt shot from 18 ft,,5-7,,
9:03.0,Offensive rebound by K. Leonard,,5-7,,
8:54.0,T. Parker misses 2-pt shot from 4 ft,,5-7,,
8:53.0,,,5-7,,Defensive rebound by K. Porzingis
8:44.0,,,5-7,,C. Anthony misses 2-pt shot from 21 ft
8:42.0,,,5-7,,Offensive rebound by K. Porzingis
8:25.0,,,5-9,2,S. Vujacic makes 2-pt shot at rim
8:10.0,T. Parker makes 2-pt shot from 5 ft,2,7-9,,
7:56.0,,,7-12,3,J. Calderon makes 3-pt shot from 25 ft (assist by C. Anthony)
7:54.0,San Antonio full timeout,,7-12,,
7:44.0,K. Leonard misses 3-pt shot from 24 ft,,7-12,,
7:43.0,,,7-12,,Defensive rebound by S. Vujacic
7:30.0,,,7-12,,C. Anthony misses 2-pt shot from 12 ft (block by K. Leonard)
7:29.0,Defensive rebound by T. Parker,,7-12,,
7:22.0,D. Green misses 3-pt shot from 22 ft,,7-12,,
7:21.0,Offensive rebound by D. Green,,7-12,,
7:18.0,Turnover by D. Green (bad pass; steal by J. Calderon),,7-12,,
7:01.0,,,7-15,3,K. Porzingis makes 3-pt shot from 25 ft (assist by S. Vujacic)
6:46.0,T. Parker makes 2-pt shot from 6 ft (assist by D. Green),2,9-15,,
6:33.0,,,9-15,,K. Porzingis misses 2-pt shot from 14 ft
6:32.0,Defensive rebound by T. Duncan,,9-15,,
6:23.0,K. Anderson enters the game for D. Green,,9-15,,
6:11.0,T. Duncan makes 2-pt shot from 6 ft (assist by K. Anderson),2,11-15,,
5:46.0,,,11-15,,R. Lopez misses 2-pt shot from 13 ft
5:45.0,Defensive rebound by T. Duncan,,11-15,,
5:34.0,T. Parker makes 2-pt shot from 7 ft,2,13-15,,
5:16.0,,,13-15,,R. Lopez misses 2-pt shot from 17 ft
5:15.0,Defensive rebound by L. Aldridge,,13-15,,
5:04.0,L. Aldridge misses 2-pt shot from 19 ft,,13-15,,
5:03.0,,,13-15,,Defensive rebound by K. Porzingis
4:47.0,,,13-15,,S. Vujacic misses 2-pt shot from 12 ft
4:46.0,,,13-15,,Offensive rebound by S. Vujacic
4:29.0,,,13-15,,K. Porzingis misses 3-pt shot from 27 ft
4:28.0,Defensive rebound by T. Duncan,,13-15,,
4:10.0,Shooting foul by K. Porzingis (drawn by T. Duncan),,13-15,,
4:10.0,T. Duncan makes free throw 1 of 2,1,14-15,,
4:10.0,,,14-15,,L. Galloway enters the game for J. Calderon
4:10.0,,,14-15,,K. O'Quinn enters the game for K. Porzingis
4:10.0,,,14-15,,J. Grant enters the game for S. Vujacic
4:10.0,P. Mills enters the game for L. Aldridge,,14-15,,
4:10.0,B. Diaw enters the game for T. Parker,,14-15,,
4:10.0,T. Duncan misses free throw 2 of 2,,14-15,,
4:09.0,,,14-15,,Defensive rebound by K. O'Quinn
3:53.0,,,14-15,,J. Grant misses 2-pt shot from 18 ft
3:52.0,Defensive rebound by K. Leonard,,14-15,,
3:36.0,K. Leonard misses 2-pt shot from 19 ft,,14-15,,
3:35.0,Offensive rebound by T. Duncan,,14-15,,
3:24.0,K. Leonard makes 2-pt shot from 17 ft (assist by P. Mills),2,16-15,,
3:05.0,,,16-15,,R. Lopez misses 2-pt shot from 9 ft
3:04.0,Defensive rebound by K. Leonard,,16-15,,
2:50.0,K. Leonard misses 2-pt shot from 9 ft,,16-15,,
2:49.0,,,16-15,,Defensive rebound by R. Lopez
2:41.0,,,16-15,,C. Anthony misses 2-pt shot from 18 ft
2:40.0,,,16-15,,Offensive rebound by K. O'Quinn
2:34.0,,,16-15,,C. Anthony misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by K. Anderson,,16-15,,
2:25.0,P. Mills misses 2-pt shot from 19 ft,,16-15,,
2:24.0,,,16-15,,Defensive rebound by J. Grant
2:22.0,,,16-15,,New York full timeout
2:22.0,M. Ginobili enters the game for K. Anderson,,16-15,,
2:22.0,L. Aldridge enters the game for T. Duncan,,16-15,,
2:22.0,,,16-15,,L. Thomas enters the game for R. Lopez
2:14.0,,,16-15,,Shooting foul by K. Leonard (drawn by C. Anthony)
2:14.0,,,16-16,1,C. Anthony makes free throw 1 of 2
2:14.0,,,16-17,1,C. Anthony makes free throw 2 of 2
1:55.0,P. Mills misses 2-pt shot from 18 ft,,16-17,,
1:54.0,,,16-17,,Defensive rebound by C. Anthony
1:47.0,,,16-19,2,J. Grant makes 2-pt shot from 1 ft (assist by C. Anthony)
1:32.0,,,16-19,,D. Williams enters the game for C. Anthony
1:32.0,D. Green enters the game for K. Leonard,,16-19,,
1:30.0,L. Aldridge misses 2-pt shot from 10 ft,,16-19,,
1:29.0,,,16-19,,Defensive rebound by J. Grant
1:18.0,,,16-19,,L. Thomas misses 2-pt shot from 4 ft
1:17.0,Defensive rebound by D. Green,,16-19,,
1:03.0,,,16-19,,Personal foul by J. Grant (drawn by M. Ginobili)
0:56.0,Turnover by B. Diaw (traveling),,16-19,,
0:39.0,,,16-21,2,K. O'Quinn makes 2-pt shot from 11 ft
0:32.0,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili),2,18-21,,
0:12.0,,,18-21,,D. Williams misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by P. Mills,,18-21,,
0:02.0,L. Aldridge misses 2-pt shot from 20 ft,,18-21,,
0:01.0,,,18-21,,Defensive rebound by D. Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,18-21,,Turnover by J. Grant (bad pass; steal by P. Mills)
11:42.0,D. Green makes 2-pt shot at rim (assist by B. Diaw),2,20-21,,
11:22.0,,,20-23,2,D. Williams makes 2-pt shot at rim
11:13.0,M. Ginobili misses 2-pt shot from 4 ft,,20-23,,
11:12.0,,,20-23,,Defensive rebound by D. Williams
11:08.0,,,20-23,,Turnover by D. Williams (bad pass; steal by P. Mills)
11:03.0,M. Ginobili makes 2-pt shot at rim (assist by P. Mills),2,22-23,,
10:35.0,,,22-25,2,K. O'Quinn makes 2-pt shot from 5 ft
10:20.0,Turnover by B. Diaw (bad pass),,22-25,,
10:06.0,,,22-27,2,D. Williams makes 2-pt shot from 2 ft
9:47.0,M. Ginobili misses 3-pt shot from 23 ft,,22-27,,
9:46.0,,,22-27,,Defensive rebound by J. Grant
9:37.0,,,22-27,,J. Grant misses 2-pt shot from 1 ft (block by D. Green)
9:36.0,Defensive rebound by P. Mills,,22-27,,
9:25.0,L. Aldridge makes 2-pt shot from 6 ft,2,24-27,,
9:03.0,,,24-29,2,K. O'Quinn makes 2-pt shot from 17 ft
8:47.0,Shooting foul by K. O'Quinn (drawn by L. Aldridge),,24-29,,
8:47.0,Official timeout,,24-29,,
8:47.0,L. Aldridge misses free throw 1 of 2,,24-29,,
8:47.0,Offensive rebound by Team,,24-29,,
8:47.0,L. Aldridge makes free throw 2 of 2,1,25-29,,
8:26.0,,,25-29,,K. O'Quinn misses 2-pt shot from 18 ft
8:25.0,Defensive rebound by D. Green,,25-29,,
8:12.0,B. Diaw misses 2-pt shot from 8 ft,,25-29,,
8:11.0,Offensive rebound by D. Green,,25-29,,
8:00.0,L. Aldridge makes 2-pt shot from 13 ft,2,27-29,,
7:44.0,,,27-29,,Shooting foul by P. Mills (drawn by L. Galloway)
7:44.0,,,27-29,,L. Galloway misses free throw 1 of 2
7:44.0,,,27-29,,Offensive rebound by Team
7:44.0,,,27-29,,C. Anthony enters the game for L. Thomas
7:44.0,,,27-29,,S. Vujacic enters the game for J. Grant
7:44.0,T. Duncan enters the game for B. Diaw,,27-29,,
7:44.0,K. Leonard enters the game for P. Mills,,27-29,,
7:44.0,T. Parker enters the game for M. Ginobili,,27-29,,
7:44.0,,,27-29,,L. Galloway misses free throw 2 of 2
7:43.0,Defensive rebound by L. Aldridge,,27-29,,
7:31.0,L. Aldridge makes 2-pt shot from 5 ft (assist by T. Duncan),2,29-29,,
7:19.0,,,29-29,,D. Williams misses 2-pt shot from 12 ft
7:18.0,Defensive rebound by Team,,29-29,,
7:18.0,,,29-29,,Loose ball foul by K. O'Quinn (drawn by L. Aldridge)
7:18.0,,,29-29,,R. Lopez enters the game for K. O'Quinn
7:18.0,D. West enters the game for L. Aldridge,,29-29,,
7:01.0,K. Leonard makes 2-pt shot from 4 ft,2,31-29,,
6:58.0,,,31-29,,Turnover by R. Lopez (bad pass; steal by T. Duncan)
6:42.0,T. Duncan makes 2-pt shot at rim (assist by D. West),2,33-29,,
6:27.0,,,33-29,,D. Williams misses 3-pt shot from 24 ft
6:26.0,,,33-29,,Offensive rebound by S. Vujacic
6:12.0,,,33-29,,C. Anthony misses 2-pt shot from 2 ft (block by K. Leonard)
6:11.0,Defensive rebound by K. Leonard,,33-29,,
6:04.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker),3,36-29,,
6:01.0,,,36-29,,New York full timeout
6:01.0,,,36-29,,K. Porzingis enters the game for D. Williams
6:01.0,P. Mills enters the game for D. Green,,36-29,,
5:48.0,,,36-29,,Turnover by S. Vujacic (lost ball)
5:36.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,38-29,,
5:24.0,,,38-31,2,C. Anthony makes 2-pt shot from 14 ft (assist by R. Lopez)
5:13.0,T. Duncan makes 2-pt shot from 7 ft (assist by D. West),2,40-31,,
4:54.0,,,40-31,,S. Vujacic misses 2-pt shot from 17 ft
4:53.0,,,40-31,,Offensive rebound by K. Porzingis
4:53.0,,,40-31,,K. Porzingis misses 2-pt shot from 2 ft
4:52.0,,,40-31,,Offensive rebound by K. Porzingis
4:52.0,,,40-31,,K. Porzingis misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by K. Leonard,,40-31,,
