time,Orlando,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (E. Ilyasova gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (E. Ilyasova gains possession)
11:42.0,,,0-0,,M. Morris misses 2-pt shot from 17 ft
11:42.0,,,0-0,,Offensive rebound by Team
11:29.0,,,0-0,,A. Drummond misses 2-pt shot from 3 ft
11:29.0,Defensive rebound by N. Vucevic,,0-0,,
11:06.0,N. Vucevic makes 2-pt shot from 6 ft (assist by V. Oladipo),2,2-0,,
10:39.0,,,2-2,2,E. Ilyasova makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope)
10:25.0,Turnover by E. Fournier (lost ball; steal by E. Ilyasova),,2-2,,
10:10.0,,,2-4,2,R. Jackson makes 2-pt shot from 12 ft
9:52.0,N. Vucevic makes 2-pt shot from 5 ft,2,4-4,,
9:39.0,,,4-4,,E. Ilyasova misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by T. Harris,,4-4,,
9:20.0,N. Vucevic misses 2-pt shot at rim (block by R. Jackson),,4-4,,
9:18.0,,,4-4,,Defensive rebound by A. Drummond
9:09.0,,,4-7,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by E. Ilyasova)
8:48.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier),2,6-7,,
8:30.0,,,6-10,3,K. Caldwell-Pope makes 3-pt shot from 24 ft
8:17.0,E. Fournier misses 3-pt shot from 24 ft,,6-10,,
8:16.0,,,6-10,,Defensive rebound by A. Drummond
8:13.0,,,6-10,,Turnover by R. Jackson (bad pass; steal by E. Fournier)
8:02.0,N. Vucevic misses 2-pt shot at rim,,6-10,,
8:01.0,,,6-10,,Defensive rebound by A. Drummond
7:55.0,,,6-10,,R. Jackson misses 2-pt shot from 2 ft (block by C. Frye)
7:54.0,Defensive rebound by C. Frye,,6-10,,
7:53.0,Turnover by C. Frye (lost ball; steal by E. Ilyasova),,6-10,,
7:50.0,,,6-10,,Turnover by R. Jackson (bad pass; steal by V. Oladipo)
7:41.0,T. Harris misses 2-pt shot from 2 ft,,6-10,,
7:40.0,,,6-10,,Defensive rebound by R. Jackson
7:35.0,,,6-12,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
7:20.0,Turnover by T. Harris (bad pass; steal by A. Drummond),,6-12,,
7:13.0,Personal foul by E. Fournier (drawn by E. Ilyasova),,6-12,,
7:08.0,Violation by N. Vucevic (kicked ball),,6-12,,
7:00.0,,,6-14,2,R. Jackson makes 2-pt shot from 11 ft
6:41.0,C. Frye misses 3-pt shot from 26 ft,,6-14,,
6:40.0,,,6-14,,Defensive rebound by A. Drummond
6:28.0,,,6-14,,E. Ilyasova misses 3-pt shot from 25 ft
6:28.0,,,6-14,,Offensive rebound by A. Drummond
6:23.0,,,6-14,,Shooting foul by T. Harris (drawn by M. Morris)
