time,LA Lakers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (J. Clarkson gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (J. Clarkson gains possession)
11:44.0,J. Randle makes 2-pt shot from 19 ft (assist by R. Hibbert),2,2-0,,
11:30.0,,,2-0,,C. McCollum misses 2-pt shot from 18 ft
11:29.0,Defensive rebound by J. Randle,,2-0,,
11:20.0,Turnover by K. Bryant (bad pass; steal by N. Vonleh),,2-0,,
11:07.0,,,2-3,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
10:43.0,J. Randle misses 2-pt shot from 18 ft,,2-3,,
10:42.0,,,2-3,,Defensive rebound by M. Plumlee
10:22.0,,,2-3,,A. Aminu misses 3-pt shot from 22 ft
10:21.0,Defensive rebound by J. Randle,,2-3,,
10:06.0,R. Hibbert makes 2-pt shot from 1 ft (assist by J. Clarkson),2,4-3,,
10:06.0,Shooting foul by A. Aminu (drawn by R. Hibbert),,4-3,,
10:06.0,R. Hibbert makes free throw 1 of 1,1,5-3,,
9:53.0,,,5-3,,D. Lillard misses 2-pt shot from 18 ft
9:51.0,,,5-3,,Offensive rebound by N. Vonleh
9:51.0,,,5-5,2,N. Vonleh makes 2-pt shot at rim
9:34.0,J. Clarkson misses 2-pt shot from 3 ft,,5-5,,
9:33.0,Offensive rebound by R. Hibbert,,5-5,,
9:33.0,R. Hibbert makes 2-pt shot from 1 ft,2,7-5,,
9:25.0,,,7-7,2,C. McCollum makes 2-pt shot from 17 ft
9:09.0,Shooting foul by C. McCollum (drawn by L. Williams),,7-7,,
9:09.0,L. Williams makes free throw 1 of 3,1,8-7,,
9:09.0,L. Williams makes free throw 2 of 3,1,9-7,,
9:09.0,L. Williams makes free throw 3 of 3,1,10-7,,
8:56.0,,,10-7,,C. McCollum misses 3-pt shot from 27 ft
8:54.0,,,10-7,,Offensive rebound by M. Plumlee
8:39.0,,,10-10,3,C. McCollum makes 3-pt shot from 24 ft (assist by N. Vonleh)
8:27.0,Turnover by L. Williams (bad pass; steal by N. Vonleh),,10-10,,
8:13.0,,,10-10,,C. McCollum misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by R. Hibbert,,10-10,,
8:03.0,J. Clarkson makes 2-pt shot at rim,2,12-10,,
7:53.0,,,12-10,,C. McCollum misses 2-pt shot from 2 ft (block by R. Hibbert)
7:52.0,Defensive rebound by R. Hibbert,,12-10,,
7:45.0,J. Clarkson misses 3-pt shot from 23 ft,,12-10,,
7:45.0,,,12-10,,Defensive rebound by D. Lillard
7:37.0,,,12-12,2,D. Lillard makes 2-pt shot from 1 ft
7:37.0,,,12-12,,Shooting foul by J. Randle (drawn by D. Lillard)
7:37.0,,,12-12,,D. Lillard misses free throw 1 of 1
7:36.0,Defensive rebound by J. Randle,,12-12,,
7:27.0,Turnover by J. Clarkson (lost ball),,12-12,,
7:08.0,,,12-12,,Turnover by M. Plumlee (lost ball; steal by L. Williams)
7:01.0,Turnover by K. Bryant (lost ball),,12-12,,
6:47.0,,,12-15,3,A. Aminu makes 3-pt shot from 25 ft (assist by M. Plumlee)
6:29.0,J. Randle misses 2-pt shot from 3 ft,,12-15,,
6:28.0,,,12-15,,Defensive rebound by A. Aminu
6:18.0,,,12-17,2,C. McCollum makes 2-pt shot from 1 ft
6:02.0,Turnover by L. Williams (lost ball),,12-17,,
6:02.0,,,12-17,,Portland full timeout
5:50.0,,,12-19,2,A. Aminu makes 2-pt shot from 21 ft (assist by D. Lillard)
5:33.0,Turnover by K. Bryant (bad pass; steal by M. Plumlee),,12-19,,
5:26.0,,,12-21,2,D. Lillard makes 2-pt shot from 1 ft (assist by A. Aminu)
5:17.0,K. Bryant misses 3-pt shot from 24 ft,,12-21,,
5:16.0,,,12-21,,Defensive rebound by N. Vonleh
5:04.0,,,12-24,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
4:49.0,Shooting foul by M. Plumlee (drawn by J. Clarkson),,12-24,,
4:49.0,J. Clarkson makes free throw 1 of 2,1,13-24,,
4:49.0,R. Kelly enters the game for J. Randle,,13-24,,
4:49.0,,,13-24,,G. Henderson enters the game for A. Aminu
4:49.0,,,13-24,,A. Crabbe enters the game for C. McCollum
4:49.0,D. Russell enters the game for L. Williams,,13-24,,
4:49.0,J. Clarkson makes free throw 2 of 2,1,14-24,,
4:34.0,Personal foul by R. Kelly (drawn by D. Lillard),,14-24,,
4:29.0,,,14-26,2,D. Lillard makes 2-pt shot from 22 ft (assist by G. Henderson)
4:03.0,K. Bryant makes 2-pt shot from 17 ft,2,16-26,,
3:35.0,,,16-29,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
3:20.0,D. Russell makes 2-pt shot from 15 ft,2,18-29,,
3:09.0,,,18-31,2,D. Lillard makes 2-pt shot at rim
2:52.0,D. Russell makes 2-pt shot from 1 ft (assist by J. Clarkson),2,20-31,,
2:42.0,,,20-31,,D. Lillard misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by R. Kelly,,20-31,,
2:33.0,J. Clarkson misses 2-pt shot from 6 ft,,20-31,,
2:33.0,,,20-31,,Defensive rebound by N. Vonleh
2:22.0,,,20-31,,A. Crabbe misses 2-pt shot from 20 ft
2:21.0,Defensive rebound by K. Bryant,,20-31,,
2:11.0,J. Clarkson misses 3-pt shot from 23 ft,,20-31,,
2:11.0,,,20-31,,Defensive rebound by M. Plumlee
2:01.0,,,20-33,2,N. Vonleh makes 2-pt shot from 3 ft (assist by D. Lillard)
1:37.0,D. Russell misses 2-pt shot from 7 ft,,20-33,,
1:36.0,,,20-33,,Defensive rebound by M. Plumlee
1:16.0,,,20-35,2,G. Henderson makes 2-pt shot from 17 ft (assist by M. Plumlee)
1:03.0,Shooting foul by M. Plumlee (drawn by R. Hibbert),,20-35,,
1:03.0,LA Lakers full timeout,,20-35,,
1:03.0,,,20-35,,E. Davis enters the game for N. Vonleh
1:03.0,,,20-35,,C. McCollum enters the game for M. Plumlee
1:03.0,,,20-35,,M. Leonard enters the game for D. Lillard
1:03.0,A. Brown enters the game for K. Bryant,,20-35,,
1:03.0,R. Hibbert makes free throw 1 of 2,1,21-35,,
1:03.0,R. Hibbert makes free throw 2 of 2,1,22-35,,
0:51.0,,,22-35,,C. McCollum misses 2-pt shot from 2 ft (block by R. Hibbert)
0:50.0,,,22-35,,Offensive rebound by E. Davis
0:50.0,,,22-37,2,E. Davis makes 2-pt shot at rim
0:34.0,Turnover by D. Russell (bad pass; steal by C. McCollum),,22-37,,
0:27.0,,,22-37,,M. Leonard misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by R. Kelly,,22-37,,
0:06.0,J. Clarkson misses 2-pt shot from 14 ft,,22-37,,
0:06.0,,,22-37,,Defensive rebound by M. Leonard
0:00.0,,,22-37,,A. Crabbe misses 3-pt shot from 24 ft
0:00.0,,,22-37,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Def 3 sec tech foul by B. Bass,,22-37,,
11:49.0,,,22-37,,M. Leonard misses technical free throw
11:49.0,,,22-37,,Offensive rebound by Team
11:40.0,,,22-39,2,C. McCollum makes 2-pt shot from 8 ft
11:24.0,B. Bass makes 2-pt shot from 10 ft (assist by D. Russell),2,24-39,,
11:03.0,,,24-41,2,A. Crabbe makes 2-pt shot at rim (assist by M. Leonard)
10:44.0,R. Kelly misses 2-pt shot from 14 ft,,24-41,,
10:43.0,,,24-41,,Defensive rebound by E. Davis
10:31.0,,,24-43,2,G. Henderson makes 2-pt shot from 15 ft
10:16.0,R. Kelly makes 3-pt shot from 24 ft (assist by B. Bass),3,27-43,,
9:58.0,,,27-43,,Turnover by M. Leonard (step out of bounds)
9:58.0,L. Williams enters the game for J. Clarkson,,27-43,,
9:47.0,D. Russell makes 2-pt shot from 16 ft,2,29-43,,
9:41.0,,,29-43,,Offensive foul by A. Crabbe
9:41.0,,,29-43,,Turnover by A. Crabbe (offensive foul)
9:27.0,,,29-43,,Personal foul by E. Davis (drawn by R. Kelly)
9:24.0,Shooting foul by C. McCollum (drawn by D. Russell),,29-43,,
9:24.0,D. Russell makes free throw 1 of 2,1,30-43,,
9:24.0,D. Russell makes free throw 2 of 2,1,31-43,,
9:06.0,,,31-43,,A. Crabbe misses 3-pt shot from 24 ft
9:05.0,,,31-43,,Offensive rebound by E. Davis
9:05.0,,,31-43,,Shooting foul by R. Kelly (drawn by E. Davis)
9:05.0,,,31-44,1,E. Davis makes free throw 1 of 2
9:05.0,,,31-45,1,E. Davis makes free throw 2 of 2
8:45.0,R. Kelly misses 2-pt shot from 2 ft,,31-45,,
8:45.0,Offensive rebound by Team,,31-45,,
8:45.0,Official timeout,,31-45,,
8:41.0,Shooting foul by A. Crabbe (drawn by L. Williams),,31-45,,
8:41.0,L. Williams makes free throw 1 of 2,1,32-45,,
8:41.0,L. Williams makes free throw 2 of 2,1,33-45,,
8:26.0,Personal foul by B. Bass (drawn by C. McCollum),,33-45,,
8:16.0,,,33-47,2,C. McCollum makes 2-pt shot from 19 ft
8:00.0,L. Williams makes 2-pt shot from 12 ft,2,35-47,,
7:43.0,,,35-49,2,G. Henderson makes 2-pt shot from 13 ft
7:29.0,L. Williams misses 2-pt shot at rim,,35-49,,
7:28.0,,,35-49,,Defensive rebound by E. Davis
7:16.0,,,35-49,,G. Henderson misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by B. Bass,,35-49,,
