time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (B. Griffin gains possession)
11:44.0,,,0-0,,Turnover by D. Jordan (lost ball; steal by R. Neto)
11:18.0,G. Hayward misses 3-pt shot from 23 ft,,0-0,,
11:17.0,Offensive rebound by D. Favors,,0-0,,
11:09.0,R. Hood makes 2-pt shot from 15 ft,2,2-0,,
10:52.0,,,2-0,,W. Johnson misses 2-pt shot from 14 ft
10:51.0,Defensive rebound by R. Hood,,2-0,,
10:28.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Hood),2,4-0,,
10:13.0,,,4-2,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
9:55.0,G. Hayward misses 2-pt shot from 4 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by D. Jordan
9:36.0,,,4-4,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:19.0,R. Hood misses 2-pt shot from 11 ft,,4-4,,
9:15.0,Offensive rebound by R. Gobert,,4-4,,
9:15.0,R. Gobert makes 2-pt shot at rim,2,6-4,,
8:53.0,,,6-6,2,B. Griffin makes 2-pt shot from 9 ft
8:41.0,,,6-6,,Violation by D. Jordan (def goaltending)
8:41.0,D. Favors makes 2-pt shot from 5 ft,2,8-6,,
8:23.0,,,8-8,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
8:14.0,,,8-8,,Personal foul by J. Redick (drawn by R. Gobert)
8:04.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Hood),3,11-8,,
7:54.0,,,11-8,,C. Paul misses 2-pt shot from 14 ft
7:52.0,,,11-8,,Offensive rebound by D. Jordan
7:48.0,,,11-8,,D. Jordan misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by R. Gobert,,11-8,,
7:33.0,G. Hayward makes 3-pt shot from 25 ft,3,14-8,,
7:22.0,Personal foul by R. Neto (drawn by D. Jordan),,14-8,,
7:17.0,,,14-8,,J. Redick misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by R. Neto,,14-8,,
7:10.0,Turnover by R. Neto (bad pass; steal by D. Jordan),,14-8,,
7:03.0,,,14-10,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
6:39.0,Turnover by G. Hayward (bad pass; steal by D. Jordan),,14-10,,
6:31.0,,,14-10,,J. Redick misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by G. Hayward,,14-10,,
6:14.0,R. Hood makes 2-pt shot from 2 ft,2,16-10,,
6:00.0,,,16-12,2,C. Paul makes 2-pt shot from 12 ft
5:44.0,Shooting foul by W. Johnson (drawn by G. Hayward),,16-12,,
5:44.0,,,16-12,,LA Clippers full timeout
5:44.0,G. Hayward misses free throw 1 of 2,,16-12,,
5:44.0,Offensive rebound by Team,,16-12,,
5:44.0,G. Hayward makes free throw 2 of 2,1,17-12,,
5:31.0,A. Burks enters the game for G. Hayward,,17-12,,
5:31.0,T. Booker enters the game for D. Favors,,17-12,,
5:21.0,,,17-12,,C. Paul misses 2-pt shot from 17 ft
5:19.0,,,17-12,,Offensive rebound by D. Jordan
5:19.0,Personal foul by T. Booker (drawn by D. Jordan),,17-12,,
5:15.0,,,17-12,,Turnover by J. Redick (bad pass; steal by R. Neto)
5:09.0,R. Neto misses 2-pt shot from 2 ft (block by D. Jordan),,17-12,,
5:07.0,,,17-12,,Defensive rebound by C. Paul
4:52.0,,,17-12,,Turnover by W. Johnson (step out of bounds)
4:52.0,,,17-12,,J. Crawford enters the game for J. Redick
4:39.0,Turnover by R. Hood (traveling),,17-12,,
4:39.0,T. Burke enters the game for R. Neto,,17-12,,
4:24.0,,,17-12,,J. Crawford misses 3-pt shot from 23 ft
4:24.0,Defensive rebound by R. Gobert,,17-12,,
4:15.0,Turnover by R. Gobert (lost ball; steal by C. Paul),,17-12,,
4:09.0,,,17-14,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
3:54.0,,,17-14,,A. Rivers enters the game for C. Paul
3:54.0,,,17-14,,J. Smith enters the game for D. Jordan
3:42.0,Turnover by T. Booker (offensive goaltending),,17-14,,
3:26.0,,,17-16,2,B. Griffin makes 2-pt shot from 21 ft (assist by J. Crawford)
3:05.0,T. Booker misses 2-pt shot from 17 ft,,17-16,,
3:04.0,,,17-16,,Defensive rebound by W. Johnson
2:54.0,,,17-18,2,J. Smith makes 2-pt shot from 4 ft (assist by B. Griffin)
2:54.0,Utah full timeout,,17-18,,
2:54.0,D. Favors enters the game for R. Gobert,,17-18,,
2:54.0,J. Ingles enters the game for R. Hood,,17-18,,
2:39.0,T. Booker misses 2-pt shot from 14 ft,,17-18,,
2:38.0,Offensive rebound by D. Favors,,17-18,,
2:34.0,D. Favors makes 2-pt shot at rim,2,19-18,,
2:28.0,Personal foul by D. Favors (drawn by B. Griffin),,19-18,,
2:28.0,,,19-18,,P. Pierce enters the game for W. Johnson
2:20.0,,,19-18,,B. Griffin misses 2-pt shot from 18 ft
2:19.0,Defensive rebound by A. Burks,,19-18,,
2:03.0,A. Burks makes 2-pt shot from 16 ft (assist by D. Favors),2,21-18,,
1:42.0,,,21-20,2,A. Rivers makes 2-pt shot from 1 ft (assist by J. Smith)
1:26.0,D. Favors misses 2-pt shot from 2 ft,,21-20,,
1:25.0,Offensive rebound by T. Booker,,21-20,,
1:12.0,T. Booker misses 2-pt shot from 4 ft,,21-20,,
1:10.0,,,21-20,,Defensive rebound by B. Griffin
1:10.0,Personal take foul by A. Burks (drawn by B. Griffin),,21-20,,
1:10.0,,,21-20,,L. Stephenson enters the game for B. Griffin
1:03.0,,,21-20,,J. Smith misses 2-pt shot from 11 ft
1:01.0,Defensive rebound by J. Ingles,,21-20,,
0:40.0,D. Favors misses 2-pt shot from 11 ft (block by J. Smith),,21-20,,
0:40.0,,,21-20,,Defensive rebound by Team
0:33.0,,,21-22,2,J. Crawford makes 2-pt shot from 19 ft
0:17.0,Turnover by T. Burke (bad pass; steal by J. Smith),,21-22,,
0:12.0,,,21-22,,Shooting foul by T. Burke (drawn by J. Smith)
0:12.0,,,21-23,1,J. Smith makes free throw 1 of 2
0:12.0,G. Hayward enters the game for T. Burke,,21-23,,
0:12.0,,,21-23,,L. Mbah a Moute enters the game for J. Crawford
0:12.0,,,21-23,,J. Smith misses free throw 2 of 2
0:11.0,Defensive rebound by A. Burks,,21-23,,
0:10.0,,,21-23,,Personal take foul by L. Mbah a Moute (drawn by G. Hayward)
0:01.0,G. Hayward misses 2-pt shot from 14 ft,,21-23,,
0:00.0,Offensive rebound by Team,,21-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Burks misses 3-pt shot from 24 ft,,21-23,,
11:39.0,,,21-23,,Defensive rebound by A. Rivers
11:30.0,,,21-25,2,J. Smith makes 2-pt shot from 2 ft (assist by A. Rivers)
11:12.0,D. Favors makes 2-pt shot from 10 ft (assist by G. Hayward),2,23-25,,
10:53.0,,,23-25,,Turnover by J. Crawford (bad pass; steal by D. Favors)
10:44.0,G. Hayward misses 2-pt shot from 1 ft,,23-25,,
10:42.0,Offensive rebound by G. Hayward,,23-25,,
10:38.0,G. Hayward makes 2-pt shot from 13 ft,2,25-25,,
10:24.0,,,25-25,,J. Crawford misses 2-pt shot from 21 ft
10:23.0,Defensive rebound by G. Hayward,,25-25,,
10:13.0,T. Booker misses 2-pt shot from 2 ft,,25-25,,
10:10.0,Offensive rebound by T. Booker,,25-25,,
10:10.0,T. Booker makes 2-pt shot from 1 ft,2,27-25,,
9:51.0,,,27-25,,J. Smith misses 2-pt shot from 14 ft
9:51.0,Defensive rebound by T. Booker,,27-25,,
9:34.0,T. Burke misses 3-pt shot from 25 ft,,27-25,,
9:30.0,Offensive rebound by T. Booker,,27-25,,
9:27.0,G. Hayward makes 2-pt shot from 3 ft (assist by T. Booker),2,29-25,,
9:27.0,,,29-25,,LA Clippers full timeout
9:27.0,J. Ingles enters the game for T. Booker,,29-25,,
9:15.0,,,29-25,,P. Pierce misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by G. Hayward,,29-25,,
8:59.0,Turnover by G. Hayward (lost ball; steal by A. Rivers),,29-25,,
8:53.0,,,29-25,,Shooting foul by D. Favors (drawn by A. Rivers)
8:53.0,,,29-25,,A. Rivers misses free throw 1 of 2
8:53.0,,,29-25,,Offensive rebound by Team
8:53.0,R. Gobert enters the game for D. Favors,,29-25,,
8:53.0,,,29-26,1,A. Rivers makes free throw 2 of 2
8:33.0,Turnover by R. Gobert (lost ball; steal by A. Rivers),,29-26,,
8:23.0,,,29-26,,P. Pierce misses 2-pt shot from 12 ft
8:22.0,Defensive rebound by J. Ingles,,29-26,,
8:09.0,A. Burks misses 2-pt shot from 7 ft,,29-26,,
8:09.0,Offensive rebound by R. Gobert,,29-26,,
8:09.0,Shooting foul by J. Smith (drawn by R. Gobert),,29-26,,
8:09.0,R. Gobert makes free throw 1 of 2,1,30-26,,
8:09.0,,,30-26,,D. Jordan enters the game for J. Smith
8:09.0,R. Hood enters the game for J. Ingles,,30-26,,
8:09.0,R. Neto enters the game for T. Burke,,30-26,,
8:09.0,R. Gobert misses free throw 2 of 2,,30-26,,
8:08.0,,,30-26,,Defensive rebound by D. Jordan
