time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: A. Jefferson vs. H. Whiteside (L. Deng gains possession)
11:44.0,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic),3,3-0,,
11:26.0,,,3-0,,M. Williams misses 2-pt shot from 22 ft
11:25.0,Defensive rebound by H. Whiteside,,3-0,,
11:10.0,G. Dragic misses 3-pt shot from 25 ft,,3-0,,
11:08.0,,,3-0,,Defensive rebound by M. Williams
10:54.0,,,3-2,2,A. Jefferson makes 2-pt shot from 2 ft (assist by K. Walker)
10:35.0,L. Deng misses 2-pt shot from 8 ft,,3-2,,
10:35.0,Offensive rebound by H. Whiteside,,3-2,,
10:35.0,,,3-2,,Personal foul by F. Kaminsky
10:25.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Johnson),3,6-2,,
10:02.0,,,6-4,2,A. Jefferson makes 2-pt shot from 1 ft
9:45.0,Turnover by L. Deng (lost ball; steal by K. Walker),,6-4,,
9:43.0,,,6-4,,Shooting foul by G. Dragic (drawn by K. Walker)
9:43.0,,,6-5,1,K. Walker makes free throw 1 of 2
9:43.0,,,6-6,1,K. Walker makes free throw 2 of 2
9:32.0,G. Dragic makes 2-pt shot from 18 ft (assist by L. Deng),2,8-6,,
9:09.0,,,8-9,3,K. Walker makes 3-pt shot from 23 ft (assist by A. Jefferson)
8:46.0,H. Whiteside makes 2-pt shot from 1 ft,2,10-9,,
8:30.0,,,10-11,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
8:10.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Johnson),3,13-11,,
7:42.0,,,13-11,,A. Jefferson misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by H. Whiteside,,13-11,,
7:25.0,G. Dragic misses 3-pt shot from 25 ft,,13-11,,
7:24.0,,,13-11,,Defensive rebound by M. Williams
7:14.0,,,13-11,,K. Walker misses 2-pt shot from 2 ft (block by H. Whiteside)
7:12.0,,,13-11,,Offensive rebound by A. Jefferson
7:12.0,,,13-13,2,A. Jefferson makes 2-pt shot at rim
6:51.0,Offensive foul by L. Deng,,13-13,,
6:51.0,Turnover by L. Deng (offensive foul),,13-13,,
6:39.0,,,13-13,,M. Williams misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by L. Deng,,13-13,,
6:33.0,L. Deng makes 3-pt shot from 25 ft (assist by G. Dragic),3,16-13,,
6:09.0,,,16-13,,A. Jefferson misses 2-pt shot from 17 ft
6:07.0,Defensive rebound by J. Johnson,,16-13,,
6:01.0,D. Wade makes 2-pt shot from 17 ft (assist by G. Dragic),2,18-13,,
5:38.0,,,18-13,,Shooting foul by G. Dragic (drawn by K. Walker)
5:38.0,,,18-13,,Charlotte full timeout
5:38.0,,,18-13,,J. Lin enters the game for C. Lee
5:38.0,J. Richardson enters the game for G. Dragic,,18-13,,
5:38.0,,,18-14,1,K. Walker makes free throw 1 of 2
5:38.0,,,18-15,1,K. Walker makes free throw 2 of 2
5:24.0,Shooting foul by J. Lin (drawn by D. Wade),,18-15,,
5:24.0,D. Wade makes free throw 1 of 2,1,19-15,,
5:24.0,D. Wade makes free throw 2 of 2,1,20-15,,
5:05.0,,,20-15,,A. Jefferson misses 2-pt shot from 6 ft
5:03.0,,,20-15,,Offensive rebound by J. Lin
5:03.0,,,20-15,,J. Lin misses 2-pt shot from 1 ft
5:02.0,Defensive rebound by L. Deng,,20-15,,
4:52.0,Shooting foul by A. Jefferson (drawn by H. Whiteside),,20-15,,
4:52.0,H. Whiteside makes free throw 1 of 2,1,21-15,,
4:52.0,H. Whiteside misses free throw 2 of 2,,21-15,,
4:50.0,,,21-15,,Defensive rebound by M. Williams
4:36.0,,,21-18,3,J. Lin makes 3-pt shot from 25 ft (assist by A. Jefferson)
4:11.0,L. Deng misses 2-pt shot from 3 ft,,21-18,,
4:09.0,,,21-18,,Defensive rebound by F. Kaminsky
3:55.0,,,21-18,,Shooting foul by D. Wade (drawn by F. Kaminsky)
3:55.0,,,21-19,1,F. Kaminsky makes free throw 1 of 2
3:55.0,,,21-19,,C. Zeller enters the game for A. Jefferson
3:55.0,J. Winslow enters the game for J. Johnson,,21-19,,
3:55.0,,,21-20,1,F. Kaminsky makes free throw 2 of 2
3:53.0,Miami full timeout,,21-20,,
3:53.0,J. Johnson enters the game for L. Deng,,21-20,,
3:53.0,,,21-20,,C. Lee enters the game for M. Williams
3:44.0,D. Wade misses 2-pt shot from 17 ft,,21-20,,
3:42.0,,,21-20,,Defensive rebound by K. Walker
3:37.0,,,21-20,,F. Kaminsky misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by J. Johnson,,21-20,,
3:17.0,J. Johnson makes 2-pt shot from 11 ft,2,23-20,,
3:02.0,,,23-20,,F. Kaminsky misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by H. Whiteside,,23-20,,
2:51.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson),3,26-20,,
2:38.0,,,26-22,2,J. Lin makes 2-pt shot from 1 ft
2:38.0,,,26-22,,Shooting foul by H. Whiteside (drawn by J. Lin)
2:38.0,L. Deng enters the game for D. Wade,,26-22,,
2:38.0,,,26-23,1,J. Lin makes free throw 1 of 1
2:22.0,J. Johnson makes 2-pt shot from 8 ft (assist by J. Richardson),2,28-23,,
2:00.0,,,28-23,,C. Zeller misses 2-pt shot from 7 ft
1:59.0,Defensive rebound by J. Winslow,,28-23,,
1:53.0,Turnover by L. Deng (lost ball; steal by F. Kaminsky),,28-23,,
1:42.0,,,28-25,2,C. Zeller makes 2-pt shot from 2 ft (assist by F. Kaminsky)
1:19.0,J. Johnson misses 2-pt shot from 2 ft,,28-25,,
1:17.0,,,28-25,,Defensive rebound by C. Zeller
1:10.0,,,28-27,2,J. Lin makes 2-pt shot from 1 ft (assist by K. Walker)
0:55.0,L. Deng misses 2-pt shot from 19 ft,,28-27,,
0:54.0,,,28-27,,Defensive rebound by K. Walker
0:48.0,,,28-27,,Shooting foul by H. Whiteside (drawn by C. Lee)
0:48.0,,,28-28,1,C. Lee makes free throw 1 of 2
0:48.0,A. Stoudemire enters the game for H. Whiteside,,28-28,,
0:48.0,,,28-28,,S. Hawes enters the game for F. Kaminsky
0:48.0,,,28-29,1,C. Lee makes free throw 2 of 2
0:31.0,J. Johnson misses 2-pt shot from 2 ft,,28-29,,
0:30.0,,,28-29,,Defensive rebound by C. Lee
0:23.0,,,28-29,,C. Lee misses 2-pt shot from 14 ft
0:21.0,Defensive rebound by J. Winslow,,28-29,,
0:06.0,,,28-29,,Personal block foul by C. Lee
0:06.0,,,28-29,,M. Williams enters the game for C. Lee
0:01.0,J. Winslow misses 2-pt shot from 9 ft,,28-29,,
0:00.0,,,28-29,,Defensive rebound by M. Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-31,2,C. Lee makes 2-pt shot from 7 ft (assist by S. Hawes)
11:26.0,J. Winslow misses 3-pt shot from 24 ft,,28-31,,
11:24.0,,,28-31,,Defensive rebound by C. Zeller
11:14.0,,,28-31,,J. Lin misses 2-pt shot from 5 ft (block by A. Stoudemire)
11:12.0,Defensive rebound by A. Stoudemire,,28-31,,
11:09.0,G. Dragic misses 2-pt shot from 1 ft,,28-31,,
11:09.0,Offensive rebound by Team,,28-31,,
11:05.0,G. Dragic misses 2-pt shot from 13 ft,,28-31,,
11:02.0,Offensive rebound by G. Dragic,,28-31,,
10:52.0,Turnover by A. Stoudemire (3 sec),,28-31,,
10:31.0,,,28-33,2,M. Williams makes 2-pt shot at rim (assist by J. Lin)
10:21.0,G. Dragic makes 2-pt shot from 2 ft,2,30-33,,
10:07.0,,,30-33,,J. Lin misses 2-pt shot from 2 ft
