time,Sacramento,pts.away,score,pts.home,Minnesota
0:57.0,,,21-29,,Offensive rebound by A. Wiggins
0:57.0,,,21-31,2,A. Wiggins makes 2-pt shot at rim
0:49.0,M. Belinelli misses 3-pt shot from 25 ft,,21-31,,
0:47.0,,,21-31,,Defensive rebound by Team
0:47.0,S. Curry enters the game for R. Rondo,,21-31,,
0:41.0,,,21-31,,A. Wiggins misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by K. Koufos,,21-31,,
0:23.0,O. Casspi makes 3-pt shot from 24 ft (assist by M. Belinelli),3,24-31,,
0:00.0,,,24-31,,K. Martin misses 2-pt shot from 19 ft
0:00.0,,,24-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-31,,Shooting block foul by N. Bjelica (drawn by O. Casspi)
11:47.0,O. Casspi makes free throw 1 of 2,1,25-31,,
11:47.0,O. Casspi makes free throw 2 of 2,1,26-31,,
11:31.0,,,26-34,3,S. Muhammad makes 3-pt shot from 23 ft (assist by G. Dieng)
11:15.0,M. Belinelli makes 2-pt shot from 20 ft (assist by D. Collison),2,28-34,,
11:01.0,,,28-36,2,S. Muhammad makes 2-pt shot from 15 ft
10:43.0,O. Casspi misses 2-pt shot from 2 ft (block by N. Bjelica),,28-36,,
10:41.0,,,28-36,,Defensive rebound by G. Dieng
10:32.0,,,28-36,,N. Bjelica misses 2-pt shot from 4 ft
10:31.0,Defensive rebound by K. Koufos,,28-36,,
10:23.0,D. Collison makes 2-pt shot from 13 ft,2,30-36,,
9:56.0,,,30-36,,Z. LaVine misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by Team,,30-36,,
9:34.0,Shooting foul by N. Bjelica (drawn by K. Koufos),,30-36,,
9:34.0,K. Koufos makes free throw 1 of 2,1,31-36,,
9:34.0,,,31-36,,A. Miller enters the game for N. Bjelica
9:34.0,K. Koufos makes free throw 2 of 2,1,32-36,,
9:18.0,,,32-38,2,A. Miller makes 2-pt shot from 1 ft (assist by G. Dieng)
8:55.0,Turnover by M. Belinelli (lost ball),,32-38,,
8:55.0,,,32-38,,Minnesota full timeout
8:43.0,,,32-38,,Z. LaVine misses 2-pt shot from 6 ft
8:42.0,Defensive rebound by S. Curry,,32-38,,
8:36.0,D. Collison makes 3-pt shot from 25 ft (assist by S. Curry),3,35-38,,
8:14.0,,,35-40,2,Z. LaVine makes 2-pt shot from 17 ft
7:46.0,Turnover by Team (shot clock),,35-40,,
7:22.0,,,35-40,,Offensive charge foul by Z. LaVine
7:22.0,,,35-40,,Turnover by Z. LaVine (offensive foul)
7:22.0,D. Cousins enters the game for K. Koufos,,35-40,,
7:22.0,R. Gay enters the game for O. Casspi,,35-40,,
6:58.0,S. Curry misses 3-pt shot from 24 ft,,35-40,,
6:56.0,,,35-40,,Defensive rebound by Z. LaVine
6:52.0,,,35-42,2,Z. LaVine makes 2-pt shot at rim
6:38.0,Shooting foul by A. Miller (drawn by D. Collison),,35-42,,
6:38.0,D. Collison misses free throw 1 of 2,,35-42,,
6:38.0,Offensive rebound by Team,,35-42,,
6:38.0,D. Collison makes free throw 2 of 2,1,36-42,,
6:26.0,,,36-42,,Turnover by Z. LaVine (lost ball; steal by D. Cousins)
6:22.0,D. Collison makes 2-pt shot at rim (assist by D. Cousins),2,38-42,,
6:06.0,,,38-44,2,K. Martin makes 2-pt shot at rim (assist by A. Miller)
5:51.0,Shooting foul by S. Muhammad (drawn by R. Gay),,38-44,,
5:51.0,,,38-44,,Minnesota full timeout
5:51.0,B. McLemore enters the game for M. Belinelli,,38-44,,
5:51.0,R. Rondo enters the game for S. Curry,,38-44,,
5:51.0,,,38-44,,K. Towns enters the game for G. Dieng
5:51.0,,,38-44,,A. Wiggins enters the game for Z. LaVine
5:51.0,R. Gay makes free throw 1 of 2,1,39-44,,
5:51.0,R. Gay makes free throw 2 of 2,1,40-44,,
5:26.0,,,40-44,,K. Towns misses 2-pt shot from 7 ft
5:25.0,,,40-44,,Offensive rebound by S. Muhammad
5:24.0,,,40-46,2,S. Muhammad makes 2-pt shot from 1 ft
5:07.0,D. Cousins misses 2-pt shot at rim,,40-46,,
5:05.0,Offensive rebound by D. Cousins,,40-46,,
5:05.0,D. Cousins makes 2-pt shot at rim,2,42-46,,
4:48.0,,,42-46,,Turnover by K. Towns (lost ball; steal by D. Cousins)
4:42.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,44-46,,
4:33.0,,,44-46,,Minnesota full timeout
4:33.0,,,44-46,,R. Rubio enters the game for A. Miller
4:23.0,,,44-46,,A. Wiggins misses 2-pt shot from 21 ft
4:22.0,Defensive rebound by R. Rondo,,44-46,,
4:17.0,B. McLemore misses 2-pt shot at rim,,44-46,,
4:16.0,,,44-46,,Defensive rebound by K. Martin
4:06.0,Personal foul by B. McLemore (drawn by S. Muhammad),,44-46,,
3:55.0,Personal foul by R. Rondo (drawn by K. Towns),,44-46,,
3:46.0,,,44-46,,Turnover by K. Martin (lost ball; steal by R. Rondo)
3:41.0,D. Collison makes 2-pt shot at rim (assist by R. Rondo),2,46-46,,
3:25.0,,,46-46,,S. Muhammad misses 2-pt shot from 3 ft (block by R. Gay)
3:25.0,Jump ball: R. Gay vs. S. Muhammad (R. Rubio gains possession),,,,Jump ball: R. Gay vs. S. Muhammad (R. Rubio gains possession)
3:25.0,,,46-46,,Offensive rebound by Team
3:14.0,,,46-46,,R. Rubio misses 3-pt shot from 23 ft
3:12.0,,,46-46,,Offensive rebound by S. Muhammad
3:12.0,,,46-48,2,S. Muhammad makes 2-pt shot at rim
2:51.0,R. Gay misses 3-pt shot from 23 ft,,46-48,,
2:50.0,Offensive rebound by D. Cousins,,46-48,,
2:50.0,,,46-48,,Loose ball foul by K. Towns (drawn by D. Cousins)
2:50.0,Sacramento full timeout,,46-48,,
2:50.0,,,46-48,,G. Dieng enters the game for K. Towns
2:50.0,,,46-48,,T. Prince enters the game for K. Martin
2:50.0,O. Casspi enters the game for D. Collison,,46-48,,
