time,Chicago,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: C. Felicio vs. R. Lopez (K. Porzingis gains possession)
11:42.0,,,0-0,,J. Calderon misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by T. Gibson,,0-0,,
11:23.0,J. Butler misses 2-pt shot from 12 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by J. Calderon
11:08.0,,,0-3,3,S. Vujacic makes 3-pt shot from 24 ft
10:51.0,C. Felicio misses 2-pt shot from 1 ft (block by R. Lopez),,0-3,,
10:50.0,,,0-3,,Defensive rebound by K. Porzingis
10:29.0,,,0-5,2,K. Porzingis makes 2-pt shot from 1 ft (assist by R. Lopez)
10:13.0,D. Rose makes 2-pt shot from 20 ft,2,2-5,,
9:59.0,,,2-5,,Turnover by R. Lopez (lost ball; steal by D. Rose)
9:56.0,Shooting foul by J. Calderon (drawn by D. Rose),,2-5,,
9:56.0,D. Rose makes free throw 1 of 2,1,3-5,,
9:56.0,D. Rose makes free throw 2 of 2,1,4-5,,
9:40.0,,,4-5,,Shooting foul by J. Butler (drawn by C. Anthony)
9:40.0,,,4-6,1,C. Anthony makes free throw 1 of 2
9:40.0,,,4-7,1,C. Anthony makes free throw 2 of 2
9:22.0,T. Gibson makes 2-pt shot from 9 ft (assist by J. Butler),2,6-7,,
9:14.0,,,6-7,,C. Anthony misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by M. Dunleavy,,6-7,,
9:02.0,T. Gibson makes 2-pt shot from 6 ft (assist by M. Dunleavy),2,8-7,,
8:45.0,,,8-9,2,R. Lopez makes 2-pt shot at rim (assist by S. Vujacic)
8:32.0,M. Dunleavy misses 3-pt shot from 25 ft,,8-9,,
8:31.0,,,8-9,,Defensive rebound by S. Vujacic
