time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (P. Beverley gains possession),,,,Jump ball: A. Bogut vs. D. Howard (P. Beverley gains possession)
11:44.0,D. Howard misses 2-pt shot from 6 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Green
11:27.0,,,0-3,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
11:05.0,D. Howard misses 2-pt shot from 9 ft,,0-3,,
11:05.0,,,0-3,,Defensive rebound by A. Bogut
10:48.0,,,0-6,3,D. Green makes 3-pt shot from 26 ft (assist by A. Bogut)
10:46.0,Houston full timeout,,0-6,,
10:32.0,Turnover by J. Harden (lost ball; steal by D. Green),,0-6,,
10:21.0,,,0-8,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
10:09.0,J. Harden makes 3-pt shot from 25 ft,3,3-8,,
9:45.0,,,3-8,,D. Green misses 3-pt shot from 28 ft
9:44.0,Defensive rebound by D. Howard,,3-8,,
9:33.0,P. Beverley misses 3-pt shot from 25 ft,,3-8,,
9:32.0,Offensive rebound by J. Harden,,3-8,,
9:28.0,T. Ariza misses 3-pt shot from 26 ft,,3-8,,
9:27.0,Offensive rebound by D. Howard,,3-8,,
9:26.0,Shooting foul by D. Green (drawn by D. Howard),,3-8,,
9:26.0,D. Howard makes free throw 1 of 2,1,4-8,,
9:26.0,D. Howard makes free throw 2 of 2,1,5-8,,
9:12.0,Personal foul by T. Ariza,,5-8,,
9:00.0,,,5-10,2,S. Livingston makes 2-pt shot from 8 ft (assist by D. Green)
8:43.0,D. Motiejunas misses 3-pt shot from 25 ft,,5-10,,
8:42.0,,,5-10,,Defensive rebound by H. Barnes
8:30.0,,,5-10,,H. Barnes misses 2-pt shot from 16 ft
8:29.0,Defensive rebound by D. Motiejunas,,5-10,,
8:29.0,,,5-10,,Personal foul by K. Thompson
8:21.0,J. Harden misses 2-pt shot from 17 ft,,5-10,,
8:20.0,Offensive rebound by D. Howard,,5-10,,
8:14.0,J. Harden makes 3-pt shot from 27 ft (assist by T. Ariza),3,8-10,,
7:54.0,,,8-13,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut)
7:44.0,T. Ariza misses 3-pt shot from 25 ft,,8-13,,
7:42.0,Offensive rebound by J. Harden,,8-13,,
7:42.0,J. Harden makes 2-pt shot at rim,2,10-13,,
7:27.0,,,10-15,2,A. Bogut makes 2-pt shot from 2 ft (assist by D. Green)
7:08.0,D. Howard misses 2-pt shot from 7 ft,,10-15,,
7:07.0,,,10-15,,Defensive rebound by S. Livingston
6:58.0,,,10-17,2,H. Barnes makes 2-pt shot from 12 ft (assist by D. Green)
6:38.0,J. Harden makes 2-pt shot from 18 ft,2,12-17,,
6:28.0,,,12-17,,Shooting foul by P. Beverley (drawn by S. Livingston)
6:28.0,,,12-18,1,S. Livingston makes free throw 1 of 2
6:28.0,,,12-18,,A. Iguodala enters the game for H. Barnes
6:28.0,J. Smith enters the game for D. Motiejunas,,12-18,,
6:28.0,,,12-19,1,S. Livingston makes free throw 2 of 2
6:15.0,J. Smith misses 2-pt shot from 5 ft,,12-19,,
6:15.0,Offensive rebound by J. Smith,,12-19,,
6:08.0,J. Harden makes 2-pt shot from 17 ft (assist by J. Smith),2,14-19,,
6:00.0,,,14-21,2,S. Livingston makes 2-pt shot from 10 ft
5:46.0,Turnover by P. Beverley (lost ball; steal by K. Thompson),,14-21,,
5:42.0,,,14-23,2,K. Thompson makes 2-pt shot from 1 ft
5:39.0,Houston full timeout,,14-23,,
5:39.0,J. Terry enters the game for P. Beverley,,14-23,,
5:18.0,J. Harden makes 2-pt shot from 13 ft (assist by J. Smith),2,16-23,,
4:59.0,,,16-23,,A. Bogut misses 2-pt shot from 3 ft (block by J. Smith)
4:57.0,,,16-23,,Offensive rebound by A. Bogut
4:56.0,,,16-23,,A. Bogut misses 2-pt shot from 3 ft
4:55.0,Defensive rebound by D. Howard,,16-23,,
4:43.0,,,16-23,,Personal foul by S. Livingston
4:28.0,J. Smith misses 2-pt shot from 15 ft,,16-23,,
4:28.0,Offensive rebound by Team,,16-23,,
4:28.0,Turnover by Team (shot clock),,16-23,,
4:09.0,,,16-25,2,A. Bogut makes 2-pt shot from 8 ft (assist by A. Iguodala)
3:53.0,T. Ariza misses 3-pt shot from 23 ft,,16-25,,
3:52.0,,,16-25,,Defensive rebound by K. Thompson
3:35.0,,,16-27,2,S. Livingston makes 2-pt shot at rim (assist by K. Thompson)
3:16.0,D. Howard misses 2-pt shot from 2 ft,,16-27,,
3:16.0,,,16-27,,Defensive rebound by D. Green
3:04.0,,,16-30,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston)
2:52.0,J. Smith misses 3-pt shot from 25 ft,,16-30,,
2:51.0,,,16-30,,Defensive rebound by Team
2:51.0,Loose ball foul by D. Howard,,16-30,,
2:51.0,,,16-30,,Golden State full timeout
2:51.0,,,16-30,,F. Ezeli enters the game for A. Bogut
2:51.0,M. Beasley enters the game for D. Howard,,16-30,,
2:51.0,,,16-30,,I. Clark enters the game for S. Livingston
2:40.0,,,16-30,,K. Thompson misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by J. Terry,,16-30,,
2:26.0,Turnover by J. Harden (lost ball; steal by I. Clark),,16-30,,
2:19.0,,,16-32,2,I. Clark makes 2-pt shot from 1 ft (assist by A. Iguodala)
2:02.0,J. Harden misses 3-pt shot from 26 ft,,16-32,,
2:02.0,,,16-32,,Defensive rebound by F. Ezeli
1:46.0,,,16-32,,F. Ezeli misses 2-pt shot from 5 ft
1:45.0,Defensive rebound by M. Beasley,,16-32,,
1:35.0,J. Terry misses 2-pt shot from 21 ft,,16-32,,
1:35.0,,,16-32,,Defensive rebound by D. Green
1:26.0,,,16-32,,F. Ezeli misses 2-pt shot from 7 ft
1:25.0,Defensive rebound by M. Beasley,,16-32,,
1:19.0,Turnover by J. Harden (lost ball; steal by I. Clark),,16-32,,
1:16.0,Personal foul by J. Terry,,16-32,,
1:12.0,,,16-35,3,D. Green makes 3-pt shot from 27 ft (assist by A. Iguodala)
0:54.0,M. Beasley misses 2-pt shot from 19 ft,,16-35,,
0:53.0,,,16-35,,Defensive rebound by K. Thompson
0:51.0,,,16-35,,Turnover by K. Thompson (lost ball; steal by T. Ariza)
0:46.0,Shooting foul by F. Ezeli (drawn by J. Harden),,16-35,,
0:46.0,J. Harden makes free throw 1 of 2,1,17-35,,
0:46.0,J. Harden makes free throw 2 of 2,1,18-35,,
0:44.0,Personal foul by M. Beasley,,18-35,,
0:44.0,,,18-35,,F. Ezeli misses free throw 1 of 2
0:44.0,,,18-35,,Offensive rebound by Team
0:44.0,D. Motiejunas enters the game for J. Smith,,18-35,,
0:44.0,,,18-35,,F. Ezeli misses free throw 2 of 2
0:41.0,Defensive rebound by M. Beasley,,18-35,,
0:35.0,Turnover by J. Harden (lost ball),,18-35,,
0:35.0,,,18-35,,M. Speights enters the game for F. Ezeli
0:34.0,Personal foul by D. Motiejunas,,18-35,,
0:34.0,,,18-36,1,A. Iguodala makes free throw 1 of 2
0:34.0,,,18-37,1,A. Iguodala makes free throw 2 of 2
