time,New Orleans,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,J. Hamilton misses 2-pt shot from 9 ft,,0-0,,
12:00.0,Jump ball: O. Asik vs. H. Sims (T. Douglas gains possession),,,,Jump ball: O. Asik vs. H. Sims (T. Douglas gains possession)
11:44.0,,,0-0,,Defensive rebound by S. Larkin
11:27.0,Personal foul by D. Cunningham,,0-0,,
11:22.0,,,0-0,,S. Larkin misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by J. Hamilton,,0-0,,
11:00.0,Turnover by O. Asik (step out of bounds),,0-0,,
10:40.0,,,0-3,3,R. Hollis-Jefferson makes 3-pt shot from 23 ft (assist by S. Larkin)
10:27.0,J. Hamilton misses 3-pt shot from 24 ft,,0-3,,
10:26.0,,,0-3,,Defensive rebound by H. Sims
10:01.0,,,0-3,,T. Robinson misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by J. Hamilton,,0-3,,
9:51.0,Turnover by J. Hamilton (lost ball),,0-3,,
9:39.0,,,0-3,,Shooting foul by O. Asik (drawn by H. Sims)
9:39.0,,,0-4,1,H. Sims makes free throw 1 of 2
9:39.0,,,0-5,1,H. Sims makes free throw 2 of 2
9:29.0,T. Douglas misses 3-pt shot from 25 ft,,0-5,,
9:28.0,Offensive rebound by J. Hamilton,,0-5,,
9:26.0,Turnover by T. Douglas (traveling),,0-5,,
9:11.0,,,0-5,,Turnover by T. Robinson (bad pass)
9:02.0,L. Babbitt misses 3-pt shot from 25 ft,,0-5,,
9:01.0,,,0-5,,Defensive rebound by T. Robinson
8:42.0,,,0-5,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by J. Hamilton,,0-5,,
8:30.0,L. Babbitt misses 2-pt shot from 3 ft,,0-5,,
8:29.0,,,0-5,,Defensive rebound by T. Robinson
8:16.0,,,0-5,,W. Ellington misses 3-pt shot from 25 ft
8:15.0,,,0-5,,Offensive rebound by Team
8:07.0,,,0-5,,R. Hollis-Jefferson misses 2-pt shot from 18 ft
8:06.0,Defensive rebound by D. Cunningham,,0-5,,
8:00.0,L. Babbitt misses 2-pt shot from 10 ft (block by W. Ellington),,0-5,,
7:59.0,Offensive rebound by Team,,0-5,,
7:59.0,Offensive foul by O. Asik,,0-5,,
7:59.0,Turnover by O. Asik (offensive foul),,0-5,,
7:59.0,A. Ajinca enters the game for O. Asik,,0-5,,
7:34.0,,,0-7,2,H. Sims makes 2-pt shot from 6 ft (assist by W. Ellington)
7:19.0,Turnover by J. Hamilton (lost ball; steal by W. Ellington),,0-7,,
7:06.0,,,0-7,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
7:05.0,,,0-7,,Offensive rebound by S. Larkin
7:02.0,,,0-7,,S. Larkin misses 2-pt shot from 14 ft
6:59.0,,,0-7,,Offensive rebound by T. Robinson
6:58.0,,,0-7,,T. Robinson misses 2-pt shot from 1 ft
6:56.0,Defensive rebound by T. Douglas,,0-7,,
6:51.0,D. Cunningham misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,0-7,,
6:49.0,,,0-7,,Defensive rebound by H. Sims
6:39.0,,,0-7,,H. Sims misses 2-pt shot from 13 ft
6:38.0,Defensive rebound by A. Ajinca,,0-7,,
6:34.0,New Orleans full timeout,,0-7,,
6:25.0,L. Babbitt makes 2-pt shot from 5 ft (assist by D. Cunningham),2,2-7,,
6:04.0,,,2-7,,R. Hollis-Jefferson misses 2-pt shot from 7 ft
6:03.0,Defensive rebound by Team,,2-7,,
6:03.0,,,2-7,,Loose ball foul by T. Robinson
5:40.0,D. Cunningham misses 3-pt shot from 25 ft,,2-7,,
5:39.0,,,2-7,,Defensive rebound by W. Ellington
5:14.0,,,2-7,,T. Robinson misses 2-pt shot from 19 ft
5:13.0,,,2-7,,Offensive rebound by R. Hollis-Jefferson
5:01.0,,,2-7,,Turnover by H. Sims (3 sec)
4:50.0,Turnover by A. Ajinca (lost ball; steal by H. Sims),,2-7,,
4:36.0,,,2-7,,Shooting foul by J. Hamilton (drawn by T. Robinson)
4:36.0,,,2-7,,T. Robinson misses free throw 1 of 2
4:36.0,,,2-7,,Offensive rebound by Team
4:36.0,,,2-7,,S. Kilpatrick enters the game for W. Ellington
4:36.0,,,2-7,,S. Karasev enters the game for R. Hollis-Jefferson
4:36.0,T. Frazier enters the game for J. Hamilton,,2-7,,
4:36.0,,,2-8,1,T. Robinson makes free throw 2 of 2
4:22.0,Turnover by T. Douglas (lost ball; steal by S. Larkin),,2-8,,
4:19.0,,,2-10,2,S. Larkin makes 2-pt shot from 3 ft
4:06.0,A. Ajinca makes 2-pt shot from 17 ft (assist by L. Babbitt),2,4-10,,
3:53.0,,,4-10,,S. Larkin misses 3-pt shot from 25 ft
3:52.0,,,4-10,,Offensive rebound by T. Robinson
3:50.0,,,4-12,2,T. Robinson makes 2-pt shot from 2 ft
3:40.0,A. Ajinca makes 2-pt shot at rim (assist by T. Douglas),2,6-12,,
3:31.0,Personal foul by L. Babbitt,,6-12,,
3:20.0,,,6-12,,Turnover by T. Robinson (lost ball; steal by T. Frazier)
