time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (K. Lowry gains possession)
11:39.0,,,0-0,,Turnover by D. DeRozan (bad pass)
11:23.0,M. Gortat misses 2-pt shot from 6 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by L. Scola
11:14.0,,,0-0,,D. DeRozan misses 2-pt shot from 3 ft
11:13.0,,,0-0,,Offensive rebound by J. Valanciunas
11:05.0,,,0-3,3,K. Lowry makes 3-pt shot from 24 ft (assist by J. Valanciunas)
10:47.0,O. Porter misses 2-pt shot from 17 ft,,0-3,,
10:46.0,,,0-3,,Defensive rebound by K. Lowry
10:33.0,,,0-5,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by D. DeRozan)
10:17.0,M. Gortat makes 2-pt shot from 5 ft (assist by J. Dudley),2,2-5,,
9:58.0,,,2-7,2,L. Scola makes 2-pt shot from 10 ft (assist by K. Lowry)
9:48.0,J. Wall makes 2-pt shot from 18 ft (assist by J. Dudley),2,4-7,,
9:33.0,,,4-10,3,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan)
9:23.0,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall),2,6-10,,
8:58.0,,,6-10,,L. Scola misses 2-pt shot from 10 ft
8:57.0,Defensive rebound by J. Dudley,,6-10,,
8:42.0,O. Porter makes 2-pt shot from 14 ft (assist by M. Gortat),2,8-10,,
8:30.0,Personal foul by O. Porter (drawn by D. DeRozan),,8-10,,
8:14.0,,,8-10,,L. Scola misses 2-pt shot from 19 ft
8:13.0,Defensive rebound by O. Porter,,8-10,,
8:04.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,11-10,,
7:46.0,,,11-10,,Turnover by K. Lowry (bad pass; steal by J. Wall)
7:41.0,J. Wall makes 2-pt shot from 2 ft,2,13-10,,
7:24.0,,,13-10,,K. Lowry misses 2-pt shot from 11 ft
7:23.0,Defensive rebound by M. Gortat,,13-10,,
7:15.0,J. Wall misses 3-pt shot from 24 ft,,13-10,,
7:14.0,,,13-10,,Defensive rebound by D. Carroll
7:00.0,,,13-12,2,D. DeRozan makes 2-pt shot from 2 ft
6:52.0,G. Temple misses 2-pt shot from 1 ft,,13-12,,
6:51.0,,,13-12,,Defensive rebound by J. Valanciunas
6:46.0,,,13-12,,Turnover by K. Lowry (bad pass; steal by J. Wall)
6:39.0,O. Porter misses 2-pt shot from 20 ft,,13-12,,
6:38.0,,,13-12,,Defensive rebound by L. Scola
6:14.0,,,13-14,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by L. Scola)
6:00.0,,,13-14,,Violation by L. Scola (kicked ball)
5:54.0,Turnover by O. Porter (bad pass; steal by K. Lowry),,13-14,,
5:48.0,,,13-14,,D. Carroll misses 3-pt shot from 25 ft
5:47.0,,,13-14,,Offensive rebound by D. Carroll
5:24.0,,,13-14,,Shooting foul by J. Dudley (drawn by D. Carroll)
5:24.0,,,13-14,,Toronto full timeout
5:24.0,,,13-15,1,D. Carroll makes free throw 1 of 3
5:24.0,,,13-16,1,D. Carroll makes free throw 2 of 3
5:24.0,,,13-16,,D. Carroll misses free throw 3 of 3
5:22.0,,,13-16,,Offensive rebound by J. Valanciunas
5:20.0,,,13-18,2,J. Valanciunas makes 2-pt shot from 1 ft
5:01.0,M. Gortat misses 2-pt shot from 8 ft,,13-18,,
5:00.0,,,13-18,,Defensive rebound by L. Scola
4:55.0,,,13-18,,Turnover by K. Lowry (traveling)
4:44.0,G. Temple misses 2-pt shot from 20 ft,,13-18,,
4:43.0,,,13-18,,Defensive rebound by L. Scola
4:32.0,,,13-20,2,D. DeRozan makes 2-pt shot from 18 ft
4:21.0,Shooting foul by J. Valanciunas (drawn by J. Wall),,13-20,,
4:21.0,J. Wall makes free throw 1 of 2,1,14-20,,
4:21.0,K. Oubre enters the game for O. Porter,,14-20,,
