time,LA Lakers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,P. Tucker misses 2-pt shot at rim
12:00.0,Jump ball: R. Hibbert vs. A. Len (B. Knight gains possession),,,,Jump ball: R. Hibbert vs. A. Len (B. Knight gains possession)
11:39.0,,,0-0,,Offensive rebound by A. Len
11:39.0,,,0-0,,Turnover by A. Len (bad pass)
11:36.0,R. Hibbert misses 2-pt shot from 6 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by D. Booker
11:01.0,Personal foul by R. Hibbert,,0-0,,
11:01.0,,,0-0,,Shooting foul by D. Russell (drawn by D. Booker)
11:01.0,,,0-0,,D. Booker misses free throw 1 of 2
11:01.0,,,0-0,,Offensive rebound by Team
11:01.0,,,0-1,1,D. Booker makes free throw 2 of 2
10:44.0,Turnover by J. Randle (lost ball; steal by J. Leuer),,0-1,,
10:31.0,,,0-1,,B. Knight misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by J. Randle,,0-1,,
10:26.0,,,0-1,,Violation by Team (jump ball)
10:26.0,D. Russell misses 3-pt shot from 24 ft,,0-1,,
10:26.0,,,0-1,,Defensive rebound by P. Tucker
10:07.0,,,0-1,,J. Leuer misses 2-pt shot from 12 ft
10:07.0,Defensive rebound by J. Randle,,0-1,,
9:54.0,Turnover by J. Randle (bad pass),,0-1,,
9:31.0,,,0-1,,A. Len misses 2-pt shot from 6 ft
9:30.0,,,0-1,,Offensive rebound by P. Tucker
9:30.0,,,0-1,,P. Tucker misses 2-pt shot from 2 ft
9:30.0,,,0-1,,Offensive rebound by P. Tucker
9:13.0,,,0-1,,A. Len misses 2-pt shot from 12 ft
9:13.0,Defensive rebound by J. Randle,,0-1,,
8:55.0,K. Bryant makes 2-pt shot from 18 ft,2,2-1,,
8:45.0,,,2-3,2,D. Booker makes 2-pt shot from 1 ft (assist by A. Len)
8:33.0,D. Russell misses 3-pt shot from 24 ft,,2-3,,
8:33.0,Offensive rebound by R. Hibbert,,2-3,,
8:31.0,D. Russell misses 2-pt shot from 1 ft,,2-3,,
8:31.0,,,2-3,,Defensive rebound by J. Leuer
8:22.0,,,2-5,2,B. Knight makes 2-pt shot from 2 ft
8:02.0,Shooting foul by P. Tucker (drawn by K. Bryant),,2-5,,
8:02.0,K. Bryant makes free throw 1 of 2,1,3-5,,
8:02.0,K. Bryant makes free throw 2 of 2,1,4-5,,
7:47.0,,,4-5,,D. Booker misses 2-pt shot from 4 ft
7:47.0,Defensive rebound by R. Hibbert,,4-5,,
7:31.0,J. Clarkson makes 2-pt shot from 4 ft,2,6-5,,
7:15.0,,,6-5,,B. Knight misses 2-pt shot from 17 ft (block by D. Russell)
7:14.0,,,6-5,,Offensive rebound by B. Knight
7:11.0,,,6-5,,A. Len misses 2-pt shot from 15 ft (block by R. Hibbert)
7:11.0,,,6-5,,Offensive rebound by A. Len
7:08.0,,,6-5,,A. Len misses 2-pt shot from 14 ft
7:08.0,Defensive rebound by Team,,6-5,,
6:56.0,K. Bryant misses 2-pt shot from 19 ft,,6-5,,
6:56.0,,,6-5,,Defensive rebound by B. Knight
6:46.0,,,6-5,,D. Booker misses 2-pt shot from 4 ft (block by K. Bryant)
6:45.0,Defensive rebound by Team,,6-5,,
6:30.0,,,6-5,,Personal foul by D. Booker
6:30.0,J. Randle makes 2-pt shot from 3 ft,2,8-5,,
6:14.0,,,8-5,,Turnover by J. Leuer (bad pass)
5:46.0,,,8-5,,Personal foul by A. Len
5:46.0,,,8-5,,Phoenix full timeout
5:46.0,L. Williams enters the game for J. Clarkson,,8-5,,
5:36.0,D. Russell misses 2-pt shot from 16 ft,,8-5,,
5:34.0,,,8-5,,Defensive rebound by P. Tucker
5:18.0,,,8-5,,D. Booker misses 2-pt shot from 14 ft
5:16.0,Defensive rebound by J. Randle,,8-5,,
5:08.0,J. Randle misses 2-pt shot from 1 ft,,8-5,,
5:07.0,,,8-5,,Defensive rebound by A. Len
5:03.0,,,8-5,,Turnover by A. Len (lost ball; steal by D. Russell)
4:55.0,J. Randle makes 2-pt shot at rim (assist by K. Bryant),2,10-5,,
4:44.0,,,10-5,,B. Knight misses 2-pt shot from 1 ft
4:42.0,Defensive rebound by K. Bryant,,10-5,,
4:37.0,Turnover by J. Randle (lost ball; steal by A. Len),,10-5,,
4:31.0,,,10-7,2,D. Booker makes 2-pt shot at rim (assist by P. Tucker)
4:24.0,,,10-7,,Personal foul by B. Knight
4:24.0,,,10-7,,M. Teletovic enters the game for A. Len
4:15.0,K. Bryant misses 2-pt shot from 15 ft,,10-7,,
4:15.0,Offensive rebound by Team,,10-7,,
4:15.0,,,10-7,,Personal foul by J. Leuer
4:15.0,R. Hibbert misses free throw 1 of 2,,10-7,,
4:15.0,Offensive rebound by Team,,10-7,,
4:15.0,R. Hibbert makes free throw 2 of 2,1,11-7,,
3:54.0,,,11-7,,B. Knight misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by R. Hibbert,,11-7,,
3:41.0,K. Bryant makes 2-pt shot from 11 ft,2,13-7,,
3:28.0,,,13-7,,J. Leuer misses 3-pt shot from 24 ft
3:28.0,,,13-7,,Offensive rebound by Team
3:28.0,L. Nance enters the game for D. Russell,,13-7,,
3:28.0,M. Huertas enters the game for R. Hibbert,,13-7,,
3:28.0,B. Bass enters the game for K. Bryant,,13-7,,
3:11.0,,,13-9,2,J. Leuer makes 2-pt shot from 10 ft (assist by B. Knight)
2:52.0,J. Randle misses 2-pt shot from 19 ft,,13-9,,
2:52.0,,,13-9,,Defensive rebound by J. Leuer
2:41.0,Personal foul by M. Huertas,,13-9,,
2:41.0,LA Lakers full timeout,,13-9,,
2:41.0,M. World Peace enters the game for J. Randle,,13-9,,
2:29.0,,,13-9,,R. Price enters the game for B. Knight
2:26.0,,,13-11,2,D. Booker makes 2-pt shot from 20 ft (assist by P. Tucker)
2:10.0,L. Williams makes 3-pt shot from 24 ft,3,16-11,,
1:52.0,,,16-11,,M. Teletovic misses 2-pt shot from 8 ft
1:49.0,Defensive rebound by L. Nance,,16-11,,
1:41.0,B. Bass makes 2-pt shot at rim (assist by L. Williams),2,18-11,,
1:32.0,,,18-11,,Offensive foul by J. Leuer
1:32.0,,,18-11,,Turnover by J. Leuer (offensive foul)
1:32.0,,,18-11,,A. Len enters the game for J. Leuer
1:21.0,L. Williams misses 3-pt shot from 25 ft,,18-11,,
1:20.0,Offensive rebound by L. Williams,,18-11,,
1:17.0,L. Williams makes 3-pt shot from 22 ft,3,21-11,,
1:17.0,Shooting foul by M. Teletovic (drawn by L. Williams),,21-11,,
1:17.0,L. Williams makes free throw 1 of 1,1,22-11,,
1:04.0,,,22-14,3,R. Price makes 3-pt shot from 22 ft (assist by D. Booker)
0:47.0,Turnover by L. Williams (lost ball; steal by D. Booker),,22-14,,
0:45.0,Personal take foul by M. Huertas,,22-14,,
0:39.0,,,22-16,2,D. Booker makes 2-pt shot from 9 ft (assist by A. Len)
0:26.0,L. Nance misses 2-pt shot from 2 ft,,22-16,,
0:25.0,,,22-16,,Defensive rebound by R. Price
0:02.0,,,22-16,,D. Booker misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by L. Nance,,22-16,,
0:00.0,L. Nance misses 3-pt shot from 58 ft,,22-16,,
0:00.0,Offensive rebound by Team,,22-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,M. World Peace misses 3-pt shot from 23 ft,,22-16,,
11:48.0,,,22-16,,Defensive rebound by R. Price
11:28.0,,,22-18,2,A. Len makes 2-pt shot from 2 ft
11:08.0,B. Bass misses 2-pt shot from 11 ft,,22-18,,
11:08.0,,,22-18,,Defensive rebound by C. Budinger
10:49.0,,,22-21,3,R. Price makes 3-pt shot from 23 ft (assist by A. Len)
10:37.0,LA Lakers full timeout,,22-21,,
10:37.0,,,22-21,,J. Jenkins enters the game for D. Booker
10:26.0,,,22-21,,Personal foul by A. Len
10:26.0,J. Clarkson enters the game for L. Williams,,22-21,,
10:21.0,M. Huertas makes 2-pt shot from 13 ft,2,24-21,,
10:11.0,,,24-24,3,M. Teletovic makes 3-pt shot from 26 ft (assist by R. Price)
9:56.0,M. Huertas makes 2-pt shot from 16 ft,2,26-24,,
9:41.0,,,26-24,,M. Teletovic misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by Team,,26-24,,
9:25.0,M. World Peace makes 2-pt shot from 1 ft,2,28-24,,
9:18.0,,,28-24,,Turnover by R. Price (lost ball)
8:57.0,B. Bass makes 2-pt shot from 1 ft (assist by J. Clarkson),2,30-24,,
8:39.0,,,30-24,,J. Jenkins misses 2-pt shot from 1 ft (block by B. Bass)
8:37.0,,,30-24,,Offensive rebound by A. Len
8:36.0,,,30-24,,A. Len misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by L. Nance,,30-24,,
8:27.0,,,30-24,,Personal foul by J. Jenkins
8:22.0,Shooting foul by M. Teletovic (drawn by B. Bass),,30-24,,
8:22.0,B. Bass makes free throw 1 of 2,1,31-24,,
8:22.0,,,31-24,,B. Knight enters the game for J. Jenkins
8:22.0,,,31-24,,D. Booker enters the game for R. Price
8:22.0,B. Bass makes free throw 2 of 2,1,32-24,,
8:01.0,Personal foul by M. World Peace,,32-24,,
7:54.0,,,32-26,2,A. Len makes 2-pt shot at rim (assist by M. Teletovic)
7:40.0,Shooting foul by C. Budinger (drawn by M. World Peace),,32-26,,
7:40.0,M. World Peace makes free throw 1 of 2,1,33-26,,
