time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: T. Chandler vs. D. Jordan (B. Griffin gains possession)
11:36.0,,,0-0,,L. Stephenson misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by T. Chandler,,0-0,,
11:16.0,E. Bledsoe misses 3-pt shot from 26 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by B. Griffin
11:01.0,,,0-2,2,B. Griffin makes 2-pt shot from 19 ft
10:45.0,P. Tucker misses 2-pt shot from 7 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by B. Griffin
10:37.0,,,0-2,,L. Stephenson misses 2-pt shot from 15 ft
10:35.0,Defensive rebound by B. Knight,,0-2,,
10:26.0,M. Morris misses 3-pt shot from 26 ft,,0-2,,
10:25.0,,,0-2,,Defensive rebound by L. Stephenson
10:24.0,,,0-2,,Turnover by L. Stephenson (bad pass)
10:13.0,M. Morris misses 2-pt shot from 15 ft,,0-2,,
10:11.0,,,0-2,,Defensive rebound by L. Stephenson
10:00.0,,,0-2,,B. Griffin misses 2-pt shot from 4 ft
9:59.0,Defensive rebound by T. Chandler,,0-2,,
9:53.0,E. Bledsoe makes 2-pt shot from 14 ft,2,2-2,,
9:41.0,,,2-5,3,C. Paul makes 3-pt shot from 26 ft (assist by L. Stephenson)
9:31.0,E. Bledsoe misses 2-pt shot from 20 ft,,2-5,,
9:30.0,,,2-5,,Defensive rebound by D. Jordan
9:25.0,Personal foul by E. Bledsoe (drawn by C. Paul),,2-5,,
9:15.0,,,2-5,,B. Griffin misses 2-pt shot from 14 ft
9:12.0,Defensive rebound by T. Chandler,,2-5,,
9:05.0,T. Chandler makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,4-5,,
8:51.0,,,4-5,,J. Redick misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by Team,,4-5,,
8:35.0,Shooting foul by J. Redick (drawn by B. Knight),,4-5,,
8:35.0,B. Knight makes free throw 1 of 3,1,5-5,,
8:35.0,B. Knight makes free throw 2 of 3,1,6-5,,
8:35.0,B. Knight makes free throw 3 of 3,1,7-5,,
