time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Jordan (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. D. Jordan (E. Bledsoe gains possession)
11:35.0,,,0-0,,M. Morris misses 2-pt shot from 17 ft
11:33.0,Defensive rebound by B. Griffin,,0-0,,
11:27.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,2-0,,
11:27.0,Shooting foul by M. Morris (drawn by D. Jordan),,2-0,,
11:27.0,D. Jordan makes free throw 1 of 1,1,3-0,,
10:56.0,Turnover by L. Stephenson (lost ball; steal by M. Morris),,3-0,,
10:49.0,,,3-0,,P. Tucker misses 2-pt shot at rim
10:47.0,Defensive rebound by L. Stephenson,,3-0,,
10:34.0,L. Stephenson misses 2-pt shot from 18 ft,,3-0,,
10:32.0,,,3-0,,Defensive rebound by T. Chandler
10:24.0,,,3-0,,Turnover by E. Bledsoe (bad pass; steal by L. Stephenson)
10:15.0,Turnover by P. Prigioni (bad pass; steal by E. Bledsoe),,3-0,,
10:14.0,Personal foul by P. Prigioni (drawn by E. Bledsoe),,3-0,,
10:00.0,,,3-3,3,B. Knight makes 3-pt shot from 24 ft (assist by E. Bledsoe)
9:42.0,Turnover by P. Prigioni (bad pass; steal by E. Bledsoe),,3-3,,
9:39.0,,,3-5,2,E. Bledsoe makes 2-pt shot from 1 ft
9:24.0,L. Stephenson misses 3-pt shot from 24 ft,,3-5,,
9:22.0,,,3-5,,Defensive rebound by T. Chandler
9:10.0,,,3-7,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
9:00.0,L. Stephenson misses 3-pt shot from 24 ft,,3-7,,
8:58.0,,,3-7,,Defensive rebound by M. Morris
8:50.0,,,3-7,,B. Knight misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by D. Jordan,,3-7,,
8:32.0,A. Rivers makes 3-pt shot from 25 ft,3,6-7,,
8:11.0,,,6-7,,Shooting foul by D. Jordan (drawn by B. Knight)
8:11.0,,,6-8,1,B. Knight makes free throw 1 of 2
8:11.0,,,6-8,,B. Knight misses free throw 2 of 2
8:09.0,Defensive rebound by D. Jordan,,6-8,,
7:54.0,A. Rivers misses 2-pt shot from 17 ft,,6-8,,
7:48.0,,,6-8,,Defensive rebound by P. Tucker
7:46.0,,,6-8,,Turnover by E. Bledsoe (lost ball; steal by P. Prigioni)
7:43.0,P. Prigioni misses 2-pt shot from 1 ft,,6-8,,
7:39.0,Offensive rebound by L. Stephenson,,6-8,,
7:39.0,L. Stephenson makes 2-pt shot from 2 ft,2,8-8,,
7:39.0,Violation by Team (delay of game),,8-8,,
