time,Golden State,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Vucevic (D. Green gains possession),,,,Jump ball: A. Bogut vs. N. Vucevic (D. Green gains possession)
11:39.0,Shooting foul by E. Payton (drawn by H. Barnes),,0-0,,
11:39.0,H. Barnes makes free throw 1 of 3,1,1-0,,
11:39.0,H. Barnes misses free throw 2 of 3,,1-0,,
11:39.0,Offensive rebound by Team,,1-0,,
11:39.0,H. Barnes misses free throw 3 of 3,,1-0,,
11:38.0,,,1-0,,Defensive rebound by A. Gordon
11:29.0,,,1-0,,N. Vucevic misses 2-pt shot from 9 ft
11:28.0,Defensive rebound by S. Curry,,1-0,,
11:22.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,3-0,,
11:12.0,,,3-3,3,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Payton)
11:05.0,Turnover by S. Curry (bad pass; steal by E. Fournier),,3-3,,
10:59.0,,,3-3,,V. Oladipo misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by D. Green,,3-3,,
10:49.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut),2,5-3,,
10:30.0,,,5-5,2,A. Gordon makes 2-pt shot from 1 ft
10:18.0,Turnover by D. Green (lost ball),,5-5,,
10:11.0,,,5-5,,E. Fournier misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by S. Curry,,5-5,,
10:05.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,8-5,,
9:52.0,,,8-5,,V. Oladipo misses 2-pt shot from 9 ft
9:50.0,Defensive rebound by D. Green,,8-5,,
9:45.0,D. Green misses 2-pt shot from 4 ft (block by N. Vucevic),,8-5,,
9:42.0,,,8-5,,Defensive rebound by E. Payton
9:39.0,,,8-5,,Shooting foul by A. Bogut (drawn by N. Vucevic)
9:39.0,,,8-5,,N. Vucevic misses free throw 1 of 2
9:39.0,,,8-5,,Offensive rebound by Team
9:39.0,,,8-6,1,N. Vucevic makes free throw 2 of 2
9:17.0,K. Thompson misses 2-pt shot from 2 ft,,8-6,,
9:15.0,,,8-6,,Defensive rebound by N. Vucevic
9:05.0,,,8-6,,V. Oladipo misses 2-pt shot from 1 ft (block by A. Bogut)
9:00.0,,,8-6,,Offensive rebound by N. Vucevic
9:00.0,,,8-8,2,N. Vucevic makes 2-pt shot from 2 ft
8:52.0,,,8-8,,Personal foul by A. Gordon (drawn by D. Green)
8:46.0,K. Thompson misses 2-pt shot from 7 ft,,8-8,,
8:43.0,Offensive rebound by A. Bogut,,8-8,,
8:38.0,Turnover by D. Green (bad pass; steal by V. Oladipo),,8-8,,
8:28.0,,,8-11,3,A. Gordon makes 3-pt shot from 23 ft (assist by N. Vucevic)
8:19.0,,,8-11,,Personal foul by V. Oladipo (drawn by S. Curry)
8:10.0,S. Curry misses 3-pt shot from 26 ft,,8-11,,
8:09.0,,,8-11,,Defensive rebound by E. Fournier
8:03.0,,,8-11,,E. Fournier misses 2-pt shot from 1 ft (block by A. Bogut)
8:02.0,,,8-11,,Offensive rebound by Team
7:50.0,,,8-13,2,N. Vucevic makes 2-pt shot from 11 ft
7:37.0,D. Green misses 2-pt shot from 9 ft,,8-13,,
7:34.0,,,8-13,,Defensive rebound by Team
7:24.0,,,8-15,2,E. Fournier makes 2-pt shot from 1 ft
7:17.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,10-15,,
7:07.0,,,10-15,,N. Vucevic misses 2-pt shot from 19 ft
7:06.0,Defensive rebound by D. Green,,10-15,,
7:03.0,Turnover by H. Barnes (bad pass; steal by E. Fournier),,10-15,,
6:53.0,,,10-15,,N. Vucevic misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by A. Bogut,,10-15,,
6:47.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,12-15,,
6:45.0,,,12-15,,Orlando full timeout
6:32.0,,,12-15,,E. Fournier misses 2-pt shot from 10 ft
6:31.0,Defensive rebound by K. Thompson,,12-15,,
6:17.0,H. Barnes misses 2-pt shot from 2 ft (block by N. Vucevic),,12-15,,
6:15.0,Offensive rebound by A. Bogut,,12-15,,
6:13.0,A. Bogut makes 2-pt shot from 3 ft,2,14-15,,
5:55.0,,,14-17,2,V. Oladipo makes 2-pt shot from 1 ft
5:45.0,S. Curry makes 3-pt shot from 25 ft,3,17-17,,
5:28.0,,,17-20,3,E. Payton makes 3-pt shot from 25 ft (assist by N. Vucevic)
5:11.0,,,17-20,,Violation by N. Vucevic (kicked ball)
5:11.0,A. Iguodala enters the game for H. Barnes,,17-20,,
4:59.0,K. Thompson misses 3-pt shot from 25 ft,,17-20,,
4:57.0,,,17-20,,Defensive rebound by V. Oladipo
4:44.0,,,17-23,3,E. Fournier makes 3-pt shot from 24 ft (assist by V. Oladipo)
4:27.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,20-23,,
4:19.0,,,20-23,,Turnover by E. Payton (bad pass)
4:19.0,,,20-23,,E. Ilyasova enters the game for A. Gordon
4:19.0,A. Varejao enters the game for A. Bogut,,20-23,,
4:19.0,L. Barbosa enters the game for K. Thompson,,20-23,,
4:01.0,L. Barbosa makes 2-pt shot from 1 ft (assist by A. Varejao),2,22-23,,
3:47.0,,,22-23,,V. Oladipo misses 2-pt shot from 9 ft
3:46.0,Defensive rebound by A. Iguodala,,22-23,,
3:42.0,L. Barbosa makes 2-pt shot from 1 ft (assist by A. Iguodala),2,24-23,,
3:28.0,,,24-25,2,E. Fournier makes 2-pt shot from 7 ft (assist by V. Oladipo)
3:28.0,,,24-25,,Shooting foul by S. Curry (drawn by E. Fournier)
3:28.0,,,24-26,1,E. Fournier makes free throw 1 of 1
3:12.0,Turnover by D. Green (lost ball),,24-26,,
3:12.0,,,24-26,,M. Hezonja enters the game for E. Fournier
2:57.0,,,24-26,,Turnover by N. Vucevic (lost ball; steal by A. Varejao)
2:51.0,L. Barbosa misses 2-pt shot from 22 ft,,24-26,,
2:50.0,Offensive rebound by A. Varejao,,24-26,,
2:50.0,A. Varejao misses 2-pt shot from 1 ft,,24-26,,
2:47.0,,,24-26,,Defensive rebound by E. Payton
2:42.0,,,24-26,,Turnover by E. Payton (bad pass; steal by D. Green)
2:38.0,Turnover by D. Green (bad pass; steal by E. Ilyasova),,24-26,,
2:26.0,,,24-26,,M. Hezonja misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by A. Varejao,,24-26,,
2:15.0,S. Curry misses 3-pt shot from 25 ft,,24-26,,
2:14.0,,,24-26,,Defensive rebound by V. Oladipo
2:05.0,,,24-28,2,E. Payton makes 2-pt shot from 1 ft
1:55.0,L. Barbosa makes 2-pt shot from 1 ft,2,26-28,,
1:45.0,,,26-28,,Shooting foul by A. Varejao (drawn by N. Vucevic)
1:45.0,Golden State full timeout,,26-28,,
1:45.0,,,26-28,,B. Jennings enters the game for E. Payton
1:45.0,H. Barnes enters the game for D. Green,,26-28,,
1:45.0,,,26-29,1,N. Vucevic makes free throw 1 of 2
1:45.0,,,26-30,1,N. Vucevic makes free throw 2 of 2
1:24.0,S. Curry makes 2-pt shot from 17 ft (assist by A. Iguodala),2,28-30,,
1:07.0,,,28-30,,N. Vucevic misses 2-pt shot from 20 ft
1:06.0,Defensive rebound by L. Barbosa,,28-30,,
1:00.0,Turnover by L. Barbosa (bad pass; steal by V. Oladipo),,28-30,,
1:00.0,,,28-30,,Turnover by N. Vucevic (bad pass)
1:00.0,,,28-30,,J. Smith enters the game for N. Vucevic
