time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession)
11:42.0,,,0-3,3,R. Jackson makes 3-pt shot from 24 ft (assist by A. Drummond)
11:21.0,D. DeRozan makes 2-pt shot from 9 ft (assist by C. Joseph),2,2-3,,
11:07.0,,,2-3,,T. Harris misses 2-pt shot from 15 ft
11:06.0,Defensive rebound by L. Scola,,2-3,,
10:49.0,J. Johnson makes 3-pt shot from 26 ft (assist by D. DeRozan),3,5-3,,
10:32.0,,,5-3,,K. Caldwell-Pope misses 2-pt shot from 17 ft
10:31.0,Defensive rebound by J. Johnson,,5-3,,
10:07.0,D. DeRozan makes 2-pt shot from 15 ft (assist by J. Johnson),2,7-3,,
9:52.0,,,7-3,,T. Harris misses 2-pt shot from 17 ft
9:51.0,Defensive rebound by J. Johnson,,7-3,,
9:40.0,J. Valanciunas misses 2-pt shot from 8 ft,,7-3,,
9:38.0,,,7-3,,Defensive rebound by A. Drummond
9:27.0,,,7-3,,Turnover by R. Jackson (bad pass; steal by J. Valanciunas)
9:17.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by J. Johnson),2,9-3,,
9:06.0,,,9-5,2,R. Jackson makes 2-pt shot from 1 ft
9:06.0,,,9-5,,Shooting foul by C. Joseph (drawn by R. Jackson)
9:06.0,,,9-6,1,R. Jackson makes free throw 1 of 1
8:54.0,,,9-6,,Personal foul by T. Harris (drawn by D. DeRozan)
8:45.0,,,9-6,,Personal foul by A. Drummond (drawn by J. Valanciunas)
8:33.0,Shooting foul by T. Harris (drawn by J. Johnson),,9-6,,
8:33.0,J. Johnson misses free throw 1 of 2,,9-6,,
8:33.0,Offensive rebound by Team,,9-6,,
8:33.0,,,9-6,,J. Harper enters the game for T. Harris
8:33.0,J. Johnson misses free throw 2 of 2,,9-6,,
8:31.0,,,9-6,,Defensive rebound by A. Drummond
8:20.0,,,9-6,,M. Morris misses 2-pt shot from 12 ft
8:18.0,Defensive rebound by J. Valanciunas,,9-6,,
8:01.0,D. DeRozan misses 2-pt shot from 13 ft,,9-6,,
8:00.0,,,9-6,,Defensive rebound by A. Drummond
7:53.0,Personal foul by C. Joseph (drawn by R. Jackson),,9-6,,
7:53.0,D. Wright enters the game for C. Joseph,,9-6,,
7:43.0,,,9-9,3,J. Harper makes 3-pt shot from 25 ft (assist by R. Jackson)
7:30.0,Turnover by D. Wright (bad pass),,9-9,,
7:10.0,,,9-11,2,K. Caldwell-Pope makes 2-pt shot from 15 ft (assist by M. Morris)
6:50.0,J. Valanciunas makes 2-pt shot from 16 ft (assist by D. Wright),2,11-11,,
6:37.0,,,11-11,,R. Jackson misses 2-pt shot from 16 ft
6:35.0,Defensive rebound by D. Wright,,11-11,,
6:14.0,J. Johnson misses 2-pt shot from 2 ft,,11-11,,
6:13.0,,,11-11,,Defensive rebound by A. Drummond
6:07.0,,,11-11,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:06.0,Defensive rebound by J. Valanciunas,,11-11,,
5:45.0,D. DeRozan makes 2-pt shot from 19 ft,2,13-11,,
5:26.0,,,13-14,3,J. Harper makes 3-pt shot from 24 ft (assist by M. Morris)
5:20.0,Toronto full timeout,,13-14,,
5:01.0,D. DeRozan makes 2-pt shot from 18 ft,2,15-14,,
4:39.0,,,15-14,,R. Jackson misses 3-pt shot from 25 ft
4:38.0,,,15-14,,Offensive rebound by A. Drummond
4:34.0,,,15-14,,A. Drummond misses 2-pt shot from 7 ft
4:32.0,Defensive rebound by J. Johnson,,15-14,,
4:25.0,,,15-14,,Personal foul by J. Harper (drawn by L. Scola)
4:25.0,T. Ross enters the game for J. Johnson,,15-14,,
4:25.0,,,15-14,,R. Bullock enters the game for M. Morris
4:12.0,D. Wright misses 3-pt shot from 22 ft,,15-14,,
4:11.0,,,15-14,,Defensive rebound by A. Drummond
4:00.0,,,15-16,2,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by R. Jackson)
3:45.0,,,15-16,,Personal foul by K. Caldwell-Pope (drawn by L. Scola)
3:45.0,L. Scola misses free throw 1 of 2,,15-16,,
3:45.0,Offensive rebound by Team,,15-16,,
3:45.0,L. Scola makes free throw 2 of 2,1,16-16,,
3:33.0,,,16-16,,A. Drummond misses 2-pt shot from 2 ft (block by D. DeRozan)
3:31.0,,,16-16,,Offensive rebound by A. Drummond
3:27.0,,,16-19,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by A. Drummond)
3:03.0,T. Ross makes 2-pt shot from 18 ft,2,18-19,,
2:41.0,,,18-21,2,R. Bullock makes 2-pt shot from 20 ft (assist by K. Caldwell-Pope)
2:21.0,L. Scola misses 2-pt shot from 1 ft,,18-21,,
2:20.0,,,18-21,,Defensive rebound by A. Drummond
2:12.0,,,18-21,,Shooting foul by L. Scola (drawn by R. Jackson)
2:12.0,,,18-21,,Detroit full timeout
2:12.0,B. Biyombo enters the game for L. Scola,,18-21,,
2:12.0,P. Patterson enters the game for J. Valanciunas,,18-21,,
2:12.0,,,18-22,1,R. Jackson makes free throw 1 of 2
2:12.0,,,18-23,1,R. Jackson makes free throw 2 of 2
1:56.0,T. Ross makes 2-pt shot at rim (assist by D. DeRozan),2,20-23,,
1:34.0,,,20-23,,A. Drummond misses 2-pt shot at rim
1:32.0,Defensive rebound by B. Biyombo,,20-23,,
1:27.0,D. DeRozan makes 2-pt shot from 12 ft,2,22-23,,
1:27.0,Shooting foul by K. Caldwell-Pope (drawn by D. DeRozan),,22-23,,
1:27.0,,,22-23,,S. Blake enters the game for R. Jackson
1:27.0,,,22-23,,D. Hilliard enters the game for K. Caldwell-Pope
1:27.0,,,22-23,,Violation by Team (delay of game)
1:27.0,D. DeRozan makes free throw 1 of 1,1,23-23,,
1:04.0,,,23-23,,J. Harper misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by B. Biyombo,,23-23,,
0:45.0,D. Wright misses 3-pt shot from 25 ft,,23-23,,
0:44.0,,,23-23,,Defensive rebound by A. Drummond
0:34.0,,,23-23,,Turnover by S. Blake (bad pass; steal by P. Patterson)
0:13.0,D. DeRozan makes 2-pt shot from 11 ft,2,25-23,,
0:06.0,Personal foul by D. Wright (drawn by S. Blake),,25-23,,
0:02.0,,,25-23,,Turnover by S. Blake (lost ball; steal by D. Wright)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,T. Ross makes 3-pt shot from 26 ft (assist by J. Johnson),3,28-23,,
11:50.0,Shooting foul by D. Hilliard (drawn by T. Ross),,28-23,,
11:50.0,T. Ross makes free throw 1 of 1,1,29-23,,
11:35.0,,,29-23,,D. Hilliard misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by T. Ross,,29-23,,
11:26.0,T. Ross misses 2-pt shot from 17 ft,,29-23,,
11:25.0,Jump ball: B. Biyombo vs. T. Harris (T. Ross gains possession),,,,Jump ball: B. Biyombo vs. T. Harris (T. Ross gains possession)
11:25.0,Offensive rebound by Team,,29-23,,
11:06.0,T. Ross makes 3-pt shot from 24 ft (assist by D. Wright),3,32-23,,
10:53.0,Personal foul by J. Johnson (drawn by R. Bullock),,32-23,,
10:53.0,,,32-23,,M. Morris enters the game for D. Hilliard
10:40.0,,,32-25,2,M. Morris makes 2-pt shot at rim (assist by R. Bullock)
10:19.0,J. Johnson makes 2-pt shot at rim,2,34-25,,
10:08.0,,,34-25,,Detroit full timeout
9:57.0,,,34-27,2,T. Harris makes 2-pt shot from 1 ft
9:41.0,Shooting foul by A. Baynes (drawn by D. Wright),,34-27,,
9:41.0,D. Wright makes free throw 1 of 2,1,35-27,,
9:41.0,D. Wright makes free throw 2 of 2,1,36-27,,
9:23.0,,,36-29,2,M. Morris makes 2-pt shot from 16 ft (assist by T. Harris)
9:03.0,T. Ross misses 3-pt shot from 25 ft,,36-29,,
9:02.0,,,36-29,,Defensive rebound by T. Harris
8:45.0,,,36-29,,Turnover by S. Blake (bad pass)
8:31.0,T. Ross misses 2-pt shot from 19 ft,,36-29,,
8:30.0,Offensive rebound by P. Patterson,,36-29,,
8:29.0,P. Patterson misses 2-pt shot at rim,,36-29,,
8:29.0,,,36-29,,Defensive rebound by Team
8:29.0,Loose ball foul by B. Biyombo (drawn by A. Baynes),,36-29,,
8:16.0,,,36-32,3,T. Harris makes 3-pt shot from 23 ft (assist by M. Morris)
7:54.0,B. Biyombo makes 2-pt shot from 15 ft (assist by D. Wright),2,38-32,,
7:41.0,Personal foul by T. Ross (drawn by R. Bullock),,38-32,,
7:41.0,D. DeRozan enters the game for J. Johnson,,38-32,,
7:41.0,C. Joseph enters the game for D. Wright,,38-32,,
7:34.0,,,38-32,,R. Bullock misses 3-pt shot from 25 ft
7:34.0,,,38-32,,Offensive rebound by M. Morris
7:33.0,,,38-32,,M. Morris misses 2-pt shot at rim
7:31.0,Defensive rebound by D. DeRozan,,38-32,,
7:23.0,D. DeRozan misses 2-pt shot from 15 ft,,38-32,,
7:22.0,,,38-32,,Defensive rebound by M. Morris
7:14.0,,,38-32,,Shooting foul by B. Biyombo (drawn by M. Morris)
7:14.0,,,38-33,1,M. Morris makes free throw 1 of 2
7:14.0,,,38-33,,K. Caldwell-Pope enters the game for R. Bullock
7:14.0,,,38-34,1,M. Morris makes free throw 2 of 2
7:03.0,P. Patterson makes 3-pt shot from 24 ft (assist by T. Ross),3,41-34,,
6:47.0,,,41-37,3,T. Harris makes 3-pt shot from 24 ft (assist by S. Blake)
6:28.0,D. DeRozan misses 2-pt shot from 18 ft,,41-37,,
6:27.0,,,41-37,,Defensive rebound by K. Caldwell-Pope
6:14.0,,,41-37,,Turnover by S. Blake (lost ball)
6:14.0,,,41-37,,R. Jackson enters the game for S. Blake
6:14.0,,,41-37,,A. Drummond enters the game for A. Baynes
6:14.0,J. Valanciunas enters the game for B. Biyombo,,41-37,,
5:57.0,C. Joseph misses 3-pt shot from 24 ft,,41-37,,
5:56.0,,,41-37,,Defensive rebound by A. Drummond
5:47.0,,,41-39,2,R. Jackson makes 2-pt shot at rim
5:42.0,Toronto full timeout,,41-39,,
5:25.0,C. Joseph makes 2-pt shot at rim,2,43-39,,
5:05.0,,,43-41,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:48.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,45-41,,
4:41.0,,,45-41,,Detroit full timeout
4:41.0,Violation by Team (delay of game),,45-41,,
4:40.0,Personal take foul by J. Valanciunas (drawn by A. Drummond),,45-41,,
4:40.0,,,45-41,,A. Drummond misses free throw 1 of 2
4:40.0,,,45-41,,Offensive rebound by Team
4:40.0,,,45-42,1,A. Drummond makes free throw 2 of 2
4:16.0,D. DeRozan misses 2-pt shot from 13 ft,,45-42,,
4:15.0,,,45-42,,Defensive rebound by T. Harris
4:08.0,,,45-42,,M. Morris misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by J. Valanciunas,,45-42,,
3:58.0,Offensive charge foul by C. Joseph,,45-42,,
3:58.0,Turnover by C. Joseph (offensive foul),,45-42,,
3:58.0,D. Wright enters the game for C. Joseph,,45-42,,
3:47.0,,,45-44,2,R. Jackson makes 2-pt shot from 7 ft
3:24.0,D. Wright misses 2-pt shot from 17 ft,,45-44,,
3:23.0,Offensive rebound by P. Patterson,,45-44,,
3:19.0,Turnover by P. Patterson (bad pass; steal by K. Caldwell-Pope),,45-44,,
3:14.0,,,45-46,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
3:14.0,,,45-46,,Shooting foul by D. DeRozan (drawn by A. Drummond)
3:14.0,,,45-46,,A. Drummond misses free throw 1 of 1
3:14.0,,,45-46,,Offensive rebound by Team
3:14.0,Loose ball foul by J. Valanciunas (drawn by T. Harris),,45-46,,
3:14.0,,,45-47,1,T. Harris makes free throw 1 of 2
3:14.0,,,45-48,1,T. Harris makes free throw 2 of 2
2:55.0,P. Patterson misses 3-pt shot from 24 ft,,45-48,,
2:54.0,,,45-48,,Defensive rebound by M. Morris
2:50.0,,,45-48,,Offensive foul by R. Jackson
