time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (D. Green gains possession),,,,Jump ball: S. Adams vs. T. Duncan (D. Green gains possession)
11:43.0,Shooting foul by S. Adams (drawn by K. Leonard),,0-0,,
11:43.0,K. Leonard makes free throw 1 of 2,1,1-0,,
11:43.0,K. Leonard makes free throw 2 of 2,1,2-0,,
11:28.0,,,2-2,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant)
11:05.0,L. Aldridge misses 2-pt shot from 2 ft,,2-2,,
11:03.0,Offensive rebound by K. Leonard,,2-2,,
11:03.0,K. Leonard makes 2-pt shot from 1 ft,2,4-2,,
10:39.0,,,4-2,,A. Roberson misses 3-pt shot from 23 ft
10:36.0,Defensive rebound by D. Green,,4-2,,
10:18.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,6-2,,
10:07.0,,,6-4,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:51.0,L. Aldridge makes 2-pt shot from 16 ft,2,8-4,,
9:33.0,,,8-4,,Turnover by R. Westbrook (lost ball; steal by D. Green)
9:12.0,K. Leonard misses 2-pt shot from 17 ft,,8-4,,
9:12.0,Offensive rebound by T. Duncan,,8-4,,
9:00.0,L. Aldridge misses 2-pt shot from 14 ft,,8-4,,
9:00.0,,,8-4,,Defensive rebound by K. Durant
8:43.0,,,8-4,,R. Westbrook misses 2-pt shot from 6 ft
8:42.0,,,8-4,,Offensive rebound by S. Adams
8:41.0,,,8-4,,Shooting foul by T. Duncan (drawn by S. Adams)
8:41.0,,,8-4,,S. Adams misses free throw 1 of 2
8:41.0,,,8-4,,Offensive rebound by Team
8:41.0,,,8-5,1,S. Adams makes free throw 2 of 2
8:23.0,Turnover by K. Leonard (3 sec),,8-5,,
8:12.0,,,8-7,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
8:01.0,Turnover by K. Leonard (offensive foul),,8-7,,
8:01.0,Offensive foul by K. Leonard,,8-7,,
7:49.0,,,8-9,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:35.0,T. Parker makes 2-pt shot from 18 ft,2,10-9,,
7:23.0,,,10-9,,Turnover by R. Westbrook (lost ball; steal by K. Leonard)
7:16.0,D. Green misses 2-pt shot at rim,,10-9,,
7:16.0,,,10-9,,Defensive rebound by S. Adams
7:02.0,,,10-9,,R. Westbrook misses 3-pt shot from 23 ft
7:02.0,Defensive rebound by L. Aldridge,,10-9,,
6:48.0,L. Aldridge misses 2-pt shot from 18 ft,,10-9,,
6:48.0,,,10-9,,Defensive rebound by K. Durant
6:32.0,,,10-9,,R. Westbrook misses 2-pt shot from 4 ft
6:32.0,Defensive rebound by T. Duncan,,10-9,,
6:26.0,T. Parker makes 2-pt shot from 1 ft,2,12-9,,
6:04.0,,,12-9,,K. Durant misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by D. Green,,12-9,,
5:40.0,K. Leonard misses 2-pt shot from 12 ft,,12-9,,
5:39.0,,,12-9,,Defensive rebound by R. Westbrook
5:33.0,,,12-9,,S. Ibaka misses 3-pt shot from 24 ft
5:29.0,,,12-9,,Offensive rebound by K. Durant
5:29.0,,,12-9,,K. Durant misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by T. Duncan,,12-9,,
5:24.0,San Antonio full timeout,,12-9,,
5:24.0,,,12-9,,D. Waiters enters the game for K. Durant
5:24.0,,,12-9,,E. Kanter enters the game for S. Adams
5:09.0,Turnover by L. Aldridge (traveling),,12-9,,
5:01.0,,,12-9,,Shooting foul by T. Duncan (drawn by E. Kanter)
5:01.0,,,12-10,1,E. Kanter makes free throw 1 of 2
5:01.0,M. Ginobili enters the game for D. Green,,12-10,,
5:01.0,D. West enters the game for T. Duncan,,12-10,,
5:01.0,,,12-11,1,E. Kanter makes free throw 2 of 2
