time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Hibbert (A. Len gains possession),,,,Jump ball: T. Chandler vs. R. Hibbert (A. Len gains possession)
11:38.0,A. Len misses 2-pt shot from 18 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by R. Hibbert
11:21.0,,,0-0,,Turnover by J. Clarkson (back court)
11:10.0,D. Booker makes 2-pt shot from 20 ft,2,2-0,,
10:49.0,,,2-0,,D. Russell misses 2-pt shot from 20 ft
10:46.0,Defensive rebound by A. Len,,2-0,,
10:37.0,,,2-0,,Personal foul by M. World Peace
10:33.0,Turnover by A. Len (bad pass),,2-0,,
10:21.0,,,2-3,3,J. Clarkson makes 3-pt shot from 25 ft (assist by D. Russell)
10:05.0,D. Booker misses 3-pt shot from 24 ft,,2-3,,
10:02.0,,,2-3,,Defensive rebound by M. World Peace
9:55.0,,,2-3,,Offensive foul by D. Russell
9:55.0,,,2-3,,Turnover by D. Russell (offensive foul)
9:35.0,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker),3,5-3,,
9:23.0,,,5-3,,J. Clarkson misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by T. Chandler,,5-3,,
9:06.0,P. Tucker makes 2-pt shot from 8 ft,2,7-3,,
8:48.0,,,7-3,,J. Randle misses 2-pt shot from 13 ft
8:46.0,Defensive rebound by T. Chandler,,7-3,,
8:35.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,9-3,,
8:07.0,,,9-3,,J. Randle misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by T. Chandler,,9-3,,
8:00.0,T. Chandler makes 2-pt shot from 9 ft (assist by B. Knight),2,11-3,,
8:00.0,Shooting foul by R. Hibbert (drawn by T. Chandler),,11-3,,
8:00.0,T. Chandler misses free throw 1 of 1,,11-3,,
7:57.0,,,11-3,,Defensive rebound by D. Russell
7:35.0,,,11-3,,J. Clarkson misses 2-pt shot from 12 ft
7:33.0,Defensive rebound by A. Len,,11-3,,
7:18.0,A. Len misses 2-pt shot from 6 ft,,11-3,,
7:17.0,Offensive rebound by A. Len,,11-3,,
7:16.0,A. Len misses 2-pt shot from 1 ft,,11-3,,
7:14.0,,,11-3,,Defensive rebound by D. Russell
7:06.0,,,11-3,,Shooting foul by B. Knight (drawn by D. Russell)
7:06.0,,,11-4,1,D. Russell makes free throw 1 of 2
7:06.0,,,11-5,1,D. Russell makes free throw 2 of 2
6:55.0,Turnover by D. Booker (lost ball; steal by R. Hibbert),,11-5,,
6:49.0,,,11-5,,D. Russell misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by D. Booker,,11-5,,
6:35.0,B. Knight misses 2-pt shot from 21 ft,,11-5,,
6:34.0,,,11-5,,Defensive rebound by M. World Peace
6:22.0,,,11-5,,D. Russell misses 2-pt shot from 17 ft
6:20.0,Defensive rebound by Team,,11-5,,
6:20.0,,,11-5,,Violation by D. Russell (kicked ball)
6:09.0,Turnover by A. Len (3 sec),,11-5,,
5:43.0,,,11-5,,J. Clarkson misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by P. Tucker,,11-5,,
5:21.0,D. Booker misses 2-pt shot from 20 ft,,11-5,,
5:20.0,,,11-5,,Defensive rebound by R. Hibbert
5:10.0,,,11-5,,J. Randle misses 2-pt shot from 2 ft
5:09.0,,,11-5,,Offensive rebound by D. Russell
5:09.0,Personal foul by P. Tucker,,11-5,,
5:09.0,,,11-5,,LA Lakers full timeout
5:09.0,,,11-5,,L. Nance enters the game for M. World Peace
5:09.0,,,11-5,,L. Williams enters the game for J. Clarkson
4:55.0,,,11-5,,L. Nance misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by A. Len,,11-5,,
4:39.0,D. Booker misses 2-pt shot from 2 ft (block by L. Nance),,11-5,,
4:35.0,,,11-5,,Defensive rebound by J. Randle
4:28.0,,,11-7,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
4:16.0,D. Booker misses 2-pt shot from 17 ft,,11-7,,
4:13.0,Offensive rebound by T. Chandler,,11-7,,
4:09.0,T. Chandler makes 2-pt shot from 1 ft,2,13-7,,
3:54.0,,,13-10,3,L. Williams makes 3-pt shot from 24 ft (assist by D. Russell)
3:39.0,A. Len misses 2-pt shot from 5 ft,,13-10,,
3:36.0,,,13-10,,Defensive rebound by R. Hibbert
3:19.0,,,13-10,,J. Randle misses 2-pt shot from 7 ft
3:16.0,Defensive rebound by D. Booker,,13-10,,
3:11.0,B. Knight makes 3-pt shot from 25 ft (assist by D. Booker),3,16-10,,
2:54.0,,,16-12,2,R. Hibbert makes 2-pt shot from 12 ft (assist by D. Russell)
2:46.0,A. Len misses 2-pt shot from 16 ft,,16-12,,
2:45.0,,,16-12,,Defensive rebound by J. Randle
2:36.0,,,16-14,2,D. Russell makes 2-pt shot from 10 ft
2:30.0,Phoenix full timeout,,16-14,,
2:30.0,,,16-14,,M. Huertas enters the game for D. Russell
2:30.0,,,16-14,,B. Bass enters the game for R. Hibbert
2:30.0,,,16-14,,R. Kelly enters the game for J. Randle
2:30.0,M. Teletovic enters the game for A. Len,,16-14,,
2:30.0,R. Price enters the game for D. Booker,,16-14,,
2:16.0,T. Chandler makes 2-pt shot at rim (assist by R. Price),2,18-14,,
2:02.0,,,18-14,,Shooting foul by R. Price (drawn by L. Williams)
2:02.0,,,18-15,1,L. Williams makes free throw 1 of 2
2:02.0,,,18-16,1,L. Williams makes free throw 2 of 2
1:49.0,B. Knight misses 2-pt shot from 9 ft (block by L. Williams),,18-16,,
1:43.0,Offensive rebound by B. Knight,,18-16,,
1:39.0,B. Knight misses 3-pt shot from 25 ft,,18-16,,
1:38.0,,,18-16,,Defensive rebound by R. Kelly
1:34.0,,,18-16,,L. Williams misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by R. Price,,18-16,,
1:24.0,B. Knight makes 3-pt shot from 25 ft (assist by T. Chandler),3,21-16,,
1:03.0,,,21-18,2,R. Kelly makes 2-pt shot from 20 ft (assist by M. Huertas)
0:54.0,B. Knight misses 3-pt shot from 24 ft,,21-18,,
0:52.0,,,21-18,,Defensive rebound by R. Kelly
0:49.0,,,21-20,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
0:27.0,R. Price makes 2-pt shot from 1 ft,2,23-20,,
0:08.0,,,23-20,,Turnover by M. Huertas (lost ball; steal by T. Chandler)
0:05.0,B. Knight makes 2-pt shot from 1 ft (assist by M. Teletovic),2,25-20,,
0:05.0,Shooting foul by L. Williams (drawn by B. Knight),,25-20,,
0:05.0,B. Knight makes free throw 1 of 1,1,26-20,,
0:01.0,Personal block foul by P. Tucker,,26-20,,
