time,Milwaukee,pts.away,score,pts.home,New York
4:44.0,Defensive rebound by M. Carter-Williams,,16-14,,
4:34.0,Turnover by M. Carter-Williams (lost ball; steal by J. Calderon),,16-14,,
4:29.0,,,16-16,2,L. Thomas makes 2-pt shot from 2 ft (assist by J. Calderon)
4:19.0,K. Middleton makes 2-pt shot from 8 ft,2,18-16,,
4:03.0,,,18-16,,A. Afflalo misses 2-pt shot from 17 ft
4:01.0,,,18-16,,Offensive rebound by R. Lopez
4:00.0,,,18-16,,R. Lopez misses 2-pt shot from 1 ft (block by J. Henson)
3:59.0,,,18-16,,Offensive rebound by C. Anthony
3:58.0,,,18-18,2,C. Anthony makes 2-pt shot from 1 ft
3:44.0,Turnover by K. Middleton (bad pass; steal by J. Calderon),,18-18,,
3:38.0,,,18-20,2,J. Calderon makes 2-pt shot from 1 ft
3:34.0,Milwaukee full timeout,,18-20,,
3:34.0,,,18-20,,L. Galloway enters the game for R. Lopez
3:34.0,,,18-20,,K. Porzingis enters the game for A. Afflalo
3:18.0,M. Carter-Williams misses 2-pt shot from 7 ft,,18-20,,
3:16.0,Offensive rebound by M. Carter-Williams,,18-20,,
3:16.0,M. Carter-Williams misses 2-pt shot from 4 ft,,18-20,,
3:14.0,,,18-20,,Defensive rebound by L. Galloway
3:08.0,,,18-20,,C. Anthony misses 3-pt shot from 24 ft
3:08.0,,,18-20,,Offensive rebound by Team
3:08.0,Loose ball foul by M. Carter-Williams (drawn by K. Porzingis),,18-20,,
3:08.0,,,18-21,1,K. Porzingis makes free throw 1 of 2
3:08.0,T. Ennis enters the game for M. Carter-Williams,,18-21,,
3:08.0,,,18-21,,J. Grant enters the game for J. Calderon
3:08.0,,,18-22,1,K. Porzingis makes free throw 2 of 2
2:59.0,,,18-22,,Def 3 sec tech foul by K. Porzingis
2:59.0,K. Middleton misses technical free throw,,18-22,,
2:59.0,Offensive rebound by Team,,18-22,,
2:59.0,G. Antetokounmpo enters the game for J. Parker,,18-22,,
2:49.0,K. Middleton misses 2-pt shot from 7 ft,,18-22,,
2:47.0,,,18-22,,Defensive rebound by L. Thomas
2:41.0,,,18-22,,Turnover by K. Porzingis (traveling)
2:25.0,K. Middleton misses 3-pt shot from 25 ft,,18-22,,
2:23.0,,,18-22,,Defensive rebound by C. Anthony
2:11.0,,,18-22,,J. Grant misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by J. Henson,,18-22,,
2:03.0,,,18-22,,Personal foul by K. Porzingis (drawn by J. Henson)
2:03.0,G. Monroe enters the game for J. Henson,,18-22,,
1:54.0,G. Monroe makes 2-pt shot from 4 ft,2,20-22,,
1:37.0,,,20-22,,C. Anthony misses 2-pt shot from 2 ft
1:35.0,Defensive rebound by G. Monroe,,20-22,,
1:21.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,20-22,,
1:19.0,,,20-22,,Defensive rebound by K. Porzingis
1:02.0,,,20-22,,K. Porzingis misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by G. Antetokounmpo,,20-22,,
0:45.0,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo),2,22-22,,
0:36.0,,,22-24,2,L. Thomas makes 2-pt shot from 17 ft (assist by K. Porzingis)
0:20.0,Shooting foul by L. Thomas (drawn by K. Middleton),,22-24,,
0:20.0,K. Middleton makes free throw 1 of 2,1,23-24,,
0:20.0,K. Middleton makes free throw 2 of 2,1,24-24,,
0:02.0,,,24-24,,Turnover by C. Anthony (bad pass)
0:00.0,T. Ennis misses 3-pt shot from 78 ft,,24-24,,
0:00.0,Offensive rebound by Team,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,G. Monroe misses 2-pt shot from 14 ft,,24-24,,
11:43.0,,,24-24,,Defensive rebound by D. Williams
11:29.0,,,24-26,2,L. Galloway makes 2-pt shot from 2 ft (assist by R. Lopez)
11:09.0,R. Vaughn misses 2-pt shot from 5 ft,,24-26,,
11:07.0,,,24-26,,Defensive rebound by D. Williams
11:02.0,,,24-28,2,L. Thomas makes 2-pt shot from 1 ft (assist by L. Galloway)
10:43.0,T. Ennis misses 3-pt shot from 25 ft,,24-28,,
10:40.0,,,24-28,,Defensive rebound by D. Williams
10:23.0,,,24-28,,D. Williams misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by G. Antetokounmpo,,24-28,,
10:12.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,24-28,,
10:10.0,,,24-28,,Defensive rebound by D. Williams
10:07.0,,,24-28,,Offensive foul by R. Lopez
10:07.0,,,24-28,,Turnover by R. Lopez (offensive foul)
9:52.0,G. Monroe makes 2-pt shot from 1 ft,2,26-28,,
9:36.0,,,26-30,2,L. Thomas makes 2-pt shot from 19 ft
9:16.0,G. Monroe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,28-30,,
8:57.0,,,28-30,,L. Galloway misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by G. Monroe,,28-30,,
8:38.0,R. Vaughn makes 2-pt shot from 19 ft,2,30-30,,
8:25.0,Official timeout,,30-30,,
8:25.0,,,30-30,,A. Afflalo enters the game for L. Thomas
8:25.0,,,30-30,,C. Anthony enters the game for L. Galloway
8:10.0,,,30-32,2,R. Lopez makes 2-pt shot from 4 ft (assist by C. Anthony)
7:51.0,G. Monroe makes 2-pt shot from 12 ft (assist by R. Vaughn),2,32-32,,
7:34.0,,,32-34,2,A. Afflalo makes 2-pt shot from 8 ft (assist by C. Anthony)
7:14.0,J. O'Bryant makes 2-pt shot from 12 ft (assist by G. Monroe),2,34-34,,
6:54.0,,,34-34,,D. Williams misses 2-pt shot from 11 ft
6:53.0,,,34-34,,Offensive rebound by J. Grant
6:45.0,,,34-34,,D. Williams misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by G. Antetokounmpo,,34-34,,
6:35.0,Shooting foul by R. Lopez (drawn by G. Monroe),,34-34,,
6:35.0,G. Monroe makes free throw 1 of 2,1,35-34,,
6:35.0,,,35-34,,J. Calderon enters the game for J. Grant
6:35.0,G. Monroe makes free throw 2 of 2,1,36-34,,
6:07.0,,,36-34,,J. Calderon misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by J. O'Bryant,,36-34,,
5:55.0,T. Ennis misses 2-pt shot from 18 ft,,36-34,,
5:53.0,,,36-34,,Defensive rebound by C. Anthony
5:39.0,,,36-36,2,D. Williams makes 2-pt shot at rim (assist by J. Calderon)
5:11.0,T. Ennis misses 2-pt shot from 11 ft,,36-36,,
5:10.0,Offensive rebound by Team,,36-36,,
5:10.0,Turnover by Team (shot clock),,36-36,,
5:10.0,,,36-36,,New York full timeout
5:10.0,J. Parker enters the game for G. Antetokounmpo,,36-36,,
5:10.0,M. Carter-Williams enters the game for G. Monroe,,36-36,,
5:10.0,J. Henson enters the game for T. Ennis,,36-36,,
5:10.0,,,36-36,,K. Porzingis enters the game for R. Lopez
4:56.0,,,36-36,,Shooting foul by M. Carter-Williams (drawn by J. Calderon)
4:56.0,,,36-36,,J. Calderon misses free throw 1 of 2
4:56.0,,,36-36,,Offensive rebound by Team
4:56.0,K. Middleton enters the game for R. Vaughn,,36-36,,
4:56.0,,,36-37,1,J. Calderon makes free throw 2 of 2
4:44.0,Shooting foul by J. Calderon (drawn by M. Carter-Williams),,36-37,,
4:44.0,M. Carter-Williams misses free throw 1 of 2,,36-37,,
4:44.0,Offensive rebound by Team,,36-37,,
4:44.0,M. Carter-Williams makes free throw 2 of 2,1,37-37,,
4:24.0,,,37-39,2,C. Anthony makes 2-pt shot from 1 ft
4:10.0,Jump ball: J. Calderon vs. M. Carter-Williams (C. Anthony gains possession),,,,Jump ball: J. Calderon vs. M. Carter-Williams (C. Anthony gains possession)
4:10.0,Turnover by M. Carter-Williams (lost ball; steal by J. Calderon),,37-39,,
4:07.0,,,37-41,2,C. Anthony makes 2-pt shot from 1 ft
3:48.0,K. Middleton misses 2-pt shot from 3 ft (block by K. Porzingis),,37-41,,
3:46.0,,,37-41,,Defensive rebound by D. Williams
3:40.0,,,37-41,,J. Calderon misses 3-pt shot from 25 ft
3:38.0,,,37-41,,Offensive rebound by K. Porzingis
3:36.0,,,37-43,2,D. Williams makes 2-pt shot at rim (assist by J. Calderon)
3:35.0,Milwaukee full timeout,,37-43,,
3:35.0,T. Ennis enters the game for M. Carter-Williams,,37-43,,
3:35.0,G. Antetokounmpo enters the game for J. O'Bryant,,37-43,,
3:15.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,37-43,,
3:13.0,,,37-43,,Defensive rebound by Team
2:53.0,,,37-45,2,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony)
2:39.0,,,37-45,,Personal foul by A. Afflalo (drawn by K. Middleton)
2:39.0,G. Monroe enters the game for J. Henson,,37-45,,
2:25.0,K. Middleton misses 2-pt shot from 4 ft (block by K. Porzingis),,37-45,,
2:24.0,Offensive rebound by J. Parker,,37-45,,
2:23.0,J. Parker makes 2-pt shot from 6 ft,2,39-45,,
2:12.0,,,39-48,3,J. Calderon makes 3-pt shot from 25 ft (assist by C. Anthony)
1:52.0,K. Middleton misses 2-pt shot from 6 ft,,39-48,,
1:50.0,,,39-48,,Defensive rebound by J. Calderon
1:47.0,Personal foul by T. Ennis (drawn by D. Williams),,39-48,,
1:40.0,Violation by J. Parker (kicked ball),,39-48,,
1:23.0,,,39-50,2,D. Williams makes 2-pt shot at rim (assist by A. Afflalo)
1:17.0,Milwaukee full timeout,,39-50,,
1:17.0,,,39-50,,L. Galloway enters the game for A. Afflalo
1:08.0,J. Parker makes 2-pt shot from 18 ft (assist by T. Ennis),2,41-50,,
0:55.0,Def 3 sec tech foul by G. Monroe,,41-50,,
0:55.0,,,41-51,1,C. Anthony makes technical free throw
0:42.0,,,41-51,,Turnover by L. Galloway (bad pass)
0:34.0,Turnover by K. Middleton (bad pass; steal by K. Porzingis),,41-51,,
0:22.0,,,41-51,,C. Anthony misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by J. Parker,,41-51,,
0:06.0,,,41-51,,Personal foul by L. Galloway (drawn by K. Middleton)
0:06.0,,,41-51,,L. Thomas enters the game for J. Calderon
0:03.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,41-51,,
0:01.0,,,41-51,,Defensive rebound by C. Anthony
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,M. Carter-Williams misses 2-pt shot from 7 ft,,41-51,,
11:34.0,,,41-51,,Defensive rebound by R. Lopez
11:26.0,,,41-53,2,K. Porzingis makes 2-pt shot from 10 ft (assist by C. Anthony)
11:07.0,G. Monroe misses 2-pt shot from 13 ft,,41-53,,
11:06.0,,,41-53,,Defensive rebound by R. Lopez
10:49.0,,,41-53,,Shooting foul by G. Monroe (drawn by R. Lopez)
10:49.0,,,41-54,1,R. Lopez makes free throw 1 of 2
10:49.0,,,41-55,1,R. Lopez makes free throw 2 of 2
10:38.0,M. Carter-Williams misses 2-pt shot from 2 ft,,41-55,,
10:36.0,,,41-55,,Defensive rebound by C. Anthony
10:34.0,Personal foul by J. Parker (drawn by K. Porzingis),,41-55,,
10:23.0,,,41-55,,A. Afflalo misses 3-pt shot from 23 ft
10:21.0,Defensive rebound by G. Antetokounmpo,,41-55,,
10:06.0,G. Monroe makes 2-pt shot from 16 ft (assist by K. Middleton),2,43-55,,
9:40.0,,,43-55,,C. Anthony misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by M. Carter-Williams,,43-55,,
9:29.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Parker),2,45-55,,
9:17.0,,,45-55,,A. Afflalo misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by G. Monroe,,45-55,,
9:09.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Afflalo),,45-55,,
9:00.0,,,45-58,3,K. Porzingis makes 3-pt shot from 25 ft (assist by A. Afflalo)
8:43.0,Shooting foul by R. Lopez (drawn by M. Carter-Williams),,45-58,,
8:43.0,M. Carter-Williams misses free throw 1 of 2,,45-58,,
8:43.0,Offensive rebound by Team,,45-58,,
8:43.0,M. Carter-Williams makes free throw 2 of 2,1,46-58,,
8:34.0,Personal foul by G. Antetokounmpo (drawn by R. Lopez),,46-58,,
8:20.0,,,46-58,,Turnover by K. Porzingis (lost ball; steal by M. Carter-Williams)
8:16.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,48-58,,
8:16.0,Shooting foul by J. Calderon (drawn by G. Antetokounmpo),,48-58,,
8:16.0,G. Antetokounmpo makes free throw 1 of 1,1,49-58,,
7:54.0,,,49-58,,R. Lopez misses 2-pt shot from 5 ft
7:52.0,,,49-58,,Offensive rebound by K. Porzingis
7:52.0,,,49-60,2,K. Porzingis makes 2-pt shot at rim
7:40.0,J. Parker misses 2-pt shot from 2 ft (block by K. Porzingis),,49-60,,
7:38.0,,,49-60,,Defensive rebound by K. Porzingis
7:32.0,,,49-62,2,C. Anthony makes 2-pt shot from 9 ft (assist by J. Calderon)
7:31.0,Milwaukee full timeout,,49-62,,
7:08.0,G. Monroe misses 2-pt shot from 10 ft,,49-62,,
7:06.0,,,49-62,,Defensive rebound by J. Calderon
6:58.0,,,49-64,2,C. Anthony makes 2-pt shot from 10 ft (assist by K. Porzingis)
6:37.0,M. Carter-Williams misses 2-pt shot from 17 ft,,49-64,,
6:36.0,,,49-64,,Defensive rebound by R. Lopez
6:32.0,,,49-64,,Turnover by J. Calderon (bad pass; steal by J. Parker)
6:19.0,K. Middleton makes 2-pt shot from 17 ft (assist by G. Monroe),2,51-64,,
6:02.0,,,51-64,,K. Porzingis misses 2-pt shot from 16 ft
6:00.0,,,51-64,,Offensive rebound by R. Lopez
6:00.0,,,51-66,2,R. Lopez makes 2-pt shot at rim
5:38.0,K. Middleton misses 3-pt shot from 25 ft,,51-66,,
5:36.0,Offensive rebound by G. Monroe,,51-66,,
5:36.0,G. Monroe makes 2-pt shot from 1 ft,2,53-66,,
5:17.0,,,53-66,,C. Anthony misses 2-pt shot from 2 ft (block by G. Monroe)
5:15.0,,,53-66,,Offensive rebound by Team
5:15.0,R. Vaughn enters the game for G. Antetokounmpo,,53-66,,
5:12.0,,,53-66,,A. Afflalo misses 2-pt shot from 17 ft
5:12.0,Defensive rebound by Team,,53-66,,
5:12.0,,,53-66,,Personal foul by C. Anthony (drawn by K. Middleton)
4:59.0,J. Parker misses 2-pt shot from 15 ft,,53-66,,
4:57.0,,,53-66,,Defensive rebound by C. Anthony
4:52.0,Personal foul by K. Middleton (drawn by C. Anthony),,53-66,,
4:52.0,J. Henson enters the game for G. Monroe,,53-66,,
4:52.0,,,53-66,,L. Thomas enters the game for R. Lopez
4:42.0,,,53-66,,A. Afflalo misses 2-pt shot from 7 ft
4:40.0,Defensive rebound by M. Carter-Williams,,53-66,,
4:34.0,R. Vaughn makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,56-66,,
4:21.0,,,56-66,,K. Porzingis misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by Team,,56-66,,
4:02.0,J. Henson misses 2-pt shot from 2 ft (block by K. Porzingis),,56-66,,
4:00.0,,,56-66,,Defensive rebound by A. Afflalo
3:56.0,,,56-68,2,A. Afflalo makes 2-pt shot from 2 ft
3:56.0,,,56-68,,Shooting foul by K. Middleton (drawn by A. Afflalo)
3:56.0,,,56-69,1,A. Afflalo makes free throw 1 of 1
3:42.0,M. Carter-Williams misses 2-pt shot from 4 ft,,56-69,,
3:40.0,,,56-69,,Defensive rebound by J. Calderon
3:25.0,,,56-71,2,L. Thomas makes 2-pt shot at rim (assist by J. Calderon)
3:08.0,,,56-71,,Personal foul by A. Afflalo (drawn by K. Middleton)
3:08.0,M. Plumlee enters the game for J. Henson,,56-71,,
3:08.0,,,56-71,,L. Galloway enters the game for A. Afflalo
3:03.0,M. Plumlee misses 2-pt shot from 1 ft (block by C. Anthony),,56-71,,
3:02.0,Offensive rebound by M. Plumlee,,56-71,,
2:59.0,K. Middleton makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,58-71,,
2:37.0,,,58-74,3,L. Galloway makes 3-pt shot from 23 ft (assist by C. Anthony)
2:28.0,,,58-74,,Personal foul by L. Thomas (drawn by K. Middleton)
2:28.0,,,58-74,,New York full timeout
2:28.0,K. Middleton makes free throw 1 of 2,1,59-74,,
2:28.0,K. Middleton makes free throw 2 of 2,1,60-74,,
2:12.0,,,60-74,,Turnover by K. Porzingis (bad pass; steal by K. Middleton)
2:08.0,K. Middleton misses 2-pt shot from 2 ft (block by K. Porzingis),,60-74,,
2:06.0,Offensive rebound by M. Plumlee,,60-74,,
2:00.0,R. Vaughn misses 2-pt shot from 3 ft,,60-74,,
1:59.0,,,60-74,,Defensive rebound by Team
1:38.0,,,60-76,2,C. Anthony makes 2-pt shot from 11 ft
1:20.0,K. Middleton misses 2-pt shot from 7 ft,,60-76,,
1:19.0,,,60-76,,Defensive rebound by J. Calderon
1:10.0,,,60-79,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon)
0:53.0,R. Vaughn misses 3-pt shot from 25 ft,,60-79,,
0:52.0,,,60-79,,Defensive rebound by K. Porzingis
0:45.0,,,60-82,3,L. Thomas makes 3-pt shot from 24 ft (assist by C. Anthony)
0:40.0,Milwaukee full timeout,,60-82,,
0:40.0,J. O'Bryant enters the game for R. Vaughn,,60-82,,
0:40.0,,,60-82,,J. Grant enters the game for J. Calderon
0:34.0,M. Carter-Williams misses 3-pt shot from 25 ft,,60-82,,
0:32.0,,,60-82,,Defensive rebound by C. Anthony
0:17.0,,,60-82,,L. Galloway misses 3-pt shot from 23 ft
0:15.0,Defensive rebound by J. O'Bryant,,60-82,,
0:03.0,Turnover by K. Middleton (bad pass),,60-82,,
0:00.0,,,60-82,,K. Porzingis misses 3-pt shot from 42 ft
0:00.0,,,60-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,60-82,,D. Williams misses 3-pt shot from 25 ft
11:36.0,,,60-82,,Offensive rebound by R. Lopez
11:20.0,,,60-82,,J. Grant misses 2-pt shot from 20 ft
11:18.0,,,60-82,,Offensive rebound by L. Thomas
11:14.0,,,60-82,,L. Thomas misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by G. Antetokounmpo,,60-82,,
10:53.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,62-82,,
10:53.0,Shooting foul by L. Thomas (drawn by G. Antetokounmpo),,62-82,,
10:53.0,G. Antetokounmpo makes free throw 1 of 1,1,63-82,,
10:28.0,,,63-84,2,D. Williams makes 2-pt shot from 11 ft
10:13.0,Turnover by J. O'Bryant (lost ball),,63-84,,
10:01.0,,,63-84,,L. Galloway misses 2-pt shot from 6 ft
10:00.0,Defensive rebound by G. Antetokounmpo,,63-84,,
9:44.0,Shooting foul by R. Lopez (drawn by G. Monroe),,63-84,,
9:44.0,G. Monroe makes free throw 1 of 2,1,64-84,,
9:44.0,G. Monroe makes free throw 2 of 2,1,65-84,,
9:21.0,,,65-84,,L. Thomas misses 2-pt shot from 4 ft
9:20.0,Defensive rebound by J. O'Bryant,,65-84,,
9:12.0,K. Middleton makes 3-pt shot from 23 ft (assist by R. Vaughn),3,68-84,,
8:53.0,,,68-86,2,R. Lopez makes 2-pt shot from 4 ft
8:41.0,K. Middleton misses 2-pt shot from 8 ft,,68-86,,
8:39.0,,,68-86,,Defensive rebound by J. Grant
8:34.0,,,68-86,,Shooting foul by G. Antetokounmpo (drawn by J. Grant)
8:34.0,Official timeout,,68-86,,
8:34.0,,,68-86,,A. Afflalo enters the game for L. Thomas
8:34.0,J. Parker enters the game for J. O'Bryant,,68-86,,
8:34.0,,,68-87,1,J. Grant makes free throw 1 of 2
8:34.0,,,68-88,1,J. Grant makes free throw 2 of 2
8:24.0,G. Monroe makes 2-pt shot from 2 ft,2,70-88,,
8:24.0,Shooting foul by R. Lopez (drawn by G. Monroe),,70-88,,
8:24.0,G. Monroe misses free throw 1 of 1,,70-88,,
8:24.0,,,70-88,,Defensive rebound by R. Lopez
8:00.0,,,70-88,,Turnover by Team (shot clock)
7:46.0,G. Monroe makes 2-pt shot from 4 ft,2,72-88,,
7:30.0,,,72-88,,A. Afflalo misses 2-pt shot from 1 ft
7:28.0,Defensive rebound by K. Middleton,,72-88,,
7:08.0,G. Monroe misses 2-pt shot from 1 ft,,72-88,,
7:07.0,Offensive rebound by J. Parker,,72-88,,
7:05.0,J. Parker misses 2-pt shot from 1 ft,,72-88,,
7:04.0,Offensive rebound by G. Monroe,,72-88,,
7:04.0,Shooting foul by R. Lopez (drawn by G. Monroe),,72-88,,
7:04.0,,,72-88,,K. Porzingis enters the game for R. Lopez
7:04.0,G. Monroe makes free throw 1 of 2,1,73-88,,
7:04.0,,,73-88,,C. Anthony enters the game for J. Grant
7:04.0,G. Monroe makes free throw 2 of 2,1,74-88,,
6:40.0,,,74-88,,A. Afflalo misses 2-pt shot from 21 ft
6:38.0,Defensive rebound by G. Monroe,,74-88,,
6:26.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,76-88,,
6:25.0,,,76-88,,New York full timeout
6:08.0,,,76-88,,K. Porzingis misses 2-pt shot from 7 ft
6:06.0,,,76-88,,Offensive rebound by C. Anthony
5:51.0,,,76-88,,D. Williams misses 2-pt shot from 22 ft
5:49.0,Defensive rebound by G. Monroe,,76-88,,
5:32.0,G. Monroe makes 2-pt shot from 2 ft,2,78-88,,
5:10.0,,,78-88,,Shooting foul by G. Antetokounmpo (drawn by C. Anthony)
5:10.0,,,78-89,1,C. Anthony makes free throw 1 of 2
5:10.0,,,78-89,,J. Calderon enters the game for L. Galloway
5:10.0,,,78-89,,C. Anthony misses free throw 2 of 2
5:09.0,Defensive rebound by J. Parker,,78-89,,
4:57.0,G. Monroe misses 2-pt shot from 3 ft,,78-89,,
4:55.0,Offensive rebound by G. Antetokounmpo,,78-89,,
4:54.0,Shooting foul by K. Porzingis (drawn by G. Antetokounmpo),,78-89,,
4:54.0,G. Antetokounmpo misses free throw 1 of 2,,78-89,,
4:54.0,Offensive rebound by Team,,78-89,,
4:54.0,G. Antetokounmpo misses free throw 2 of 2,,78-89,,
4:53.0,,,78-89,,Defensive rebound by D. Williams
4:37.0,,,78-89,,A. Afflalo misses 3-pt shot from 23 ft
4:35.0,,,78-89,,Offensive rebound by K. Porzingis
4:20.0,,,78-92,3,J. Calderon makes 3-pt shot from 26 ft (assist by C. Anthony)
4:06.0,J. Parker misses 2-pt shot from 2 ft,,78-92,,
4:05.0,Offensive rebound by G. Monroe,,78-92,,
4:04.0,Turnover by G. Monroe (lost ball),,78-92,,
4:02.0,Personal foul by K. Middleton (drawn by J. Calderon),,78-92,,
3:50.0,,,78-94,2,C. Anthony makes 2-pt shot from 14 ft (assist by D. Williams)
3:50.0,Milwaukee full timeout,,78-94,,
3:39.0,Shooting foul by C. Anthony (drawn by K. Middleton),,78-94,,
3:39.0,K. Middleton makes free throw 1 of 3,1,79-94,,
3:39.0,K. Middleton makes free throw 2 of 3,1,80-94,,
3:39.0,K. Middleton makes free throw 3 of 3,1,81-94,,
