time,Orlando,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Dedmon (B. Jennings gains possession),,,,Jump ball: B. Biyombo vs. D. Dedmon (B. Jennings gains possession)
11:39.0,D. Dedmon misses 2-pt shot from 9 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by B. Biyombo
11:17.0,,,0-0,,L. Scola misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by D. Dedmon,,0-0,,
11:02.0,B. Jennings misses 2-pt shot from 19 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by B. Biyombo
10:50.0,,,0-0,,B. Biyombo misses 2-pt shot from 5 ft (block by A. Gordon)
10:49.0,Defensive rebound by B. Jennings,,0-0,,
10:44.0,Turnover by V. Oladipo (lost ball; steal by L. Scola),,0-0,,
10:36.0,,,0-3,3,K. Lowry makes 3-pt shot from 24 ft (assist by B. Biyombo)
10:23.0,,,0-3,,Violation by L. Scola (kicked ball)
10:12.0,V. Oladipo makes 2-pt shot from 2 ft,2,2-3,,
9:47.0,,,2-5,2,L. Scola makes 2-pt shot from 1 ft
9:35.0,A. Gordon misses 2-pt shot from 1 ft (block by B. Biyombo),,2-5,,
9:34.0,,,2-5,,Defensive rebound by K. Lowry
9:29.0,,,2-5,,L. Scola misses 2-pt shot from 1 ft (block by A. Gordon)
9:28.0,Defensive rebound by D. Dedmon,,2-5,,
9:18.0,A. Gordon misses 2-pt shot from 17 ft,,2-5,,
9:17.0,,,2-5,,Defensive rebound by K. Lowry
9:06.0,,,2-5,,Shooting foul by D. Dedmon (drawn by B. Biyombo)
9:06.0,,,2-5,,B. Biyombo misses free throw 1 of 2
9:06.0,,,2-5,,Offensive rebound by Team
9:06.0,,,2-6,1,B. Biyombo makes free throw 2 of 2
8:53.0,A. Gordon misses 3-pt shot from 24 ft,,2-6,,
8:52.0,,,2-6,,Defensive rebound by K. Lowry
8:41.0,,,2-6,,L. Scola misses 2-pt shot from 8 ft
8:40.0,,,2-6,,Offensive rebound by L. Scola
8:37.0,,,2-6,,L. Scola misses 2-pt shot from 2 ft
8:36.0,Defensive rebound by B. Jennings,,2-6,,
8:29.0,Turnover by B. Jennings (lost ball; steal by D. DeRozan),,2-6,,
8:25.0,,,2-8,2,D. DeRozan makes 2-pt shot from 2 ft
8:25.0,,,2-8,,Shooting foul by V. Oladipo (drawn by D. DeRozan)
8:25.0,,,2-9,1,D. DeRozan makes free throw 1 of 1
8:13.0,V. Oladipo misses 3-pt shot from 24 ft,,2-9,,
8:12.0,,,2-9,,Defensive rebound by L. Scola
8:04.0,,,2-9,,Shooting foul by A. Gordon (drawn by D. DeRozan)
8:04.0,,,2-10,1,D. DeRozan makes free throw 1 of 2
8:04.0,,,2-10,,D. DeRozan misses free throw 2 of 2
8:03.0,Defensive rebound by D. Dedmon,,2-10,,
7:42.0,A. Gordon makes 3-pt shot from 24 ft (assist by E. Fournier),3,5-10,,
7:17.0,,,5-12,2,D. DeRozan makes 2-pt shot from 16 ft
7:17.0,,,5-12,,Shooting foul by E. Fournier (drawn by D. DeRozan)
