time,Philadelphia,pts.away,score,pts.home,Toronto
0:00.0,Offensive rebound by Team,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by L. Nogueira (drawn by C. Wood),,23-32,,
11:49.0,C. Wood makes free throw 1 of 2,1,24-32,,
11:49.0,C. Wood makes free throw 2 of 2,1,25-32,,
11:32.0,,,25-32,,D. Carroll misses 2-pt shot from 12 ft (block by C. Wood)
11:31.0,Defensive rebound by K. Marshall,,25-32,,
11:24.0,H. Thompson makes 3-pt shot from 25 ft (assist by R. Covington),3,28-32,,
11:01.0,,,28-34,2,D. Wright makes 2-pt shot from 19 ft
10:54.0,Turnover by K. Marshall (lost ball; steal by L. Nogueira),,28-34,,
10:45.0,,,28-34,,Turnover by D. Carroll (lost ball; steal by H. Thompson)
10:40.0,R. Covington misses 2-pt shot at rim (block by D. Wright),,28-34,,
10:40.0,Offensive rebound by Team,,28-34,,
10:32.0,Shooting foul by L. Nogueira (drawn by C. Wood),,28-34,,
10:32.0,C. Wood misses free throw 1 of 2,,28-34,,
10:32.0,Offensive rebound by Team,,28-34,,
10:32.0,,,28-34,,B. Biyombo enters the game for L. Nogueira
10:32.0,C. Wood misses free throw 2 of 2,,28-34,,
10:31.0,,,28-34,,Defensive rebound by D. Carroll
10:10.0,,,28-34,,J. Thompson misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by C. Wood,,28-34,,
10:02.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,31-34,,
9:33.0,,,31-36,2,B. Biyombo makes 2-pt shot from 15 ft
9:13.0,H. Thompson misses 3-pt shot from 24 ft,,31-36,,
9:12.0,,,31-36,,Defensive rebound by J. Thompson
9:03.0,,,31-36,,D. Wright misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by K. Marshall,,31-36,,
8:52.0,C. Wood misses 3-pt shot from 25 ft,,31-36,,
8:52.0,,,31-36,,Defensive rebound by J. Thompson
8:35.0,,,31-36,,T. Ross misses 2-pt shot from 17 ft
8:35.0,,,31-36,,Offensive rebound by D. Carroll
8:18.0,,,31-36,,Offensive foul by J. Thompson
8:18.0,,,31-36,,Turnover by J. Thompson (offensive foul)
8:18.0,Official timeout,,31-36,,
8:18.0,J. Grant enters the game for C. Wood,,31-36,,
8:12.0,,,31-36,,Personal foul by D. Carroll
8:01.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Grant),3,34-36,,
7:48.0,,,34-36,,Shooting foul by J. Grant (drawn by T. Ross)
7:48.0,,,34-37,1,T. Ross makes free throw 1 of 2
7:48.0,N. Noel enters the game for J. Grant,,34-37,,
7:48.0,,,34-38,1,T. Ross makes free throw 2 of 2
7:38.0,R. Covington misses 3-pt shot from 25 ft,,34-38,,
7:38.0,Offensive rebound by N. Noel,,34-38,,
7:35.0,Turnover by N. Noel (lost ball; steal by D. Carroll),,34-38,,
7:27.0,,,34-38,,Shooting foul by H. Thompson (drawn by J. Thompson)
7:27.0,,,34-39,1,J. Thompson makes free throw 1 of 2
7:27.0,N. Stauskas enters the game for H. Thompson,,34-39,,
7:27.0,,,34-39,,J. Thompson misses free throw 2 of 2
7:26.0,Defensive rebound by N. Noel,,34-39,,
7:18.0,,,34-39,,Personal foul by J. Thompson
7:06.0,N. Stauskas makes 2-pt shot from 3 ft,2,36-39,,
6:44.0,,,36-41,2,T. Ross makes 2-pt shot from 20 ft (assist by D. Carroll)
6:27.0,N. Stauskas makes 2-pt shot at rim (assist by K. Marshall),2,38-41,,
6:14.0,,,38-43,2,B. Biyombo makes 2-pt shot from 4 ft (assist by D. Wright)
6:06.0,K. Marshall misses 2-pt shot from 15 ft,,38-43,,
6:06.0,,,38-43,,Defensive rebound by B. Biyombo
5:50.0,,,38-45,2,B. Biyombo makes 2-pt shot from 15 ft
5:39.0,N. Stauskas misses 2-pt shot from 16 ft,,38-45,,
5:39.0,,,38-45,,Defensive rebound by B. Biyombo
5:27.0,,,38-47,2,B. Biyombo makes 2-pt shot from 15 ft (assist by T. Ross)
5:27.0,Philadelphia full timeout,,38-47,,
5:27.0,,,38-47,,N. Powell enters the game for D. Carroll
5:27.0,I. Smith enters the game for K. Marshall,,38-47,,
5:14.0,Shooting foul by J. Thompson (drawn by R. Covington),,38-47,,
5:14.0,R. Covington makes free throw 1 of 2,1,39-47,,
5:14.0,,,39-47,,L. Scola enters the game for J. Thompson
5:14.0,R. Covington misses free throw 2 of 2,,39-47,,
5:13.0,,,39-47,,Defensive rebound by B. Biyombo
4:56.0,,,39-49,2,T. Ross makes 2-pt shot from 16 ft (assist by D. Wright)
4:38.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,42-49,,
4:23.0,,,42-49,,Turnover by D. Wright (lost ball; steal by N. Stauskas)
4:13.0,T. McConnell makes 3-pt shot from 24 ft (assist by N. Stauskas),3,45-49,,
3:56.0,,,45-49,,Shooting foul by I. Smith (drawn by B. Biyombo)
3:56.0,,,45-50,1,B. Biyombo makes free throw 1 of 2
3:56.0,H. Thompson enters the game for T. McConnell,,45-50,,
3:56.0,,,45-50,,K. Lowry enters the game for D. Wright
3:56.0,,,45-51,1,B. Biyombo makes free throw 2 of 2
3:51.0,,,45-51,,Personal foul by T. Ross
3:51.0,H. Thompson misses free throw 1 of 2,,45-51,,
3:51.0,Offensive rebound by Team,,45-51,,
3:51.0,H. Thompson misses free throw 2 of 2,,45-51,,
3:50.0,,,45-51,,Defensive rebound by T. Ross
3:34.0,,,45-53,2,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry)
3:14.0,R. Covington makes 3-pt shot from 26 ft (assist by H. Thompson),3,48-53,,
2:56.0,,,48-55,2,N. Powell makes 2-pt shot from 16 ft
2:44.0,R. Covington makes 3-pt shot from 27 ft (assist by N. Stauskas),3,51-55,,
2:21.0,,,51-55,,Offensive foul by L. Scola
2:21.0,,,51-55,,Turnover by L. Scola (offensive foul)
2:21.0,,,51-55,,Toronto full timeout
2:10.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,53-55,,
1:52.0,Personal block foul by N. Noel,,53-55,,
1:49.0,,,53-55,,Turnover by K. Lowry (lost ball; steal by N. Noel)
1:40.0,R. Covington misses 3-pt shot from 24 ft,,53-55,,
1:39.0,Offensive rebound by N. Stauskas,,53-55,,
1:37.0,N. Stauskas makes 2-pt shot at rim,2,55-55,,
1:22.0,,,55-55,,B. Biyombo misses 2-pt shot from 2 ft
1:22.0,Defensive rebound by R. Covington,,55-55,,
1:16.0,I. Smith makes 2-pt shot from 4 ft,2,57-55,,
1:00.0,,,57-55,,K. Lowry misses 2-pt shot from 18 ft
1:00.0,,,57-55,,Offensive rebound by B. Biyombo
0:58.0,,,57-55,,B. Biyombo misses 2-pt shot from 1 ft
0:57.0,Defensive rebound by N. Stauskas,,57-55,,
0:42.0,H. Thompson misses 3-pt shot from 25 ft,,57-55,,
0:42.0,Offensive rebound by N. Noel,,57-55,,
0:40.0,N. Noel makes 2-pt shot at rim,2,59-55,,
0:32.0,,,59-55,,K. Lowry misses 3-pt shot from 27 ft
0:31.0,Defensive rebound by N. Noel,,59-55,,
0:26.0,Philadelphia full timeout,,59-55,,
0:10.0,I. Smith makes 2-pt shot from 15 ft,2,61-55,,
0:03.0,,,61-55,,K. Lowry misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by R. Covington,,61-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,N. Noel makes 2-pt shot from 2 ft (assist by I. Smith),2,63-55,,
