time,San Antonio,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. T. Zeller (M. Smart gains possession),,,,Jump ball: T. Duncan vs. T. Zeller (M. Smart gains possession)
11:42.0,,,0-0,,Turnover by J. Crowder (bad pass; steal by D. Green)
11:21.0,K. Leonard misses 2-pt shot from 20 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Crowder
11:13.0,,,0-0,,Turnover by J. Crowder (traveling)
11:02.0,L. Aldridge misses 2-pt shot from 20 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by A. Bradley
10:52.0,,,0-0,,D. Lee misses 2-pt shot from 2 ft
10:51.0,Defensive rebound by D. Green,,0-0,,
10:27.0,K. Leonard misses 3-pt shot from 23 ft,,0-0,,
10:26.0,,,0-0,,Defensive rebound by D. Lee
10:08.0,,,0-0,,D. Lee misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by T. Duncan,,0-0,,
9:56.0,T. Parker misses 2-pt shot from 19 ft,,0-0,,
9:55.0,,,0-0,,Defensive rebound by A. Bradley
9:45.0,,,0-0,,A. Bradley misses 2-pt shot from 2 ft
9:44.0,Defensive rebound by Team,,0-0,,
9:27.0,Turnover by L. Aldridge (traveling),,0-0,,
9:17.0,,,0-2,2,A. Bradley makes 2-pt shot from 18 ft (assist by T. Zeller)
8:57.0,Shooting foul by J. Crowder (drawn by L. Aldridge),,0-2,,
8:57.0,L. Aldridge misses free throw 1 of 2,,0-2,,
8:57.0,Offensive rebound by Team,,0-2,,
8:57.0,L. Aldridge makes free throw 2 of 2,1,1-2,,
8:41.0,,,1-2,,Turnover by T. Zeller (lost ball; steal by D. Green)
8:24.0,K. Leonard makes 2-pt shot from 1 ft (assist by L. Aldridge),2,3-2,,
8:08.0,,,3-2,,T. Zeller misses 2-pt shot from 6 ft
8:06.0,Defensive rebound by D. Green,,3-2,,
7:56.0,D. Green misses 3-pt shot from 23 ft,,3-2,,
7:55.0,,,3-2,,Defensive rebound by T. Zeller
7:49.0,,,3-2,,A. Bradley misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by L. Aldridge,,3-2,,
7:34.0,L. Aldridge misses 3-pt shot from 24 ft,,3-2,,
7:32.0,Offensive rebound by T. Duncan,,3-2,,
7:16.0,Turnover by Team (back court),,3-2,,
7:07.0,,,3-2,,A. Bradley misses 2-pt shot from 18 ft (block by D. Green)
7:07.0,Defensive rebound by Team,,3-2,,
7:07.0,,,3-2,,Loose ball foul by A. Bradley (drawn by D. Green)
6:56.0,,,3-2,,I. Thomas enters the game for M. Smart
6:49.0,T. Parker makes 2-pt shot from 11 ft,2,5-2,,
6:33.0,,,5-2,,T. Zeller misses 2-pt shot from 15 ft
6:32.0,Defensive rebound by T. Duncan,,5-2,,
6:21.0,K. Leonard makes 2-pt shot from 11 ft,2,7-2,,
6:07.0,,,7-4,2,D. Lee makes 2-pt shot from 2 ft (assist by A. Bradley)
5:53.0,L. Aldridge misses 2-pt shot from 19 ft,,7-4,,
5:52.0,,,7-4,,Defensive rebound by J. Crowder
5:42.0,,,7-4,,A. Bradley misses 2-pt shot from 18 ft
5:41.0,Defensive rebound by T. Parker,,7-4,,
5:33.0,D. Green misses 3-pt shot from 24 ft,,7-4,,
5:33.0,,,7-4,,Defensive rebound by D. Lee
5:32.0,,,7-4,,Boston full timeout
5:32.0,,,7-4,,E. Turner enters the game for J. Crowder
5:32.0,,,7-4,,J. Sullinger enters the game for T. Zeller
5:32.0,B. Diaw enters the game for T. Duncan,,7-4,,
5:32.0,P. Mills enters the game for D. Green,,7-4,,
5:32.0,M. Ginobili enters the game for T. Parker,,7-4,,
5:19.0,,,7-4,,I. Thomas misses 2-pt shot from 19 ft
5:18.0,Defensive rebound by L. Aldridge,,7-4,,
5:07.0,K. Leonard misses 2-pt shot from 12 ft,,7-4,,
5:07.0,,,7-4,,Defensive rebound by J. Sullinger
5:01.0,,,7-4,,A. Bradley misses 2-pt shot from 2 ft
4:59.0,,,7-4,,Offensive rebound by A. Bradley
4:59.0,,,7-6,2,A. Bradley makes 2-pt shot at rim
4:49.0,Turnover by P. Mills (bad pass; steal by J. Sullinger),,7-6,,
4:39.0,,,7-6,,I. Thomas misses 2-pt shot from 10 ft
4:38.0,Defensive rebound by P. Mills,,7-6,,
4:32.0,,,7-6,,Personal foul by E. Turner (drawn by K. Leonard)
4:32.0,,,7-6,,A. Johnson enters the game for D. Lee
4:17.0,P. Mills makes 3-pt shot from 24 ft (assist by L. Aldridge),3,10-6,,
4:02.0,,,10-6,,A. Johnson misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by L. Aldridge,,10-6,,
3:44.0,K. Leonard makes 2-pt shot from 4 ft,2,12-6,,
3:26.0,,,12-6,,E. Turner misses 3-pt shot from 23 ft
3:25.0,,,12-6,,Offensive rebound by J. Sullinger
3:20.0,,,12-8,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
3:20.0,,,12-8,,Shooting foul by L. Aldridge (drawn by I. Thomas)
3:20.0,,,12-8,,J. Jerebko enters the game for A. Bradley
3:20.0,,,12-9,1,I. Thomas makes free throw 1 of 1
3:05.0,L. Aldridge makes 2-pt shot from 14 ft (assist by P. Mills),2,14-9,,
2:49.0,,,14-9,,Turnover by J. Sullinger (bad pass)
2:49.0,San Antonio full timeout,,14-9,,
2:49.0,T. Duncan enters the game for K. Leonard,,14-9,,
2:49.0,K. Anderson enters the game for L. Aldridge,,14-9,,
2:37.0,Turnover by P. Mills (bad pass),,14-9,,
2:18.0,,,14-9,,I. Thomas misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by Team,,14-9,,
2:17.0,R. Butler enters the game for K. Anderson,,14-9,,
2:08.0,,,14-9,,Personal foul by E. Turner (drawn by M. Ginobili)
1:54.0,P. Mills makes 3-pt shot from 23 ft (assist by B. Diaw),3,17-9,,
1:43.0,,,17-9,,E. Turner misses 2-pt shot from 5 ft
1:42.0,Defensive rebound by R. Butler,,17-9,,
1:35.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili),2,19-9,,
1:26.0,,,19-9,,I. Thomas misses 2-pt shot from 1 ft (block by R. Butler)
1:25.0,,,19-9,,Offensive rebound by Team
1:16.0,,,19-11,2,A. Johnson makes 2-pt shot from 1 ft
1:01.0,M. Ginobili makes 2-pt shot from 2 ft,2,21-11,,
0:41.0,,,21-13,2,J. Jerebko makes 2-pt shot from 5 ft
0:26.0,B. Diaw makes 2-pt shot from 2 ft,2,23-13,,
0:03.0,,,23-13,,I. Thomas misses 2-pt shot at rim
0:02.0,Defensive rebound by T. Duncan,,23-13,,
0:00.0,T. Duncan misses 3-pt shot from 45 ft,,23-13,,
0:00.0,Offensive rebound by Team,,23-13,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Ginobili misses 2-pt shot from 5 ft,,23-13,,
11:40.0,,,23-13,,Defensive rebound by Team
11:40.0,Loose ball foul by T. Duncan (drawn by A. Johnson),,23-13,,
11:23.0,,,23-15,2,J. Jerebko makes 2-pt shot from 2 ft
11:13.0,Shooting foul by A. Johnson (drawn by B. Diaw),,23-15,,
11:13.0,B. Diaw misses free throw 1 of 2,,23-15,,
11:13.0,Offensive rebound by Team,,23-15,,
11:13.0,T. Parker enters the game for P. Mills,,23-15,,
11:13.0,B. Diaw makes free throw 2 of 2,1,24-15,,
10:59.0,,,24-15,,K. Olynyk misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by M. Ginobili,,24-15,,
