time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Jordan (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Jordan (D. Green gains possession)
11:37.0,A. Bogut misses 2-pt shot from 21 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by C. Paul
11:19.0,,,0-0,,B. Griffin misses 2-pt shot from 11 ft
11:19.0,Defensive rebound by D. Green,,0-0,,
11:08.0,S. Curry makes 3-pt shot from 26 ft,3,3-0,,
10:59.0,,,3-2,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
10:39.0,S. Curry misses 3-pt shot from 27 ft,,3-2,,
10:38.0,,,3-2,,Defensive rebound by D. Jordan
10:30.0,,,3-4,2,C. Paul makes 2-pt shot from 12 ft
10:25.0,Turnover by S. Curry (bad pass; steal by P. Pierce),,3-4,,
10:24.0,Personal take foul by S. Curry (drawn by C. Paul),,3-4,,
10:15.0,Def 3 sec tech foul by A. Bogut,,3-4,,
10:15.0,,,3-5,1,C. Paul makes technical free throw
10:11.0,Personal block foul by D. Green (drawn by B. Griffin),,3-5,,
10:03.0,,,3-7,2,C. Paul makes 2-pt shot from 15 ft
9:52.0,Turnover by S. Curry (bad pass),,3-7,,
9:52.0,Loose ball foul by S. Curry (drawn by C. Paul),,3-7,,
9:34.0,,,3-10,3,C. Paul makes 3-pt shot from 27 ft (assist by B. Griffin)
9:22.0,K. Thompson makes 2-pt shot from 15 ft (assist by S. Curry),2,5-10,,
9:12.0,,,5-13,3,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul)
8:55.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,8-13,,
8:40.0,,,8-13,,J. Crawford misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by D. Green,,8-13,,
8:31.0,K. Thompson misses 3-pt shot from 27 ft,,8-13,,
8:31.0,,,8-13,,Defensive rebound by D. Jordan
8:17.0,,,8-15,2,B. Griffin makes 2-pt shot from 14 ft (assist by C. Paul)
8:11.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,10-15,,
7:48.0,,,10-18,3,C. Paul makes 3-pt shot from 26 ft
7:45.0,Golden State full timeout,,10-18,,
7:45.0,A. Iguodala enters the game for S. Curry,,10-18,,
7:40.0,,,10-18,,Personal foul by J. Crawford (drawn by K. Thompson)
7:32.0,K. Thompson misses 2-pt shot from 13 ft,,10-18,,
7:31.0,,,10-18,,Defensive rebound by D. Jordan
7:25.0,,,10-18,,Shooting foul by D. Green (drawn by D. Jordan)
7:25.0,,,10-19,1,D. Jordan makes free throw 1 of 2
