time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (P. Millsap gains possession),,,,Jump ball: A. Horford vs. A. Johnson (P. Millsap gains possession)
11:47.0,,,0-0,,Turnover by P. Millsap (lost ball; steal by J. Crowder)
11:34.0,J. Crowder misses 3-pt shot from 26 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by K. Korver
11:19.0,,,0-3,3,J. Teague makes 3-pt shot from 25 ft (assist by A. Horford)
11:00.0,Turnover by J. Crowder (lost ball; steal by K. Bazemore),,0-3,,
10:53.0,,,0-6,3,K. Bazemore makes 3-pt shot from 25 ft
10:38.0,J. Sullinger makes 2-pt shot from 18 ft (assist by J. Crowder),2,2-6,,
10:25.0,,,2-8,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
10:10.0,M. Smart misses 3-pt shot from 25 ft,,2-8,,
10:08.0,,,2-8,,Defensive rebound by K. Korver
10:00.0,,,2-8,,K. Bazemore misses 2-pt shot from 2 ft (block by M. Smart)
10:00.0,,,2-8,,Offensive rebound by Team
10:00.0,R. Hunter enters the game for M. Smart,,2-8,,
9:56.0,,,2-11,3,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague)
9:53.0,Boston full timeout,,2-11,,
9:53.0,M. Smart enters the game for R. Hunter,,2-11,,
9:35.0,Turnover by M. Smart (step out of bounds),,2-11,,
9:24.0,,,2-11,,K. Korver misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by J. Sullinger,,2-11,,
9:15.0,I. Thomas misses 3-pt shot from 25 ft,,2-11,,
9:14.0,,,2-11,,Defensive rebound by K. Bazemore
9:04.0,,,2-13,2,J. Teague makes 2-pt shot from 16 ft
8:45.0,Shooting foul by J. Teague (drawn by I. Thomas),,2-13,,
8:45.0,I. Thomas makes free throw 1 of 2,1,3-13,,
8:45.0,E. Turner enters the game for A. Johnson,,3-13,,
8:45.0,I. Thomas misses free throw 2 of 2,,3-13,,
8:43.0,,,3-13,,Defensive rebound by P. Millsap
8:31.0,,,3-13,,K. Bazemore misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by J. Sullinger,,3-13,,
8:16.0,M. Smart misses 3-pt shot from 25 ft,,3-13,,
8:14.0,,,3-13,,Defensive rebound by P. Millsap
8:10.0,,,3-13,,Turnover by J. Teague (bad pass)
7:57.0,I. Thomas misses 2-pt shot from 16 ft,,3-13,,
7:56.0,,,3-13,,Defensive rebound by K. Bazemore
7:47.0,,,3-16,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
7:27.0,M. Smart misses 2-pt shot from 1 ft (block by P. Millsap),,3-16,,
7:25.0,,,3-16,,Defensive rebound by A. Horford
7:20.0,,,3-19,3,K. Korver makes 3-pt shot from 24 ft (assist by K. Bazemore)
6:52.0,E. Turner misses 2-pt shot from 2 ft (block by A. Horford),,3-19,,
6:51.0,,,3-19,,Defensive rebound by K. Korver
6:47.0,,,3-19,,K. Bazemore misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by M. Smart,,3-19,,
6:40.0,Turnover by I. Thomas (lost ball; steal by J. Teague),,3-19,,
6:38.0,Personal foul by I. Thomas,,3-19,,
6:38.0,T. Zeller enters the game for J. Sullinger,,3-19,,
6:32.0,,,3-19,,Turnover by A. Horford (lost ball; steal by J. Crowder)
6:20.0,M. Smart misses 2-pt shot from 1 ft (block by A. Horford),,3-19,,
6:19.0,,,3-19,,Defensive rebound by K. Bazemore
6:13.0,,,3-21,2,J. Teague makes 2-pt shot from 2 ft (assist by K. Bazemore)
6:12.0,Boston full timeout,,3-21,,
6:12.0,,,3-21,,M. Muscala enters the game for A. Horford
5:52.0,I. Thomas misses 2-pt shot from 2 ft (block by J. Teague),,3-21,,
5:51.0,Offensive rebound by T. Zeller,,3-21,,
5:50.0,T. Zeller misses 2-pt shot from 1 ft,,3-21,,
