time,Detroit,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Towns (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. K. Towns (R. Jackson gains possession)
11:46.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by K. Garnett
11:29.0,,,0-0,,A. Wiggins misses 2-pt shot from 19 ft
11:28.0,Defensive rebound by M. Morris,,0-0,,
11:14.0,R. Jackson makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,3-0,,
10:54.0,,,3-2,2,K. Towns makes 2-pt shot from 22 ft
10:28.0,E. Ilyasova makes 2-pt shot from 1 ft,2,5-2,,
10:08.0,,,5-4,2,K. Towns makes 2-pt shot from 13 ft (assist by R. Rubio)
9:50.0,A. Drummond makes 2-pt shot from 6 ft,2,7-4,,
9:38.0,,,7-4,,Offensive charge foul by K. Towns
9:38.0,,,7-4,,Turnover by K. Towns (offensive foul)
9:29.0,R. Jackson makes 2-pt shot from 1 ft,2,9-4,,
9:16.0,,,9-6,2,R. Rubio makes 2-pt shot from 1 ft
9:07.0,Turnover by A. Drummond (offensive goaltending),,9-6,,
8:55.0,,,9-6,,A. Wiggins misses 2-pt shot from 9 ft
8:54.0,,,9-6,,Offensive rebound by A. Wiggins
8:53.0,,,9-6,,Shooting foul by R. Jackson (drawn by A. Wiggins)
8:53.0,,,9-7,1,A. Wiggins makes free throw 1 of 2
8:53.0,,,9-7,,A. Wiggins misses free throw 2 of 2
8:53.0,Defensive rebound by M. Morris,,9-7,,
8:31.0,M. Morris makes 2-pt shot at rim,2,11-7,,
8:16.0,,,11-10,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
7:59.0,Offensive foul by E. Ilyasova,,11-10,,
7:59.0,Turnover by E. Ilyasova (offensive foul),,11-10,,
7:43.0,,,11-10,,K. Towns misses 2-pt shot from 7 ft
7:42.0,Defensive rebound by M. Morris,,11-10,,
7:35.0,R. Jackson misses 3-pt shot from 25 ft,,11-10,,
7:33.0,,,11-10,,Defensive rebound by K. Towns
7:25.0,,,11-10,,R. Rubio misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by A. Drummond,,11-10,,
7:11.0,A. Drummond misses 2-pt shot from 9 ft,,11-10,,
7:10.0,,,11-10,,Defensive rebound by K. Towns
6:57.0,,,11-12,2,K. Towns makes 2-pt shot from 22 ft (assist by R. Rubio)
6:41.0,Shooting foul by A. Wiggins (drawn by E. Ilyasova),,11-12,,
6:41.0,E. Ilyasova misses free throw 1 of 2,,11-12,,
6:41.0,Offensive rebound by Team,,11-12,,
6:41.0,E. Ilyasova makes free throw 2 of 2,1,12-12,,
6:36.0,,,12-12,,Minnesota full timeout
6:28.0,,,12-14,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
6:11.0,K. Caldwell-Pope makes 2-pt shot from 20 ft,2,14-14,,
5:45.0,,,14-14,,R. Rubio misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by M. Morris,,14-14,,
5:36.0,M. Morris makes 2-pt shot from 19 ft,2,16-14,,
5:19.0,,,16-14,,Shooting foul by K. Caldwell-Pope (drawn by A. Wiggins)
5:19.0,,,16-15,1,A. Wiggins makes free throw 1 of 2
5:19.0,,,16-15,,A. Payne enters the game for K. Garnett
5:19.0,,,16-16,1,A. Wiggins makes free throw 2 of 2
5:10.0,E. Ilyasova misses 2-pt shot from 19 ft,,16-16,,
5:09.0,,,16-16,,Defensive rebound by K. Towns
4:58.0,,,16-18,2,R. Rubio makes 2-pt shot from 18 ft
4:43.0,R. Jackson misses 2-pt shot from 9 ft,,16-18,,
4:42.0,Offensive rebound by A. Drummond,,16-18,,
