time,Indiana,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: S. Adams vs. I. Mahinmi (G. Hill gains possession)
11:47.0,P. George makes 2-pt shot from 18 ft (assist by I. Mahinmi),2,2-0,,
11:28.0,,,2-2,2,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook)
11:14.0,Turnover by I. Mahinmi (lost ball; steal by D. Waiters),,2-2,,
11:08.0,,,2-2,,K. Durant misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by G. Hill,,2-2,,
11:00.0,M. Turner makes 2-pt shot from 2 ft (assist by G. Hill),2,4-2,,
10:46.0,,,4-2,,S. Ibaka misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by G. Hill,,4-2,,
10:31.0,P. George misses 2-pt shot from 1 ft,,4-2,,
10:31.0,,,4-2,,Defensive rebound by Team
10:18.0,,,4-4,2,R. Westbrook makes 2-pt shot at rim
10:08.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill),2,6-4,,
10:00.0,,,6-4,,S. Ibaka misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by M. Ellis,,6-4,,
9:45.0,M. Turner makes 2-pt shot from 10 ft (assist by M. Ellis),2,8-4,,
9:30.0,,,8-4,,K. Durant misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by M. Turner,,8-4,,
9:09.0,I. Mahinmi misses 2-pt shot from 4 ft,,8-4,,
9:07.0,,,8-4,,Defensive rebound by K. Durant
9:00.0,,,8-6,2,S. Ibaka makes 2-pt shot from 14 ft (assist by R. Westbrook)
8:36.0,M. Ellis makes 2-pt shot from 16 ft,2,10-6,,
8:21.0,,,10-6,,Shooting foul by I. Mahinmi (drawn by S. Adams)
8:21.0,,,10-7,1,S. Adams makes free throw 1 of 2
8:21.0,,,10-8,1,S. Adams makes free throw 2 of 2
8:05.0,P. George misses 2-pt shot from 17 ft,,10-8,,
8:05.0,Offensive rebound by I. Mahinmi,,10-8,,
7:57.0,M. Ellis makes 3-pt shot from 23 ft (assist by G. Hill),3,13-8,,
7:44.0,,,13-10,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
7:28.0,G. Hill misses 3-pt shot from 24 ft,,13-10,,
7:28.0,,,13-10,,Defensive rebound by K. Durant
7:19.0,,,13-10,,D. Waiters misses 2-pt shot from 1 ft
7:19.0,,,13-10,,Offensive rebound by Team
7:16.0,,,13-12,2,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook)
6:55.0,Offensive charge foul by P. George,,13-12,,
6:55.0,Turnover by P. George (offensive foul),,13-12,,
6:42.0,,,13-12,,S. Ibaka misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by Team,,13-12,,
6:32.0,M. Ellis misses 3-pt shot from 22 ft,,13-12,,
6:32.0,,,13-12,,Defensive rebound by Team
6:20.0,,,13-12,,Turnover by S. Ibaka (lost ball)
6:10.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,15-12,,
5:48.0,,,15-12,,S. Adams misses 2-pt shot from 9 ft
5:47.0,Defensive rebound by P. George,,15-12,,
5:44.0,Turnover by P. George (lost ball; steal by R. Westbrook),,15-12,,
5:42.0,,,15-12,,Oklahoma City full timeout
5:42.0,Jump ball: S. Adams vs. P. George (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. P. George (S. Ibaka gains possession)
5:27.0,,,15-12,,K. Durant misses 2-pt shot from 16 ft
5:27.0,,,15-12,,Offensive rebound by Team
5:27.0,Loose ball foul by M. Ellis,,15-12,,
5:27.0,,,15-12,,E. Kanter enters the game for S. Adams
5:19.0,,,15-12,,D. Waiters misses 3-pt shot from 22 ft
5:18.0,Defensive rebound by P. George,,15-12,,
5:12.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,17-12,,
4:59.0,,,17-14,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
4:35.0,P. George misses 2-pt shot from 16 ft,,17-14,,
4:35.0,,,17-14,,Defensive rebound by E. Kanter
4:29.0,,,17-14,,R. Westbrook misses 2-pt shot from 17 ft
4:28.0,Defensive rebound by I. Mahinmi,,17-14,,
4:17.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,19-14,,
4:03.0,,,19-14,,R. Westbrook misses 2-pt shot from 1 ft (block by M. Turner)
4:02.0,,,19-14,,Offensive rebound by E. Kanter
4:02.0,,,19-14,,E. Kanter misses 2-pt shot from 1 ft
4:02.0,Defensive rebound by Team,,19-14,,
4:02.0,L. Allen enters the game for M. Turner,,19-14,,
3:48.0,M. Ellis makes 2-pt shot from 17 ft,2,21-14,,
3:33.0,,,21-16,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
3:16.0,P. George misses 3-pt shot from 24 ft,,21-16,,
3:16.0,,,21-16,,Defensive rebound by E. Kanter
3:01.0,,,21-16,,K. Durant misses 2-pt shot from 10 ft
3:00.0,,,21-16,,Offensive rebound by S. Ibaka
2:59.0,,,21-18,2,S. Ibaka makes 2-pt shot from 3 ft
2:59.0,,,21-18,,Shooting foul by L. Allen (drawn by S. Ibaka)
2:59.0,Indiana full timeout,,21-18,,
2:59.0,,,21-18,,S. Ibaka misses free throw 1 of 1
2:58.0,Defensive rebound by P. George,,21-18,,
2:42.0,,,21-18,,N. Collison enters the game for S. Ibaka
2:34.0,G. Hill makes 3-pt shot from 22 ft (assist by P. George),3,24-18,,
2:11.0,,,24-20,2,R. Westbrook makes 2-pt shot from 11 ft
1:56.0,,,24-20,,Personal foul by D. Waiters
1:56.0,J. Hill enters the game for I. Mahinmi,,24-20,,
1:56.0,J. Young enters the game for G. Hill,,24-20,,
1:56.0,,,24-20,,C. Payne enters the game for D. Waiters
1:56.0,,,24-20,,K. Singler enters the game for R. Westbrook
1:42.0,M. Ellis misses 3-pt shot from 25 ft,,24-20,,
1:42.0,Offensive rebound by L. Allen,,24-20,,
1:40.0,Shooting foul by N. Collison (drawn by L. Allen),,24-20,,
1:40.0,L. Allen misses free throw 1 of 2,,24-20,,
1:40.0,Offensive rebound by Team,,24-20,,
1:40.0,S. Hill enters the game for M. Ellis,,24-20,,
1:40.0,L. Allen misses free throw 2 of 2,,24-20,,
1:39.0,,,24-20,,Defensive rebound by K. Durant
1:27.0,,,24-20,,Turnover by N. Collison (traveling)
1:12.0,J. Hill misses 2-pt shot from 1 ft,,24-20,,
1:10.0,,,24-20,,Defensive rebound by K. Singler
