time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (L. Scola gains possession)
11:38.0,,,0-0,,D. DeRozan misses 2-pt shot from 18 ft
11:38.0,Defensive rebound by L. Allen,,0-0,,
11:18.0,G. Hill misses 3-pt shot from 24 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by L. Scola
11:11.0,Shooting block foul by I. Mahinmi (drawn by K. Lowry),,0-0,,
11:11.0,,,0-0,,K. Lowry misses free throw 1 of 2
11:11.0,,,0-0,,Offensive rebound by Team
11:11.0,,,0-0,,K. Lowry misses free throw 2 of 2
11:10.0,Defensive rebound by L. Allen,,0-0,,
11:00.0,Turnover by P. George (lost ball; steal by D. DeRozan),,0-0,,
10:52.0,,,0-0,,Shooting foul by P. George (drawn by D. DeRozan)
10:52.0,,,0-1,1,D. DeRozan makes free throw 1 of 2
10:52.0,,,0-2,1,D. DeRozan makes free throw 2 of 2
10:43.0,P. George misses 3-pt shot from 25 ft,,0-2,,
10:42.0,Offensive rebound by I. Mahinmi,,0-2,,
10:37.0,I. Mahinmi misses 2-pt shot from 2 ft,,0-2,,
10:36.0,,,0-2,,Defensive rebound by L. Scola
10:30.0,,,0-2,,K. Lowry misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by G. Hill,,0-2,,
10:22.0,Turnover by G. Hill (bad pass),,0-2,,
9:57.0,,,0-4,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
9:40.0,,,0-4,,Personal foul by K. Lowry
9:33.0,P. George makes 2-pt shot from 19 ft (assist by I. Mahinmi),2,2-4,,
9:18.0,,,2-4,,Shooting foul by M. Ellis (drawn by N. Powell)
9:18.0,,,2-5,1,N. Powell makes free throw 1 of 2
9:18.0,,,2-5,,N. Powell misses free throw 2 of 2
9:18.0,,,2-5,,Offensive rebound by J. Valanciunas
9:16.0,,,2-5,,Shooting foul by L. Allen (drawn by J. Valanciunas)
9:16.0,,,2-6,1,J. Valanciunas makes free throw 1 of 2
9:16.0,,,2-7,1,J. Valanciunas makes free throw 2 of 2
9:07.0,Offensive charge foul by I. Mahinmi,,2-7,,
9:07.0,Turnover by I. Mahinmi (offensive foul),,2-7,,
9:07.0,M. Turner enters the game for I. Mahinmi,,2-7,,
8:51.0,,,2-7,,D. DeRozan misses 2-pt shot from 19 ft (block by P. George)
8:49.0,Defensive rebound by M. Ellis,,2-7,,
8:43.0,L. Allen makes 2-pt shot at rim (assist by M. Ellis),2,4-7,,
8:27.0,,,4-7,,K. Lowry misses 2-pt shot from 22 ft
8:26.0,Defensive rebound by L. Allen,,4-7,,
8:15.0,L. Allen misses 2-pt shot from 20 ft,,4-7,,
8:15.0,,,4-7,,Defensive rebound by J. Valanciunas
8:10.0,,,4-7,,Turnover by N. Powell (lost ball)
8:01.0,G. Hill makes 3-pt shot from 24 ft (assist by M. Ellis),3,7-7,,
7:37.0,,,7-9,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by L. Scola)
7:19.0,M. Ellis misses 2-pt shot from 19 ft,,7-9,,
7:18.0,,,7-9,,Defensive rebound by J. Valanciunas
7:08.0,,,7-11,2,L. Scola makes 2-pt shot from 2 ft
6:55.0,M. Ellis makes 2-pt shot from 1 ft,2,9-11,,
6:40.0,,,9-11,,Offensive charge foul by D. DeRozan
6:40.0,,,9-11,,Turnover by D. DeRozan (offensive foul)
6:24.0,Shooting foul by J. Valanciunas (drawn by M. Turner),,9-11,,
6:24.0,M. Turner misses free throw 1 of 2,,9-11,,
6:24.0,Offensive rebound by Team,,9-11,,
6:24.0,M. Turner misses free throw 2 of 2,,9-11,,
6:23.0,,,9-11,,Defensive rebound by L. Scola
6:18.0,,,9-11,,Toronto full timeout
6:09.0,,,9-11,,J. Valanciunas misses 2-pt shot from 5 ft (block by M. Turner)
6:07.0,Defensive rebound by M. Turner,,9-11,,
6:02.0,M. Ellis makes 2-pt shot from 2 ft,2,11-11,,
5:41.0,,,11-11,,Turnover by K. Lowry (lost ball; steal by P. George)
5:35.0,P. George misses 2-pt shot from 3 ft,,11-11,,
5:34.0,,,11-11,,Defensive rebound by L. Scola
5:17.0,,,11-11,,D. DeRozan misses 2-pt shot from 5 ft (block by M. Turner)
5:17.0,Defensive rebound by Team,,11-11,,
5:05.0,M. Turner misses 2-pt shot from 20 ft,,11-11,,
5:03.0,,,11-11,,Defensive rebound by Team
4:47.0,,,11-11,,L. Scola misses 3-pt shot from 23 ft
4:46.0,,,11-11,,Offensive rebound by J. Valanciunas
4:41.0,,,11-11,,K. Lowry misses 3-pt shot from 27 ft
4:39.0,Defensive rebound by Team,,11-11,,
4:24.0,P. George misses 2-pt shot from 10 ft,,11-11,,
4:24.0,,,11-11,,Defensive rebound by J. Valanciunas
4:16.0,,,11-11,,L. Scola misses 2-pt shot from 4 ft (block by M. Turner)
4:15.0,Defensive rebound by P. George,,11-11,,
4:13.0,Turnover by P. George (palming),,11-11,,
3:56.0,,,11-11,,D. DeRozan misses 2-pt shot from 16 ft
3:55.0,,,11-11,,Offensive rebound by J. Valanciunas
3:55.0,S. Hill enters the game for L. Allen,,11-11,,
3:55.0,,,11-11,,P. Patterson enters the game for L. Scola
3:55.0,,,11-11,,D. Carroll enters the game for N. Powell
3:54.0,Jump ball: M. Turner vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: M. Turner vs. J. Valanciunas (K. Lowry gains possession)
3:43.0,Jump ball: D. DeRozan vs. P. George,,,,Jump ball: D. DeRozan vs. P. George
3:34.0,,,11-14,3,K. Lowry makes 3-pt shot from 24 ft (assist by P. Patterson)
3:15.0,M. Ellis misses 3-pt shot from 24 ft,,11-14,,
3:13.0,,,11-14,,Defensive rebound by J. Valanciunas
3:06.0,,,11-14,,D. Carroll misses 3-pt shot from 25 ft
3:05.0,,,11-14,,Offensive rebound by P. Patterson
3:01.0,,,11-16,2,D. Carroll makes 2-pt shot from 2 ft (assist by D. DeRozan)
3:01.0,Indiana full timeout,,11-16,,
3:01.0,R. Stuckey enters the game for M. Ellis,,11-16,,
3:01.0,T. Lawson enters the game for G. Hill,,11-16,,
2:48.0,M. Turner misses 2-pt shot from 3 ft,,11-16,,
2:47.0,,,11-16,,Defensive rebound by J. Valanciunas
2:27.0,,,11-18,2,J. Valanciunas makes 2-pt shot from 4 ft
2:12.0,Shooting foul by D. Carroll (drawn by P. George),,11-18,,
2:12.0,P. George makes free throw 1 of 2,1,12-18,,
2:12.0,P. George makes free throw 2 of 2,1,13-18,,
1:54.0,,,13-18,,Turnover by K. Lowry (lost ball; steal by T. Lawson)
1:48.0,R. Stuckey misses 2-pt shot from 4 ft (block by P. Patterson),,13-18,,
1:46.0,,,13-18,,Defensive rebound by D. Carroll
1:44.0,,,13-18,,Turnover by D. Carroll (lost ball; steal by P. George)
1:40.0,P. George makes 2-pt shot from 1 ft,2,15-18,,
1:19.0,,,15-18,,K. Lowry misses 3-pt shot from 24 ft
1:17.0,,,15-18,,Offensive rebound by J. Valanciunas
1:15.0,,,15-18,,B. Biyombo enters the game for J. Valanciunas
1:15.0,,,15-18,,C. Joseph enters the game for K. Lowry
1:12.0,,,15-20,2,D. DeRozan makes 2-pt shot from 11 ft (assist by C. Joseph)
0:55.0,M. Turner makes 2-pt shot from 21 ft (assist by T. Lawson),2,17-20,,
0:39.0,,,17-20,,Shooting foul by S. Hill (drawn by D. Carroll)
0:39.0,,,17-21,1,D. Carroll makes free throw 1 of 2
0:39.0,,,17-21,,T. Ross enters the game for D. DeRozan
0:39.0,,,17-22,1,D. Carroll makes free throw 2 of 2
0:30.0,T. Lawson makes 2-pt shot from 13 ft,2,19-22,,
0:11.0,,,19-24,2,C. Joseph makes 2-pt shot from 16 ft
0:03.0,,,19-24,,Personal foul by C. Joseph
0:00.0,M. Turner misses 3-pt shot from 25 ft,,19-24,,
0:00.0,Offensive rebound by P. George,,19-24,,
0:00.0,P. George misses 2-pt shot from 1 ft,,19-24,,
0:00.0,Offensive rebound by Team,,19-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,R. Stuckey misses 2-pt shot from 13 ft,,19-24,,
11:43.0,,,19-24,,Defensive rebound by B. Biyombo
11:31.0,,,19-24,,Offensive foul by B. Biyombo
11:31.0,,,19-24,,Turnover by B. Biyombo (offensive foul)
11:19.0,,,19-24,,Personal foul by T. Ross
11:06.0,R. Stuckey makes 2-pt shot from 19 ft (assist by T. Lawson),2,21-24,,
10:40.0,,,21-24,,T. Ross misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by C. Miles,,21-24,,
10:29.0,R. Stuckey makes 2-pt shot from 4 ft (assist by C. Miles),2,23-24,,
10:15.0,,,23-24,,Offensive foul by T. Ross
10:15.0,,,23-24,,Turnover by T. Ross (offensive foul)
10:04.0,C. Miles misses 3-pt shot from 24 ft,,23-24,,
10:03.0,,,23-24,,Defensive rebound by B. Biyombo
9:56.0,,,23-26,2,C. Joseph makes 2-pt shot from 1 ft
9:42.0,T. Lawson misses 2-pt shot from 9 ft,,23-26,,
9:42.0,,,23-26,,Defensive rebound by P. Patterson
9:38.0,,,23-26,,Turnover by T. Ross (kicked ball)
9:22.0,S. Hill makes 3-pt shot from 25 ft (assist by R. Stuckey),3,26-26,,
8:56.0,,,26-29,3,C. Joseph makes 3-pt shot from 25 ft
8:42.0,C. Miles misses 2-pt shot from 15 ft,,26-29,,
8:42.0,Offensive rebound by M. Turner,,26-29,,
8:39.0,M. Turner makes 2-pt shot from 1 ft,2,28-29,,
8:19.0,,,28-31,2,D. Carroll makes 2-pt shot from 11 ft (assist by C. Joseph)
8:07.0,R. Stuckey misses 2-pt shot from 8 ft,,28-31,,
8:07.0,,,28-31,,Defensive rebound by Team
8:07.0,Official timeout,,28-31,,
8:07.0,I. Mahinmi enters the game for M. Turner,,28-31,,
