time,Miami,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (L. Deng gains possession)
11:34.0,L. Deng misses 3-pt shot from 25 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by J. Crowder
11:10.0,,,0-0,,J. Crowder misses 3-pt shot from 24 ft (block by H. Whiteside)
11:09.0,,,0-0,,Offensive rebound by J. Sullinger
11:06.0,,,0-0,,J. Sullinger misses 2-pt shot from 8 ft
11:06.0,Defensive rebound by L. Deng,,0-0,,
10:49.0,H. Whiteside misses 2-pt shot from 5 ft,,0-0,,
10:48.0,Offensive rebound by L. Deng,,0-0,,
10:48.0,L. Deng makes 2-pt shot at rim,2,2-0,,
10:41.0,,,2-2,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
10:25.0,J. Johnson misses 3-pt shot from 24 ft,,2-2,,
10:23.0,Offensive rebound by L. Deng,,2-2,,
10:18.0,D. Wade misses 2-pt shot from 10 ft,,2-2,,
10:17.0,Offensive rebound by G. Dragic,,2-2,,
10:16.0,G. Dragic makes 2-pt shot from 1 ft,2,4-2,,
10:05.0,,,4-2,,I. Thomas misses 2-pt shot at rim
10:04.0,,,4-2,,Offensive rebound by A. Johnson
10:04.0,,,4-4,2,A. Johnson makes 2-pt shot at rim
9:47.0,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic),2,6-4,,
9:42.0,Personal foul by G. Dragic,,6-4,,
9:30.0,,,6-4,,J. Sullinger misses 2-pt shot from 15 ft (block by H. Whiteside)
9:29.0,Defensive rebound by J. Johnson,,6-4,,
9:22.0,G. Dragic makes 2-pt shot from 6 ft,2,8-4,,
9:13.0,,,8-4,,I. Thomas misses 2-pt shot at rim (block by G. Dragic)
9:12.0,,,8-4,,Offensive rebound by Team
9:04.0,,,8-4,,J. Sullinger misses 2-pt shot from 20 ft
9:04.0,Defensive rebound by H. Whiteside,,8-4,,
8:51.0,L. Deng makes 2-pt shot from 19 ft,2,10-4,,
8:37.0,,,10-7,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Johnson)
8:13.0,H. Whiteside makes 2-pt shot from 7 ft (assist by J. Johnson),2,12-7,,
8:00.0,,,12-9,2,J. Sullinger makes 2-pt shot from 6 ft
7:38.0,G. Dragic misses 2-pt shot from 1 ft (block by J. Sullinger),,12-9,,
7:37.0,Offensive rebound by G. Dragic,,12-9,,
7:36.0,G. Dragic makes 2-pt shot at rim,2,14-9,,
7:26.0,,,14-9,,Turnover by I. Thomas (lost ball; steal by H. Whiteside)
7:17.0,J. Johnson makes 2-pt shot from 12 ft (assist by D. Wade),2,16-9,,
7:17.0,,,16-9,,Boston full timeout
7:03.0,,,16-9,,J. Sullinger misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by L. Deng,,16-9,,
6:53.0,D. Wade misses 2-pt shot from 13 ft,,16-9,,
6:52.0,Offensive rebound by Team,,16-9,,
6:52.0,,,16-9,,Loose ball foul by A. Johnson
6:52.0,,,16-9,,E. Turner enters the game for A. Johnson
6:42.0,H. Whiteside makes 2-pt shot from 5 ft (assist by D. Wade),2,18-9,,
6:42.0,Shooting foul by J. Crowder (drawn by H. Whiteside),,18-9,,
6:42.0,J. Richardson enters the game for G. Dragic,,18-9,,
6:42.0,H. Whiteside makes free throw 1 of 1,1,19-9,,
6:28.0,,,19-9,,J. Sullinger misses 2-pt shot from 17 ft
6:27.0,Defensive rebound by H. Whiteside,,19-9,,
6:06.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,21-9,,
5:45.0,,,21-9,,J. Crowder misses 2-pt shot from 6 ft (block by H. Whiteside)
5:44.0,,,21-9,,Offensive rebound by J. Crowder
5:40.0,,,21-9,,A. Bradley misses 2-pt shot from 11 ft
5:39.0,Defensive rebound by H. Whiteside,,21-9,,
5:21.0,J. Johnson makes 2-pt shot from 7 ft,2,23-9,,
5:13.0,Personal foul by J. Richardson,,23-9,,
5:13.0,,,23-9,,M. Smart enters the game for J. Crowder
5:13.0,,,23-9,,K. Olynyk enters the game for J. Sullinger
5:08.0,,,23-9,,I. Thomas misses 2-pt shot from 1 ft (block by J. Richardson)
5:08.0,Jump ball: J. Richardson vs. I. Thomas (H. Whiteside gains possession),,,,Jump ball: J. Richardson vs. I. Thomas (H. Whiteside gains possession)
5:08.0,Defensive rebound by Team,,23-9,,
4:52.0,J. Johnson misses 2-pt shot from 11 ft,,23-9,,
4:51.0,,,23-9,,Defensive rebound by E. Turner
4:42.0,,,23-9,,E. Turner misses 2-pt shot from 12 ft
4:41.0,Defensive rebound by J. Richardson,,23-9,,
4:31.0,J. Richardson misses 3-pt shot from 25 ft,,23-9,,
4:30.0,,,23-9,,Defensive rebound by M. Smart
4:22.0,,,23-9,,I. Thomas misses 2-pt shot from 1 ft
4:21.0,Defensive rebound by D. Wade,,23-9,,
4:10.0,Turnover by D. Wade (lost ball; steal by E. Turner),,23-9,,
4:05.0,,,23-9,,Turnover by E. Turner (lost ball; steal by J. Johnson)
3:59.0,D. Wade makes 2-pt shot from 1 ft,2,25-9,,
3:52.0,,,25-11,2,A. Bradley makes 2-pt shot from 1 ft (assist by K. Olynyk)
3:44.0,Miami full timeout,,25-11,,
