time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (K. Porzingis gains possession)
11:35.0,,,0-0,,K. Porzingis misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by L. James,,0-0,,
11:16.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,3-0,,
11:00.0,,,3-0,,Turnover by J. Calderon (bad pass)
10:44.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Love),3,6-0,,
10:32.0,,,6-0,,R. Lopez misses 2-pt shot from 6 ft
10:31.0,,,6-0,,Offensive rebound by Team
10:29.0,,,6-0,,J. Calderon misses 2-pt shot from 14 ft
10:27.0,,,6-0,,Offensive rebound by K. Porzingis
10:26.0,,,6-2,2,K. Porzingis makes 2-pt shot from 1 ft
10:08.0,L. James misses 3-pt shot from 24 ft,,6-2,,
10:06.0,,,6-2,,Defensive rebound by K. Porzingis
10:01.0,,,6-2,,Turnover by J. Calderon (bad pass; steal by L. James)
9:54.0,L. James makes 2-pt shot from 1 ft (assist by M. Williams),2,8-2,,
9:32.0,,,8-5,3,C. Anthony makes 3-pt shot from 24 ft (assist by K. Porzingis)
9:17.0,Shooting foul by C. Anthony (drawn by L. James),,8-5,,
9:17.0,L. James makes free throw 1 of 2,1,9-5,,
9:17.0,L. James makes free throw 2 of 2,1,10-5,,
8:57.0,,,10-5,,Turnover by J. Calderon (bad pass; steal by T. Mozgov)
8:49.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,13-5,,
8:41.0,,,13-5,,New York full timeout
8:27.0,,,13-5,,Shooting foul by T. Mozgov (drawn by C. Anthony)
8:27.0,,,13-6,1,C. Anthony makes free throw 1 of 2
8:27.0,,,13-7,1,C. Anthony makes free throw 2 of 2
8:08.0,L. James makes 2-pt shot from 10 ft,2,15-7,,
7:54.0,,,15-9,2,C. Anthony makes 2-pt shot from 6 ft
7:36.0,Turnover by M. Williams (lost ball),,15-9,,
7:24.0,,,15-12,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Lopez)
7:07.0,Turnover by M. Williams (bad pass; steal by J. Calderon),,15-12,,
6:46.0,,,15-12,,R. Lopez misses 2-pt shot from 3 ft
6:44.0,Defensive rebound by T. Mozgov,,15-12,,
6:37.0,Shooting foul by R. Lopez (drawn by T. Mozgov),,15-12,,
6:37.0,T. Mozgov makes free throw 1 of 2,1,16-12,,
6:37.0,T. Mozgov makes free throw 2 of 2,1,17-12,,
6:18.0,,,17-14,2,J. Calderon makes 2-pt shot from 21 ft
6:04.0,L. James makes 2-pt shot at rim (assist by M. Williams),2,19-14,,
5:44.0,,,19-14,,Turnover by R. Lopez (offensive goaltending)
5:44.0,R. Jefferson enters the game for L. James,,19-14,,
5:33.0,T. Mozgov makes 2-pt shot from 16 ft (assist by M. Williams),2,21-14,,
5:19.0,,,21-17,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
5:05.0,K. Love misses 3-pt shot from 25 ft,,21-17,,
5:03.0,,,21-17,,Defensive rebound by K. Porzingis
4:48.0,,,21-19,2,C. Anthony makes 2-pt shot from 13 ft
4:39.0,M. Williams misses 2-pt shot from 10 ft,,21-19,,
4:37.0,Offensive rebound by K. Love,,21-19,,
4:36.0,,,21-19,,Personal foul by J. Calderon (drawn by K. Love)
4:36.0,,,21-19,,J. Grant enters the game for J. Calderon
4:36.0,M. Dellavedova enters the game for M. Williams,,21-19,,
4:25.0,R. Jefferson misses 3-pt shot from 25 ft,,21-19,,
4:23.0,Offensive rebound by K. Love,,21-19,,
4:17.0,M. Dellavedova misses 3-pt shot from 24 ft,,21-19,,
4:17.0,,,21-19,,Defensive rebound by Team
4:17.0,Loose ball foul by K. Love (drawn by K. Porzingis),,21-19,,
3:52.0,,,21-19,,C. Anthony misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by K. Love,,21-19,,
3:45.0,J. Smith misses 3-pt shot from 25 ft,,21-19,,
3:43.0,,,21-19,,Defensive rebound by J. Grant
3:29.0,,,21-19,,K. Porzingis misses 3-pt shot from 24 ft
3:27.0,,,21-19,,Offensive rebound by R. Lopez
3:14.0,,,21-21,2,C. Anthony makes 2-pt shot from 21 ft
3:13.0,Cleveland full timeout,,21-21,,
3:13.0,T. Thompson enters the game for T. Mozgov,,21-21,,
3:13.0,,,21-21,,K. O'Quinn enters the game for K. Porzingis
3:13.0,,,21-21,,L. Thomas enters the game for R. Lopez
3:13.0,,,21-21,,L. Galloway enters the game for A. Afflalo
3:06.0,Offensive foul by K. Love,,21-21,,
3:06.0,Turnover by K. Love (offensive foul),,21-21,,
3:06.0,,,21-21,,D. Williams enters the game for C. Anthony
3:06.0,L. James enters the game for J. Smith,,21-21,,
3:06.0,J. Jones enters the game for K. Love,,21-21,,
2:55.0,,,21-21,,K. O'Quinn misses 2-pt shot from 11 ft
2:53.0,Defensive rebound by J. Jones,,21-21,,
2:35.0,J. Jones misses 3-pt shot from 23 ft,,21-21,,
2:33.0,Offensive rebound by T. Thompson,,21-21,,
2:11.0,M. Dellavedova misses 2-pt shot from 6 ft,,21-21,,
2:09.0,,,21-21,,Defensive rebound by J. Grant
2:04.0,,,21-21,,L. Galloway misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by T. Thompson,,21-21,,
1:48.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,23-21,,
1:28.0,,,23-21,,Turnover by L. Thomas (bad pass; steal by R. Jefferson)
1:15.0,M. Dellavedova makes 2-pt shot from 3 ft,2,25-21,,
1:04.0,,,25-21,,Offensive foul by K. O'Quinn
1:04.0,,,25-21,,Turnover by K. O'Quinn (offensive foul)
0:50.0,L. James misses 2-pt shot from 2 ft,,25-21,,
0:48.0,,,25-21,,Defensive rebound by D. Williams
0:38.0,,,25-21,,D. Williams misses 2-pt shot from 18 ft
0:36.0,Defensive rebound by T. Thompson,,25-21,,
0:29.0,M. Dellavedova makes 2-pt shot from 2 ft,2,27-21,,
0:09.0,,,27-21,,Shooting foul by J. Jones (drawn by J. Grant)
0:09.0,,,27-22,1,J. Grant makes free throw 1 of 2
0:09.0,,,27-23,1,J. Grant makes free throw 2 of 2
0:04.0,L. James makes 2-pt shot from 1 ft,2,29-23,,
0:04.0,Shooting foul by K. O'Quinn (drawn by L. James),,29-23,,
0:04.0,L. James misses free throw 1 of 1,,29-23,,
0:03.0,,,29-23,,Defensive rebound by J. Grant
0:00.0,,,29-23,,J. Grant misses 3-pt shot from 28 ft
0:00.0,,,29-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,L. James misses 3-pt shot from 25 ft,,29-23,,
11:36.0,,,29-23,,Defensive rebound by D. Williams
11:28.0,,,29-23,,Turnover by J. Grant (bad pass; steal by L. James)
11:09.0,Turnover by L. James (bad pass; steal by D. Williams),,29-23,,
11:07.0,Personal foul by M. Dellavedova (drawn by D. Williams),,29-23,,
11:04.0,,,29-23,,J. Grant misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by T. Thompson,,29-23,,
10:58.0,L. James misses 2-pt shot at rim,,29-23,,
10:56.0,,,29-23,,Defensive rebound by L. Galloway
10:49.0,,,29-23,,L. Galloway misses 2-pt shot from 9 ft
10:47.0,Defensive rebound by T. Thompson,,29-23,,
10:33.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by L. James),3,32-23,,
10:14.0,,,32-25,2,D. Williams makes 2-pt shot from 2 ft (assist by J. Grant)
10:06.0,Turnover by L. James (bad pass; steal by L. Galloway),,32-25,,
10:01.0,,,32-25,,Shooting foul by R. Jefferson (drawn by J. Grant)
10:01.0,,,32-26,1,J. Grant makes free throw 1 of 2
10:01.0,,,32-27,1,J. Grant makes free throw 2 of 2
9:45.0,J. Jones misses 3-pt shot from 24 ft,,32-27,,
9:43.0,,,32-27,,Defensive rebound by D. Williams
9:38.0,,,32-27,,Shooting foul by T. Thompson (drawn by D. Williams)
9:38.0,,,32-27,,D. Williams misses free throw 1 of 2
9:38.0,,,32-27,,Offensive rebound by Team
9:38.0,K. Love enters the game for L. James,,32-27,,
9:38.0,J. Smith enters the game for J. Jones,,32-27,,
9:38.0,,,32-28,1,D. Williams makes free throw 2 of 2
9:29.0,,,32-28,,Personal foul by L. Amundson
9:17.0,Turnover by T. Thompson (bad pass; steal by L. Thomas),,32-28,,
9:15.0,,,32-28,,Turnover by L. Thomas (step out of bounds)
9:15.0,A. Varejao enters the game for T. Thompson,,32-28,,
9:08.0,J. Smith misses 2-pt shot from 10 ft,,32-28,,
9:07.0,Offensive rebound by A. Varejao,,32-28,,
9:06.0,A. Varejao misses 2-pt shot at rim,,32-28,,
9:04.0,Offensive rebound by A. Varejao,,32-28,,
9:03.0,A. Varejao misses 2-pt shot from 1 ft,,32-28,,
9:02.0,,,32-28,,Defensive rebound by L. Galloway
8:55.0,,,32-28,,D. Williams misses 3-pt shot from 23 ft
8:53.0,Defensive rebound by J. Smith,,32-28,,
8:41.0,K. Love misses 2-pt shot from 1 ft (block by D. Williams),,32-28,,
8:39.0,Offensive rebound by K. Love,,32-28,,
8:38.0,K. Love misses 2-pt shot from 2 ft (block by L. Amundson),,32-28,,
8:38.0,Offensive rebound by K. Love,,32-28,,
8:38.0,,,32-28,,Personal foul by L. Thomas (drawn by K. Love)
8:38.0,Official timeout,,32-28,,
8:38.0,,,32-28,,C. Anthony enters the game for J. Grant
8:38.0,,,32-28,,A. Afflalo enters the game for L. Thomas
8:38.0,,,32-28,,Violation by Team (delay of game)
8:30.0,M. Dellavedova makes 2-pt shot from 10 ft,2,34-28,,
8:05.0,,,34-28,,L. Galloway misses 2-pt shot from 12 ft
8:02.0,Defensive rebound by K. Love,,34-28,,
7:57.0,J. Smith misses 3-pt shot from 25 ft,,34-28,,
7:56.0,,,34-28,,Defensive rebound by C. Anthony
7:45.0,,,34-30,2,A. Afflalo makes 2-pt shot from 13 ft (assist by C. Anthony)
7:32.0,Shooting foul by D. Williams (drawn by K. Love),,34-30,,
7:32.0,K. Love makes free throw 1 of 2,1,35-30,,
7:32.0,,,35-30,,K. Porzingis enters the game for D. Williams
7:32.0,K. Love misses free throw 2 of 2,,35-30,,
7:31.0,,,35-30,,Defensive rebound by L. Amundson
7:23.0,Violation by A. Varejao (kicked ball),,35-30,,
7:23.0,M. Williams enters the game for M. Dellavedova,,35-30,,
7:15.0,,,35-30,,C. Anthony misses 2-pt shot from 16 ft
7:14.0,,,35-30,,Offensive rebound by K. Porzingis
7:00.0,,,35-32,2,A. Afflalo makes 2-pt shot from 6 ft
7:00.0,,,35-32,,Shooting foul by M. Williams (drawn by A. Afflalo)
7:00.0,,,35-33,1,A. Afflalo makes free throw 1 of 1
6:40.0,A. Varejao misses 2-pt shot from 2 ft (block by C. Anthony),,35-33,,
6:38.0,,,35-33,,Defensive rebound by A. Afflalo
6:33.0,,,35-36,3,C. Anthony makes 3-pt shot from 24 ft (assist by A. Afflalo)
6:31.0,Cleveland full timeout,,35-36,,
6:31.0,L. James enters the game for R. Jefferson,,35-36,,
6:16.0,K. Love misses 3-pt shot from 23 ft,,35-36,,
6:14.0,,,35-36,,Defensive rebound by C. Anthony
6:08.0,,,35-36,,L. Galloway misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by A. Varejao,,35-36,,
