time,Portland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:48.0,,,0-0,,K. Caldwell-Pope misses 2-pt shot from 19 ft
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession)
11:47.0,Defensive rebound by N. Vonleh,,0-0,,
11:26.0,D. Lillard misses 2-pt shot from 6 ft,,0-0,,
11:24.0,Offensive rebound by D. Lillard,,0-0,,
11:19.0,A. Aminu misses 3-pt shot from 25 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by A. Drummond
11:00.0,,,0-0,,Turnover by A. Drummond (lost ball; steal by M. Plumlee)
10:51.0,C. McCollum misses 2-pt shot from 8 ft,,0-0,,
10:50.0,,,0-0,,Defensive rebound by T. Harris
10:41.0,,,0-0,,M. Morris misses 2-pt shot from 5 ft
10:40.0,,,0-0,,Offensive rebound by A. Drummond
10:35.0,,,0-2,2,A. Drummond makes 2-pt shot from 4 ft
10:15.0,D. Lillard makes 2-pt shot from 13 ft (assist by M. Plumlee),2,2-2,,
9:53.0,,,2-4,2,T. Harris makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope)
9:36.0,Shooting foul by K. Caldwell-Pope (drawn by M. Plumlee),,2-4,,
9:36.0,M. Plumlee makes free throw 1 of 2,1,3-4,,
9:36.0,M. Plumlee makes free throw 2 of 2,1,4-4,,
9:19.0,,,4-6,2,A. Drummond makes 2-pt shot from 6 ft
9:10.0,Turnover by D. Lillard (bad pass),,4-6,,
8:53.0,,,4-8,2,A. Drummond makes 2-pt shot from 5 ft
8:34.0,C. McCollum misses 2-pt shot from 4 ft,,4-8,,
8:33.0,,,4-8,,Defensive rebound by A. Drummond
8:24.0,,,4-8,,R. Jackson misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by N. Vonleh,,4-8,,
8:15.0,Turnover by D. Lillard (bad pass; steal by R. Jackson),,4-8,,
7:55.0,,,4-10,2,T. Harris makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope)
7:35.0,A. Aminu makes 3-pt shot from 25 ft (assist by M. Plumlee),3,7-10,,
7:10.0,Personal foul by A. Aminu (drawn by T. Harris),,7-10,,
6:57.0,,,7-12,2,R. Jackson makes 2-pt shot from 16 ft
6:45.0,,,7-12,,Personal foul by A. Drummond (drawn by D. Lillard)
