time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. R. Hibbert (D. Cousins gains possession),,,,Jump ball: W. Cauley-Stein vs. R. Hibbert (D. Cousins gains possession)
11:41.0,B. McLemore makes 2-pt shot from 2 ft (assist by R. Rondo),2,2-0,,
11:19.0,,,2-0,,J. Clarkson misses 2-pt shot from 5 ft
11:18.0,Defensive rebound by W. Cauley-Stein,,2-0,,
11:10.0,Turnover by B. McLemore (lost ball; steal by R. Hibbert),,2-0,,
11:01.0,,,2-0,,J. Randle misses 2-pt shot from 22 ft
10:59.0,Defensive rebound by R. Rondo,,2-0,,
10:56.0,Turnover by R. Rondo (bad pass; steal by R. Hibbert),,2-0,,
10:43.0,,,2-0,,J. Clarkson misses 2-pt shot from 20 ft
10:39.0,Defensive rebound by R. Gay,,2-0,,
10:32.0,R. Rondo makes 2-pt shot at rim,2,4-0,,
10:20.0,,,4-0,,J. Randle misses 2-pt shot from 1 ft (block by R. Gay)
10:17.0,Defensive rebound by D. Cousins,,4-0,,
10:15.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,6-0,,
9:53.0,,,6-2,2,L. Williams makes 2-pt shot from 6 ft
9:43.0,D. Cousins misses 2-pt shot from 13 ft,,6-2,,
9:39.0,,,6-2,,Defensive rebound by J. Randle
9:28.0,,,6-4,2,R. Hibbert makes 2-pt shot from 18 ft
9:11.0,R. Rondo misses 2-pt shot from 19 ft,,6-4,,
9:09.0,,,6-4,,Defensive rebound by K. Bryant
8:53.0,,,6-4,,J. Clarkson misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by B. McLemore,,6-4,,
8:44.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins),3,9-4,,
8:28.0,,,9-6,2,R. Hibbert makes 2-pt shot from 16 ft (assist by L. Williams)
8:14.0,W. Cauley-Stein misses 2-pt shot at rim,,9-6,,
8:11.0,,,9-6,,Defensive rebound by J. Clarkson
7:59.0,,,9-6,,J. Randle misses 2-pt shot from 4 ft (block by R. Gay)
7:54.0,,,9-6,,Offensive rebound by J. Randle
7:54.0,,,9-6,,J. Randle misses 2-pt shot at rim
7:53.0,Defensive rebound by D. Cousins,,9-6,,
7:46.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,11-6,,
7:34.0,,,11-8,2,L. Williams makes 2-pt shot from 13 ft
7:12.0,Shooting foul by R. Hibbert (drawn by R. Gay),,11-8,,
7:12.0,R. Gay makes free throw 1 of 2,1,12-8,,
7:12.0,R. Gay misses free throw 2 of 2,,12-8,,
7:10.0,Offensive rebound by R. Rondo,,12-8,,
6:58.0,D. Cousins makes 2-pt shot at rim,2,14-8,,
6:42.0,,,14-8,,Turnover by J. Randle (lost ball; steal by R. Gay)
6:40.0,,,14-8,,Personal foul by J. Clarkson (drawn by R. Gay)
6:33.0,R. Gay misses 2-pt shot at rim,,14-8,,
6:30.0,,,14-8,,Defensive rebound by L. Williams
6:17.0,,,14-8,,R. Hibbert misses 2-pt shot from 19 ft
6:15.0,Defensive rebound by R. Gay,,14-8,,
6:14.0,,,14-8,,Personal take foul by K. Bryant (drawn by R. Rondo)
6:01.0,B. McLemore misses 3-pt shot from 23 ft,,14-8,,
6:00.0,,,14-8,,Defensive rebound by R. Hibbert
5:51.0,,,14-10,2,J. Clarkson makes 2-pt shot from 17 ft
5:46.0,,,14-10,,LA Lakers full timeout
5:46.0,,,14-10,,D. Russell enters the game for J. Randle
5:46.0,,,14-10,,R. Kelly enters the game for J. Clarkson
5:26.0,R. Rondo misses 3-pt shot from 23 ft,,14-10,,
5:25.0,Offensive rebound by D. Cousins,,14-10,,
5:22.0,D. Cousins makes 2-pt shot at rim,2,16-10,,
5:00.0,,,16-12,2,K. Bryant makes 2-pt shot from 18 ft
4:44.0,B. McLemore misses 2-pt shot from 14 ft,,16-12,,
4:42.0,,,16-12,,Defensive rebound by L. Williams
4:31.0,,,16-12,,R. Kelly misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by D. Cousins,,16-12,,
4:26.0,Shooting foul by D. Russell (drawn by W. Cauley-Stein),,16-12,,
4:26.0,W. Cauley-Stein misses free throw 1 of 2,,16-12,,
4:26.0,Offensive rebound by Team,,16-12,,
4:26.0,M. Belinelli enters the game for B. McLemore,,16-12,,
4:26.0,W. Cauley-Stein makes free throw 2 of 2,1,17-12,,
4:09.0,,,17-12,,K. Bryant misses 2-pt shot from 5 ft
4:05.0,Defensive rebound by R. Gay,,17-12,,
4:01.0,Turnover by R. Gay (bad pass; steal by R. Hibbert),,17-12,,
3:56.0,,,17-14,2,R. Kelly makes 2-pt shot at rim (assist by D. Russell)
3:43.0,,,17-14,,Personal foul by L. Williams
3:43.0,D. Cousins makes free throw 1 of 2,1,18-14,,
3:43.0,O. Casspi enters the game for W. Cauley-Stein,,18-14,,
3:43.0,K. Koufos enters the game for R. Gay,,18-14,,
3:43.0,,,18-14,,B. Bass enters the game for R. Hibbert
3:43.0,,,18-14,,A. Brown enters the game for K. Bryant
3:43.0,D. Cousins misses free throw 2 of 2,,18-14,,
3:39.0,,,18-14,,Defensive rebound by B. Bass
3:29.0,,,18-14,,L. Williams misses 2-pt shot at rim
3:26.0,Defensive rebound by D. Cousins,,18-14,,
3:24.0,R. Rondo makes 2-pt shot at rim (assist by D. Cousins),2,20-14,,
3:24.0,Shooting foul by R. Kelly (drawn by R. Rondo),,20-14,,
3:24.0,R. Rondo makes free throw 1 of 1,1,21-14,,
3:10.0,,,21-14,,R. Kelly misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by K. Koufos,,21-14,,
3:07.0,Turnover by R. Rondo (bad pass),,21-14,,
2:47.0,,,21-14,,D. Russell misses 2-pt shot from 1 ft (block by K. Koufos)
2:44.0,Defensive rebound by K. Koufos,,21-14,,
2:28.0,K. Koufos makes 2-pt shot from 1 ft (assist by R. Rondo),2,23-14,,
2:21.0,,,23-14,,LA Lakers full timeout
2:21.0,Sacramento full timeout,,23-14,,
2:21.0,W. Cauley-Stein enters the game for D. Cousins,,23-14,,
2:07.0,,,23-14,,L. Williams misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by K. Koufos,,23-14,,
1:55.0,M. Belinelli misses 2-pt shot from 17 ft,,23-14,,
1:54.0,Offensive rebound by Team,,23-14,,
1:54.0,D. Collison enters the game for R. Rondo,,23-14,,
1:54.0,Turnover by D. Collison (bad pass),,23-14,,
1:45.0,Personal foul by D. Collison (drawn by D. Russell),,23-14,,
1:45.0,,,23-15,1,D. Russell makes free throw 1 of 2
1:45.0,,,23-16,1,D. Russell makes free throw 2 of 2
1:24.0,D. Collison makes 2-pt shot from 1 ft,2,25-16,,
1:16.0,,,25-18,2,B. Bass makes 2-pt shot from 18 ft (assist by L. Williams)
0:55.0,O. Casspi misses 3-pt shot from 26 ft,,25-18,,
0:54.0,,,25-18,,Defensive rebound by R. Kelly
0:49.0,,,25-18,,D. Russell misses 3-pt shot from 22 ft
0:42.0,Defensive rebound by D. Collison,,25-18,,
0:37.0,O. Casspi makes 2-pt shot from 5 ft (assist by W. Cauley-Stein),2,27-18,,
0:21.0,,,27-18,,D. Russell misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
0:21.0,,,27-18,,Offensive rebound by Team
0:16.0,,,27-18,,D. Russell misses 2-pt shot from 13 ft
0:15.0,Defensive rebound by O. Casspi,,27-18,,
0:02.0,Shooting foul by A. Brown (drawn by W. Cauley-Stein),,27-18,,
0:02.0,W. Cauley-Stein misses free throw 1 of 2,,27-18,,
0:02.0,Offensive rebound by Team,,27-18,,
0:02.0,W. Cauley-Stein makes free throw 2 of 2,1,28-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,28-18,,J. Clarkson misses 3-pt shot from 22 ft
11:34.0,Defensive rebound by W. Cauley-Stein,,28-18,,
11:26.0,Offensive foul by K. Koufos,,28-18,,
11:26.0,Turnover by K. Koufos (offensive foul),,28-18,,
11:10.0,,,28-18,,B. Bass misses 2-pt shot from 6 ft
11:08.0,Defensive rebound by O. Casspi,,28-18,,
10:48.0,Shooting foul by A. Brown (drawn by D. Collison),,28-18,,
10:48.0,D. Collison makes free throw 1 of 2,1,29-18,,
10:48.0,D. Collison makes free throw 2 of 2,1,30-18,,
10:24.0,,,30-18,,D. Russell misses 2-pt shot from 21 ft
10:24.0,,,30-18,,Offensive rebound by Team
10:24.0,,,30-18,,Turnover by Team (shot clock)
10:24.0,,,30-18,,K. Bryant enters the game for A. Brown
10:24.0,,,30-18,,J. Randle enters the game for R. Kelly
10:06.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,30-18,,
10:02.0,Offensive rebound by W. Cauley-Stein,,30-18,,
10:02.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,32-18,,
9:53.0,,,32-18,,Shooting foul by K. Koufos (drawn by B. Bass)
9:53.0,,,32-19,1,B. Bass makes free throw 1 of 2
9:53.0,,,32-20,1,B. Bass makes free throw 2 of 2
9:42.0,O. Casspi misses 3-pt shot from 25 ft,,32-20,,
9:41.0,Offensive rebound by W. Cauley-Stein,,32-20,,
9:38.0,W. Cauley-Stein makes 2-pt shot at rim,2,34-20,,
9:16.0,,,34-22,2,D. Russell makes 2-pt shot at rim
9:02.0,M. Belinelli misses 2-pt shot from 17 ft,,34-22,,
9:00.0,,,34-22,,Defensive rebound by B. Bass
8:48.0,,,34-25,3,D. Russell makes 3-pt shot from 25 ft (assist by K. Bryant)
8:35.0,K. Koufos misses 2-pt shot from 8 ft,,34-25,,
8:32.0,,,34-25,,Defensive rebound by D. Russell
8:26.0,,,34-27,2,B. Bass makes 2-pt shot at rim (assist by J. Randle)
8:24.0,Sacramento full timeout,,34-27,,
8:24.0,D. Cousins enters the game for K. Koufos,,34-27,,
8:07.0,Shooting foul by B. Bass (drawn by D. Cousins),,34-27,,
8:07.0,D. Cousins makes free throw 1 of 2,1,35-27,,
8:07.0,D. Cousins makes free throw 2 of 2,1,36-27,,
7:56.0,Def 3 sec tech foul by W. Cauley-Stein,,36-27,,
7:56.0,,,36-28,1,K. Bryant makes technical free throw
7:56.0,R. Gay enters the game for W. Cauley-Stein,,36-28,,
7:43.0,,,36-30,2,J. Randle makes 2-pt shot at rim (assist by B. Bass)
7:32.0,R. Gay makes 2-pt shot from 15 ft (assist by M. Belinelli),2,38-30,,
7:10.0,,,38-32,2,J. Randle makes 2-pt shot at rim (assist by B. Bass)
6:59.0,M. Belinelli misses 2-pt shot from 17 ft,,38-32,,
6:57.0,,,38-32,,Defensive rebound by J. Randle
6:51.0,R. Rondo enters the game for M. Belinelli,,38-32,,
6:51.0,,,38-32,,R. Hibbert enters the game for B. Bass
6:46.0,,,38-34,2,K. Bryant makes 2-pt shot at rim (assist by D. Russell)
6:33.0,Turnover by D. Cousins (lost ball; steal by K. Bryant),,38-34,,
6:17.0,,,38-34,,D. Russell misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by O. Casspi,,38-34,,
6:01.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo),2,40-34,,
5:50.0,Official timeout,,40-34,,
5:36.0,,,40-34,,Turnover by K. Bryant (lost ball)
5:30.0,D. Cousins misses 2-pt shot from 1 ft (block by R. Hibbert),,40-34,,
5:28.0,,,40-34,,Defensive rebound by J. Randle
5:22.0,,,40-37,3,K. Bryant makes 3-pt shot from 23 ft (assist by D. Russell)
5:13.0,O. Casspi misses 3-pt shot from 27 ft,,40-37,,
5:11.0,Offensive rebound by D. Cousins,,40-37,,
5:08.0,D. Cousins makes 2-pt shot from 1 ft,2,42-37,,
4:49.0,,,42-37,,K. Bryant misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by O. Casspi,,42-37,,
4:42.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,44-37,,
4:40.0,Personal foul by D. Cousins (drawn by J. Randle),,44-37,,
4:40.0,B. McLemore enters the game for O. Casspi,,44-37,,
4:18.0,,,44-40,3,K. Bryant makes 3-pt shot from 24 ft (assist by J. Randle)
4:11.0,Shooting foul by D. Russell (drawn by D. Collison),,44-40,,
4:11.0,D. Collison misses free throw 1 of 2,,44-40,,
4:11.0,Offensive rebound by Team,,44-40,,
4:11.0,,,44-40,,L. Williams enters the game for D. Russell
4:11.0,D. Collison makes free throw 2 of 2,1,45-40,,
3:59.0,,,45-40,,K. Bryant misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by D. Cousins,,45-40,,
3:47.0,R. Gay misses 2-pt shot from 1 ft,,45-40,,
3:46.0,,,45-40,,Defensive rebound by J. Clarkson
3:39.0,,,45-40,,Shooting foul by R. Gay (drawn by J. Clarkson)
3:39.0,,,45-41,1,J. Clarkson makes free throw 1 of 2
3:39.0,W. Cauley-Stein enters the game for D. Collison,,45-41,,
3:39.0,,,45-42,1,J. Clarkson makes free throw 2 of 2
3:27.0,,,45-42,,Violation by J. Clarkson (kicked ball)
3:17.0,B. McLemore makes 2-pt shot at rim,2,47-42,,
2:54.0,,,47-42,,Shooting foul by B. McLemore (drawn by K. Bryant)
2:54.0,,,47-42,,LA Lakers full timeout
2:54.0,,,47-43,1,K. Bryant makes free throw 1 of 2
2:54.0,,,47-44,1,K. Bryant makes free throw 2 of 2
2:39.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. Rondo),2,49-44,,
2:22.0,,,49-46,2,L. Williams makes 2-pt shot from 1 ft
2:22.0,,,49-46,,Shooting foul by W. Cauley-Stein (drawn by L. Williams)
2:22.0,,,49-47,1,L. Williams makes free throw 1 of 1
2:08.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,51-47,,
2:08.0,Shooting foul by R. Hibbert (drawn by D. Cousins),,51-47,,
2:08.0,D. Cousins makes free throw 1 of 1,1,52-47,,
1:55.0,,,52-47,,K. Bryant misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by B. McLemore,,52-47,,
1:44.0,D. Cousins misses 2-pt shot from 16 ft,,52-47,,
1:41.0,,,52-47,,Defensive rebound by K. Bryant
1:36.0,,,52-47,,L. Williams misses 3-pt shot from 23 ft
1:35.0,,,52-47,,Offensive rebound by R. Hibbert
1:30.0,Personal foul by W. Cauley-Stein,,52-47,,
1:30.0,,,52-48,1,L. Williams makes free throw 1 of 2
1:30.0,O. Casspi enters the game for W. Cauley-Stein,,52-48,,
1:30.0,,,52-49,1,L. Williams makes free throw 2 of 2
1:12.0,O. Casspi misses 3-pt shot from 22 ft,,52-49,,
1:12.0,Offensive rebound by Team,,52-49,,
1:05.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,54-49,,
