time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Mozgov (K. Love gains possession),,,,Jump ball: A. Horford vs. T. Mozgov (K. Love gains possession)
11:42.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,3-0,,
11:15.0,,,3-0,,J. Teague misses 2-pt shot from 14 ft
11:12.0,Defensive rebound by K. Love,,3-0,,
11:01.0,T. Mozgov makes 2-pt shot from 8 ft (assist by K. Love),2,5-0,,
10:43.0,,,5-2,2,K. Korver makes 2-pt shot from 20 ft (assist by A. Horford)
10:32.0,K. Love misses 3-pt shot from 24 ft,,5-2,,
10:30.0,,,5-2,,Defensive rebound by J. Teague
10:18.0,,,5-4,2,P. Millsap makes 2-pt shot from 7 ft
10:18.0,,,5-4,,Shooting foul by K. Love (drawn by P. Millsap)
10:18.0,,,5-5,1,P. Millsap makes free throw 1 of 1
10:01.0,K. Love makes 2-pt shot from 16 ft (assist by J. Smith),2,7-5,,
9:45.0,,,7-5,,A. Horford misses 2-pt shot from 17 ft
9:44.0,Defensive rebound by K. Irving,,7-5,,
9:33.0,K. Irving misses 2-pt shot from 5 ft (block by J. Teague),,7-5,,
9:32.0,,,7-5,,Defensive rebound by Team
9:18.0,,,7-7,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
8:59.0,Turnover by T. Mozgov (lost ball; steal by P. Millsap),,7-7,,
8:49.0,,,7-9,2,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford)
8:34.0,Turnover by K. Love (lost ball; steal by J. Teague),,7-9,,
8:29.0,,,7-11,2,J. Teague makes 2-pt shot from 1 ft
8:29.0,Cleveland full timeout,,7-11,,
8:06.0,L. James misses 2-pt shot from 19 ft,,7-11,,
8:03.0,Offensive rebound by J. Smith,,7-11,,
7:59.0,K. Love misses 3-pt shot from 23 ft,,7-11,,
7:58.0,,,7-11,,Defensive rebound by A. Horford
7:51.0,,,7-11,,A. Horford misses 2-pt shot from 6 ft
7:49.0,Defensive rebound by T. Mozgov,,7-11,,
7:41.0,L. James makes 3-pt shot from 25 ft,3,10-11,,
