time,Houston,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Johnson (P. Beverley gains possession),,,,Jump ball: D. Howard vs. A. Johnson (P. Beverley gains possession)
11:39.0,Turnover by J. Harden (lost ball; steal by J. Sullinger),,0-0,,
11:33.0,,,0-2,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Johnson)
11:18.0,D. Howard makes 2-pt shot from 3 ft,2,2-2,,
11:00.0,,,2-5,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Sullinger)
10:47.0,D. Howard misses 2-pt shot from 3 ft,,2-5,,
10:46.0,,,2-5,,Defensive rebound by J. Crowder
10:38.0,,,2-7,2,I. Thomas makes 2-pt shot from 8 ft
10:22.0,T. Ariza misses 2-pt shot from 2 ft,,2-7,,
10:20.0,,,2-7,,Defensive rebound by A. Bradley
10:02.0,,,2-7,,A. Johnson misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by Team,,2-7,,
9:48.0,,,2-7,,Personal foul by I. Thomas
9:35.0,P. Beverley misses 2-pt shot from 3 ft,,2-7,,
9:34.0,Offensive rebound by P. Beverley,,2-7,,
9:30.0,D. Motiejunas misses 3-pt shot from 23 ft,,2-7,,
9:29.0,,,2-7,,Defensive rebound by A. Johnson
9:24.0,,,2-7,,J. Crowder misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by P. Beverley,,2-7,,
9:17.0,T. Ariza makes 2-pt shot at rim,2,4-7,,
9:00.0,,,4-10,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Bradley)
8:43.0,J. Harden makes 2-pt shot from 13 ft,2,6-10,,
8:28.0,,,6-10,,J. Sullinger misses 2-pt shot from 20 ft
8:27.0,Defensive rebound by P. Beverley,,6-10,,
8:18.0,P. Beverley misses 3-pt shot from 24 ft,,6-10,,
8:17.0,Offensive rebound by D. Motiejunas,,6-10,,
8:09.0,J. Harden makes 2-pt shot from 1 ft,2,8-10,,
7:57.0,,,8-10,,A. Bradley misses 2-pt shot from 22 ft
7:56.0,Defensive rebound by D. Motiejunas,,8-10,,
7:43.0,Shooting foul by A. Bradley (drawn by P. Beverley),,8-10,,
7:43.0,P. Beverley makes free throw 1 of 2,1,9-10,,
7:43.0,P. Beverley makes free throw 2 of 2,1,10-10,,
7:29.0,,,10-10,,Turnover by I. Thomas (bad pass)
7:16.0,Turnover by P. Beverley (lost ball; steal by J. Sullinger),,10-10,,
7:11.0,,,10-12,2,I. Thomas makes 2-pt shot at rim (assist by J. Sullinger)
6:45.0,P. Beverley misses 3-pt shot from 23 ft,,10-12,,
6:44.0,,,10-12,,Defensive rebound by J. Crowder
6:38.0,,,10-12,,A. Bradley misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by P. Beverley,,10-12,,
6:28.0,D. Motiejunas misses 3-pt shot from 24 ft,,10-12,,
6:27.0,,,10-12,,Defensive rebound by Team
6:08.0,,,10-12,,J. Crowder misses 3-pt shot from 23 ft
6:07.0,,,10-12,,Offensive rebound by A. Johnson
6:03.0,,,10-12,,A. Bradley misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by D. Howard,,10-12,,
5:48.0,T. Ariza misses 2-pt shot from 2 ft,,10-12,,
5:47.0,,,10-12,,Defensive rebound by J. Sullinger
5:39.0,,,10-12,,J. Sullinger misses 2-pt shot from 18 ft
5:39.0,Defensive rebound by D. Howard,,10-12,,
5:33.0,J. Harden misses 3-pt shot from 25 ft,,10-12,,
5:32.0,,,10-12,,Defensive rebound by J. Crowder
5:24.0,,,10-12,,Boston full timeout
5:24.0,M. Beasley enters the game for D. Motiejunas,,10-12,,
5:24.0,,,10-12,,M. Smart enters the game for A. Johnson
5:24.0,,,10-12,,E. Turner enters the game for A. Bradley
5:07.0,,,10-12,,J. Crowder misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by J. Harden,,10-12,,
4:59.0,M. Beasley makes 2-pt shot from 2 ft (assist by J. Harden),2,12-12,,
4:44.0,,,12-12,,Shooting foul by P. Beverley (drawn by J. Sullinger)
4:44.0,,,12-13,1,J. Sullinger makes free throw 1 of 2
4:44.0,C. Capela enters the game for P. Beverley,,12-13,,
4:44.0,J. Terry enters the game for D. Howard,,12-13,,
4:44.0,,,12-14,1,J. Sullinger makes free throw 2 of 2
4:29.0,Shooting foul by J. Crowder (drawn by J. Harden),,12-14,,
4:29.0,J. Harden makes free throw 1 of 2,1,13-14,,
4:29.0,J. Harden makes free throw 2 of 2,1,14-14,,
4:11.0,,,14-14,,Turnover by I. Thomas (bad pass)
4:04.0,Turnover by J. Harden (lost ball; steal by E. Turner),,14-14,,
3:59.0,,,14-16,2,E. Turner makes 2-pt shot at rim (assist by J. Crowder)
3:38.0,T. Ariza misses 2-pt shot from 2 ft (block by J. Sullinger),,14-16,,
3:37.0,,,14-16,,Defensive rebound by J. Sullinger
3:33.0,,,14-16,,Turnover by J. Crowder (lost ball; steal by T. Ariza)
3:25.0,J. Harden misses 3-pt shot from 23 ft,,14-16,,
3:24.0,Offensive rebound by M. Beasley,,14-16,,
3:22.0,,,14-16,,Personal foul by J. Sullinger
3:22.0,C. Brewer enters the game for T. Ariza,,14-16,,
3:09.0,M. Beasley misses 2-pt shot from 3 ft (block by J. Crowder),,14-16,,
3:08.0,Offensive rebound by C. Capela,,14-16,,
3:04.0,M. Beasley misses 2-pt shot from 6 ft,,14-16,,
3:03.0,,,14-16,,Defensive rebound by J. Sullinger
2:59.0,,,14-18,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
2:37.0,J. Harden misses 3-pt shot from 25 ft,,14-18,,
2:36.0,,,14-18,,Defensive rebound by I. Thomas
2:27.0,,,14-18,,Turnover by I. Thomas (lost ball; steal by C. Brewer)
2:16.0,C. Capela misses 2-pt shot from 1 ft,,14-18,,
2:15.0,Offensive rebound by M. Beasley,,14-18,,
2:14.0,M. Beasley makes 2-pt shot from 1 ft,2,16-18,,
1:51.0,,,16-18,,M. Smart misses 3-pt shot from 23 ft
1:51.0,,,16-18,,Offensive rebound by Team
1:51.0,Personal foul by J. Harden,,16-18,,
1:51.0,Houston full timeout,,16-18,,
