time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (P. Millsap gains possession),,,,Jump ball: M. Gortat vs. A. Horford (P. Millsap gains possession)
11:47.0,Turnover by P. Millsap (lost ball; steal by M. Gortat),,0-0,,
11:41.0,,,0-0,,O. Porter misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by P. Millsap,,0-0,,
11:29.0,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore),2,2-0,,
11:10.0,,,2-2,2,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall)
10:58.0,J. Teague misses 3-pt shot from 26 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by J. Wall
10:48.0,,,2-2,,M. Gortat misses 2-pt shot from 17 ft
10:47.0,Defensive rebound by J. Teague,,2-2,,
10:37.0,,,2-2,,Personal block foul by M. Morris
10:28.0,J. Teague misses 2-pt shot from 10 ft,,2-2,,
10:27.0,,,2-2,,Defensive rebound by O. Porter
10:20.0,,,2-2,,Turnover by M. Morris (step out of bounds)
10:09.0,P. Millsap makes 2-pt shot from 18 ft (assist by J. Teague),2,4-2,,
9:52.0,,,4-2,,B. Beal misses 2-pt shot from 18 ft
9:51.0,Defensive rebound by K. Korver,,4-2,,
9:37.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Teague),3,7-2,,
9:22.0,,,7-5,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
9:02.0,Turnover by P. Millsap (lost ball; steal by M. Morris),,7-5,,
8:59.0,,,7-5,,Turnover by M. Morris (lost ball; steal by K. Korver)
8:53.0,K. Korver misses 3-pt shot from 26 ft,,7-5,,
8:52.0,,,7-5,,Defensive rebound by M. Gortat
8:50.0,,,7-8,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
8:31.0,J. Teague misses 2-pt shot from 18 ft,,7-8,,
8:30.0,,,7-8,,Defensive rebound by M. Morris
8:23.0,,,7-8,,J. Wall misses 2-pt shot from 5 ft
8:22.0,,,7-8,,Offensive rebound by M. Gortat
8:21.0,,,7-8,,M. Gortat misses 2-pt shot at rim
8:21.0,,,7-8,,Offensive rebound by Team
8:07.0,,,7-8,,M. Morris misses 3-pt shot from 26 ft
8:06.0,,,7-8,,Offensive rebound by M. Gortat
8:03.0,,,7-10,2,M. Gortat makes 2-pt shot at rim
7:55.0,A. Horford misses 3-pt shot from 25 ft,,7-10,,
7:54.0,Offensive rebound by J. Teague,,7-10,,
7:36.0,Turnover by J. Teague (lost ball; steal by J. Wall),,7-10,,
7:30.0,,,7-12,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
7:07.0,J. Teague misses 2-pt shot from 9 ft,,7-12,,
7:06.0,,,7-12,,Defensive rebound by M. Morris
7:04.0,,,7-12,,Turnover by M. Morris (lost ball; steal by P. Millsap)
6:56.0,P. Millsap misses 2-pt shot from 3 ft,,7-12,,
6:55.0,,,7-12,,Defensive rebound by M. Gortat
6:47.0,,,7-12,,Shooting foul by K. Bazemore (drawn by M. Gortat)
6:47.0,,,7-13,1,M. Gortat makes free throw 1 of 2
6:47.0,Atlanta full timeout,,7-13,,
6:47.0,,,7-14,1,M. Gortat makes free throw 2 of 2
6:33.0,K. Bazemore misses 2-pt shot from 18 ft,,7-14,,
6:33.0,,,7-14,,Defensive rebound by Team
6:33.0,Loose ball foul by P. Millsap,,7-14,,
6:17.0,,,7-14,,J. Wall misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by P. Millsap,,7-14,,
6:03.0,,,7-14,,Personal foul by M. Morris
6:03.0,K. Humphries enters the game for A. Horford,,7-14,,
6:03.0,T. Sefolosha enters the game for K. Bazemore,,7-14,,
6:03.0,,,7-14,,J. Dudley enters the game for M. Morris
5:53.0,K. Humphries makes 2-pt shot from 5 ft (assist by J. Teague),2,9-14,,
5:42.0,,,9-16,2,O. Porter makes 2-pt shot from 18 ft
5:32.0,J. Teague misses 2-pt shot at rim (block by J. Wall),,9-16,,
5:30.0,,,9-16,,Defensive rebound by J. Wall
5:23.0,,,9-19,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
5:13.0,,,9-19,,Personal foul by O. Porter
5:13.0,,,9-19,,Violation by O. Porter (kicked ball)
5:02.0,P. Millsap misses 2-pt shot from 15 ft,,9-19,,
5:02.0,Offensive rebound by K. Humphries,,9-19,,
4:56.0,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap),3,12-19,,
4:33.0,,,12-21,2,J. Dudley makes 2-pt shot from 21 ft (assist by J. Wall)
4:21.0,K. Korver makes 3-pt shot from 27 ft (assist by P. Millsap),3,15-21,,
4:00.0,,,15-23,2,M. Gortat makes 2-pt shot from 8 ft
3:48.0,P. Millsap misses 3-pt shot from 25 ft,,15-23,,
