time,New Orleans,pts.away,score,pts.home,Milwaukee
3:55.0,A. Davis makes free throw 2 of 2,1,84-97,,
3:34.0,,,84-97,,J. O'Bryant misses 2-pt shot from 1 ft (block by R. Anderson)
3:31.0,Defensive rebound by T. Douglas,,84-97,,
3:29.0,Turnover by R. Anderson (bad pass),,84-97,,
3:12.0,Shooting block foul by A. Davis (drawn by J. Parker),,84-97,,
3:12.0,,,84-98,1,J. Parker makes free throw 1 of 2
3:12.0,,,84-99,1,J. Parker makes free throw 2 of 2
2:57.0,R. Anderson misses 3-pt shot from 25 ft,,84-99,,
2:55.0,,,84-99,,Defensive rebound by J. Bayless
2:44.0,Violation by A. Davis (kicked ball),,84-99,,
2:44.0,,,84-99,,Milwaukee full timeout
2:44.0,,,84-99,,R. Vaughn enters the game for J. Parker
2:44.0,,,84-99,,T. Ennis enters the game for K. Middleton
2:44.0,,,84-99,,D. Inglis enters the game for J. Bayless
2:44.0,O. Johnson enters the game for A. Davis,,84-99,,
2:32.0,,,84-101,2,D. Inglis makes 2-pt shot at rim (assist by T. Ennis)
2:19.0,R. Anderson misses 3-pt shot from 25 ft,,84-101,,
2:18.0,,,84-101,,Defensive rebound by D. Inglis
2:03.0,,,84-103,2,T. Ennis makes 2-pt shot from 1 ft (assist by G. Monroe)
1:53.0,T. Douglas makes 2-pt shot at rim,2,86-103,,
1:37.0,,,86-103,,R. Vaughn misses 2-pt shot from 16 ft
1:35.0,Defensive rebound by T. Douglas,,86-103,,
1:26.0,Shooting foul by R. Vaughn (drawn by L. Babbitt),,86-103,,
1:26.0,L. Babbitt makes free throw 1 of 2,1,87-103,,
1:26.0,,,87-103,,M. Plumlee enters the game for G. Monroe
1:26.0,L. Babbitt misses free throw 2 of 2,,87-103,,
1:23.0,,,87-103,,Defensive rebound by M. Plumlee
1:12.0,,,87-103,,Turnover by T. Ennis (lost ball; steal by T. Douglas)
0:51.0,O. Johnson misses 2-pt shot from 4 ft,,87-103,,
0:51.0,,,87-103,,Defensive rebound by Team
0:42.0,,,87-103,,J. O'Bryant misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by T. Douglas,,87-103,,
0:31.0,T. Douglas makes 3-pt shot from 24 ft,3,90-103,,
0:13.0,,,90-103,,R. Vaughn misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by Team,,90-103,,
0:02.0,A. Gee makes 2-pt shot at rim (assist by O. Johnson),2,92-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
