time,New Orleans,pts.away,score,pts.home,Milwaukee
7:42.0,,,6-14,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
7:30.0,L. Babbitt misses 3-pt shot from 23 ft,,6-14,,
7:28.0,Offensive rebound by O. Asik,,6-14,,
7:26.0,O. Asik misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,6-14,,
7:23.0,,,6-14,,Defensive rebound by G. Monroe
7:19.0,,,6-14,,G. Antetokounmpo misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by L. Babbitt,,6-14,,
7:14.0,A. Davis makes 2-pt shot at rim (assist by T. Douglas),2,8-14,,
6:59.0,,,8-14,,K. Middleton misses 2-pt shot from 4 ft
6:58.0,Defensive rebound by A. Davis,,8-14,,
6:51.0,A. Davis makes 2-pt shot at rim,2,10-14,,
6:39.0,,,10-16,2,K. Middleton makes 2-pt shot from 7 ft (assist by J. Bayless)
6:24.0,A. Davis misses 2-pt shot from 20 ft,,10-16,,
6:22.0,,,10-16,,Defensive rebound by G. Monroe
6:14.0,,,10-16,,J. Parker misses 2-pt shot from 18 ft
6:12.0,Defensive rebound by O. Asik,,10-16,,
6:05.0,Turnover by T. Douglas (lost ball; steal by J. Parker),,10-16,,
6:00.0,,,10-18,2,J. Parker makes 2-pt shot at rim
5:52.0,New Orleans full timeout,,10-18,,
5:52.0,J. Holiday enters the game for D. Cunningham,,10-18,,
5:52.0,A. Gee enters the game for O. Asik,,10-18,,
5:52.0,R. Anderson enters the game for T. Douglas,,10-18,,
5:37.0,J. Holiday misses 3-pt shot from 24 ft,,10-18,,
5:36.0,,,10-18,,Defensive rebound by G. Antetokounmpo
5:17.0,,,10-20,2,G. Antetokounmpo makes 2-pt shot from 21 ft
4:58.0,R. Anderson makes 2-pt shot from 12 ft,2,12-20,,
4:39.0,,,12-23,3,J. Bayless makes 3-pt shot from 25 ft (assist by K. Middleton)
4:26.0,L. Babbitt makes 3-pt shot from 23 ft (assist by A. Davis),3,15-23,,
4:12.0,,,15-23,,G. Monroe misses 2-pt shot from 4 ft
4:10.0,Defensive rebound by A. Davis,,15-23,,
4:05.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday),3,18-23,,
3:47.0,,,18-23,,J. Bayless misses 3-pt shot from 23 ft
3:44.0,Defensive rebound by L. Babbitt,,18-23,,
3:37.0,J. Holiday misses 3-pt shot from 25 ft,,18-23,,
3:35.0,,,18-23,,Defensive rebound by G. Monroe
3:30.0,,,18-23,,Milwaukee full timeout
3:30.0,,,18-23,,M. Plumlee enters the game for G. Monroe
3:16.0,,,18-25,2,J. Bayless makes 2-pt shot from 6 ft
3:00.0,R. Anderson misses 3-pt shot from 23 ft,,18-25,,
2:59.0,,,18-25,,Defensive rebound by K. Middleton
2:51.0,,,18-27,2,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton)
2:37.0,Shooting foul by M. Plumlee (drawn by A. Davis),,18-27,,
2:37.0,A. Davis makes free throw 1 of 2,1,19-27,,
2:37.0,A. Davis makes free throw 2 of 2,1,20-27,,
2:23.0,,,20-27,,G. Antetokounmpo misses 2-pt shot from 1 ft
2:21.0,Defensive rebound by A. Davis,,20-27,,
2:11.0,J. Holiday misses 2-pt shot from 2 ft,,20-27,,
2:10.0,,,20-27,,Defensive rebound by M. Plumlee
1:54.0,,,20-29,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
1:29.0,A. Gee makes 2-pt shot at rim (assist by L. Babbitt),2,22-29,,
1:09.0,,,22-29,,Turnover by G. Antetokounmpo (lost ball; steal by R. Anderson)
1:05.0,Shooting foul by G. Antetokounmpo (drawn by A. Davis),,22-29,,
1:05.0,A. Davis makes free throw 1 of 2,1,23-29,,
1:05.0,,,23-29,,J. O'Bryant enters the game for J. Parker
1:05.0,A. Davis makes free throw 2 of 2,1,24-29,,
1:00.0,,,24-31,2,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:50.0,R. Anderson makes 2-pt shot from 16 ft (assist by J. Holiday),2,26-31,,
0:32.0,,,26-31,,J. O'Bryant misses 2-pt shot from 8 ft
0:30.0,Defensive rebound by A. Gee,,26-31,,
0:27.0,Turnover by J. Holiday (lost ball; steal by M. Plumlee),,26-31,,
0:23.0,,,26-33,2,K. Middleton makes 2-pt shot at rim (assist by M. Plumlee)
0:07.0,A. Davis makes 2-pt shot from 10 ft,2,28-33,,
0:02.0,,,28-33,,Turnover by G. Antetokounmpo (lost ball; steal by J. Holiday)
0:00.0,J. Holiday misses 3-pt shot from 40 ft,,28-33,,
0:00.0,Offensive rebound by Team,,28-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,28-33,,Turnover by T. Ennis (bad pass)
11:35.0,Shooting foul by M. Plumlee (drawn by A. Davis),,28-33,,
11:35.0,A. Davis misses free throw 1 of 2,,28-33,,
11:35.0,Offensive rebound by Team,,28-33,,
11:35.0,A. Davis makes free throw 2 of 2,1,29-33,,
11:20.0,,,29-36,3,T. Ennis makes 3-pt shot from 25 ft (assist by K. Middleton)
11:07.0,R. Anderson misses 3-pt shot from 22 ft,,29-36,,
11:06.0,Offensive rebound by A. Davis,,29-36,,
11:05.0,Shooting foul by K. Middleton (drawn by A. Davis),,29-36,,
11:05.0,A. Davis makes free throw 1 of 2,1,30-36,,
11:05.0,A. Davis makes free throw 2 of 2,1,31-36,,
10:43.0,,,31-36,,Shooting foul by A. Gee (drawn by T. Ennis)
10:43.0,,,31-38,2,T. Ennis makes 2-pt shot from 4 ft
10:43.0,,,31-39,1,T. Ennis makes free throw 1 of 1
10:32.0,A. Davis misses 2-pt shot from 1 ft,,31-39,,
10:31.0,,,31-39,,Defensive rebound by M. Plumlee
10:14.0,,,31-39,,K. Middleton misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by D. Cunningham,,31-39,,
9:59.0,J. Holiday misses 3-pt shot from 24 ft,,31-39,,
9:57.0,,,31-39,,Defensive rebound by K. Middleton
9:40.0,,,31-41,2,M. Plumlee makes 2-pt shot from 9 ft
9:28.0,R. Anderson misses 3-pt shot from 24 ft,,31-41,,
9:27.0,,,31-41,,Defensive rebound by T. Ennis
9:17.0,,,31-43,2,T. Ennis makes 2-pt shot at rim (assist by K. Middleton)
9:10.0,New Orleans full timeout,,31-43,,
9:10.0,K. Perkins enters the game for A. Davis,,31-43,,
9:10.0,,,31-43,,J. Parker enters the game for K. Middleton
8:57.0,R. Anderson misses 2-pt shot from 6 ft,,31-43,,
8:57.0,,,31-43,,Defensive rebound by Team
8:34.0,,,31-43,,T. Ennis misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by K. Perkins,,31-43,,
8:26.0,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday),3,34-43,,
8:01.0,,,34-43,,T. Ennis misses 2-pt shot from 5 ft
8:00.0,,,34-43,,Offensive rebound by J. Parker
7:47.0,,,34-43,,J. O'Bryant misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by R. Anderson,,34-43,,
7:26.0,D. Cunningham misses 3-pt shot from 23 ft,,34-43,,
7:25.0,,,34-43,,Defensive rebound by T. Ennis
7:16.0,Personal foul by J. Holiday,,34-43,,
7:16.0,,,34-43,,G. Monroe enters the game for M. Plumlee
7:02.0,,,34-43,,G. Monroe misses 2-pt shot from 12 ft
7:00.0,Defensive rebound by R. Anderson,,34-43,,
6:51.0,A. Gee makes 2-pt shot from 1 ft (assist by K. Perkins),2,36-43,,
6:33.0,,,36-43,,G. Monroe misses 2-pt shot from 5 ft
6:32.0,Defensive rebound by J. Holiday,,36-43,,
6:28.0,D. Cunningham makes 2-pt shot at rim (assist by A. Gee),2,38-43,,
6:22.0,,,38-43,,Milwaukee full timeout
6:22.0,L. Babbitt enters the game for D. Cunningham,,38-43,,
6:22.0,,,38-43,,G. Antetokounmpo enters the game for J. O'Bryant
6:22.0,,,38-43,,J. Bayless enters the game for T. Ennis
6:16.0,,,38-43,,J. Parker misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by L. Babbitt,,38-43,,
6:03.0,L. Babbitt misses 3-pt shot from 26 ft,,38-43,,
6:01.0,,,38-43,,Defensive rebound by G. Monroe
5:50.0,,,38-45,2,G. Monroe makes 2-pt shot from 3 ft (assist by J. Bayless)
5:39.0,R. Anderson misses 3-pt shot from 24 ft,,38-45,,
5:37.0,Offensive rebound by L. Babbitt,,38-45,,
5:32.0,L. Babbitt makes 2-pt shot from 1 ft,2,40-45,,
5:22.0,,,40-45,,J. Parker misses 2-pt shot from 15 ft
5:21.0,Defensive rebound by L. Babbitt,,40-45,,
5:14.0,J. Holiday makes 2-pt shot from 1 ft,2,42-45,,
