time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (M. Harkless gains possession)
11:40.0,,,0-0,,M. Harkless misses 3-pt shot from 26 ft
11:39.0,Defensive rebound by C. Paul,,0-0,,
11:22.0,J. Redick misses 2-pt shot from 5 ft (block by C. McCollum),,0-0,,
11:21.0,,,0-0,,Defensive rebound by A. Aminu
11:14.0,,,0-3,3,D. Lillard makes 3-pt shot from 25 ft
11:00.0,,,0-3,,Personal foul by C. McCollum
10:55.0,B. Griffin misses 2-pt shot from 19 ft,,0-3,,
10:54.0,,,0-3,,Defensive rebound by D. Lillard
10:46.0,,,0-3,,D. Lillard misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by Team,,0-3,,
10:33.0,D. Jordan misses 2-pt shot from 2 ft,,0-3,,
10:31.0,Offensive rebound by D. Jordan,,0-3,,
10:31.0,D. Jordan makes 2-pt shot at rim,2,2-3,,
10:16.0,Personal foul by J. Redick,,2-3,,
10:08.0,,,2-5,2,A. Aminu makes 2-pt shot from 2 ft (assist by M. Harkless)
9:53.0,C. Paul makes 2-pt shot from 17 ft,2,4-5,,
9:47.0,,,4-5,,Shooting foul by B. Griffin (drawn by M. Plumlee)
9:47.0,,,4-5,,M. Plumlee misses free throw 1 of 2
9:47.0,,,4-5,,Offensive rebound by Team
9:47.0,,,4-6,1,M. Plumlee makes free throw 2 of 2
9:29.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,6-6,,
9:08.0,,,6-6,,M. Harkless misses 3-pt shot from 26 ft
9:08.0,Defensive rebound by J. Redick,,6-6,,
8:57.0,C. Paul misses 3-pt shot from 27 ft,,6-6,,
8:56.0,Offensive rebound by J. Redick,,6-6,,
8:48.0,J. Redick misses 2-pt shot from 15 ft,,6-6,,
8:47.0,,,6-6,,Defensive rebound by M. Plumlee
8:34.0,,,6-6,,M. Plumlee misses 2-pt shot from 1 ft
8:33.0,,,6-6,,Offensive rebound by A. Aminu
8:31.0,,,6-6,,A. Aminu misses 2-pt shot from 4 ft
8:30.0,Defensive rebound by B. Griffin,,6-6,,
8:22.0,J. Redick misses 3-pt shot from 26 ft,,6-6,,
8:22.0,,,6-6,,Defensive rebound by M. Plumlee
8:13.0,,,6-6,,C. McCollum misses 2-pt shot from 14 ft
8:12.0,Defensive rebound by D. Jordan,,6-6,,
8:07.0,Turnover by C. Paul (lost ball; steal by A. Aminu),,6-6,,
7:59.0,,,6-8,2,D. Lillard makes 2-pt shot from 18 ft (assist by M. Plumlee)
7:39.0,C. Paul misses 2-pt shot from 12 ft,,6-8,,
7:37.0,,,6-8,,Defensive rebound by M. Plumlee
7:23.0,,,6-8,,A. Aminu misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by D. Jordan,,6-8,,
7:16.0,B. Griffin makes 2-pt shot at rim,2,8-8,,
7:09.0,,,8-8,,C. McCollum misses 2-pt shot from 2 ft (block by D. Jordan)
7:07.0,Defensive rebound by L. Mbah a Moute,,8-8,,
6:55.0,Turnover by B. Griffin (lost ball; steal by M. Plumlee),,8-8,,
6:55.0,Personal foul by L. Mbah a Moute,,8-8,,
6:55.0,J. Crawford enters the game for J. Redick,,8-8,,
6:43.0,,,8-8,,D. Lillard misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by B. Griffin,,8-8,,
6:33.0,J. Crawford misses 3-pt shot from 27 ft,,8-8,,
6:32.0,,,8-8,,Defensive rebound by C. McCollum
6:26.0,,,8-10,2,D. Lillard makes 2-pt shot from 1 ft
6:04.0,B. Griffin misses 2-pt shot from 5 ft,,8-10,,
6:02.0,,,8-10,,Defensive rebound by M. Plumlee
5:54.0,,,8-12,2,C. McCollum makes 2-pt shot from 11 ft
5:27.0,C. Paul misses 3-pt shot from 28 ft,,8-12,,
5:27.0,,,8-12,,Defensive rebound by Team
5:27.0,Loose ball foul by D. Jordan,,8-12,,
5:27.0,,,8-12,,Portland full timeout
5:27.0,W. Johnson enters the game for L. Mbah a Moute,,8-12,,
5:11.0,,,8-12,,Turnover by M. Harkless (lost ball; steal by C. Paul)
4:55.0,B. Griffin misses 2-pt shot from 17 ft,,8-12,,
4:55.0,Offensive rebound by C. Paul,,8-12,,
4:50.0,C. Paul makes 2-pt shot from 16 ft,2,10-12,,
4:34.0,,,10-15,3,D. Lillard makes 3-pt shot from 28 ft
4:17.0,J. Crawford misses 2-pt shot from 12 ft,,10-15,,
4:17.0,,,10-15,,Defensive rebound by M. Plumlee
4:07.0,,,10-17,2,D. Lillard makes 2-pt shot from 16 ft (assist by M. Plumlee)
3:50.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,12-17,,
3:38.0,,,12-17,,A. Aminu misses 3-pt shot from 25 ft
3:37.0,,,12-17,,Offensive rebound by M. Plumlee
3:27.0,,,12-17,,Turnover by M. Harkless (lost ball)
3:27.0,J. Green enters the game for B. Griffin,,12-17,,
3:27.0,,,12-17,,A. Crabbe enters the game for C. McCollum
3:27.0,,,12-17,,G. Henderson enters the game for M. Harkless
3:17.0,W. Johnson misses 2-pt shot from 9 ft,,12-17,,
3:15.0,,,12-17,,Defensive rebound by M. Plumlee
3:06.0,,,12-17,,A. Crabbe misses 2-pt shot from 13 ft
3:05.0,Defensive rebound by J. Crawford,,12-17,,
2:58.0,J. Crawford makes 2-pt shot from 18 ft,2,14-17,,
2:57.0,,,14-17,,Portland full timeout
2:57.0,LA Clippers full timeout,,14-17,,
2:57.0,,,14-17,,C. Kaman enters the game for A. Aminu
2:57.0,,,14-17,,E. Davis enters the game for M. Plumlee
2:41.0,,,14-17,,D. Lillard misses 2-pt shot from 3 ft
2:40.0,Defensive rebound by D. Jordan,,14-17,,
2:31.0,C. Paul makes 3-pt shot from 25 ft,3,17-17,,
2:11.0,,,17-17,,G. Henderson misses 2-pt shot from 17 ft
2:10.0,Defensive rebound by D. Jordan,,17-17,,
2:02.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,19-17,,
1:40.0,,,19-19,2,C. Kaman makes 2-pt shot from 16 ft (assist by D. Lillard)
1:10.0,J. Green misses 3-pt shot from 26 ft,,19-19,,
1:09.0,Offensive rebound by D. Jordan,,19-19,,
1:02.0,J. Crawford misses 2-pt shot from 21 ft,,19-19,,
1:01.0,Offensive rebound by J. Crawford,,19-19,,
0:54.0,J. Crawford misses 3-pt shot from 23 ft,,19-19,,
0:54.0,,,19-19,,Defensive rebound by D. Lillard
0:33.0,,,19-19,,A. Crabbe misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by C. Paul,,19-19,,
0:32.0,,,19-19,,Personal foul by D. Lillard
0:32.0,A. Rivers enters the game for C. Paul,,19-19,,
0:32.0,C. Aldrich enters the game for D. Jordan,,19-19,,
0:32.0,,,19-19,,M. Harkless enters the game for D. Lillard
0:32.0,,,19-19,,C. McCollum enters the game for E. Davis
0:08.0,J. Crawford misses 2-pt shot from 15 ft,,19-19,,
0:06.0,,,19-19,,Defensive rebound by C. McCollum
0:02.0,,,19-22,3,C. McCollum makes 3-pt shot from 26 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by A. Rivers (lost ball; steal by C. Kaman),,19-22,,
11:39.0,,,19-22,,C. McCollum misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by J. Crawford,,19-22,,
11:22.0,Turnover by J. Green (lost ball),,19-22,,
11:06.0,,,19-22,,Turnover by C. Kaman (lost ball; steal by C. Aldrich)
10:58.0,J. Crawford makes 2-pt shot from 14 ft,2,21-22,,
10:44.0,,,21-24,2,G. Henderson makes 2-pt shot from 16 ft
10:24.0,Shooting foul by C. McCollum (drawn by P. Pierce),,21-24,,
10:24.0,P. Pierce misses free throw 1 of 2,,21-24,,
