time,Memphis,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. N. Jokic (K. Faried gains possession),,,,Jump ball: C. Andersen vs. N. Jokic (K. Faried gains possession)
11:34.0,,,0-0,,J. Sampson misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by C. Andersen,,0-0,,
11:18.0,C. Andersen misses 2-pt shot from 1 ft (block by N. Jokic),,0-0,,
11:15.0,,,0-0,,Defensive rebound by N. Jokic
11:12.0,,,0-0,,N. Jokic misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by P. Hairston,,0-0,,
11:03.0,M. Conley misses 3-pt shot from 25 ft,,0-0,,
11:03.0,Offensive rebound by M. Conley,,0-0,,
10:58.0,P. Hairston misses 3-pt shot from 27 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by E. Mudiay
10:47.0,,,0-0,,Turnover by N. Jokic (lost ball)
10:27.0,M. Barnes makes 2-pt shot from 2 ft (assist by M. Conley),2,2-0,,
10:12.0,,,2-0,,E. Mudiay misses 2-pt shot from 22 ft
10:11.0,Defensive rebound by Z. Randolph,,2-0,,
9:59.0,P. Hairston makes 2-pt shot from 2 ft (assist by Z. Randolph),2,4-0,,
9:36.0,,,4-2,2,J. Sampson makes 2-pt shot from 2 ft (assist by E. Mudiay)
9:13.0,Z. Randolph misses 2-pt shot from 16 ft,,4-2,,
9:12.0,,,4-2,,Defensive rebound by N. Jokic
9:02.0,,,4-2,,K. Faried misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by Z. Randolph,,4-2,,
8:52.0,Shooting foul by N. Jokic (drawn by M. Barnes),,4-2,,
8:52.0,M. Barnes makes free throw 1 of 2,1,5-2,,
8:52.0,M. Barnes makes free throw 2 of 2,1,6-2,,
8:39.0,,,6-2,,Shooting foul by C. Andersen (drawn by N. Jokic)
8:39.0,,,6-3,1,N. Jokic makes free throw 1 of 2
8:39.0,,,6-4,1,N. Jokic makes free throw 2 of 2
8:26.0,M. Barnes misses 3-pt shot from 25 ft,,6-4,,
8:23.0,,,6-4,,Defensive rebound by Team
8:11.0,,,6-4,,E. Mudiay misses 2-pt shot from 20 ft
8:10.0,Defensive rebound by M. Barnes,,6-4,,
8:00.0,,,6-4,,Shooting block foul by E. Mudiay (drawn by M. Conley)
8:00.0,M. Conley makes free throw 1 of 2,1,7-4,,
8:00.0,M. Conley misses free throw 2 of 2,,7-4,,
7:59.0,,,7-4,,Defensive rebound by K. Faried
7:45.0,,,7-7,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Sampson)
7:29.0,Z. Randolph misses 2-pt shot from 6 ft,,7-7,,
7:28.0,,,7-7,,Defensive rebound by N. Jokic
7:25.0,,,7-7,,Offensive foul by J. Sampson
7:25.0,,,7-7,,Turnover by J. Sampson (offensive foul)
7:09.0,M. Barnes makes 2-pt shot from 3 ft (assist by Z. Randolph),2,9-7,,
7:01.0,,,9-7,,G. Harris misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by M. Barnes,,9-7,,
6:47.0,Shooting foul by N. Jokic (drawn by C. Andersen),,9-7,,
6:47.0,C. Andersen misses free throw 1 of 2,,9-7,,
6:47.0,Offensive rebound by Team,,9-7,,
6:47.0,C. Andersen misses free throw 2 of 2,,9-7,,
6:46.0,,,9-7,,Defensive rebound by N. Jokic
6:28.0,,,9-9,2,K. Faried makes 2-pt shot from 17 ft (assist by E. Mudiay)
6:27.0,,,9-9,,Violation by Team (delay of game)
6:14.0,P. Hairston makes 2-pt shot from 1 ft (assist by M. Conley),2,11-9,,
5:54.0,,,11-12,3,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic)
5:30.0,,,11-12,,Shooting block foul by K. Faried (drawn by Z. Randolph)
5:30.0,,,11-12,,Denver full timeout
5:30.0,M. Chalmers enters the game for C. Andersen,,11-12,,
5:30.0,J. Martin enters the game for M. Conley,,11-12,,
5:30.0,,,11-12,,W. Barton enters the game for J. Sampson
5:30.0,Z. Randolph makes free throw 1 of 2,1,12-12,,
5:30.0,Z. Randolph makes free throw 2 of 2,1,13-12,,
5:11.0,,,13-14,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
4:53.0,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Chalmers),2,15-14,,
4:33.0,,,15-14,,Turnover by E. Mudiay (bad pass; steal by M. Barnes)
4:27.0,J. Martin makes 2-pt shot from 16 ft (assist by M. Chalmers),2,17-14,,
4:09.0,,,17-16,2,N. Jokic makes 2-pt shot from 15 ft
3:53.0,Z. Randolph misses 2-pt shot from 17 ft,,17-16,,
3:51.0,,,17-16,,Defensive rebound by E. Mudiay
3:45.0,,,17-16,,W. Barton misses 3-pt shot from 23 ft
3:44.0,,,17-16,,Offensive rebound by K. Faried
3:43.0,,,17-16,,K. Faried misses 2-pt shot from 2 ft (block by P. Hairston)
3:42.0,Defensive rebound by Team,,17-16,,
3:42.0,,,17-16,,J. Lauvergne enters the game for N. Jokic
3:42.0,L. Stephenson enters the game for P. Hairston,,17-16,,
3:21.0,L. Stephenson misses 3-pt shot from 23 ft,,17-16,,
3:21.0,,,17-16,,Defensive rebound by K. Faried
3:14.0,Personal foul by M. Chalmers (drawn by E. Mudiay),,17-16,,
3:14.0,,,17-16,,D. Augustin enters the game for E. Mudiay
3:14.0,J. Green enters the game for Z. Randolph,,17-16,,
3:06.0,,,17-16,,D. Augustin misses 2-pt shot at rim
3:05.0,Defensive rebound by J. Martin,,17-16,,
3:01.0,Turnover by J. Green (traveling),,17-16,,
3:01.0,,,17-16,,D. Arthur enters the game for K. Faried
2:42.0,,,17-16,,Turnover by W. Barton (bad pass)
2:42.0,Memphis full timeout,,17-16,,
2:42.0,V. Carter enters the game for M. Barnes,,17-16,,
2:30.0,M. Chalmers makes 2-pt shot from 2 ft,2,19-16,,
2:30.0,Shooting foul by D. Augustin (drawn by M. Chalmers),,19-16,,
2:30.0,M. Chalmers makes free throw 1 of 1,1,20-16,,
2:13.0,,,20-16,,Turnover by J. Lauvergne (lost ball)
2:00.0,L. Stephenson makes 2-pt shot from 2 ft (assist by M. Chalmers),2,22-16,,
1:59.0,,,22-16,,Denver full timeout
1:43.0,,,22-18,2,J. Lauvergne makes 2-pt shot from 1 ft
1:43.0,,,22-18,,Shooting foul by J. Green (drawn by J. Lauvergne)
1:43.0,,,22-18,,J. Sampson enters the game for G. Harris
