time,Philadelphia,pts.away,score,pts.home,San Antonio
3:55.0,,,8-16,,Shooting foul by J. Sampson (drawn by B. Diaw)
3:55.0,,,8-17,1,B. Diaw makes free throw 1 of 2
3:55.0,N. Noel enters the game for H. Thompson,,8-17,,
3:55.0,,,8-18,1,B. Diaw makes free throw 2 of 2
3:43.0,J. Sampson misses 2-pt shot from 6 ft (block by L. Aldridge),,8-18,,
3:41.0,,,8-18,,Defensive rebound by D. Green
3:36.0,,,8-18,,P. Mills misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by Team,,8-18,,
3:17.0,N. Noel misses 2-pt shot from 10 ft,,8-18,,
3:16.0,,,8-18,,Defensive rebound by B. Diaw
2:56.0,,,8-18,,L. Aldridge misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by I. Canaan,,8-18,,
2:47.0,I. Canaan misses 2-pt shot from 17 ft,,8-18,,
2:46.0,,,8-18,,Defensive rebound by R. Butler
2:30.0,,,8-18,,B. Diaw misses 2-pt shot from 4 ft
2:28.0,,,8-18,,Offensive rebound by L. Aldridge
2:28.0,,,8-20,2,L. Aldridge makes 2-pt shot at rim
2:15.0,C. Wood misses 3-pt shot from 25 ft,,8-20,,
2:14.0,,,8-20,,Defensive rebound by P. Mills
1:56.0,,,8-20,,P. Mills misses 3-pt shot from 22 ft
1:54.0,Defensive rebound by C. Wood,,8-20,,
1:41.0,C. Wood misses 2-pt shot from 10 ft,,8-20,,
1:40.0,,,8-20,,Defensive rebound by L. Aldridge
1:36.0,,,8-20,,Turnover by L. Aldridge (bad pass)
1:36.0,J. Okafor enters the game for C. Wood,,8-20,,
1:36.0,,,8-20,,D. West enters the game for L. Aldridge
1:21.0,J. Grant makes 2-pt shot from 2 ft (assist by J. Okafor),2,10-20,,
1:13.0,,,10-20,,Offensive foul by D. West
1:13.0,,,10-20,,Turnover by D. West (offensive foul)
1:02.0,Turnover by N. Noel (lost ball; steal by P. Mills),,10-20,,
1:00.0,,,10-20,,P. Mills misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by J. Okafor,,10-20,,
0:55.0,Turnover by J. Grant (offensive foul),,10-20,,
0:55.0,Offensive charge foul by J. Grant,,10-20,,
0:45.0,,,10-20,,D. Green misses 2-pt shot from 13 ft
0:45.0,Defensive rebound by Team,,10-20,,
0:31.0,I. Canaan misses 2-pt shot from 8 ft (block by D. West),,10-20,,
0:29.0,Offensive rebound by I. Canaan,,10-20,,
0:28.0,J. Sampson makes 2-pt shot from 3 ft (assist by I. Canaan),2,12-20,,
0:05.0,,,12-20,,D. Green misses 3-pt shot from 25 ft
0:04.0,,,12-20,,Offensive rebound by D. West
0:04.0,Loose ball foul by J. Grant (drawn by D. West),,12-20,,
0:00.0,,,12-20,,R. Butler misses 3-pt shot from 24 ft
0:00.0,,,12-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,12-20,,Shooting foul by N. Noel (drawn by D. West)
11:45.0,,,12-21,1,D. West makes free throw 1 of 2
11:45.0,,,12-21,,T. Parker enters the game for R. Butler
11:45.0,,,12-22,1,D. West makes free throw 2 of 2
11:23.0,J. Okafor misses 2-pt shot from 9 ft,,12-22,,
11:22.0,,,12-22,,Defensive rebound by K. Anderson
11:07.0,,,12-22,,D. West misses 2-pt shot from 1 ft
11:06.0,,,12-22,,Offensive rebound by B. Diaw
11:06.0,,,12-22,,B. Diaw misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by P. Pressey,,12-22,,
10:59.0,Turnover by N. Stauskas (lost ball; steal by K. Anderson),,12-22,,
10:46.0,,,12-24,2,T. Parker makes 2-pt shot from 1 ft (assist by D. West)
10:31.0,Shooting foul by D. West (drawn by N. Noel),,12-24,,
10:31.0,N. Noel misses free throw 1 of 2,,12-24,,
10:31.0,Offensive rebound by Team,,12-24,,
10:31.0,H. Thompson enters the game for I. Canaan,,12-24,,
10:31.0,N. Noel makes free throw 2 of 2,1,13-24,,
10:12.0,,,13-26,2,D. West makes 2-pt shot from 16 ft (assist by B. Diaw)
10:01.0,N. Stauskas misses 3-pt shot from 23 ft,,13-26,,
10:00.0,,,13-26,,Defensive rebound by B. Diaw
9:52.0,,,13-26,,P. Mills misses 2-pt shot from 16 ft
9:51.0,Defensive rebound by N. Noel,,13-26,,
9:41.0,H. Thompson makes 3-pt shot from 25 ft (assist by P. Pressey),3,16-26,,
9:27.0,,,16-26,,P. Mills misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by P. Pressey,,16-26,,
9:22.0,Philadelphia full timeout,,16-26,,
9:22.0,,,16-26,,R. McCallum enters the game for P. Mills
9:22.0,J. Grant enters the game for N. Noel,,16-26,,
9:13.0,P. Pressey makes 2-pt shot from 17 ft,2,18-26,,
9:00.0,,,18-28,2,R. McCallum makes 2-pt shot from 3 ft (assist by D. West)
8:51.0,J. Okafor misses 2-pt shot from 6 ft,,18-28,,
8:49.0,,,18-28,,Defensive rebound by D. West
8:38.0,,,18-28,,B. Diaw misses 2-pt shot from 5 ft
8:37.0,Defensive rebound by J. Okafor,,18-28,,
8:26.0,J. Grant makes 3-pt shot from 24 ft (assist by P. Pressey),3,21-28,,
8:16.0,,,21-28,,T. Parker misses 2-pt shot from 7 ft
8:15.0,Defensive rebound by J. Grant,,21-28,,
8:06.0,H. Thompson makes 2-pt shot from 9 ft,2,23-28,,
7:53.0,,,23-28,,R. McCallum misses 2-pt shot from 10 ft
7:52.0,Defensive rebound by J. Grant,,23-28,,
7:40.0,N. Stauskas misses 2-pt shot from 16 ft,,23-28,,
7:39.0,,,23-28,,Defensive rebound by K. Anderson
7:38.0,Violation by P. Pressey (kicked ball),,23-28,,
7:38.0,,,23-28,,T. Duncan enters the game for B. Diaw
7:38.0,T. McConnell enters the game for P. Pressey,,23-28,,
7:38.0,N. Noel enters the game for J. Okafor,,23-28,,
7:32.0,,,23-28,,T. Parker misses 2-pt shot from 2 ft
7:31.0,Defensive rebound by T. McConnell,,23-28,,
7:27.0,Turnover by N. Stauskas (lost ball; steal by T. Parker),,23-28,,
7:03.0,,,23-30,2,T. Duncan makes 2-pt shot from 8 ft (assist by D. West)
6:49.0,Turnover by H. Thompson (bad pass; steal by K. Anderson),,23-30,,
6:38.0,,,23-32,2,D. West makes 2-pt shot from 16 ft (assist by K. Anderson)
6:23.0,J. Grant makes 2-pt shot from 2 ft (assist by H. Thompson),2,25-32,,
6:05.0,,,25-34,2,T. Duncan makes 2-pt shot at rim (assist by D. West)
6:05.0,,,25-34,,Shooting foul by N. Noel (drawn by T. Duncan)
6:05.0,I. Canaan enters the game for N. Stauskas,,25-34,,
6:05.0,,,25-34,,L. Aldridge enters the game for D. West
6:05.0,,,25-34,,T. Duncan misses free throw 1 of 1
6:04.0,Defensive rebound by J. Grant,,25-34,,
5:55.0,Shooting foul by L. Aldridge (drawn by N. Noel),,25-34,,
5:55.0,Official timeout,,25-34,,
5:55.0,N. Noel misses free throw 1 of 2,,25-34,,
5:55.0,Offensive rebound by Team,,25-34,,
5:55.0,N. Noel makes free throw 2 of 2,1,26-34,,
5:38.0,,,26-34,,Shooting foul by N. Noel (drawn by L. Aldridge)
5:38.0,,,26-35,1,L. Aldridge makes free throw 1 of 2
5:38.0,J. Okafor enters the game for N. Noel,,26-35,,
5:38.0,,,26-35,,L. Aldridge misses free throw 2 of 2
5:38.0,Defensive rebound by I. Canaan,,26-35,,
5:19.0,J. Okafor makes 2-pt shot from 3 ft,2,28-35,,
5:03.0,,,28-35,,T. Duncan misses 2-pt shot from 3 ft (block by J. Grant)
5:02.0,Defensive rebound by I. Canaan,,28-35,,
4:56.0,H. Thompson misses 3-pt shot from 24 ft,,28-35,,
4:55.0,,,28-35,,Defensive rebound by R. McCallum
4:51.0,,,28-37,2,R. McCallum makes 2-pt shot at rim
4:28.0,J. Okafor misses 2-pt shot from 4 ft,,28-37,,
4:28.0,,,28-37,,Defensive rebound by R. McCallum
4:16.0,,,28-39,2,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker)
3:48.0,J. Okafor makes 2-pt shot from 9 ft,2,30-39,,
3:42.0,,,30-39,,San Antonio full timeout
3:42.0,J. Sampson enters the game for H. Thompson,,30-39,,
3:42.0,,,30-39,,D. Green enters the game for K. Anderson
3:34.0,,,30-39,,L. Aldridge misses 2-pt shot from 18 ft
3:33.0,Defensive rebound by J. Sampson,,30-39,,
3:22.0,I. Canaan makes 3-pt shot from 24 ft,3,33-39,,
3:13.0,,,33-39,,T. Parker misses 2-pt shot from 1 ft
3:12.0,,,33-39,,Offensive rebound by L. Aldridge
2:56.0,,,33-39,,D. Green misses 2-pt shot from 8 ft
2:55.0,Defensive rebound by J. Okafor,,33-39,,
2:33.0,J. Okafor misses 2-pt shot from 8 ft,,33-39,,
2:32.0,,,33-39,,Defensive rebound by D. Green
2:20.0,,,33-41,2,T. Duncan makes 2-pt shot from 4 ft
2:06.0,Shooting foul by L. Aldridge (drawn by J. Grant),,33-41,,
2:06.0,,,33-41,,P. Mills enters the game for T. Parker
2:06.0,J. Grant makes free throw 1 of 2,1,34-41,,
2:06.0,J. Grant makes free throw 2 of 2,1,35-41,,
1:49.0,Personal foul by J. Grant (drawn by L. Aldridge),,35-41,,
1:49.0,C. Wood enters the game for J. Grant,,35-41,,
1:35.0,,,35-41,,T. Duncan misses 2-pt shot from 8 ft
1:34.0,Defensive rebound by T. McConnell,,35-41,,
1:26.0,Offensive charge foul by J. Okafor,,35-41,,
1:26.0,Turnover by J. Okafor (offensive foul),,35-41,,
1:12.0,,,35-41,,Turnover by T. Duncan (bad pass; steal by C. Wood)
1:06.0,Shooting foul by D. Green (drawn by J. Sampson),,35-41,,
1:06.0,J. Sampson makes free throw 1 of 2,1,36-41,,
1:06.0,J. Sampson makes free throw 2 of 2,1,37-41,,
0:49.0,,,37-41,,T. Duncan misses 2-pt shot from 6 ft (block by J. Okafor)
0:48.0,Defensive rebound by C. Wood,,37-41,,
0:38.0,Philadelphia full timeout,,37-41,,
0:38.0,H. Thompson enters the game for T. McConnell,,37-41,,
0:30.0,I. Canaan misses 2-pt shot from 4 ft,,37-41,,
0:29.0,,,37-41,,Defensive rebound by D. Green
0:11.0,,,37-43,2,R. McCallum makes 2-pt shot from 2 ft
0:00.0,I. Canaan misses 3-pt shot from 24 ft,,37-43,,
0:00.0,Offensive rebound by J. Sampson,,37-43,,
0:00.0,J. Sampson makes 2-pt shot from 2 ft,2,39-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,39-43,,D. Green misses 2-pt shot from 2 ft
11:41.0,Defensive rebound by J. Okafor,,39-43,,
11:29.0,T. McConnell makes 2-pt shot from 7 ft,2,41-43,,
11:13.0,,,41-43,,Shooting foul by T. McConnell (drawn by T. Parker)
11:13.0,,,41-44,1,T. Parker makes free throw 1 of 2
11:13.0,,,41-45,1,T. Parker makes free throw 2 of 2
10:53.0,J. Grant misses 2-pt shot from 7 ft,,41-45,,
10:52.0,,,41-45,,Defensive rebound by T. Duncan
10:46.0,,,41-47,2,K. Anderson makes 2-pt shot at rim (assist by T. Duncan)
10:31.0,J. Grant makes 3-pt shot from 24 ft (assist by T. McConnell),3,44-47,,
10:12.0,,,44-50,3,K. Anderson makes 3-pt shot from 22 ft (assist by L. Aldridge)
9:56.0,I. Canaan misses 2-pt shot at rim (block by T. Duncan),,44-50,,
9:55.0,,,44-50,,Offensive rebound by Team
9:55.0,Jump ball: I. Canaan vs. T. Duncan,,,,Jump ball: I. Canaan vs. T. Duncan
9:33.0,,,44-52,2,T. Duncan makes 2-pt shot from 5 ft
9:19.0,T. McConnell misses 2-pt shot from 7 ft,,44-52,,
