time,Philadelphia,pts.away,score,pts.home,San Antonio
2:34.0,,,83-87,,Defensive rebound by L. Aldridge
2:28.0,,,83-87,,P. Mills misses 2-pt shot from 20 ft
2:26.0,Defensive rebound by T. McConnell,,83-87,,
2:14.0,Turnover by T. McConnell (bad pass; steal by P. Mills),,83-87,,
2:09.0,,,83-89,2,P. Mills makes 2-pt shot from 1 ft (assist by K. Anderson)
2:09.0,Philadelphia full timeout,,83-89,,
2:09.0,,,83-89,,R. Butler enters the game for D. Green
2:01.0,Turnover by I. Canaan (bad pass; steal by K. Anderson),,83-89,,
1:56.0,,,83-89,,Turnover by K. Anderson (bad pass; steal by T. McConnell)
1:42.0,J. Okafor misses 2-pt shot from 10 ft,,83-89,,
1:41.0,,,83-89,,Defensive rebound by L. Aldridge
1:25.0,,,83-89,,L. Aldridge misses 2-pt shot from 8 ft
1:24.0,Defensive rebound by Team,,83-89,,
1:12.0,Turnover by T. McConnell (bad pass; steal by P. Mills),,83-89,,
0:57.0,,,83-89,,Turnover by L. Aldridge (lost ball; steal by N. Noel)
0:44.0,I. Canaan misses 2-pt shot from 22 ft,,83-89,,
0:43.0,,,83-89,,Defensive rebound by L. Aldridge
0:22.0,,,83-91,2,T. Duncan makes 2-pt shot from 4 ft (assist by P. Mills)
0:22.0,Philadelphia full timeout,,83-91,,
0:21.0,Turnover by N. Noel (bad pass),,83-91,,
0:20.0,J. Sampson enters the game for J. Okafor,,83-91,,
0:20.0,C. Wood enters the game for H. Thompson,,83-91,,
0:20.0,J. Grant enters the game for I. Canaan,,83-91,,
0:20.0,,,83-91,,R. McCallum enters the game for L. Aldridge
0:20.0,,,83-91,,M. Bonner enters the game for T. Duncan
0:20.0,,,83-91,,B. Marjanovic enters the game for P. Mills
0:19.0,Personal take foul by C. Wood (drawn by R. Butler),,83-91,,
0:18.0,Personal take foul by C. Wood (drawn by R. Butler),,83-91,,
0:18.0,,,83-92,1,M. Bonner makes free throw 1 of 2
0:18.0,I. Canaan enters the game for J. Grant,,83-92,,
0:18.0,H. Thompson enters the game for J. Sampson,,83-92,,
0:18.0,,,83-92,,M. Bonner misses free throw 2 of 2
0:18.0,Defensive rebound by C. Wood,,83-92,,
0:11.0,H. Thompson misses 3-pt shot from 24 ft,,83-92,,
0:09.0,,,83-92,,Defensive rebound by B. Marjanovic
0:00.0,End of 4th quarter,,,,End of 4th quarter
