time,New York,pts.away,score,pts.home,Toronto
0:44.0,A. Afflalo makes 2-pt shot from 22 ft (assist by J. Grant),2,21-27,,
0:34.0,,,21-27,,C. Joseph misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by D. Williams,,21-27,,
0:13.0,Turnover by S. Vujacic (bad pass; steal by T. Ross),,21-27,,
0:07.0,,,21-27,,T. Ross misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by D. Williams,,21-27,,
0:00.0,D. Williams misses 2-pt shot from 21 ft,,21-27,,
0:00.0,Offensive rebound by Team,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,K. Seraphin misses 2-pt shot from 14 ft,,21-27,,
11:49.0,,,21-27,,Defensive rebound by Team
11:49.0,Loose ball foul by K. Seraphin (drawn by B. Biyombo),,21-27,,
11:30.0,,,21-29,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
11:10.0,L. Thomas misses 2-pt shot from 3 ft,,21-29,,
11:10.0,,,21-29,,Defensive rebound by T. Ross
11:04.0,,,21-31,2,K. Lowry makes 2-pt shot at rim (assist by T. Ross)
10:48.0,D. Williams makes 2-pt shot from 6 ft,2,23-31,,
10:31.0,,,23-31,,T. Ross misses 2-pt shot from 18 ft
10:31.0,,,23-31,,Offensive rebound by K. Lowry
10:26.0,,,23-34,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
10:09.0,K. Seraphin makes 2-pt shot from 2 ft (assist by S. Vujacic),2,25-34,,
10:05.0,,,25-34,,Turnover by P. Patterson (bad pass; steal by J. Grant)
9:49.0,J. Grant misses 2-pt shot from 2 ft,,25-34,,
9:49.0,,,25-34,,Defensive rebound by C. Joseph
9:42.0,,,25-34,,T. Ross misses 3-pt shot from 25 ft
9:41.0,,,25-34,,Offensive rebound by C. Joseph
9:31.0,,,25-34,,Turnover by C. Joseph (bad pass; steal by S. Vujacic)
9:25.0,D. Williams misses 2-pt shot from 3 ft (block by T. Ross),,25-34,,
9:24.0,Offensive rebound by D. Williams,,25-34,,
9:22.0,D. Williams misses 2-pt shot from 1 ft,,25-34,,
9:21.0,,,25-34,,Defensive rebound by P. Patterson
9:11.0,,,25-34,,K. Lowry misses 2-pt shot from 16 ft
9:11.0,,,25-34,,Offensive rebound by T. Ross
8:49.0,,,25-34,,T. Ross misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by S. Vujacic,,25-34,,
8:40.0,L. Thomas makes 2-pt shot from 3 ft,2,27-34,,
8:40.0,Shooting foul by C. Joseph (drawn by L. Thomas),,27-34,,
8:40.0,Official timeout,,27-34,,
8:40.0,L. Amundson enters the game for D. Williams,,27-34,,
8:40.0,R. Lopez enters the game for K. Seraphin,,27-34,,
8:40.0,L. Thomas makes free throw 1 of 1,1,28-34,,
8:21.0,,,28-36,2,P. Patterson makes 2-pt shot from 5 ft (assist by C. Joseph)
7:54.0,Turnover by R. Lopez (lost ball; steal by K. Lowry),,28-36,,
7:46.0,,,28-36,,T. Ross misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by J. Grant,,28-36,,
7:37.0,J. Grant makes 2-pt shot from 3 ft,2,30-36,,
7:25.0,,,30-39,3,P. Patterson makes 3-pt shot from 26 ft (assist by C. Joseph)
7:06.0,S. Vujacic misses 3-pt shot from 26 ft,,30-39,,
7:05.0,,,30-39,,Defensive rebound by C. Joseph
6:56.0,,,30-41,2,C. Joseph makes 2-pt shot from 1 ft
6:34.0,R. Lopez misses 2-pt shot from 16 ft,,30-41,,
6:33.0,Offensive rebound by L. Amundson,,30-41,,
6:31.0,L. Amundson misses 2-pt shot from 1 ft,,30-41,,
6:31.0,Offensive rebound by L. Amundson,,30-41,,
6:31.0,Shooting foul by P. Patterson (drawn by L. Amundson),,30-41,,
6:31.0,L. Amundson misses free throw 1 of 2,,30-41,,
6:31.0,Offensive rebound by Team,,30-41,,
6:31.0,A. Afflalo enters the game for L. Thomas,,30-41,,
6:31.0,L. Galloway enters the game for S. Vujacic,,30-41,,
6:31.0,,,30-41,,D. DeRozan enters the game for C. Joseph
6:31.0,L. Amundson misses free throw 2 of 2,,30-41,,
6:30.0,,,30-41,,Defensive rebound by T. Ross
6:15.0,,,30-41,,Shooting foul by J. Grant (drawn by K. Lowry)
6:15.0,,,30-42,1,K. Lowry makes free throw 1 of 3
6:15.0,,,30-43,1,K. Lowry makes free throw 2 of 3
6:15.0,,,30-44,1,K. Lowry makes free throw 3 of 3
6:00.0,L. Amundson makes 2-pt shot from 3 ft (assist by J. Grant),2,32-44,,
6:00.0,,,32-44,,Shooting block foul by P. Patterson (drawn by L. Amundson)
6:00.0,,,32-44,,N. Powell enters the game for T. Ross
6:00.0,L. Amundson makes free throw 1 of 1,1,33-44,,
5:48.0,,,33-44,,D. DeRozan misses 2-pt shot from 14 ft
5:48.0,Defensive rebound by J. Grant,,33-44,,
5:25.0,R. Lopez misses 2-pt shot from 12 ft,,33-44,,
5:25.0,,,33-44,,Defensive rebound by D. DeRozan
5:17.0,,,33-44,,Shooting foul by R. Lopez (drawn by D. DeRozan)
5:17.0,,,33-44,,Toronto full timeout
5:17.0,,,33-44,,L. Scola enters the game for P. Patterson
5:17.0,,,33-44,,J. Valanciunas enters the game for B. Biyombo
5:17.0,D. Williams enters the game for J. Grant,,33-44,,
5:17.0,L. Thomas enters the game for L. Amundson,,33-44,,
5:17.0,,,33-45,1,D. DeRozan makes free throw 1 of 2
5:17.0,,,33-45,,D. DeRozan misses free throw 2 of 2
5:16.0,Defensive rebound by D. Williams,,33-45,,
5:04.0,,,33-45,,Personal foul by J. Valanciunas (drawn by R. Lopez)
5:04.0,K. O'Quinn enters the game for R. Lopez,,33-45,,
4:55.0,A. Afflalo makes 3-pt shot from 22 ft (assist by L. Galloway),3,36-45,,
4:36.0,,,36-47,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
