time,Boston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Johnson (D. Favors gains possession),,,,Jump ball: R. Gobert vs. A. Johnson (D. Favors gains possession)
11:46.0,,,0-0,,Turnover by D. Favors (bad pass)
11:32.0,I. Thomas misses 2-pt shot from 6 ft,,0-0,,
11:31.0,Offensive rebound by I. Thomas,,0-0,,
11:28.0,I. Thomas misses 2-pt shot from 2 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by D. Favors
11:16.0,,,0-2,2,D. Favors makes 2-pt shot from 13 ft (assist by R. Neto)
11:03.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas),3,3-2,,
10:46.0,,,3-2,,Shooting foul by A. Johnson (drawn by D. Favors)
10:46.0,,,3-3,1,D. Favors makes free throw 1 of 2
10:46.0,,,3-4,1,D. Favors makes free throw 2 of 2
10:32.0,I. Thomas misses 2-pt shot from 1 ft (block by R. Gobert),,3-4,,
10:31.0,Offensive rebound by A. Johnson,,3-4,,
10:31.0,A. Johnson misses 2-pt shot from 1 ft (block by D. Favors),,3-4,,
10:31.0,,,3-4,,Defensive rebound by R. Hood
10:12.0,,,3-7,3,R. Neto makes 3-pt shot from 24 ft (assist by R. Gobert)
9:49.0,A. Bradley misses 3-pt shot from 24 ft,,3-7,,
9:48.0,,,3-7,,Defensive rebound by D. Favors
9:34.0,,,3-7,,G. Hayward misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by J. Crowder,,3-7,,
9:22.0,I. Thomas makes 2-pt shot from 10 ft,2,5-7,,
8:59.0,,,5-7,,D. Favors misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by J. Crowder,,5-7,,
8:47.0,J. Sullinger misses 2-pt shot from 6 ft,,5-7,,
8:46.0,,,5-7,,Defensive rebound by R. Gobert
8:25.0,,,5-9,2,R. Neto makes 2-pt shot from 1 ft
8:08.0,Shooting foul by R. Neto (drawn by I. Thomas),,5-9,,
8:08.0,I. Thomas makes free throw 1 of 3,1,6-9,,
8:08.0,I. Thomas makes free throw 2 of 3,1,7-9,,
8:08.0,I. Thomas makes free throw 3 of 3,1,8-9,,
7:57.0,,,8-9,,Turnover by R. Gobert (lost ball; steal by A. Johnson)
7:53.0,A. Johnson makes 2-pt shot from 1 ft (assist by J. Crowder),2,10-9,,
7:35.0,,,10-11,2,D. Favors makes 2-pt shot from 12 ft
7:23.0,A. Bradley misses 3-pt shot from 23 ft,,10-11,,
7:22.0,,,10-11,,Defensive rebound by R. Gobert
7:11.0,,,10-11,,Turnover by R. Gobert (lost ball; steal by J. Sullinger)
7:05.0,J. Crowder misses 3-pt shot from 24 ft,,10-11,,
7:04.0,,,10-11,,Defensive rebound by R. Gobert
6:45.0,,,10-11,,G. Hayward misses 3-pt shot from 23 ft
6:44.0,Defensive rebound by J. Sullinger,,10-11,,
6:26.0,I. Thomas misses 2-pt shot from 11 ft,,10-11,,
6:26.0,,,10-11,,Defensive rebound by G. Hayward
6:17.0,,,10-13,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
6:17.0,Boston full timeout,,10-13,,
6:17.0,,,10-13,,C. Johnson enters the game for R. Hood
6:04.0,J. Sullinger makes 2-pt shot from 17 ft (assist by I. Thomas),2,12-13,,
6:01.0,,,12-13,,Turnover by R. Gobert (bad pass)
5:52.0,I. Thomas misses 3-pt shot from 25 ft,,12-13,,
5:52.0,,,12-13,,Defensive rebound by C. Johnson
5:28.0,,,12-16,3,C. Johnson makes 3-pt shot from 24 ft (assist by D. Favors)
5:13.0,J. Sullinger misses 2-pt shot from 18 ft,,12-16,,
5:13.0,,,12-16,,Defensive rebound by C. Johnson
4:58.0,,,12-18,2,G. Hayward makes 2-pt shot from 2 ft
4:47.0,A. Johnson misses 3-pt shot from 24 ft,,12-18,,
4:47.0,,,12-18,,Defensive rebound by C. Johnson
4:38.0,,,12-18,,G. Hayward misses 2-pt shot from 1 ft (block by J. Sullinger)
4:38.0,Defensive rebound by J. Sullinger,,12-18,,
4:23.0,A. Bradley makes 2-pt shot from 22 ft,2,14-18,,
4:03.0,,,14-18,,D. Favors misses 2-pt shot from 1 ft
4:02.0,Defensive rebound by I. Thomas,,14-18,,
3:57.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,16-18,,
3:36.0,,,16-20,2,R. Neto makes 2-pt shot at rim
3:20.0,,,16-20,,Personal foul by R. Neto
3:20.0,E. Turner enters the game for A. Bradley,,16-20,,
3:20.0,M. Smart enters the game for A. Johnson,,16-20,,
3:20.0,,,16-20,,T. Booker enters the game for R. Gobert
3:20.0,,,16-20,,T. Burke enters the game for R. Neto
3:12.0,J. Sullinger misses 2-pt shot from 9 ft,,16-20,,
3:11.0,,,16-20,,Defensive rebound by T. Booker
2:54.0,,,16-20,,Turnover by G. Hayward (lost ball; steal by M. Smart)
2:51.0,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart),2,18-20,,
2:51.0,Shooting foul by T. Burke (drawn by J. Crowder),,18-20,,
2:51.0,,,18-20,,Utah full timeout
2:51.0,T. Zeller enters the game for J. Sullinger,,18-20,,
2:51.0,J. Crowder makes free throw 1 of 1,1,19-20,,
2:34.0,,,19-20,,Turnover by G. Hayward (bad pass)
2:23.0,,,19-20,,Personal foul by C. Johnson
2:23.0,,,19-20,,R. Hood enters the game for G. Hayward
2:10.0,E. Turner makes 2-pt shot from 17 ft (assist by I. Thomas),2,21-20,,
1:52.0,,,21-23,3,R. Hood makes 3-pt shot from 22 ft (assist by D. Favors)
1:32.0,E. Turner makes 3-pt shot from 24 ft (assist by M. Smart),3,24-23,,
1:15.0,,,24-26,3,T. Burke makes 3-pt shot from 24 ft (assist by D. Favors)
0:58.0,E. Turner misses 2-pt shot from 10 ft,,24-26,,
0:57.0,Offensive rebound by Team,,24-26,,
0:57.0,,,24-26,,J. Ingles enters the game for C. Johnson
0:57.0,J. Jerebko enters the game for I. Thomas,,24-26,,
0:55.0,J. Crowder misses 2-pt shot from 1 ft,,24-26,,
0:54.0,,,24-26,,Defensive rebound by D. Favors
0:42.0,,,24-26,,Offensive charge foul by T. Burke
0:42.0,,,24-26,,Turnover by T. Burke (offensive foul)
0:42.0,,,24-26,,C. Johnson enters the game for T. Burke
0:33.0,,,24-26,,Personal foul by D. Favors
0:33.0,T. Zeller misses free throw 1 of 2,,24-26,,
0:33.0,Offensive rebound by Team,,24-26,,
0:33.0,,,24-26,,T. Burke enters the game for C. Johnson
0:33.0,T. Zeller misses free throw 2 of 2,,24-26,,
0:32.0,,,24-26,,Defensive rebound by D. Favors
0:19.0,,,24-26,,Turnover by T. Burke (lost ball; steal by M. Smart)
0:12.0,J. Jerebko misses 3-pt shot from 24 ft,,24-26,,
0:11.0,,,24-26,,Defensive rebound by R. Hood
0:01.0,Personal foul by E. Turner,,24-26,,
0:00.0,,,24-26,,T. Booker misses 2-pt shot from 22 ft
0:00.0,,,24-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
