time,Golden State,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Bogut vs. Z. Pachulia (D. Green gains possession)
11:36.0,A. Bogut makes 2-pt shot from 2 ft (assist by S. Livingston),2,2-0,,
11:11.0,,,2-0,,D. Nowitzki misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by A. Bogut,,2-0,,
11:01.0,D. Green misses 3-pt shot from 24 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by D. Nowitzki
10:55.0,,,2-2,2,J. Barea makes 2-pt shot from 6 ft
10:29.0,S. Livingston makes 2-pt shot from 13 ft (assist by K. Thompson),2,4-2,,
10:12.0,,,4-2,,D. Nowitzki misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by B. Rush,,4-2,,
10:03.0,K. Thompson misses 2-pt shot from 6 ft,,4-2,,
10:02.0,,,4-2,,Defensive rebound by J. Barea
9:50.0,,,4-4,2,Z. Pachulia makes 2-pt shot from 3 ft (assist by J. Barea)
9:34.0,K. Thompson misses 2-pt shot from 2 ft,,4-4,,
9:33.0,Offensive rebound by A. Bogut,,4-4,,
9:33.0,A. Bogut makes 2-pt shot from 2 ft,2,6-4,,
9:17.0,,,6-4,,D. Nowitzki misses 2-pt shot from 14 ft
9:16.0,Defensive rebound by A. Bogut,,6-4,,
9:05.0,K. Thompson misses 2-pt shot from 14 ft,,6-4,,
9:04.0,,,6-4,,Defensive rebound by D. Nowitzki
8:50.0,,,6-6,2,J. Barea makes 2-pt shot from 9 ft
8:31.0,S. Livingston makes 2-pt shot from 16 ft,2,8-6,,
8:06.0,,,8-6,,W. Matthews misses 2-pt shot from 9 ft
8:05.0,,,8-6,,Offensive rebound by Z. Pachulia
8:00.0,,,8-9,3,J. Barea makes 3-pt shot from 24 ft (assist by Z. Pachulia)
7:38.0,K. Thompson misses 2-pt shot from 13 ft,,8-9,,
7:37.0,,,8-9,,Defensive rebound by D. Nowitzki
7:25.0,,,8-9,,Z. Pachulia misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by A. Bogut,,8-9,,
7:11.0,D. Green misses 2-pt shot from 3 ft,,8-9,,
7:09.0,,,8-9,,Defensive rebound by Z. Pachulia
7:05.0,,,8-9,,Turnover by C. Parsons (bad pass; steal by D. Green)
6:58.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,10-9,,
6:35.0,,,10-11,2,D. Nowitzki makes 2-pt shot from 2 ft
6:18.0,S. Livingston misses 2-pt shot from 8 ft,,10-11,,
6:17.0,,,10-11,,Defensive rebound by C. Parsons
6:09.0,,,10-14,3,W. Matthews makes 3-pt shot from 22 ft (assist by C. Parsons)
5:46.0,K. Thompson misses 3-pt shot from 24 ft,,10-14,,
5:45.0,Offensive rebound by S. Livingston,,10-14,,
5:44.0,S. Livingston misses 2-pt shot from 9 ft,,10-14,,
5:44.0,,,10-14,,Defensive rebound by Team
5:44.0,Loose ball foul by D. Green (drawn by W. Matthews),,10-14,,
5:44.0,,,10-14,,Dallas full timeout
5:44.0,,,10-14,,D. Harris enters the game for C. Parsons
5:44.0,,,10-14,,D. Powell enters the game for D. Nowitzki
5:44.0,A. Iguodala enters the game for B. Rush,,10-14,,
5:30.0,,,10-14,,W. Matthews misses 2-pt shot from 18 ft
5:29.0,Defensive rebound by A. Bogut,,10-14,,
5:10.0,Shooting foul by D. Powell (drawn by S. Livingston),,10-14,,
5:10.0,S. Livingston makes free throw 1 of 2,1,11-14,,
5:10.0,S. Livingston makes free throw 2 of 2,1,12-14,,
4:55.0,,,12-16,2,Z. Pachulia makes 2-pt shot from 5 ft
4:35.0,Turnover by D. Green (bad pass; steal by J. Barea),,12-16,,
4:27.0,,,12-18,2,J. Barea makes 2-pt shot from 13 ft
4:07.0,D. Green misses 2-pt shot from 19 ft,,12-18,,
4:06.0,,,12-18,,Defensive rebound by Z. Pachulia
3:57.0,,,12-18,,J. Barea misses 2-pt shot from 8 ft
3:56.0,Defensive rebound by A. Bogut,,12-18,,
3:47.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,15-18,,
3:32.0,,,15-18,,Turnover by Z. Pachulia (offensive foul)
3:32.0,,,15-18,,Offensive foul by Z. Pachulia
3:32.0,I. Clark enters the game for A. Bogut,,15-18,,
3:32.0,M. Speights enters the game for S. Livingston,,15-18,,
3:20.0,M. Speights makes 2-pt shot from 12 ft (assist by K. Thompson),2,17-18,,
3:01.0,,,17-20,2,D. Harris makes 2-pt shot from 11 ft
2:51.0,Turnover by D. Green (bad pass; steal by W. Matthews),,17-20,,
2:40.0,,,17-20,,D. Powell misses 2-pt shot from 1 ft
2:39.0,,,17-20,,Offensive rebound by Z. Pachulia
2:39.0,,,17-22,2,Z. Pachulia makes 2-pt shot at rim
2:34.0,Golden State full timeout,,17-22,,
2:34.0,,,17-22,,R. Felton enters the game for Z. Pachulia
2:34.0,,,17-22,,C. Parsons enters the game for W. Matthews
2:34.0,,,17-22,,D. Nowitzki enters the game for J. Barea
2:24.0,A. Iguodala makes 2-pt shot from 18 ft,2,19-22,,
2:02.0,,,19-24,2,D. Harris makes 2-pt shot from 16 ft
1:38.0,D. Green misses 3-pt shot from 24 ft,,19-24,,
1:37.0,,,19-24,,Defensive rebound by D. Nowitzki
1:28.0,,,19-24,,Shooting foul by I. Clark (drawn by R. Felton)
1:28.0,,,19-25,1,R. Felton makes free throw 1 of 2
1:28.0,,,19-25,,R. Felton misses free throw 2 of 2
1:26.0,,,19-25,,Offensive rebound by R. Felton
1:02.0,,,19-25,,D. Nowitzki misses 2-pt shot from 16 ft
1:02.0,Defensive rebound by D. Green,,19-25,,
0:51.0,Turnover by M. Speights (lost ball; steal by D. Nowitzki),,19-25,,
0:28.0,,,19-25,,Shooting foul by I. Clark (drawn by D. Nowitzki)
0:28.0,,,19-26,1,D. Nowitzki makes free throw 1 of 2
0:28.0,,,19-27,1,D. Nowitzki makes free throw 2 of 2
0:17.0,M. Speights makes 2-pt shot from 20 ft (assist by A. Iguodala),2,21-27,,
0:01.0,,,21-27,,C. Parsons misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by M. Speights,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-29,2,D. Nowitzki makes 2-pt shot from 13 ft
11:14.0,I. Clark misses 2-pt shot from 12 ft,,21-29,,
11:13.0,,,21-29,,Defensive rebound by D. Harris
11:08.0,,,21-31,2,D. Harris makes 2-pt shot from 1 ft
11:02.0,Turnover by I. Clark (lost ball),,21-31,,
10:56.0,,,21-31,,D. Powell misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by B. Rush,,21-31,,
10:41.0,A. Iguodala misses 2-pt shot from 15 ft,,21-31,,
10:40.0,,,21-31,,Defensive rebound by D. Nowitzki
10:26.0,,,21-33,2,D. Powell makes 2-pt shot at rim (assist by D. Harris)
10:15.0,Turnover by M. Speights (bad pass),,21-33,,
10:04.0,,,21-35,2,R. Felton makes 2-pt shot from 9 ft
9:57.0,Golden State full timeout,,21-35,,
9:57.0,,,21-35,,J. Barea enters the game for D. Harris
9:57.0,K. Thompson enters the game for M. Speights,,21-35,,
9:41.0,K. Thompson misses 3-pt shot from 22 ft,,21-35,,
9:40.0,,,21-35,,Defensive rebound by C. Parsons
9:22.0,,,21-37,2,D. Nowitzki makes 2-pt shot from 1 ft
9:05.0,I. Clark makes 3-pt shot from 24 ft (assist by J. McAdoo),3,24-37,,
8:45.0,,,24-37,,J. Barea misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by A. Iguodala,,24-37,,
8:37.0,I. Clark misses 2-pt shot from 10 ft,,24-37,,
8:36.0,,,24-37,,Defensive rebound by C. Parsons
8:27.0,,,24-39,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
8:18.0,B. Rush misses 3-pt shot from 22 ft,,24-39,,
8:17.0,,,24-39,,Defensive rebound by C. Parsons
8:09.0,,,24-39,,Turnover by D. Nowitzki (lost ball; steal by J. McAdoo)
8:04.0,Shooting foul by C. Parsons (drawn by A. Iguodala),,24-39,,
8:04.0,A. Iguodala makes free throw 1 of 2,1,25-39,,
8:04.0,,,25-39,,Z. Pachulia enters the game for C. Parsons
8:04.0,,,25-39,,C. Villanueva enters the game for D. Nowitzki
8:04.0,,,25-39,,W. Matthews enters the game for D. Powell
8:04.0,,,25-39,,D. Harris enters the game for R. Felton
8:04.0,A. Bogut enters the game for I. Clark,,25-39,,
8:04.0,S. Livingston enters the game for J. McAdoo,,25-39,,
8:04.0,A. Iguodala makes free throw 2 of 2,1,26-39,,
7:43.0,,,26-41,2,W. Matthews makes 2-pt shot from 18 ft
7:22.0,A. Iguodala misses 2-pt shot from 19 ft,,26-41,,
7:20.0,,,26-41,,Defensive rebound by W. Matthews
7:11.0,,,26-41,,C. Villanueva misses 2-pt shot from 7 ft
7:10.0,,,26-41,,Offensive rebound by Z. Pachulia
7:10.0,,,26-43,2,Z. Pachulia makes 2-pt shot from 1 ft
6:57.0,A. Bogut makes 2-pt shot from 2 ft (assist by A. Iguodala),2,28-43,,
6:57.0,Shooting foul by C. Villanueva (drawn by A. Bogut),,28-43,,
6:57.0,D. Green enters the game for A. Iguodala,,28-43,,
6:57.0,A. Bogut makes free throw 1 of 1,1,29-43,,
6:42.0,,,29-43,,C. Villanueva misses 2-pt shot from 3 ft
6:41.0,Defensive rebound by D. Green,,29-43,,
6:35.0,B. Rush makes 3-pt shot from 24 ft (assist by D. Green),3,32-43,,
6:34.0,,,32-43,,Dallas full timeout
6:23.0,,,32-43,,Turnover by D. Harris (bad pass; steal by A. Bogut)
6:16.0,K. Thompson misses 3-pt shot from 24 ft,,32-43,,
6:13.0,Offensive rebound by D. Green,,32-43,,
6:08.0,S. Livingston misses 2-pt shot from 6 ft,,32-43,,
6:07.0,,,32-43,,Defensive rebound by Z. Pachulia
6:02.0,,,32-43,,C. Villanueva misses 2-pt shot at rim
6:01.0,,,32-43,,Offensive rebound by Z. Pachulia
6:01.0,,,32-43,,Shooting foul by S. Livingston (drawn by Z. Pachulia)
6:01.0,,,32-44,1,Z. Pachulia makes free throw 1 of 2
6:01.0,,,32-45,1,Z. Pachulia makes free throw 2 of 2
5:46.0,K. Thompson misses 2-pt shot from 13 ft,,32-45,,
5:45.0,,,32-45,,Defensive rebound by C. Villanueva
5:34.0,,,32-45,,W. Matthews misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by A. Bogut,,32-45,,
5:23.0,D. Green makes 2-pt shot from 16 ft (assist by S. Livingston),2,34-45,,
4:56.0,,,34-45,,W. Matthews misses 2-pt shot from 9 ft
4:55.0,Defensive rebound by B. Rush,,34-45,,
4:40.0,D. Green misses 2-pt shot from 12 ft,,34-45,,
4:39.0,,,34-45,,Defensive rebound by Z. Pachulia
4:26.0,,,34-48,3,J. Barea makes 3-pt shot from 24 ft
3:55.0,Turnover by K. Thompson (bad pass; steal by J. Barea),,34-48,,
3:47.0,,,34-48,,C. Villanueva misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by D. Green,,34-48,,
3:40.0,D. Green misses 2-pt shot from 1 ft,,34-48,,
3:39.0,,,34-48,,Defensive rebound by C. Villanueva
3:37.0,Clear path foul by S. Livingston,,34-48,,
3:37.0,,,34-49,1,D. Harris makes clear path free throw 1 of 2
3:37.0,,,34-50,1,D. Harris makes clear path free throw 2 of 2
3:37.0,,,34-50,,C. Parsons enters the game for W. Matthews
3:37.0,,,34-50,,D. Nowitzki enters the game for C. Villanueva
3:37.0,A. Iguodala enters the game for B. Rush,,34-50,,
3:24.0,,,34-50,,D. Harris misses 2-pt shot from 11 ft
3:24.0,,,34-50,,Offensive rebound by Z. Pachulia
3:24.0,Loose ball foul by K. Thompson (drawn by Z. Pachulia),,34-50,,
3:09.0,Shooting block foul by A. Bogut (drawn by Z. Pachulia),,34-50,,
3:09.0,,,34-51,1,Z. Pachulia makes free throw 1 of 2
3:09.0,,,34-52,1,Z. Pachulia makes free throw 2 of 2
2:53.0,S. Livingston makes 2-pt shot from 8 ft,2,36-52,,
2:33.0,,,36-52,,Z. Pachulia misses 2-pt shot from 2 ft
2:30.0,,,36-52,,Offensive rebound by Z. Pachulia
2:23.0,,,36-55,3,J. Barea makes 3-pt shot from 24 ft
2:22.0,,,36-55,,Personal foul by Z. Pachulia (drawn by A. Bogut)
2:22.0,Personal foul by A. Bogut,,36-55,,
2:22.0,Official timeout,,36-55,,
2:22.0,,,36-55,,D. Powell enters the game for Z. Pachulia
2:22.0,,,36-55,,W. Matthews enters the game for D. Harris
2:22.0,M. Speights enters the game for A. Bogut,,36-55,,
2:22.0,B. Rush enters the game for S. Livingston,,36-55,,
2:09.0,M. Speights makes 2-pt shot from 18 ft (assist by D. Green),2,38-55,,
1:52.0,,,38-55,,Turnover by J. Barea (bad pass; steal by D. Green)
1:40.0,B. Rush misses 3-pt shot from 24 ft,,38-55,,
1:38.0,,,38-55,,Defensive rebound by W. Matthews
1:31.0,,,38-55,,Turnover by J. Barea (bad pass; steal by B. Rush)
1:27.0,K. Thompson makes 2-pt shot at rim (assist by B. Rush),2,40-55,,
1:25.0,,,40-55,,Dallas full timeout
1:03.0,,,40-57,2,D. Nowitzki makes 2-pt shot at rim
0:49.0,Shooting foul by D. Powell (drawn by M. Speights),,40-57,,
0:49.0,M. Speights makes free throw 1 of 2,1,41-57,,
0:49.0,M. Speights makes free throw 2 of 2,1,42-57,,
0:35.0,,,42-60,3,W. Matthews makes 3-pt shot from 22 ft (assist by J. Barea)
0:10.0,M. Speights misses 2-pt shot from 20 ft,,42-60,,
0:09.0,,,42-60,,Defensive rebound by D. Nowitzki
0:07.0,,,42-60,,Turnover by D. Nowitzki (bad pass; steal by M. Speights)
0:03.0,B. Rush misses 3-pt shot from 24 ft,,42-60,,
0:03.0,,,42-60,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-62,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by C. Parsons)
11:24.0,D. Green misses 2-pt shot from 18 ft,,42-62,,
11:23.0,Offensive rebound by A. Bogut,,42-62,,
11:14.0,D. Green makes 3-pt shot from 25 ft (assist by B. Rush),3,45-62,,
11:04.0,Personal foul by D. Green (drawn by Z. Pachulia),,45-62,,
10:46.0,,,45-65,3,C. Parsons makes 3-pt shot from 24 ft
10:32.0,,,45-65,,Personal foul by C. Parsons (drawn by K. Thompson)
10:20.0,Turnover by B. Rush (step out of bounds),,45-65,,
10:05.0,,,45-65,,C. Parsons misses 2-pt shot from 7 ft
10:04.0,,,45-65,,Offensive rebound by Z. Pachulia
9:47.0,,,45-68,3,J. Barea makes 3-pt shot from 23 ft (assist by D. Nowitzki)
9:40.0,Shooting foul by C. Parsons (drawn by D. Green),,45-68,,
9:40.0,D. Green misses free throw 1 of 2,,45-68,,
9:40.0,Offensive rebound by Team,,45-68,,
9:40.0,D. Green makes free throw 2 of 2,1,46-68,,
9:29.0,,,46-70,2,C. Parsons makes 2-pt shot from 1 ft (assist by J. Barea)
9:17.0,S. Livingston misses 2-pt shot from 13 ft,,46-70,,
9:16.0,,,46-70,,Defensive rebound by W. Matthews
9:04.0,,,46-70,,D. Nowitzki misses 2-pt shot from 16 ft
9:03.0,Defensive rebound by A. Bogut,,46-70,,
8:59.0,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston),2,48-70,,
8:59.0,Shooting foul by D. Nowitzki (drawn by D. Green),,48-70,,
8:59.0,D. Green makes free throw 1 of 1,1,49-70,,
8:40.0,,,49-70,,D. Nowitzki misses 2-pt shot from 6 ft
8:40.0,,,49-70,,Offensive rebound by Z. Pachulia
8:31.0,,,49-72,2,W. Matthews makes 2-pt shot from 1 ft (assist by J. Barea)
8:18.0,D. Green misses 3-pt shot from 24 ft,,49-72,,
8:17.0,,,49-72,,Defensive rebound by J. Barea
8:15.0,Personal take foul by A. Bogut,,49-72,,
8:06.0,,,49-72,,D. Nowitzki misses 2-pt shot from 12 ft
8:05.0,,,49-72,,Offensive rebound by Team
7:50.0,,,49-72,,Z. Pachulia misses 2-pt shot from 15 ft
7:49.0,Defensive rebound by K. Thompson,,49-72,,
7:38.0,K. Thompson misses 2-pt shot from 16 ft,,49-72,,
7:37.0,,,49-72,,Defensive rebound by C. Parsons
7:23.0,,,49-72,,D. Nowitzki misses 2-pt shot from 12 ft
7:22.0,Defensive rebound by D. Green,,49-72,,
7:16.0,B. Rush misses 2-pt shot from 3 ft,,49-72,,
7:14.0,,,49-72,,Defensive rebound by Z. Pachulia
7:07.0,,,49-72,,C. Parsons misses 3-pt shot from 22 ft
7:05.0,Defensive rebound by B. Rush,,49-72,,
6:55.0,K. Thompson misses 2-pt shot from 21 ft,,49-72,,
6:55.0,,,49-72,,Defensive rebound by Z. Pachulia
6:48.0,,,49-75,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
6:47.0,Golden State full timeout,,49-75,,
6:47.0,,,49-75,,D. Harris enters the game for C. Parsons
6:47.0,,,49-75,,D. Powell enters the game for D. Nowitzki
6:47.0,,,49-75,,R. Felton enters the game for J. Barea
6:47.0,A. Iguodala enters the game for S. Livingston,,49-75,,
6:37.0,A. Bogut makes 2-pt shot from 10 ft (assist by A. Iguodala),2,51-75,,
6:15.0,,,51-77,2,D. Powell makes 2-pt shot from 17 ft (assist by R. Felton)
6:06.0,Turnover by A. Bogut (bad pass),,51-77,,
5:50.0,,,51-80,3,D. Harris makes 3-pt shot from 24 ft (assist by Z. Pachulia)
5:33.0,A. Iguodala makes 2-pt shot at rim (assist by A. Bogut),2,53-80,,
5:05.0,,,53-83,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
4:44.0,A. Iguodala makes 3-pt shot from 22 ft (assist by B. Rush),3,56-83,,
4:23.0,,,56-83,,Turnover by Z. Pachulia (bad pass; steal by A. Iguodala)
4:18.0,A. Iguodala makes 2-pt shot from 1 ft,2,58-83,,
4:18.0,Shooting foul by D. Harris (drawn by A. Iguodala),,58-83,,
4:18.0,I. Clark enters the game for B. Rush,,58-83,,
4:18.0,A. Iguodala makes free throw 1 of 1,1,59-83,,
4:18.0,,,59-83,,Dallas full timeout
4:00.0,,,59-83,,R. Felton misses 3-pt shot from 23 ft
3:59.0,Defensive rebound by A. Bogut,,59-83,,
3:40.0,K. Thompson makes 2-pt shot from 12 ft,2,61-83,,
3:22.0,Personal foul by D. Green (drawn by D. Powell),,61-83,,
3:16.0,,,61-83,,Turnover by R. Felton (bad pass)
3:04.0,Turnover by K. Thompson (lost ball; steal by W. Matthews),,61-83,,
2:59.0,,,61-85,2,D. Powell makes 2-pt shot at rim (assist by R. Felton)
2:46.0,D. Green misses 2-pt shot from 5 ft,,61-85,,
2:45.0,,,61-85,,Defensive rebound by Z. Pachulia
2:41.0,,,61-85,,Turnover by R. Felton (lost ball; steal by I. Clark)
2:40.0,,,61-85,,Personal foul by Z. Pachulia (drawn by I. Clark)
2:40.0,I. Clark makes free throw 1 of 2,1,62-85,,
2:40.0,,,62-85,,C. Parsons enters the game for W. Matthews
2:40.0,,,62-85,,D. Nowitzki enters the game for Z. Pachulia
2:40.0,M. Speights enters the game for A. Bogut,,62-85,,
2:40.0,I. Clark makes free throw 2 of 2,1,63-85,,
2:20.0,,,63-85,,R. Felton misses 2-pt shot from 3 ft
2:18.0,Defensive rebound by D. Green,,63-85,,
2:12.0,I. Clark makes 2-pt shot from 1 ft,2,65-85,,
1:50.0,,,65-85,,D. Powell misses 2-pt shot from 1 ft
1:49.0,Defensive rebound by D. Green,,65-85,,
1:44.0,M. Speights misses 2-pt shot at rim,,65-85,,
1:42.0,,,65-85,,Defensive rebound by D. Powell
1:42.0,,,65-85,,Turnover by D. Powell (bad pass)
1:33.0,Shooting foul by D. Harris (drawn by K. Thompson),,65-85,,
1:33.0,K. Thompson misses free throw 1 of 2,,65-85,,
1:33.0,Offensive rebound by Team,,65-85,,
1:33.0,K. Thompson makes free throw 2 of 2,1,66-85,,
1:10.0,,,66-85,,Turnover by C. Parsons (lost ball; steal by A. Iguodala)
1:03.0,K. Thompson misses 2-pt shot from 15 ft,,66-85,,
1:02.0,,,66-85,,Defensive rebound by D. Powell
0:55.0,,,66-87,2,D. Harris makes 2-pt shot from 1 ft
0:37.0,D. Green makes 2-pt shot from 4 ft,2,68-87,,
0:37.0,Shooting foul by D. Harris (drawn by D. Green),,68-87,,
0:37.0,D. Green misses free throw 1 of 1,,68-87,,
0:37.0,,,68-87,,Defensive rebound by D. Powell
0:11.0,,,68-87,,D. Nowitzki misses 2-pt shot from 12 ft
0:10.0,Defensive rebound by D. Green,,68-87,,
0:02.0,D. Green misses 2-pt shot from 1 ft,,68-87,,
0:01.0,Offensive rebound by D. Green,,68-87,,
0:01.0,D. Green misses 2-pt shot from 1 ft,,68-87,,
0:01.0,,,68-87,,Defensive rebound by D. Nowitzki
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,A. Iguodala misses 2-pt shot from 1 ft,,68-87,,
11:40.0,Offensive rebound by M. Speights,,68-87,,
11:40.0,M. Speights makes 2-pt shot at rim,2,70-87,,
11:26.0,,,70-87,,D. Powell misses 2-pt shot from 19 ft
11:24.0,Defensive rebound by B. Rush,,70-87,,
11:11.0,M. Speights misses 2-pt shot from 18 ft,,70-87,,
11:10.0,,,70-87,,Defensive rebound by D. Nowitzki
11:01.0,Shooting block foul by B. Rush (drawn by D. Nowitzki),,70-87,,
11:01.0,,,70-88,1,D. Nowitzki makes free throw 1 of 2
11:01.0,,,70-89,1,D. Nowitzki makes free throw 2 of 2
10:49.0,M. Speights misses 2-pt shot from 5 ft (block by D. Nowitzki),,70-89,,
10:47.0,Offensive rebound by M. Speights,,70-89,,
10:47.0,M. Speights makes 2-pt shot from 1 ft,2,72-89,,
10:21.0,,,72-89,,J. Barea misses 3-pt shot from 25 ft
10:20.0,,,72-89,,Offensive rebound by D. Powell
10:08.0,J. Thompson enters the game for M. Speights,,72-89,,
10:04.0,,,72-92,3,R. Felton makes 3-pt shot from 23 ft (assist by C. Parsons)
9:49.0,Offensive foul by J. McAdoo,,72-92,,
9:49.0,Turnover by J. McAdoo (offensive foul),,72-92,,
9:40.0,,,72-95,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki)
9:22.0,Shooting foul by D. Powell (drawn by J. Thompson),,72-95,,
9:22.0,J. Thompson misses free throw 1 of 2,,72-95,,
9:22.0,Offensive rebound by Team,,72-95,,
9:22.0,J. Thompson makes free throw 2 of 2,1,73-95,,
9:08.0,,,73-98,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons)
8:42.0,Official timeout,,73-98,,
8:42.0,M. Speights enters the game for A. Iguodala,,73-98,,
8:39.0,I. Clark makes 3-pt shot from 24 ft (assist by J. McAdoo),3,76-98,,
8:12.0,,,76-100,2,J. Barea makes 2-pt shot from 22 ft
7:57.0,,,76-100,,Personal foul by D. Nowitzki (drawn by M. Speights)
7:57.0,,,76-100,,C. Villanueva enters the game for D. Nowitzki
7:54.0,,,76-100,,Violation by D. Powell (kicked ball)
7:46.0,Turnover by M. Speights (lost ball),,76-100,,
7:24.0,,,76-100,,Turnover by J. Barea (bad pass)
7:02.0,I. Clark makes 2-pt shot from 11 ft,2,78-100,,
6:42.0,,,78-102,2,D. Powell makes 2-pt shot at rim (assist by C. Parsons)
6:33.0,,,78-102,,Shooting block foul by D. Powell (drawn by J. Thompson)
6:33.0,J. Thompson makes free throw 1 of 2,1,79-102,,
6:33.0,J. Thompson makes free throw 2 of 2,1,80-102,,
6:18.0,,,80-102,,C. Villanueva misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by B. Rush,,80-102,,
6:09.0,J. Thompson misses 2-pt shot from 9 ft (block by C. Villanueva),,80-102,,
6:07.0,,,80-102,,Defensive rebound by J. Barea
6:00.0,,,80-102,,R. Felton misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by M. Speights,,80-102,,
5:49.0,M. Speights misses 2-pt shot from 18 ft,,80-102,,
5:48.0,,,80-102,,Defensive rebound by C. Parsons
5:24.0,,,80-105,3,C. Villanueva makes 3-pt shot from 25 ft (assist by D. Powell)
5:23.0,Golden State full timeout,,80-105,,
5:23.0,,,80-105,,J. Jenkins enters the game for J. Barea
5:23.0,,,80-105,,J. Evans enters the game for D. Powell
5:11.0,Shooting foul by J. Jenkins (drawn by J. McAdoo),,80-105,,
5:11.0,J. McAdoo makes free throw 1 of 2,1,81-105,,
5:11.0,,,81-105,,J. Anderson enters the game for C. Parsons
5:11.0,J. McAdoo misses free throw 2 of 2,,81-105,,
5:10.0,,,81-105,,Defensive rebound by C. Villanueva
4:47.0,,,81-107,2,C. Villanueva makes 2-pt shot from 10 ft
4:36.0,B. Rush misses 3-pt shot from 27 ft,,81-107,,
4:34.0,,,81-107,,Defensive rebound by R. Felton
4:24.0,,,81-107,,Offensive foul by J. Anderson
4:24.0,,,81-107,,Turnover by J. Anderson (offensive foul)
4:07.0,I. Clark misses 2-pt shot from 19 ft,,81-107,,
4:06.0,,,81-107,,Defensive rebound by R. Felton
3:51.0,,,81-107,,Shooting foul by J. Thompson (drawn by J. Evans)
3:51.0,,,81-107,,J. Evans misses free throw 1 of 2
3:51.0,,,81-107,,Offensive rebound by Team
3:51.0,,,81-107,,J. McGee enters the game for R. Felton
3:51.0,,,81-108,1,J. Evans makes free throw 2 of 2
3:35.0,M. Speights misses 2-pt shot from 3 ft,,81-108,,
3:34.0,,,81-108,,Defensive rebound by J. Jenkins
3:28.0,Personal foul by I. Clark (drawn by J. Jenkins),,81-108,,
3:18.0,,,81-108,,J. Jenkins misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by M. Speights,,81-108,,
3:11.0,B. Rush misses 3-pt shot from 24 ft,,81-108,,
3:10.0,Offensive rebound by Team,,81-108,,
3:04.0,I. Clark makes 2-pt shot from 11 ft,2,83-108,,
2:52.0,,,83-108,,J. Jenkins misses 3-pt shot from 26 ft
2:51.0,,,83-108,,Offensive rebound by J. McGee
2:50.0,,,83-108,,Shooting foul by J. McAdoo (drawn by J. McGee)
2:50.0,,,83-108,,Dallas full timeout
2:50.0,,,83-109,1,J. McGee makes free throw 1 of 2
2:50.0,,,83-109,,J. McGee misses free throw 2 of 2
2:49.0,Defensive rebound by J. Thompson,,83-109,,
2:35.0,J. Thompson misses 2-pt shot from 2 ft (block by C. Villanueva),,83-109,,
2:33.0,,,83-109,,Defensive rebound by C. Villanueva
2:29.0,,,83-109,,J. Anderson misses 2-pt shot from 2 ft
2:28.0,,,83-109,,Offensive rebound by J. McGee
2:28.0,,,83-109,,J. McGee misses 2-pt shot at rim
2:27.0,Defensive rebound by J. Thompson,,83-109,,
2:22.0,M. Speights misses 2-pt shot from 1 ft (block by J. Anderson),,83-109,,
2:20.0,,,83-109,,Defensive rebound by J. Evans
2:18.0,Personal foul by J. Thompson (drawn by J. Anderson),,83-109,,
2:18.0,,,83-109,,J. Anderson misses free throw 1 of 2
2:18.0,,,83-109,,Offensive rebound by Team
2:18.0,,,83-110,1,J. Anderson makes free throw 2 of 2
2:00.0,I. Clark makes 2-pt shot from 17 ft (assist by J. Thompson),2,85-110,,
1:44.0,,,85-110,,J. Evans misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by J. Thompson,,85-110,,
1:38.0,Turnover by I. Clark (lost ball; steal by C. Villanueva),,85-110,,
1:33.0,Shooting block foul by M. Speights (drawn by J. Evans),,85-110,,
