time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (K. Garnett gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (K. Garnett gains possession)
11:46.0,,,0-0,,A. Wiggins misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by M. Leonard,,0-0,,
11:32.0,Shooting foul by K. Towns (drawn by A. Aminu),,0-0,,
11:32.0,A. Aminu misses free throw 1 of 2,,0-0,,
11:32.0,Offensive rebound by Team,,0-0,,
11:32.0,A. Aminu makes free throw 2 of 2,1,1-0,,
11:17.0,,,1-2,2,K. Towns makes 2-pt shot from 13 ft (assist by A. Wiggins)
10:52.0,A. Aminu misses 3-pt shot from 27 ft,,1-2,,
10:51.0,,,1-2,,Defensive rebound by R. Rubio
10:43.0,,,1-4,2,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio)
10:24.0,M. Plumlee misses 2-pt shot from 2 ft (block by K. Towns),,1-4,,
10:23.0,,,1-4,,Defensive rebound by R. Rubio
10:16.0,Personal foul by C. McCollum (drawn by A. Wiggins),,1-4,,
10:10.0,,,1-6,2,R. Rubio makes 2-pt shot from 17 ft
9:47.0,Turnover by C. McCollum (lost ball; steal by A. Wiggins),,1-6,,
9:43.0,,,1-8,2,A. Wiggins makes 2-pt shot at rim (assist by K. Garnett)
9:42.0,Portland full timeout,,1-8,,
9:29.0,M. Leonard misses 2-pt shot from 10 ft,,1-8,,
9:29.0,Offensive rebound by Team,,1-8,,
9:29.0,,,1-8,,Loose ball foul by A. Wiggins (drawn by M. Plumlee)
9:24.0,D. Lillard makes 2-pt shot from 2 ft,2,3-8,,
9:08.0,,,3-8,,K. Garnett misses 2-pt shot from 21 ft
9:06.0,Defensive rebound by M. Plumlee,,3-8,,
8:58.0,Turnover by M. Plumlee (bad pass; steal by T. Prince),,3-8,,
8:49.0,,,3-8,,K. Garnett misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by C. McCollum,,3-8,,
8:34.0,Turnover by M. Plumlee (traveling),,3-8,,
8:25.0,,,3-8,,Turnover by K. Towns (bad pass)
8:13.0,,,3-8,,Violation by K. Garnett (kicked ball)
8:07.0,D. Lillard misses 3-pt shot from 25 ft,,3-8,,
8:05.0,,,3-8,,Defensive rebound by K. Garnett
7:56.0,,,3-8,,K. Towns misses 2-pt shot from 9 ft
7:55.0,Defensive rebound by M. Plumlee,,3-8,,
7:47.0,Shooting foul by A. Wiggins (drawn by C. McCollum),,3-8,,
7:47.0,C. McCollum makes free throw 1 of 2,1,4-8,,
7:47.0,,,4-8,,K. Martin enters the game for A. Wiggins
7:47.0,,,4-8,,N. Bjelica enters the game for K. Garnett
7:47.0,C. McCollum makes free throw 2 of 2,1,5-8,,
7:30.0,,,5-8,,Shooting foul by A. Aminu (drawn by T. Prince)
7:30.0,,,5-9,1,T. Prince makes free throw 1 of 2
7:30.0,,,5-10,1,T. Prince makes free throw 2 of 2
7:20.0,C. McCollum misses 3-pt shot from 23 ft,,5-10,,
7:18.0,Offensive rebound by A. Aminu,,5-10,,
7:06.0,M. Plumlee makes 2-pt shot from 5 ft,2,7-10,,
6:55.0,Personal foul by C. McCollum (drawn by R. Rubio),,7-10,,
6:55.0,M. Harkless enters the game for C. McCollum,,7-10,,
6:43.0,,,7-10,,T. Prince misses 2-pt shot from 14 ft
6:42.0,,,7-10,,Offensive rebound by Team
6:42.0,Loose ball foul by M. Plumlee (drawn by K. Towns),,7-10,,
6:39.0,,,7-10,,Shooting foul by M. Harkless (drawn by K. Martin)
6:39.0,,,7-11,1,K. Martin makes free throw 1 of 2
6:39.0,,,7-12,1,K. Martin makes free throw 2 of 2
6:17.0,M. Leonard makes 2-pt shot from 10 ft (assist by D. Lillard),2,9-12,,
5:53.0,,,9-14,2,R. Rubio makes 2-pt shot from 18 ft
5:42.0,M. Harkless misses 3-pt shot from 22 ft,,9-14,,
5:41.0,Offensive rebound by M. Leonard,,9-14,,
5:31.0,D. Lillard makes 2-pt shot from 20 ft,2,11-14,,
5:16.0,,,11-14,,Shooting foul by M. Harkless (drawn by K. Martin)
5:16.0,,,11-14,,K. Martin misses free throw 1 of 3
5:16.0,,,11-14,,Offensive rebound by Team
5:16.0,,,11-15,1,K. Martin makes free throw 2 of 3
5:16.0,,,11-15,,G. Dieng enters the game for K. Towns
5:16.0,A. Crabbe enters the game for A. Aminu,,11-15,,
5:16.0,,,11-16,1,K. Martin makes free throw 3 of 3
5:08.0,,,11-16,,Personal foul by N. Bjelica (drawn by M. Leonard)
5:05.0,Turnover by M. Plumlee (bad pass; steal by N. Bjelica),,11-16,,
4:56.0,,,11-18,2,R. Rubio makes 2-pt shot from 20 ft
4:46.0,,,11-18,,Personal foul by N. Bjelica (drawn by M. Leonard)
4:46.0,M. Leonard makes free throw 1 of 2,1,12-18,,
4:46.0,E. Davis enters the game for M. Plumlee,,12-18,,
4:46.0,M. Leonard makes free throw 2 of 2,1,13-18,,
4:41.0,,,13-18,,Minnesota full timeout
4:32.0,,,13-20,2,K. Martin makes 2-pt shot from 8 ft (assist by R. Rubio)
4:05.0,M. Leonard misses 2-pt shot from 9 ft,,13-20,,
4:04.0,,,13-20,,Defensive rebound by R. Rubio
3:56.0,,,13-22,2,G. Dieng makes 2-pt shot from 5 ft (assist by N. Bjelica)
3:39.0,Turnover by D. Lillard (bad pass; steal by T. Prince),,13-22,,
3:29.0,,,13-22,,G. Dieng misses 2-pt shot from 19 ft
3:27.0,Defensive rebound by M. Leonard,,13-22,,
3:19.0,D. Lillard makes 2-pt shot from 2 ft,2,15-22,,
2:59.0,,,15-25,3,K. Martin makes 3-pt shot from 25 ft (assist by R. Rubio)
2:45.0,A. Crabbe misses 2-pt shot from 17 ft,,15-25,,
2:43.0,,,15-25,,Defensive rebound by R. Rubio
2:40.0,,,15-27,2,K. Martin makes 2-pt shot at rim (assist by R. Rubio)
2:23.0,M. Leonard misses 3-pt shot from 25 ft,,15-27,,
2:22.0,,,15-27,,Defensive rebound by N. Bjelica
2:21.0,Personal foul by E. Davis (drawn by N. Bjelica),,15-27,,
2:21.0,,,15-27,,N. Bjelica misses free throw 1 of 2
2:21.0,,,15-27,,Offensive rebound by Team
2:21.0,N. Vonleh enters the game for M. Leonard,,15-27,,
2:21.0,,,15-27,,Z. LaVine enters the game for R. Rubio
2:21.0,,,15-27,,S. Muhammad enters the game for T. Prince
2:21.0,,,15-28,1,N. Bjelica makes free throw 2 of 2
2:06.0,A. Crabbe misses 2-pt shot from 8 ft,,15-28,,
2:05.0,,,15-28,,Defensive rebound by G. Dieng
1:51.0,,,15-30,2,G. Dieng makes 2-pt shot from 1 ft (assist by N. Bjelica)
1:51.0,,,15-30,,Shooting foul by E. Davis (drawn by G. Dieng)
1:51.0,,,15-30,,G. Dieng misses free throw 1 of 1
1:50.0,Defensive rebound by E. Davis,,15-30,,
1:41.0,D. Lillard makes 2-pt shot from 1 ft,2,17-30,,
1:16.0,,,17-32,2,Z. LaVine makes 2-pt shot from 19 ft
1:05.0,D. Lillard misses 2-pt shot from 2 ft,,17-32,,
1:04.0,,,17-32,,Defensive rebound by N. Bjelica
1:01.0,,,17-32,,Turnover by N. Bjelica (discontinued dribble)
0:47.0,D. Lillard misses 3-pt shot from 24 ft,,17-32,,
0:46.0,,,17-32,,Defensive rebound by S. Muhammad
0:45.0,Personal foul by D. Lillard (drawn by S. Muhammad),,17-32,,
0:45.0,,,17-33,1,S. Muhammad makes free throw 1 of 2
0:45.0,,,17-34,1,S. Muhammad makes free throw 2 of 2
0:30.0,A. Crabbe makes 2-pt shot from 13 ft (assist by D. Lillard),2,19-34,,
0:21.0,,,19-34,,Turnover by Z. LaVine (lost ball; steal by D. Lillard)
0:18.0,D. Lillard makes 2-pt shot from 1 ft,2,21-34,,
0:01.0,,,21-34,,Turnover by Z. LaVine (bad pass; steal by E. Davis)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. McCollum makes 2-pt shot from 16 ft,2,23-34,,
11:20.0,,,23-34,,Z. LaVine misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by E. Davis,,23-34,,
11:10.0,Turnover by C. McCollum (lost ball),,23-34,,
10:49.0,,,23-34,,K. Martin misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by C. McCollum,,23-34,,
