time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Vucevic (P. Millsap gains possession),,,,Jump ball: A. Horford vs. N. Vucevic (P. Millsap gains possession)
11:45.0,K. Korver makes 2-pt shot from 19 ft (assist by A. Horford),2,2-0,,
11:27.0,,,2-2,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
11:16.0,J. Teague makes 2-pt shot from 6 ft,2,4-2,,
10:55.0,,,4-5,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
10:30.0,K. Bazemore misses 2-pt shot from 1 ft,,4-5,,
10:29.0,Offensive rebound by K. Bazemore,,4-5,,
10:29.0,K. Bazemore misses 2-pt shot from 1 ft,,4-5,,
10:27.0,Offensive rebound by K. Bazemore,,4-5,,
10:26.0,K. Bazemore misses 2-pt shot from 1 ft,,4-5,,
10:25.0,,,4-5,,Defensive rebound by N. Vucevic
10:08.0,,,4-5,,N. Vucevic misses 2-pt shot from 15 ft
10:07.0,,,4-5,,Offensive rebound by A. Gordon
10:07.0,,,4-5,,A. Gordon misses 2-pt shot from 1 ft
10:04.0,,,4-5,,Offensive rebound by N. Vucevic
10:04.0,,,4-7,2,N. Vucevic makes 2-pt shot from 1 ft
9:56.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,6-7,,
9:42.0,,,6-7,,V. Oladipo misses 3-pt shot from 22 ft
9:41.0,Defensive rebound by P. Millsap,,6-7,,
9:33.0,A. Horford misses 3-pt shot from 27 ft,,6-7,,
9:32.0,,,6-7,,Defensive rebound by E. Fournier
9:22.0,,,6-7,,A. Gordon misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by P. Millsap,,6-7,,
8:59.0,Turnover by K. Korver (bad pass; steal by E. Payton),,6-7,,
8:54.0,,,6-9,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
8:39.0,K. Korver misses 2-pt shot at rim,,6-9,,
8:37.0,,,6-9,,Defensive rebound by A. Gordon
8:32.0,,,6-11,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
8:32.0,Atlanta full timeout,,6-11,,
8:22.0,Offensive foul by K. Korver,,6-11,,
8:22.0,Turnover by K. Korver (offensive foul),,6-11,,
8:06.0,,,6-11,,N. Vucevic misses 2-pt shot from 18 ft
8:04.0,,,6-11,,Offensive rebound by Team
7:54.0,,,6-11,,Turnover by V. Oladipo (bad pass; steal by K. Bazemore)
7:53.0,Turnover by K. Bazemore (bad pass),,6-11,,
7:53.0,Loose ball foul by K. Bazemore (drawn by E. Fournier),,6-11,,
7:46.0,,,6-11,,Shooting foul by P. Millsap (drawn by A. Gordon)
7:46.0,,,6-12,1,A. Gordon makes free throw 1 of 2
7:46.0,,,6-13,1,A. Gordon makes free throw 2 of 2
7:38.0,P. Millsap misses 2-pt shot at rim (block by A. Gordon),,6-13,,
7:35.0,,,6-13,,Defensive rebound by V. Oladipo
7:28.0,,,6-13,,Turnover by V. Oladipo (bad pass; steal by K. Korver)
7:23.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,8-13,,
7:16.0,Violation by A. Horford (def goaltending),,8-13,,
7:16.0,,,8-15,2,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon)
7:07.0,Turnover by J. Teague (bad pass; steal by E. Fournier),,8-15,,
7:03.0,,,8-17,2,E. Fournier makes 2-pt shot at rim
