time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Plumlee (M. Leonard gains possession),,,,Jump ball: T. Chandler vs. M. Plumlee (M. Leonard gains possession)
11:47.0,,,0-0,,C. McCollum misses 3-pt shot from 23 ft
11:46.0,Defensive rebound by E. Bledsoe,,0-0,,
11:25.0,T. Chandler makes 2-pt shot at rim (assist by M. Morris),2,2-0,,
10:56.0,,,2-2,2,A. Aminu makes 2-pt shot from 17 ft (assist by M. Plumlee)
10:41.0,M. Morris misses 2-pt shot from 5 ft,,2-2,,
10:41.0,,,2-2,,Defensive rebound by A. Aminu
10:34.0,,,2-4,2,D. Lillard makes 2-pt shot at rim (assist by A. Aminu)
10:23.0,B. Knight makes 3-pt shot from 24 ft (assist by T. Chandler),3,5-4,,
10:02.0,,,5-4,,A. Aminu misses 2-pt shot from 20 ft
10:02.0,Defensive rebound by T. Chandler,,5-4,,
9:51.0,Turnover by T. Chandler (lost ball; steal by M. Leonard),,5-4,,
9:47.0,,,5-4,,Shooting foul by M. Morris (drawn by A. Aminu)
9:47.0,,,5-5,1,A. Aminu makes free throw 1 of 2
9:47.0,,,5-6,1,A. Aminu makes free throw 2 of 2
9:31.0,M. Morris misses 2-pt shot from 2 ft (block by M. Leonard),,5-6,,
9:30.0,,,5-6,,Defensive rebound by C. McCollum
9:25.0,,,5-8,2,C. McCollum makes 2-pt shot from 15 ft
9:10.0,Turnover by M. Morris (traveling),,5-8,,
9:10.0,Violation by Team (jump ball),,5-8,,
8:56.0,,,5-8,,A. Aminu misses 2-pt shot from 20 ft
8:55.0,Defensive rebound by B. Knight,,5-8,,
8:47.0,Shooting foul by A. Aminu (drawn by E. Bledsoe),,5-8,,
8:47.0,E. Bledsoe makes free throw 1 of 2,1,6-8,,
8:47.0,E. Bledsoe makes free throw 2 of 2,1,7-8,,
8:28.0,,,7-11,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
8:02.0,M. Morris misses 2-pt shot from 20 ft,,7-11,,
8:01.0,,,7-11,,Defensive rebound by M. Plumlee
7:49.0,,,7-11,,M. Leonard misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by P. Tucker,,7-11,,
7:39.0,B. Knight makes 2-pt shot from 5 ft,2,9-11,,
7:31.0,,,9-11,,Turnover by D. Lillard (bad pass; steal by B. Knight)
7:29.0,Shooting foul by D. Lillard (drawn by B. Knight),,9-11,,
7:29.0,B. Knight misses free throw 1 of 2,,9-11,,
7:29.0,Offensive rebound by Team,,9-11,,
7:29.0,B. Knight makes free throw 2 of 2,1,10-11,,
7:12.0,,,10-13,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
6:56.0,M. Morris makes 3-pt shot from 24 ft (assist by B. Knight),3,13-13,,
6:30.0,,,13-13,,C. McCollum misses 3-pt shot from 24 ft
6:30.0,,,13-13,,Offensive rebound by C. McCollum
6:26.0,,,13-16,3,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum)
6:15.0,E. Bledsoe makes 2-pt shot from 19 ft,2,15-16,,
5:57.0,,,15-18,2,D. Lillard makes 2-pt shot from 9 ft
5:55.0,,,15-18,,Technical foul by M. Plumlee
5:55.0,Technical foul by T. Chandler,,15-18,,
5:55.0,,,15-18,,Portland full timeout
5:39.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,18-18,,
5:12.0,,,18-18,,A. Aminu misses 2-pt shot from 2 ft (block by T. Chandler)
5:11.0,Defensive rebound by M. Morris,,18-18,,
5:05.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,20-18,,
4:44.0,,,20-18,,A. Aminu misses 2-pt shot from 1 ft
4:44.0,Defensive rebound by M. Morris,,20-18,,
4:37.0,B. Knight misses 3-pt shot from 22 ft,,20-18,,
4:37.0,Offensive rebound by P. Tucker,,20-18,,
4:34.0,E. Bledsoe misses 3-pt shot from 25 ft,,20-18,,
4:33.0,,,20-18,,Defensive rebound by D. Lillard
4:28.0,,,20-18,,Turnover by D. Lillard (bad pass; steal by T. Chandler)
4:13.0,P. Tucker makes 2-pt shot from 2 ft,2,22-18,,
3:59.0,,,22-21,3,D. Lillard makes 3-pt shot from 24 ft
3:39.0,B. Knight misses 2-pt shot from 3 ft,,22-21,,
3:38.0,Offensive rebound by M. Morris,,22-21,,
3:34.0,E. Bledsoe misses 3-pt shot from 24 ft,,22-21,,
3:32.0,,,22-21,,Defensive rebound by M. Plumlee
3:21.0,,,22-21,,A. Aminu misses 2-pt shot from 13 ft
3:21.0,Defensive rebound by M. Morris,,22-21,,
3:16.0,Phoenix full timeout,,22-21,,
3:16.0,,,22-21,,A. Crabbe enters the game for A. Aminu
3:16.0,,,22-21,,M. Harkless enters the game for M. Plumlee
3:16.0,,,22-21,,E. Davis enters the game for C. McCollum
3:16.0,T. Warren enters the game for P. Tucker,,22-21,,
3:16.0,S. Weems enters the game for T. Chandler,,22-21,,
3:16.0,A. Len enters the game for E. Bledsoe,,22-21,,
3:07.0,,,22-21,,Personal foul by M. Leonard (drawn by B. Knight)
2:53.0,M. Morris misses 2-pt shot from 12 ft,,22-21,,
2:52.0,,,22-21,,Defensive rebound by E. Davis
2:45.0,,,22-21,,Turnover by E. Davis (lost ball; steal by S. Weems)
2:39.0,T. Warren misses 2-pt shot from 1 ft,,22-21,,
2:37.0,,,22-21,,Offensive rebound by E. Davis
2:37.0,M. Morris makes 2-pt shot at rim,2,24-21,,
2:37.0,,,24-21,,D. Lillard misses 2-pt shot at rim (block by B. Knight)
2:37.0,Offensive rebound by M. Morris,,24-21,,
2:13.0,,,24-21,,M. Leonard misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by Team,,24-21,,
2:13.0,,,24-21,,Loose ball foul by E. Davis (drawn by S. Weems)
2:13.0,J. Leuer enters the game for M. Morris,,24-21,,
1:58.0,Turnover by B. Knight (bad pass; steal by M. Harkless),,24-21,,
1:53.0,,,24-23,2,A. Crabbe makes 2-pt shot at rim (assist by D. Lillard)
1:39.0,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight),3,27-23,,
1:18.0,,,27-23,,Turnover by A. Crabbe (traveling)
0:59.0,A. Len misses 2-pt shot from 2 ft,,27-23,,
0:58.0,,,27-23,,Defensive rebound by D. Lillard
0:45.0,,,27-23,,Turnover by M. Harkless (traveling)
0:35.0,B. Knight misses 3-pt shot from 26 ft,,27-23,,
0:34.0,,,27-23,,Defensive rebound by M. Harkless
0:24.0,,,27-23,,D. Lillard misses 2-pt shot from 19 ft
0:23.0,Defensive rebound by J. Leuer,,27-23,,
0:01.0,S. Weems misses 3-pt shot from 24 ft,,27-23,,
0:00.0,,,27-23,,Defensive rebound by E. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Warren misses 2-pt shot from 10 ft,,27-23,,
11:45.0,,,27-23,,Defensive rebound by N. Vonleh
11:21.0,,,27-23,,M. Harkless misses 2-pt shot from 7 ft
11:21.0,Defensive rebound by A. Len,,27-23,,
11:08.0,A. Len misses 2-pt shot from 2 ft,,27-23,,
11:07.0,,,27-23,,Defensive rebound by E. Davis
10:55.0,,,27-23,,C. McCollum misses 3-pt shot from 23 ft
10:54.0,,,27-23,,Offensive rebound by N. Vonleh
10:53.0,,,27-23,,Shooting foul by A. Len (drawn by C. McCollum)
10:53.0,,,27-24,1,C. McCollum makes free throw 1 of 2
10:53.0,,,27-25,1,C. McCollum makes free throw 2 of 2
10:27.0,T. Warren misses 3-pt shot from 23 ft,,27-25,,
10:25.0,,,27-25,,Defensive rebound by Team
10:12.0,,,27-27,2,A. Crabbe makes 2-pt shot from 20 ft (assist by C. McCollum)
9:58.0,T. Warren misses 2-pt shot from 18 ft,,27-27,,
9:58.0,,,27-27,,Defensive rebound by N. Vonleh
9:48.0,,,27-29,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
9:33.0,J. Leuer makes 3-pt shot from 24 ft (assist by S. Weems),3,30-29,,
9:18.0,,,30-29,,E. Davis misses 2-pt shot at rim
9:18.0,Defensive rebound by J. Leuer,,30-29,,
9:04.0,A. Len misses 2-pt shot at rim (block by E. Davis),,30-29,,
9:04.0,,,30-29,,Defensive rebound by E. Davis
9:04.0,Personal foul by T. Warren (drawn by E. Davis),,30-29,,
9:04.0,E. Bledsoe enters the game for S. Weems,,30-29,,
8:45.0,,,30-32,3,A. Crabbe makes 3-pt shot from 22 ft (assist by N. Vonleh)
8:31.0,Turnover by J. Leuer (bad pass; steal by C. McCollum),,30-32,,
8:25.0,,,30-32,,A. Crabbe misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by A. Len,,30-32,,
8:15.0,,,30-32,,Personal foul by A. Crabbe (drawn by E. Bledsoe)
8:15.0,Official timeout,,30-32,,
8:06.0,E. Bledsoe misses 2-pt shot from 2 ft (block by E. Davis),,30-32,,
8:05.0,,,30-32,,Defensive rebound by N. Vonleh
7:59.0,,,30-32,,A. Crabbe misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by E. Bledsoe,,30-32,,
7:52.0,A. Len misses 2-pt shot from 1 ft,,30-32,,
7:51.0,Offensive rebound by J. Leuer,,30-32,,
7:51.0,J. Leuer misses 2-pt shot from 1 ft,,30-32,,
7:50.0,,,30-32,,Defensive rebound by C. McCollum
7:45.0,,,30-32,,Turnover by C. McCollum (bad pass; steal by A. Len)
7:39.0,J. Leuer makes 2-pt shot at rim (assist by E. Bledsoe),2,32-32,,
7:17.0,,,32-32,,N. Vonleh misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by J. Leuer,,32-32,,
6:59.0,A. Len makes 2-pt shot from 17 ft (assist by R. Price),2,34-32,,
6:39.0,,,34-34,2,C. McCollum makes 2-pt shot from 8 ft
6:35.0,E. Bledsoe makes 2-pt shot at rim,2,36-34,,
6:35.0,Shooting foul by A. Crabbe (drawn by E. Bledsoe),,36-34,,
6:35.0,T. Chandler enters the game for A. Len,,36-34,,
6:35.0,P. Tucker enters the game for T. Warren,,36-34,,
6:35.0,,,36-34,,M. Plumlee enters the game for E. Davis
6:35.0,,,36-34,,A. Aminu enters the game for M. Harkless
6:35.0,E. Bledsoe makes free throw 1 of 1,1,37-34,,
6:23.0,,,37-34,,Turnover by M. Plumlee (lost ball; steal by T. Chandler)
6:14.0,R. Price makes 2-pt shot from 6 ft,2,39-34,,
6:12.0,,,39-34,,Portland full timeout
6:12.0,,,39-34,,D. Lillard enters the game for C. McCollum
5:53.0,,,39-37,3,A. Aminu makes 3-pt shot from 24 ft
5:31.0,P. Tucker misses 3-pt shot from 23 ft,,39-37,,
5:31.0,Offensive rebound by Team,,39-37,,
5:31.0,,,39-37,,Loose ball foul by M. Plumlee (drawn by T. Chandler)
5:31.0,,,39-37,,M. Leonard enters the game for N. Vonleh
5:26.0,Shooting foul by A. Crabbe (drawn by T. Chandler),,39-37,,
5:26.0,T. Chandler makes free throw 1 of 2,1,40-37,,
5:26.0,,,40-37,,M. Harkless enters the game for A. Crabbe
5:26.0,T. Chandler misses free throw 2 of 2,,40-37,,
5:25.0,,,40-37,,Defensive rebound by A. Aminu
5:14.0,,,40-39,2,A. Aminu makes 2-pt shot from 5 ft
4:55.0,E. Bledsoe makes 2-pt shot from 6 ft,2,42-39,,
4:35.0,,,42-41,2,M. Plumlee makes 2-pt shot from 7 ft (assist by A. Aminu)
4:17.0,Turnover by T. Chandler (traveling),,42-41,,
4:17.0,M. Morris enters the game for J. Leuer,,42-41,,
4:17.0,B. Knight enters the game for R. Price,,42-41,,
4:02.0,,,42-43,2,D. Lillard makes 2-pt shot from 18 ft
3:50.0,E. Bledsoe makes 2-pt shot from 18 ft,2,44-43,,
3:23.0,,,44-43,,Turnover by M. Harkless (bad pass; steal by M. Morris)
3:16.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by B. Knight),3,47-43,,
3:05.0,,,47-43,,Shooting foul by M. Morris (drawn by M. Plumlee)
3:05.0,,,47-43,,M. Plumlee misses free throw 1 of 2
3:05.0,,,47-43,,Offensive rebound by Team
3:05.0,,,47-43,,M. Plumlee misses free throw 2 of 2
3:03.0,Defensive rebound by M. Morris,,47-43,,
2:52.0,Offensive foul by T. Chandler,,47-43,,
2:52.0,Turnover by T. Chandler (offensive foul),,47-43,,
2:52.0,Phoenix full timeout,,47-43,,
2:52.0,,,47-43,,C. McCollum enters the game for M. Harkless
2:47.0,,,47-43,,Turnover by D. Lillard (bad pass; steal by E. Bledsoe)
2:34.0,M. Morris misses 3-pt shot from 24 ft,,47-43,,
2:34.0,,,47-43,,Defensive rebound by M. Plumlee
2:26.0,,,47-43,,C. McCollum misses 2-pt shot from 3 ft (block by M. Morris)
2:23.0,Defensive rebound by T. Chandler,,47-43,,
2:11.0,B. Knight makes 2-pt shot from 18 ft,2,49-43,,
1:54.0,,,49-43,,C. McCollum misses 2-pt shot from 11 ft
1:53.0,Defensive rebound by T. Chandler,,49-43,,
1:41.0,B. Knight makes 2-pt shot from 21 ft,2,51-43,,
1:31.0,Personal foul by B. Knight (drawn by M. Leonard),,51-43,,
1:24.0,,,51-43,,M. Leonard misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by P. Tucker,,51-43,,
1:15.0,M. Morris misses 2-pt shot from 14 ft,,51-43,,
1:15.0,Offensive rebound by M. Morris,,51-43,,
1:12.0,M. Morris misses 2-pt shot from 7 ft (block by M. Plumlee),,51-43,,
1:11.0,,,51-43,,Defensive rebound by M. Leonard
1:00.0,,,51-43,,A. Aminu misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by T. Chandler,,51-43,,
0:35.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,54-43,,
0:28.0,Personal foul by M. Morris (drawn by M. Leonard),,54-43,,
0:28.0,J. Leuer enters the game for M. Morris,,54-43,,
0:28.0,,,54-44,1,M. Leonard makes free throw 1 of 2
0:28.0,,,54-45,1,M. Leonard makes free throw 2 of 2
0:10.0,T. Chandler misses 2-pt shot from 2 ft (block by M. Plumlee),,54-45,,
0:10.0,Offensive rebound by Team,,54-45,,
0:10.0,Phoenix full timeout,,54-45,,
0:07.0,E. Bledsoe makes 2-pt shot from 19 ft,2,56-45,,
0:01.0,,,56-48,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
0:00.0,T. Chandler misses 3-pt shot from 45 ft,,56-48,,
0:00.0,Offensive rebound by Team,,56-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
